name,baseline_r2,combat_r2_all_genes,combat_r2_excl_degenerate,baseline_auc,combat_auc_all_genes,combat_auc_excl_degenerate,n_genes_scored,n_degenerate_excluded,degenerate_genes
allograft_mt5,0.25384168260020407,0.12892170084877136,0.12892170084877136,0.7695111083596573,0.7653007454125634,0.7653007454125634,53,0,
organoid_celltag,0.30846672102786793,-2.764360624169287,-2.764360624169287,0.785629057825883,0.8144792946305698,0.8144792946305698,53,0,
allograft_1L,0.35834947094260583,0.31944106650581433,0.31944106650581433,0.8121917133652516,0.8021430067467273,0.8021430067467273,53,0,
allograft_mt4Rf,0.23680429512579726,0.15153639344063302,0.15153639344063302,0.7563062304464785,0.7452291440265171,0.7452291440265171,53,0,
allograft_2L,0.2789601253201466,0.14792579837606934,0.14792579837606934,0.7734569076202584,0.7727238272121922,0.7727238272121922,53,0,
allograft_TKO-luc,0.5498306292431346,0.5252641329694377,0.5252641329694377,0.8794902555284004,0.881902591713483,0.881902591713483,53,0,
allograft_2LR,0.2925788503235253,0.2109298719928498,0.2109298719928498,0.7819732254041464,0.7831036035280778,0.7831036035280778,53,0,
celltag_fate_dpt,,0.2691138262514415,0.2691138262514415,,0.7882238024774877,0.7882238024774877,53,0,
allograft_3L,0.18335222526612685,0.0496351688162572,0.0496351688162572,0.7455980046321302,0.7445174933557599,0.7445174933557599,53,0,
allograft_5B,0.15193191615347967,0.03072938412290787,0.03072938412290787,0.7190406204740071,0.7361774521425071,0.7361774521425071,53,0,
allograft_mt3,0.10957240533100157,0.056029587501462745,0.056029587501462745,0.7086217732117095,0.7084732453121197,0.7084732453121197,53,0,
allograft_mt4,0.24106770302772618,0.18513860253778494,0.18513860253778494,0.7637132595057294,0.7739107908018489,0.7739107908018489,53,0,
tbo_allograft_5khvg,0.12885570396801838,0.09986964407280334,0.09986964407280334,0.7047586367187398,0.7284683002308068,0.7284683002308068,53,0,
organoid_combined,0.0995993149327351,0.028700109962789194,0.028700109962789194,0.6944092444119206,0.6966671705933657,0.6966671705933657,53,0,
allograft_mt6,0.25390221401441204,0.23490024035826262,0.23490024035826262,0.7713327612056371,0.7824617917535042,0.7824617917535042,53,0,
rpr2_allograft,0.13537554073351324,-0.5093323591472738,-0.5093323591472738,0.6954779508700577,0.691951591993714,0.691951591993714,53,0,
cgrp_k5,0.08795227352949238,-0.033714643163737165,-0.033714643163737165,0.6974051399203612,0.6995578175098152,0.6995578175098152,53,0,
allograft_mt2,0.11437624137526792,0.03072111794539047,0.03072111794539047,0.7112337665040745,0.7058685070218876,0.7058685070218876,53,0,
