name,mean_observed_same_dataset_frac,expected_same_dataset_frac,batch_separation_score,n_cells_used,mean_r2,mean_auc,category,pct_excess_same_dataset_neighbors
allograft_1L,0.853820197637985,0.024712315059681224,34.55039301562704,1383,0.35834947094260583,0.8121917133652516,allograft,3355.0393015627037
allograft_2L,0.919711111111111,0.026802944750196556,34.31380841481481,1500,0.2789601253201466,0.7734569076202584,allograft,3331.3808414814807
allograft_2LR,0.9188888888888889,0.026802944750196556,34.28313185185185,1500,0.2925788503235253,0.7819732254041464,allograft,3328.313185185185
allograft_3L,0.9545333333333333,0.026802944750196556,35.61300231111111,1500,0.18335222526612685,0.7455980046321302,allograft,3461.300231111111
allograft_5B,0.9116000000000001,0.026802944750196556,34.011188266666665,1500,0.15193191615347967,0.7190406204740071,allograft,3301.1188266666663
allograft_TKO-luc,0.9281333333333334,0.026802944750196556,34.62803591111111,1500,0.5498306292431346,0.8794902555284004,allograft,3362.803591111111
allograft_mt2,0.9536888888888889,0.026802944750196556,35.58149665185185,1500,0.11437624137526792,0.7112337665040745,allograft,3458.149665185185
allograft_mt3,0.9783980031767642,0.026249017225359158,37.273700374257615,1469,0.10957240533100157,0.7086217732117095,allograft,3627.3700374257614
allograft_mt4,0.892911111111111,0.026802944750196556,33.31391828148148,1500,0.24106770302772618,0.7637132595057294,allograft,3231.391828148148
allograft_mt4Rf,0.9439333333333334,0.026802944750196556,35.21752337777778,1500,0.23680429512579726,0.7563062304464785,allograft,3421.752337777778
allograft_mt5,0.9588222222222222,0.026802944750196556,35.773017896296295,1500,0.25384168260020407,0.7695111083596573,allograft,3477.3017896296296
allograft_mt6,0.9305777777777777,0.026802944750196556,34.7192365037037,1500,0.25390221401441204,0.7713327612056371,allograft,3371.9236503703696
celltag_fate_dpt,0.6648222222222222,0.026802944750196556,24.804073896296295,1500,,,ireland_2025,2380.4073896296295
cgrp_k5,0.9932222222222221,0.026802944750196556,37.05645896296296,1500,0.08795227352949238,0.6974051399203612,ireland_2025,3605.6458962962956
human_PleuralEffusion,0.9304114490161002,0.009988564076906584,93.14766785820576,559,,,human_tumor,9214.766785820577
human_RU1065,0.7951035781544256,0.0031627474805231933,251.39647823635184,177,0.4560631617526429,0.8514830453547616,human_tumor,25039.647823635183
human_RU1066,0.9881555555555556,0.026802944750196556,36.867425007407405,1500,0.12370163505379853,0.7124401146993704,human_tumor,3586.7425007407405
human_RU1080,0.9723555555555555,0.026802944750196556,36.27793754074074,1500,0.25722280260801655,0.7595247663778154,human_tumor,3527.7937540740736
human_RU1108,0.9987333333333333,0.026802944750196556,37.26207484444444,1500,0.07765384075023023,0.7113931750899894,human_tumor,3626.207484444444
human_RU1124,0.9557052001496446,0.015920949181616753,60.028154681453096,891,0.46881989464106855,0.8430051672878056,human_tumor,5902.81546814531
human_RU1144,0.9694444444444444,0.026802944750196556,36.169325925925925,1500,0.22980136077839336,0.7466122127014415,human_tumor,3516.9325925925923
human_RU1145,0.9801777777777778,0.026802944750196556,36.569779437037035,1500,0.09792622507653337,0.6806141667653799,human_tumor,3556.9779437037037
human_RU1152,0.966936390200045,0.02649917804302766,36.48929746537783,1483,0.11521843979202141,0.7045356374823614,human_tumor,3548.929746537783
human_RU1181,0.9969555555555556,0.026802944750196556,37.19574714074074,1500,0.22594277197595336,0.7477367963462728,human_tumor,3619.574714074074
human_RU1195,0.6927590511860174,0.004770924165534987,145.20437281113962,267,0.42671937697872075,0.8338474661133196,human_tumor,14420.437281113962
human_RU1215,0.9936444444444444,0.026802944750196556,37.07221179259259,1500,0.033169142510470394,0.669032727496404,human_tumor,3607.221179259259
human_RU1229,0.9800222222222222,0.026802944750196556,36.56397576296296,1500,0.14870008689403738,0.7138096143300535,human_tumor,3556.397576296296
human_RU1231,0.9910444444444444,0.026802944750196556,36.975207525925924,1500,0.1401053005438147,0.7123550985905915,human_tumor,3597.5207525925925
human_RU1293,0.9878222222222223,0.026802944750196556,36.854988562962966,1500,0.1544156268089052,0.7090510301102955,human_tumor,3585.4988562962967
human_RU1311,0.6147126436781609,0.0025909513258523336,237.25364407451448,145,0.5379865508748085,0.8726026582334883,human_tumor,23625.36440745145
human_RU1322,0.9931333333333333,0.026802944750196556,37.05314257777778,1500,0.09749170510337325,0.6851873524118545,human_tumor,3605.3142577777776
human_RU426,0.918243571081999,0.024551497391180045,37.400715583721244,1374,,,human_tumor,3640.0715583721244
human_RU779,0.7949074074074074,0.003859624044028304,205.95462105624142,216,,,human_tumor,20495.46210562414
mets_compiled,1.0,0.026802944750196556,37.309333333333335,1500,0.019325370558959512,0.6581603284067254,mets_compiled,3630.9333333333334
organoid_celltag,1.0,0.026802944750196556,37.309333333333335,1500,,,organoid,3630.9333333333334
organoid_combined,0.2511777777777778,0.026802944750196556,9.371275437037037,1500,0.0995993149327351,0.6944092444119206,organoid,837.1275437037036
organoid_shGFP,0.3578,0.026802944750196556,13.349279466666665,1500,0.023188739280125447,0.6599848226684297,organoid,1234.9279466666665
organoid_shRORB1,0.32126666666666664,0.026802944750196556,11.986245155555554,1500,0.15082702253875024,0.7137524715083315,organoid,1098.6245155555555
organoid_shRORB2,0.3834666666666666,0.026802944750196556,14.306885688888887,1500,0.16178585380406868,0.7238837357707743,organoid,1330.6885688888888
rpr2_allograft,0.8046222222222222,0.026802944750196556,30.019918696296294,1500,,,ireland_2025,2901.9918696296295
tbo_allograft_5khvg,0.7311111111111112,0.026802944750196556,27.27726814814815,1500,0.12885570396801838,0.7047586367187398,ireland_2025,2627.726814814815
