name,network_gene_batch_separation,housekeeping_gene_batch_separation,mean_r2
allograft_1L,17.490281936408202,6.77780172368917,0.35834947094260583
allograft_2L,17.366965096296298,5.456534577777777,0.2789601253201466
allograft_2LR,17.10486660740741,7.774585066666667,0.2925788503235253
allograft_3L,17.88906192592593,7.614111111111111,0.18335222526612685
allograft_5B,17.244316444444447,8.319440355555555,0.15193191615347967
allograft_TKO-luc,17.708029155555554,8.982340622222223,0.5498306292431346
allograft_mt2,17.836558222222223,4.2382768,0.11437624137526792
allograft_mt3,18.833355622892782,5.436135684205655,0.10957240533100157
allograft_mt4,16.93055431111111,7.977488,0.24106770302772618
allograft_mt4Rf,17.759692800000003,5.408224355555555,0.23680429512579726
allograft_mt5,18.13477925925926,5.965682311111111,0.25384168260020407
allograft_mt6,17.7185298962963,5.6712,0.25390221401441204
celltag_fate_dpt,12.360211911111113,7.976647822222222,
cgrp_k5,18.75936331851852,9.246156444444445,0.08795227352949238
organoid_celltag,18.900913303703703,15.496238933333334,
organoid_combined,18.89335277037037,15.347107377777778,0.0995993149327351
rpr2_allograft,14.9925376,5.641373688888889,
tbo_allograft_5khvg,13.093583644444445,6.734444977777779,0.12885570396801838
