,NFIX,KMT2A,TCF4,SMAD3,TEAD1,ZEB1,LMX1B,CUX1,SIX1,RORB,RARB,SOX11,FOXO3,TBX15,CREB1,EGR1,SP100,EHF,TCF12,SOX9,FOS,MEIS2,ESR1,TCF7L2,ASCL1,JUNB,NFKB1,ZBTB18,HSF2,ZBTB7A,NR3C2,GRHL2,JUN,PROX1,NCAM1,ETS1,PRDM16,NFIA,RORA,SIX4,NFIB,CUX2,STAT1,NFATC2,PBX1,REST,ZBTB20,ICAM1,RUNX1,PPARG,EPCAM,CD44,PKNOX2,JUND
NFIX,,,,,,,,,,25.40562456611619,,,,,,,,18.118759290938424,,,,,,,,,11.018551084191394,,22.227303906207332,,,13.09668830381887,,18.415703177211117,,,,,17.412145005897564,,,,14.949550896906715,,,,,,,,,,,
KMT2A,,,,19.60950225161289,,32.781432808892795,,,,,,,,,,21.10508491100375,,,,,,,15.465361943421827,,,12.116194345123684,,,,,,,,,,,,,,,,,20.109502156058195,,,,,,,16.33378864457191,,,,22.62260594983862
TCF4,,,0.7667675864427154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMAD3,,,,,,,,22.48724766175921,,19.340506570796315,,,21.51384596353429,18.97191594964186,,,,,,,,,,,,,,,,,,,14.35735633576385,,,,,,16.4129001132356,,,25.453269569998227,21.236698837496323,,,,,,,,,,,
TEAD1,,,,,,,,,,,,,,,21.951710756731547,13.450597486136482,,,,,12.72867241779692,,,6.484026621752867,,8.313251151522307,,,,,,,,,,,,,,,,,,,9.894313385268138,,,,,,,,,14.953713180218971
ZEB1,2.881819282602417,,,,,,,,,4.679601562972131,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0819718594410555,3.084056008167616,,,,,,,,,,,1.663591269070761,,,,
LMX1B,,,,,,,,,,37.82256048156981,,,,25.38098379920999,,,,,,,12.1390866742403,,,,,20.081762013093307,,7.642654142479509,,,,,,,,,,,12.99185407601702,,,,24.346950476512674,,14.934278062341575,,,,,,,,,
CUX1,,,15.897490184329728,,,,,,,17.195430452877737,,,,12.643945425228141,,11.777906269631911,,,,,,26.339432395679978,,30.856766175368183,,13.551919119981797,,,,,,,,,,,,,12.304944330645167,,,,,,,,,,,,,,,
SIX1,,,34.829699758545026,18.97839817735617,,16.974220892621485,,,,,,,,,,11.342425319577531,,,,,,14.72869129839979,,,,,,28.056998845905827,,,,,,,,,,29.46412440586777,,,,,,17.07819888936321,,,,,,,,,,
RORB,,,,,,,,,22.05572566290902,,,,13.902492456646515,,,27.320328297208835,,,,,15.975137692434464,29.042808438288567,,,,10.949274201240957,,,,,,,,,,,,,,20.710458027348174,,,,,,,,,,,,,,16.83339730450914
RARB,,,,,15.999687649880975,10.796453039606936,,,,,,,,,,8.562147140640914,,,,,,,,33.498051973795874,,,,12.058465857414598,11.96055987021573,,,,,,,10.256591718998143,37.47440665004756,,,,,,,,,,,,,,,,,
SOX11,,,28.78970289164564,18.528018572597915,,,,17.120188608496537,,,,,,,,13.670739375501642,,,,,,,35.62335648710642,,,,,,,13.017511455002907,,,,,,25.578625211277643,,,,,,,,,,,,,,22.23767366123182,,,,
FOXO3,,,,,16.734999699272247,,,,,14.915604783483538,,,,,16.385720456024117,15.762654551832435,,,,,,,,19.321922301872522,,,,,,,,,19.526984005729954,,,,,,20.96341480699419,,,,22.377575052022312,,,,,,,,,,,
TBX15,,,,,,,,,,,,,23.400830108774734,,,16.1935556939471,,,,11.962561002653612,,18.450889433115716,,,31.564762505337395,,,,,,,,,,,,,16.235547678417547,,,,,20.83669963920394,24.47864314595035,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,0.22717111343173352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGR1,,,,,,,,,,32.40027213014141,,,,,,,,,,,11.682577780774928,31.43083047821709,,,,21.83906373351306,,,,,,,,,,,,,18.71225744231601,,,,13.28837014165344,,,,,,,,,,11.308276195077763,16.504026182009436
SP100,,,,,13.094770327325378,,,26.712578066090774,,14.06662189368556,,,,,,9.098452090113124,,,,21.97863472602433,,,,,,,,,,,,,,,,,,33.83010369191518,13.244803819045785,,,15.771869697254527,,,,,,,,,,,,
EHF,,,,,,,,,,,,,,16.982484339135254,,,,,,,18.008526930029745,,,21.791965571048877,,18.635597482390814,,,14.918073713531873,,16.201302412345978,,,,,,,36.090905568302254,,,,,,,,,,,,,,,,25.33313098165233
TCF12,,,,,,13.657738305107646,,,,,,,,27.21484679415844,,27.844122973617562,,,,,22.986606089849634,,,,,19.630423620414902,,,,,,,17.069101541711944,,,,,,,,,,,12.27318903581521,,,,,,,,,,21.14765493702518
SOX9,,,,,,,,,,,,,,,,,,,,0.7370604138691879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOS,,,,,,18.731559744067223,,,,,12.434252179261398,,27.251571139068364,,,,12.73461294681681,,,,,,,,,,,24.283826403606383,19.68714807736778,17.409352776940743,,,,,,,14.959519585593306,,,,,,,,,,,,,,,,,
MEIS2,,,33.76575106826702,,,30.59247122350972,,,,,,,23.70588181977183,,,44.44067101769451,,31.512761256936866,,,,,,29.348809730919477,,,,19.003299745721655,,,,,,,,,,,,,,,21.89737182347236,,,49.2724215807001,,,,,,,,
ESR1,,,,,10.615435725397692,,,,,,,,19.08438403105443,,12.932958896636908,18.77140151903781,,,,,14.996926705939268,,,,,,,,,,,,12.916120626011987,,,,,33.741431961984034,,,,,,,,,,,,,,,,19.60312696792502
TCF7L2,7.436655462421412,,,,3.4283995507091083,,,,,,,,,2.362582680664593,,,,,,,,,,,,,,,,,,,,4.240510881474875,,,,8.514791346037192,,,,,,,,,,,,5.565739171714391,,,,
ASCL1,,,30.671265815914307,,,,,,,,,,,,,20.354052736447308,,,,,16.10312064505893,,,,,14.3510537375844,,16.841583016306537,,,,,,,,,,,,,,,26.121601499190632,30.05419969960886,,,,,,14.199694069952049,,,,
JUNB,,,7.500618396502165,,10.848121099000451,10.754817219437191,,,,7.202160870529897,,,,,,21.690632709286394,,,,,,,,,,,,,,,,,,7.39879081278175,,,,,11.35202715160749,,,,,,,,,,,,,,,
NFKB1,,,,,,,,,,,,,16.976772242384797,,,,,,,,12.854859390796777,,9.01876016194604,,,7.29080279553294,,,,,,,,18.19594208427836,,,,,,,,,,,,,,,,,,,12.060249913896401,13.772219859687727
ZBTB18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7345362820280877,,,,,,,,,,,,,,,,,,,,,,,,,,
HSF2,,,,,17.610518239563905,,,,,30.726441502147843,,,,,,25.393769545189286,,,,,14.63345314991356,,,,,11.963875635493416,,,,,,,14.1793908820515,,,,,,20.44306207527334,,,,16.074472933881516,,,,,,,,,,,
ZBTB7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7303636384328371,,,,,,,,,,,,,,,,,,,,,,,,
NR3C2,,,,,,,,,,1.589926288332402,,,,0.9083767686028283,,,,,,,,,,,,,,,,,,,,,,,,,0.607024341347728,,,,,,,,,,,,,,,
GRHL2,,,,18.13982059777639,,11.42682725128781,,,,29.949212004005883,,,,,,,22.71643577108137,,,,18.41721496395262,,,,,12.424859549227978,,,,,,,,,,,22.353154433974375,,39.58650509636527,,,,,,,,,,,,,,,
JUN,,,,19.64603191410224,,18.896563694110412,,,,,,,29.23308000779543,,,12.594410373867857,,14.319103595081124,,,,17.452528094017566,,21.341648235939367,,,,,,,,,,,,30.998147854122532,,,,,,,,,,,,,,,,,,
PROX1,,,,,,,,,,,,,15.896249468269158,,,,,,,,,19.32131124558037,,16.01891877572818,29.09103673992393,,,,,,,,16.644669002115087,,,,,,,,,,20.836031973299907,18.201646747643018,,,,,,,,,21.75855624788974,
NCAM1,,,8.449276507107985,,6.3575659653376855,,,4.710491359164501,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.749738939349671,,,,,,,,,,7.3397821911297685,,,,4.553862911708421,,,,
ETS1,,,25.293350582328532,,,,,,,24.34987257632927,,,,,,,,,,,19.77563081073569,,,11.319230532574693,,15.308072478302837,,,,,,,,,,,,,27.055978199513305,,,,,,,,,,,14.235355873041033,,,,21.06019612172947
PRDM16,,,,,,16.167606194294226,,,,24.393112835527116,,,,,,17.555390433778168,,13.862103978106349,,,,,,,,,,,,,,,18.18114410957134,,,,,29.376005712269066,19.115827366445142,,,,25.63726091528197,,,,,,,,,,,
NFIA,,,,,,,,,,10.397338009681858,,,,,,5.902819001404257,,,,,8.137517002328927,13.755418599064718,,,,8.108202430756835,,,,,,,,,,,,,10.40937204797195,,,,,,,,,,,,,,,25.504171009888022
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7806655860104149,,,,,,,,,,,,,,,
SIX4,,,42.210139674816006,15.556198524385806,,11.27086323507095,,,,,,,,,,13.981518615671503,,,,,,11.53032334607051,,18.347411026798525,,,,,,,,,,,,,,33.187065744465386,,,,,,15.065851495915748,,,,,,,,,,
NFIB,,,,16.03156302593886,,,,,,,,,11.99441602041875,,,,,,,,,,,7.941567050853388,,,,16.62306116542053,,,,,13.702987328616357,,,,,,,,,,18.170931887720577,,10.757389317931915,,,,,,,,,
CUX2,,,,,,21.609868574709076,,,,31.781789743036068,,,,,,25.44896960256939,,,,,19.940584794911384,,,,,,,19.447136274518915,,12.687396453797346,,,,,,,,,20.099557818677766,,,,,,,,,,,,,,,21.342941032466822
STAT1,,,,,,10.255407180105564,,,,,,,,,,,,17.08585880773343,,,13.60479578841288,,,16.02326434987832,,11.019874874477868,,,,,,,18.004040347818172,,,,,33.60991711912348,,,,,,,,,,,,,,,,31.37441797987832
NFATC2,,,,22.92787321419209,,19.614419171262117,,,,,,,,,,25.558353082857018,,,,,11.180404300085987,,,,22.082200547006224,11.86425808831697,,,,,,,15.298693932809359,,,,,,,,,,,,,,,,,,,,,20.707745857481232
PBX1,,,,,18.332622112324145,,,7.605982916502851,,,,,,,,,,,,,8.373408125828519,,,,,10.519570332164959,,,,,,,,,,,9.031958400558823,,,,,12.901621243801369,,,,,,,,,,,,9.982368014312506
REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7111206557299512,,,,,,,,
ZBTB20,,,45.943371299161846,,,16.17041503701998,,,,,,,,,,,,17.787540921320154,,,15.42136717309799,,,12.202314860862336,,16.025163912118767,,,,,,,24.85225773065411,,,,,,,,,,,,,,,,,,,,,39.04543714591362
ICAM1,,,2.0242733818984364,,,,,,,,,,,,,1.7060354711353123,,,,4.987503913378226,,,,,,,1.926083711124518,,,,,,,,,,,,,,,,,,,,,,6.535307634913115,,,,,
RUNX1,,,28.39396423018952,,,27.392937324548683,,,,23.55449403905761,,,,,,,,,,,,40.34335694200085,,46.43024756006469,,,,,21.758705226849695,19.199246234817892,,,,,,,,,25.48300091706223,,,,47.08705028554806,,,,,,,,,,,
PPARG,,,16.482234750422695,,,19.161585141485915,,,,35.32711748894124,,,,,,,,,,,11.73411011663122,,,,,14.07500184854207,,,,,,,13.689971712009552,,,,,,16.37899472679572,,,,,,,,,,,,,,,23.54117434721212
EPCAM,,,,,,,,,,,,,,,,,,,,2.4899339307214357,,,4.216325442577945,,,,,,,,,,,,,,,,,,,,5.590296082441464,,,,,,3.1015273990273724,4.234741375213424,,,,
