,NFIX,KMT2A,TCF4,SMAD3,TEAD1,ZEB1,LMX1B,CUX1,SIX1,RORB,RARB,SOX11,FOXO3,TBX15,CREB1,EGR1,SP100,EHF,TCF12,SOX9,FOS,MEIS2,ESR1,TCF7L2,ASCL1,JUNB,NFKB1,ZBTB18,HSF2,ZBTB7A,NR3C2,GRHL2,JUN,PROX1,NCAM1,ETS1,PRDM16,NFIA,RORA,SIX4,NFIB,CUX2,STAT1,NFATC2,PBX1,REST,ZBTB20,ICAM1,RUNX1,PPARG,EPCAM,CD44,PKNOX2,JUND
NFIX,,,,,,,,,,-25.345684223166817,,,,,,,,15.651850148733518,,,,,,,,,-6.729585644042041,,-22.2264832854443,,,10.314503582821546,,-17.977076694074036,,,,,-16.769080668698763,,,,12.728888813882705,,,,,,,,,,,
KMT2A,,,,-11.147757167955419,,32.585335836716006,,,,,,,,,,19.607918874415432,,,,,,,-9.241370590855258,,,-1.1781657870287607,,,,,,,,,,,,,,,,,-15.843928803944939,,,,,,,-15.554032168549384,,,,-19.081410432023368
TCF4,,,0.7667675864427154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMAD3,,,,,,,,16.602939536902614,,-15.42878115530614,,,19.346187374428307,-17.931752714095783,,,,,,,,,,,,,,,,,,,6.27128385067426,,,,,,-7.681599052135518,,,-25.361230884564737,9.48538957296267,,,,,,,,,,,
TEAD1,,,,,,,,,,,,,,,21.951710756731558,12.830671073696232,,,,,-12.724576216851633,,,-2.1685970436467277,,-5.853620660865647,,,,,,,,,,,,,,,,,,,8.902568432132382,,,,,,,,,14.655339989320117
ZEB1,-1.2869613598663951,,,,,,,,,4.679601562972131,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.71490099039194,-2.629699724880423,,,,,,,,,,,-0.7859475269107864,,,,
LMX1B,,,,,,,,,,37.75953008491843,,,,25.334635042278858,,,,,,,5.883807253151284,,,,,16.6883880897363,,2.192338105413308,,,,,,,,,,,10.158961618559152,,,,-22.642030477099304,,-2.6622604884570555,,,,,,,,,
CUX1,,,11.518357885165507,,,,,,,-9.476043339011053,,,,-4.18994080028588,,2.3306634378284796,,,,,,-25.842923294110168,,30.41667961680656,,8.649416100565062,,,,,,,,,,,,,3.074306291354035,,,,,,,,,,,,,,,
SIX1,,,34.81950568111784,-18.48299416999263,,-13.95037973395803,,,,,,,,,,9.065810071228256,,,,,,11.361497885082276,,,,,,28.041479711028668,,,,,,,,,,26.30522077963778,,,,,,15.887390299154303,,,,,,,,,,
RORB,,,,,,,,,22.055725662909033,,,,-0.35028041359655604,,,27.32032829720884,,,,,-15.428396804687445,28.872189868813496,,,,-4.894743513200702,,,,,,,,,,,,,,20.52902177470889,,,,,,,,,,,,,,3.356282810565987
RARB,,,,,11.3677565094351,-5.2314306421788075,,,,,,,,,,4.3615236783831595,,,,,,,,33.1708377352492,,,,4.449573874808872,-4.406044145729451,,,,,,,3.4370199458712394,36.96257827235282,,,,,,,,,,,,,,,,,
SOX11,,,27.706374415232098,-14.064915708623877,,,,-3.590511112084168,,,,,,,,11.693468159169962,,,,,,,33.068896254815165,,,,,,,3.8387434660138946,,,,,,24.15524227904466,,,,,,,,,,,,,,-22.220354038059643,,,,
FOXO3,,,,,15.205400263329794,,,,,-4.993334487751983,,,,,15.354090846229921,-12.463212515117915,,,,,,,,14.451634237514066,,,,,,,,,-10.690818711913264,,,,,,20.833353748767216,,,,19.88319488323537,,,,,,,,,,,
TBX15,,,,,,,,,,,,,22.717039098083433,,,15.45646394922201,,,,-1.8222938904322707,,16.42722248661283,,,31.335457251725884,,,,,,,,,,,,,9.719993836429135,,,,,18.715937864961646,23.790791344518276,,,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,-0.22717111343173352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGR1,,,,,,,,,,32.400272130141396,,,,,,,,,,,4.670446008668946,30.9726687846233,,,,21.04911817860688,,,,,,,,,,,,,16.862909636748217,,,,2.572271430741757,,,,,,,,,,6.925380626981276,6.156047837850721
SP100,,,,,0.16911610076383593,,,25.756041071930472,,-12.296030265911284,,,,,,-5.356919764737122,,,,21.36705314112607,,,,,,,,,,,,,,,,,,32.7086575596009,-7.280114347367988,,,-9.090898608125261,,,,,,,,,,,,
EHF,,,,,,,,,,,,,,-3.588551831999682,,,,,,,-9.931342297483614,,,19.152227697859914,,-5.127984751302829,,,-2.1350074005514466,,-0.8739689492413031,,,,,,,33.73967266002978,,,,,,,,,,,,,,,,18.637422745463738
