,gene_median,shared_scale,K
ASCL1,-0.36733114499999997,0.1732475257952545,0.2
BACH1,0.0064693545,0.1732475257952545,0.2
BACH2,-0.0183853265,0.1732475257952545,0.2
CREB1,-0.06694544499999999,0.1732475257952545,0.2
CUX2,-0.00947920825,0.1732475257952545,0.2
EGR1,0.0166532175,0.1732475257952545,0.2
EHF,-0.031843724000000004,0.1732475257952545,0.2
EPCAM,-0.0184435095,0.1732475257952545,0.2
ESR1,-0.0462160705,0.1732475257952545,0.2
ETS1,0.0054272341,0.1732475257952545,0.2
FOS,0.0165488845,0.1732475257952545,0.2
FOXO3,0.012258755999999999,0.1732475257952545,0.2
GRHL2,0.0062103309,0.1732475257952545,0.2
HES1,-0.09757026499999999,0.1732475257952545,0.2
HSF2,-0.041599412,0.1732475257952545,0.2
ICAM1,-0.096073962,0.1732475257952545,0.2
JUN,-0.0017231281,0.1732475257952545,0.2
JUNB,-0.0049150835,0.1732475257952545,0.2
JUND,-0.009434567750000001,0.1732475257952545,0.2
KMT2A,0.08229315,0.1732475257952545,0.2
LMX1B,0.0282785825,0.1732475257952545,0.2
MEIS2,0.20447979500000002,0.1732475257952545,0.2
NCAM1,-0.09693379,0.1732475257952545,0.2
NFATC2,0.053301745,0.1732475257952545,0.2
NFIA,-0.0717124975,0.1732475257952545,0.2
NFIB,-0.08010859000000001,0.1732475257952545,0.2
NFIX,-0.063820335,0.1732475257952545,0.2
NFKB1,0.002136124,0.1732475257952545,0.2
NFYC,-0.004001931550000001,0.1732475257952545,0.2
NR6A1,-0.01213994,0.1732475257952545,0.2
PBX1,0.011955552000000001,0.1732475257952545,0.2
PKNOX2,-0.0292977595,0.1732475257952545,0.2
PROX1,-0.0977484425,0.1732475257952545,0.2
RBPJ,-0.022666538,0.1732475257952545,0.2
REST,-0.10268513500000001,0.1732475257952545,0.2
RORA_RORB,-0.05482207175,0.1732475257952545,0.2
RUNX1,-0.18264722,0.1732475257952545,0.2
SIX1,-0.14253675999999998,0.1732475257952545,0.2
SIX4,-0.11092259,0.1732475257952545,0.2
SMAD3,-0.056833913,0.1732475257952545,0.2
SOX11,-0.15765304000000002,0.1732475257952545,0.2
SOX9,-0.121567915,0.1732475257952545,0.2
STAT1,0.023235480000000003,0.1732475257952545,0.2
STAT2,-0.0064009667,0.1732475257952545,0.2
TBX15,-0.041496353,0.1732475257952545,0.2
TCF4,-0.071350735,0.1732475257952545,0.2
TCF7L1,-0.0234170905,0.1732475257952545,0.2
TCF7L2,-0.11219455,0.1732475257952545,0.2
TEAD1,0.004543082,0.1732475257952545,0.2
TFDP1,-0.028268599999999998,0.1732475257952545,0.2
THRB,-0.00492105215,0.1732475257952545,0.2
ZBTB20,-0.069937642,0.1732475257952545,0.2
ZEB1,0.022867556,0.1732475257952545,0.2
