brcd,validation_set,mean_r2,mean_auc
6667,in_sample,0.854699569229487,0.9743288028590547
6667,organoid,0.0995993149327351,0.6944092444119206
6667,organoid_shGFP,0.023188739280125447,0.6599848226684297
6667,organoid_shRORB1,0.15082702253875024,0.7137524715083315
6667,organoid_shRORB2,0.16178585380406868,0.7238837357707743
6667,mets_compiled,0.019325370558959512,0.6581603284067254
6668,in_sample,0.8117694709030232,0.9628349237860971
6668,organoid,0.06646091440012301,0.6901120093251821
6668,organoid_shGFP,0.004046827396616536,0.6602225704463908
6668,organoid_shRORB1,0.10428711973696064,0.7047896034626566
6668,organoid_shRORB2,0.12763575339777242,0.7139076909647798
6668,mets_compiled,-0.0022171096806392013,0.6554775546411656
6669,in_sample,0.8551804555465796,0.974457709899966
6669,organoid,0.09524203515114475,0.6960978028869415
6669,organoid_shGFP,0.016277415792323176,0.6605564067863708
6669,organoid_shRORB1,0.14785792739946013,0.7147926008420273
6669,organoid_shRORB2,0.16173257076614825,0.7259919037531156
6669,mets_compiled,0.013208558682230141,0.657867327120699
6670,in_sample,0.7998103637719671,0.960912094126016
6670,organoid,,
6670,organoid_shGFP,-180227508990229.8,0.5517384512308391
6670,organoid_shRORB1,,
6670,organoid_shRORB2,,
6670,mets_compiled,,
