,AHR,ARID5B,ASCL1,BACH1,BACH2,BBX,CREB1,CUX1,CUX2,EGR1,EHF,EPAS1,ESR1,ETS1,FOS,FOSB,FOXO3,GLIS3,GRHL2,HIF1A,HSF2,JUN,JUNB,JUND,KMT2A,LCOR,LMX1B,MECOM,MEIS2,NFATC2,NFE2L2,NFIA,NFIB,NFIX,NFKB1,NPAS2,NR3C2,PBX1,PKNOX2,PPARG,PRDM16,PROX1,RARB,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX5,SOX6,SOX9,SP100,STAT1,STAT2,STAT4,TBX15,TCF12,TCF4,TCF7L1,TCF7L2,TEAD1,THRB,ZBTB18,ZBTB20,ZBTB7A,ZEB1
AHR,,,,,,,,,,,,,,,-0.01361007818934673,,,,,,,,0.032174430583101765,0.08808444292251427,,,,,,-0.10512251864052224,,,,,,,,,,,,,,0.2901352672806874,-0.12655495867029404,-0.014205457110884723,,,,,,,,,,,,,,,,,-0.10906246784268064,,,,,
ARID5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5539467048824724,,,,,,,,,,,,,,
ASCL1,,,,,,,,,,-0.03539511624503966,,,,,0.06381291885436358,,,,,,,,-0.06090609306071748,,,,,,,0.32976046415338667,,,,,,,,,,-0.1732103052550351,,,,,,,,,,,,,,,-0.1299379673989517,,,,,0.07317902482667271,,,,,0.06051831291683574,,,
BACH1,,,,,,,,,,,0.28447579390805566,,,0.13528642187758122,,,,,,,,0.03539127164836969,,,,,-0.0184061339599762,,,,,,,,,,,,,,,,,0.15889428096735686,,,,,,,,,,,,,,,,0.14924819872057776,,0.00971948985076515,,,,,,-0.009291084901545066
BACH2,,,,,,,,,,0.04737097396013301,,,,,-0.07409995655471402,,,,,,,,-0.026113429682575462,-0.01421243067193656,,,,,,,,,,,,,,,,0.0312324339226574,,,,,,,-0.020086593620129267,,,,,,,,,,,,,,,-0.018131152822704943,,,,,,-0.11168122587362517
BBX,,,,,,,,,,,,,,,0.011791816343057593,,,,,,,,-0.15422794101992265,-0.17270574320077425,,,,,0.10097592119862214,0.12025020145869603,,,,,,,,,,-0.062377229385326693,,,,,,,,,,,,,,,0.1077746897300102,,,,,0.1244113311968475,,,,,,,,
CREB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4662938346345512,,,,,,
CUX1,,,,,,,,,,0.047517919817227305,,,,,,,,,,,,,0.04045533897122722,,,,,,-0.24334280935761704,,,,,,,,,,,,,,,,-0.052848324550761994,-0.05758644056082485,,,,,,,,,,,,-0.08764831278503887,,0.0024913890786186776,,0.09990615409556541,,,,,,
CUX2,,,,,,,,,,0.06601761800284833,,,,,0.08358435675348963,,,,,,,,,-0.10124171011594052,,,,,,,,,,,,,,,,,,,,,0.19618065151223296,0.07540840957867156,,,,,,,,,,,,,,,,,,,0.15880792945381955,,-0.018327158923272968,0.09718422924493753
EGR1,,,,,,,,,,,,,,,0.2490440182650825,,,,,,,,0.2752993042881158,0.07509594871274594,,,,,0.009210528143032914,,,,,,,,,,0.07000351445744668,,,,,,0.006648179948992694,0.05289665660356646,,,,,,,,,0.06284730995191462,,,,,,,,,,,,,
EHF,,,,,,,,,,,,,,,-0.12211300066329889,,,,,,-0.12653434989558704,,-0.014540478271602764,0.07659419641210308,,,,,,,,0.3217357483387317,,,,,-0.056027671215854724,,,,,,,,,,,,,,,,,,,,,-0.14002558721104463,,,,0.06406884850326588,,,,,,
EPAS1,,,,,,,,,,-0.00596923792542986,,,,,-0.05011896846677538,,0.16772113310071446,,,,,0.02352602213177707,,0.019870868538654496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0563643580166146,,,-0.22757329969005285,,,,,,,-0.09377717734254204,,,
ESR1,,,,,,,-0.0031080934585527298,,,-0.050367414436526425,,,,,-0.13481109385125134,,0.14771912511961888,,,,,0.007923651783323327,,0.043005449940242746,,,,,,,,0.33450836312760523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07903426783556639,,,,,
ETS1,,,,,,,,,,,,,,,-0.06298739824858701,,,,,,,,0.030617336233408565,-0.06366936242917498,,,,,,,,,,,,,,,,0.09619354566476451,,,,,0.1675764111088735,-0.015304773416860429,,,,,,,,,,,,,,0.1211203224782762,,-0.0991865297155684,,,,,,
FOS,,,,,,,,,,,,,,,,,-0.20046285939846475,,,,-0.009190622808787463,,,,,,,,,,,,,,,,,,,,-0.05530647421726098,,0.02182608033448835,,,,,,,,,,,-0.0306336382317296,,,,,,,,,,,-0.29229761375425833,,-0.03834314867693056,0.14656330087096642
FOSB,,,,,,,,,,0.454928138160605,,,,,,,,,,,-0.012678027264167335,,,,,,,,0.03941273216061281,,,,,,0.15774397876642254,,,,,,,,0.10090524525233907,,,,,,,,,,,,0.01838282370112998,,,0.013813198108073799,,,,,,,,,,
FOXO3,,,,,,,-0.047098038895258265,,,-0.06036646194360673,,,,,,,0.3414538370984688,,,,,-0.030141049899313377,,,,,,,,,,,,,,,,,,,,,,,0.02357390077244287,-0.06469462823188477,,,,,,,,,0.05797285769857463,,,,,,,0.09253532267147024,0.009468334619768204,,,,,
GLIS3,,,,,,,,,,,,,,,0.016378333743621964,,,,,,,,0.004013056587973796,0.19353020294943118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055526579404579446,,0.031091208668576342,,0.11418786420431365,0.11494635567534772,,,,,0.052556632624633726
GRHL2,,,,,,,,,,,,,,,-0.08820525807520779,,,,,,,,-0.07177233673169164,,,,,,,,,,,,,,,,,,0.036405292948545276,,,,-0.03188062325620711,-0.07252260070594113,,,,0.1640048783679487,,,,0.0016800259660386119,,,,,,,,,,,,,,0.055407661014840515
HIF1A,,,,,,,0.24174384351742906,0.09194257656231475,0.10464001836361814,,,,-0.003461441652153452,,-0.041523753023769316,,,,,,,-0.03390035651693246,,,,,,,,,,0.034363280335802715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15685455211733612,,,,,,
HSF2,,,,,,,,,,0.014656563110252874,,,,,0.03367845143319981,,,,,,,-0.04542648516325365,-0.06742378307210561,,,,,,,,,,,,,,,,,,,,,,0.3154164404447535,0.09194132899206531,,,,,,,,,-0.08549874591658813,,,,,,,,0.05442344251413589,,,,,
JUN,,,,,,,,,,0.37939917560122594,0.01022890781800001,,,0.010139039561827878,,,-0.07483952069905597,,,,,,,,,,,,0.08234919298804022,,,,,,,,,,,,,,,,,,,,,0.0465955046026828,,,,,,,,,,,,0.03166935552369382,,,,,,0.062106265065516475
JUNB,,,,,,,,,,0.26030765731026195,,,,,,,,,,,,,0.36288799290874646,,,,,,,,,,,,,,,,,,,-0.08720112253797774,,,-0.017506171077438182,0.10366406770099623,,,,,,,,,,,,,,-0.03717962908640604,,,-0.0014945396034203307,,,,,0.047461349880659975
JUND,,,,,,,,,,,,,,,,,,,0.02810305001853397,,,,,,,,,,,,,,,,,,,,,,0.18944180416938916,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT2A,,,,,,,,,,0.026397490699581305,,,-0.0760042937414539,,,,,,,,,,-0.041115923179746106,-0.06785287164509934,,,,,,,,,,,,,,,,-0.18605493808834328,,,,,,,,,,-0.028374961967631562,,,,,0.014562945644334913,,,,,,,,,,,,,0.14308746652819793
LCOR,,,,,,,-0.026783782708492243,,,0.021664690616810645,,,,,-0.039944734602958665,,,,,,,,-0.030461171526825037,,,,,,,,,,,,,,,-0.04454056804608675,,,,,,,0.21079992942407866,0.05934073765675962,,,,,,,,,,,,,,,,,,,,,,-0.029382082830495704
LMX1B,,,,,,,,,,,,,,,0.10755994520420231,,,,,,,,0.025808234559135834,,,,,,,,,,,,,,,-0.01960655672998257,,,,,,,0.1364891364247376,0.1983954202146454,,,,,,,,,-0.17914396864655036,,,0.22198598169868072,,,,,,,-0.06032019661857557,,,
MECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.602811099468683,,,,,,,,,,,,,,,,,,,,,
MEIS2,,,,,,,,,,0.08141375140803553,-0.131638534600046,,,,,,-0.11587308434845811,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15677769508771067,,,,,,,,,,,-0.070803111634691,,,,,0.06872546414490333,,-0.07174835593153472,,,-0.1229791261588925,,,0.15520094733192402
NFATC2,,,0.34156698544632713,,,,,,,-0.003932946602995369,,,,,0.12701366441761996,,,,,,,-0.04590137326979182,0.021380149352057565,-0.0364960496729142,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1646382411928503,,,,,,,,,,,,,,,,,,0.15166531972146835
NFE2L2,,,,,,,,,,0.07700041754295833,,,0.20400910613771583,,-0.031709283302766345,,0.13713929533818586,,,,-0.07176633893544748,,0.0689675550016684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11214516241356298,,,,,,,,,,,,,-0.08471106124141259
NFIA,,,,,,,,,,0.029058929714332216,,,,,-0.06812218491536759,,,,,,,,0.04636842953433307,0.056338817696050314,,,,,-0.14586035980088885,,,0.434736694647365,,,,,,,,,,,,,-0.06954798243211635,-0.04661746656370702,,,,,,,,,,,,,,,,,,,,,,
NFIB,,,,,,,,,,,,,,,,,0.03256922950069874,,,,,0.009443419604216352,,,,,,,,,,,0.38925905671476435,,,,,-0.041702959701240494,,,,,,,,,,,,-0.0015999676298441012,,,,,0.1575248960891985,,,,,,,0.001725309883656656,,,0.09251383473026464,,,
NFIX,,,,,,,,,,,0.22735967289650416,,,,,,,,0.0751424256018896,,-0.14979501417460994,,,,,,,,,,,,,,0.0500382371883033,,,,,,,-0.1560058104610702,,,-0.12239696737536193,-0.20294220000603197,,,,,,,,,0.08588615237196584,,,,,,,,,,,,,
NFKB1,,,,,,,,,,,,,0.16887328726065615,,-0.05358923226673745,,0.1279882371779842,,,,,,0.12459431555085132,0.030714020431444333,,,,,,,,,,,,,,,-0.06727327119948034,,,-0.1607851749545945,,,,,,,,,,,,,,,,,,,,,,,,,,
NPAS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19820284085618656,,,-0.050359482645565,0.06575919285621745,,,,,,,,0.22672096090870125,,,,,,-0.1845845517399748,,,-0.02286889055956909,,,,0.05345170861883858,0.03436187057694695
NR3C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09711430158302492,0.4465621447241321,,,,,,,,,,,,0.30239249744322444,,,,,,,,,,
PBX1,,,,,,,,0.027641899036320805,-0.093429467210003,,,,,,0.051721374203673176,,,,,,,,0.0723178230337328,0.11806832768893216,,,,,,,,,,,,,,0.40028719769350996,,,0.03883969524058728,,,,,,,,,,,,,,,,,,,,,,0.08863769429394341,,,,,
PKNOX2,,,,,,,,,,0.04997169055192463,,,,,,,,,,,0.016406256689426302,,,,,,,,,,,,,,,,,,,,,,,-0.2006858323208428,,,,,,,,,,,-0.04111818490604269,,,,,0.023151368276565165,,-0.1489513626620299,,,0.13564781311836116,,,0.05092047090852403
PPARG,,,,,,,,,,,,,,,-0.10182829335413468,,,,,,,-0.026834068305668424,-0.017366403061390145,0.11078543438413507,,,,,,,,,,,,,,,,,,,,,-0.12957410826149746,-0.012135461046400231,,,,,,,,,,,,,,-0.1507673349276648,,,,,,,,-0.021198346613185648
PRDM16,,,,,,,,,,-0.052884088397339546,-0.00206169819696278,,,,,,,,,,,-0.02115989765217563,,,,,,,,,,0.17262626898582856,,,,,,,,,,,,,-0.13511289367485313,-0.01929176159575796,,,,,,,,,0.031235515123120394,,,,,,,,,,,,,-0.07842497416632643
PROX1,,,0.2499320670982793,,,,,,,,,,,,,,0.009539849404583634,,,,,-0.0692866229128617,,,,,,,0.04446116663357902,0.08908038966292464,,,,,,,,,0.11360287658393353,,,,,,,,,,,,,,,,0.07227392477269656,,,,,,,-0.21601393190253937,,,,,,
RARB,,,,,,,,,,0.017295552236932188,,,,-0.02921683428805555,,,,,,,-0.22714960622261388,,,,,,,,,,,,,,,,,,,,0.1797319613773815,,,,,,,,,,,,,,,,,,,,,0.24038713310377013,-0.012410255899353573,,-0.11498708651966155,,,-0.00012126051775818159
REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7291774088235881,,,,,,,,,,,,,,,,,,,,,,,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7232234272580489,,,,,,,,,,,,,,,,,,,,,,,
