,STAT2,PPARG,FOXO3,NFKB1,JUND,LCOR,ZBTB20,PKNOX2,SOX9,SOX6,EGR1,TEAD1,TCF7L2,NFIB,GRHL2,MECOM,SOX5,HSF2,STAT4,TCF12,PBX1,NFE2L2,LMX1B,CREB1,NFIX,FOSB,PROX1,CUX1,SIX1,BACH1,RORA,ARID5B,BBX,HIF1A,RARB,RORB,JUN,NR3C2,CUX2,STAT1,JUNB,TCF7L1,BACH2,KMT2A,NFATC2,ZBTB7A,TCF4,ASCL1,ZEB1,MEIS2,SMAD3,ETS1,EHF,GLIS3,NFIA,ZBTB18,RUNX1,REST,FOS,SP100,AHR,NPAS2,THRB,PRDM16,TBX15,EPAS1,ESR1,SIX4
STAT2,,,,,,,,,,,12.536370012468916,,,,,,,,,,18.582871699072644,,,,,,,,,,,,,,,,,,,,,,,,-24.59458022622718,,10.828242669625448,,-8.158535734278086,-12.321118025218684,,,,,,7.747427021469963,,19.608625780466088,,,,,,,,,,
PPARG,,,,,14.180535601169282,,,,,,,,,,,,,,,,,,,,,,,,,,-16.585485857471674,,,,,-1.5533390139392267,-3.434760743125568,,,,-2.2228995918579377,,,,,,-19.29821887074109,,-2.7133883664877723,,,,,,,,,,-13.034021549329227,,,,,,,,,
FOXO3,,,87.41218229720813,,,,,,,,-15.453814257563332,2.423893662660648,23.68904260389636,,,,,,,,,,,-12.057097957186116,,,,,,,6.034918597745371,,,,,-16.561824827362475,-7.716108774224209,,,14.841051570835088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFKB1,,,8.19124717939099,,1.9656973076124387,,,-4.305489356766747,,,,,,,,,,,,,,,,,,,-10.290251197094054,,,,,,,,,,,,,,7.974036195254479,,,,,,,,,,,,,,,,,,-3.4297108650712005,,,,,,,,10.807890384682004,
JUND,,,,,,,,,,,,,,,0.05620610003706794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37888360833877827,,,,
LCOR,,,,,,,,,,,2.7730803989517683,,,,,,,,,,-5.7011927098991055,,,-3.428324186687016,,,,,,,26.98239096628206,,,,,7.595614420065228,,,,,-3.8990299554336025,,,,,,,,-3.7609066023034408,,,,,,,,,,-5.1129260291787,,,,,,,,,
ZBTB20,,,,,6.586257314626561,,,,,,,,-12.621665785266313,,,,,,,,,,,,,,,,,,,,,,,,4.713688328467046,,,,6.340172241144582,,,,,,16.53110107735972,,22.944271498125588,,,,-17.15487897097482,,,,,,17.363757319314857,,,,,,,,,
PKNOX2,,,,,,,,,,,6.396376390646369,,-19.06577442073983,,,,,2.1000008562465826,,,,,,,,,,,,,,,,,,,,,,-5.26312766797348,,,,,,,2.963375139400331,,6.517820276291058,,,,,,,17.36292007915024,,-25.687786537067876,,,,,,,,,,
SOX9,,,,,,,,,0.722382851611969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOX6,,,-2.7258989116644363,,,,,,,,4.287029200991453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.631905054874189,,,0.6932385832598887,,,,,,,,,,-0.6206636163419129,,,,,,,,,,
EGR1,,,,,9.612281435231466,,,8.960449850553172,,,,,,,,,,,,,,,,,,,,,,,0.8509670334710687,,,,,6.7707720452565106,,,,8.044455673845071,35.238310948878855,,,,,,,,,1.1789476023082122,,,,,,,,,31.877634337930576,,,,,,,,,
TEAD1,,,,,-4.4852455230521535,,,,,,6.320420123328125,63.8791571553679,-3.1722695365056675,,,,,,,,9.827186985905312,,,15.001735093468971,,,,,,,,,,,,,,,,,-0.025123669520193737,,,,,,,,,,,,,,,,,,-5.699541149381302,,,,,,,,,
TCF7L2,,-0.1420815287845848,,,,,,,,,,-5.207658933618336,,,,,,,,,,,,,1.8727839146244178,,-9.194929638972893,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.606586935800012,,,,,,,,,,-4.755389208729684,,,
NFIB,,,4.168861376089436,,,,,,,,,,0.2208396651080512,49.82515925948985,,,,,,,-5.33797884175878,,,,,,,,,,,,,,,,1.2087577093396946,,,20.16318669941742,,,,,,,,,,,-0.2047958566200484,,,,,11.841770845473867,,,,,,,,,,,,
GRHL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.080719776794504,,,,,-9.282892890360463,,,,,-9.186859101656532,,,,,,,,7.092180609899581,,20.992624431097436,,,,,,,,-11.290273033626598,0.21504332365292866,,,,4.659877497413795,,,,
