,STAT2,PPARG,FOXO3,NFKB1,JUND,LCOR,ZBTB20,PKNOX2,SOX9,SOX6,EGR1,TEAD1,TCF7L2,NFIB,GRHL2,MECOM,SOX5,HSF2,STAT4,TCF12,PBX1,NFE2L2,LMX1B,CREB1,NFIX,FOSB,PROX1,CUX1,SIX1,BACH1,RORA,ARID5B,BBX,HIF1A,RARB,RORB,JUN,NR3C2,CUX2,STAT1,JUNB,TCF7L1,BACH2,KMT2A,NFATC2,ZBTB7A,TCF4,ASCL1,ZEB1,MEIS2,SMAD3,ETS1,EHF,GLIS3,NFIA,ZBTB18,RUNX1,REST,FOS,SP100,AHR,NPAS2,THRB,PRDM16,TBX15,EPAS1,ESR1,SIX4
STAT2,,,,,,,,,,,15.119998482015589,,,,,,,,,,18.948933365817027,,,,,,,,,,,,,,,,,,,,,,,,24.61173034735884,,14.536132336793216,,10.610819830056679,14.033318840604137,,,,,,14.24372759318466,,19.64012311702101,,,,,,,,,,
PPARG,,,,,16.302439226457853,,,,,,,,,,,,,,,,,,,,,,,,,,18.076382421531303,,,,,14.889736168946865,10.843722659952167,,,,12.127667127327394,,,,,,20.150839565389084,,12.144105304009102,,,,,,,,,,15.010389578900577,,,,,,,,,
FOXO3,,,87.41218229720796,,,,,,,,22.5101016939705,18.883513314339556,26.850431466624695,,,,,,,,,,,21.1368053900498,,,,,,,21.821384705117985,,,,,25.36838813144714,20.69696493977677,,,23.897573662544172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFKB1,,,9.478998833075082,,5.394926207803298,,,7.451202762838076,,,,,,,,,,,,,,,,,,,11.54842545895471,,,,,,,,,,,,,,8.238506097241913,,,,,,,,,,,,,,,,,,5.074236208075917,,,,,,,,11.510761145436796,
JUND,,,,,,,,,,,,,,,0.426627780814097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426627780814097,,,,
LCOR,,,,,,,,,,,8.38902904711922,,,,,,,,,,14.79513175854452,,,13.934877184515356,,,,,,,27.10174896261402,,,,,13.02261762537962,,,,,10.01926040754451,,,,,,,,12.23079691519849,,,,,,,,,,10.659788670679582,,,,,,,,,
ZBTB20,,,,,11.828480339348442,,,,,,,,15.625301377778335,,,,,,,,,,,,,,,,,,,,,,,,12.416176674415862,,,,10.79413152710072,,,,,,19.384459631844262,,23.233446495592652,,,,19.484258312323107,,,,,,17.595065286838512,,,,,,,,,
PKNOX2,,,,,,,,,,,9.397362261699564,,19.33596901954652,,,,,12.112147048894785,,,,,,,,,,,,,,,,,,,,,,13.33356834846747,,,,,,,11.355120744454384,,10.536318941293159,,,,,,,19.88205102703382,,25.948800862609893,,,,,,,,,,
SOX9,,,,,,,,,0.722382851611969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOX6,,,2.823599730281473,,,,,,,,4.287029200991456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6319050548741885,,,1.6287796397962886,,,,,,,,,,0.8405348934764755,,,,,,,,,,
EGR1,,,,,14.448209270726739,,,10.812647918650226,,,,,,,,,,,,,,,,,,,,,,,8.800675651634563,,,,,10.450666157775407,,,,13.80080436000164,35.95210967998468,,,,,,,,,10.3795416418937,,,,,,,,,31.87763433793058,,,,,,,,,
TEAD1,,,,,8.181773757795938,,,,,,9.23102637259181,63.87915715536792,9.511475476412823,,,,,,,,12.781201759438458,,,17.462964279345567,,,,,,,,,,,,,,,,,7.1180373557639385,,,,,,,,,,,,,,,,,,8.09931372767916,,,,,,,,,
TCF7L2,,2.8591249556098077,,,,,,,,,,6.125596900475186,,,,,,,,,,,,,4.112546124668464,,9.574632666800849,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.484151412405151,,,,,,,,,,5.562828541179733,,,
NFIB,,,8.655866051100851,,,,,,,,,,9.468540383768172,49.825159259489844,,,,,,,11.597214106172705,,,,,,,,,,,,,,,,6.836750615143017,,,20.353409693717378,,,,,,,,,,,10.184524384326776,,,,,15.041924624660766,,,,,,,,,,,,
GRHL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.452652511306354,,,,,14.549965270823735,,,,,14.396887894293544,,,,,,,,11.436204077023435,,24.380750661844548,,,,,,,,13.671302808301597,12.2109896334981,,,,11.060179564291127,,,,
MECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.602811099468683,,,,,,,,,,,
SOX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0246559245752604,,,,,3.2370224713136575,0.8331822420893076,,,,,,,,,,,,,,,,2.024655924575261,,,,,,,,,,,,,,,
HSF2,,,,,,,,,,,10.774306900588131,13.492454289276765,,,,,,,,,,,,,,,,,,,40.373304376928445,,,,,15.386145321041042,9.460075118735393,,,14.430549312114888,11.027277325490626,,,,,,,,,,,,,,,,,,8.322630626726129,,,,,,,,,
STAT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4889393955765841,,,,,,,,,,,,,,,,,,,,,,,,,0.24253274138989606,,,,,,,,
TCF12,,,,,19.627935033635964,,,,,,18.320160098511487,,,,,,,,,,,,,,,,,,,,,,,,,,10.708282398080991,,,,10.686112758192758,,,,16.708707358795213,,,,14.86432185431267,,,,,,,,,,10.456380919775444,,,,,,18.979847329426114,,,
PBX1,,,,,15.942264673842184,,,,,,,12.30207578481378,,,,,,,,,51.23676130476929,,,,,,,10.669569763659446,,,,,,,,,,,13.811931476839431,,12.28818261048909,,,,,,,,,,,,,,,,,,11.023910628889308,,,,,9.644511874254379,,,,
NFE2L2,,,19.08180239456921,,,,,,,,12.983250023940386,,,,,,,12.378669235411591,,,,,,,,,,,,,,,,,,,,,,18.124293919380232,11.553848768684137,,,,,,,,16.00450541716178,,,,,,,,,,10.593065265708892,,,,,,,,27.11507792187895,
LMX1B,,,,,,,,,,,,,,,,,,,,,10.25796154702555,,,,,,,,,,18.496268706979503,,,,,25.46694692204294,,,,22.974420324854357,8.697070319045356,,,,,,,,,,,,,,,11.40536023042085,,,14.961878946196627,,,,,,28.41420565743115,,,
CREB1,,,,,,,,,,,,,0.4662938346345512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFIX,,,,9.487441488991665,,,,,,,,,,,11.790519922524993,,,19.470978902785845,,,,,,,,,20.236647735210536,,,,16.58940645230475,,,,,26.136222527730887,,,,12.855506401751375,,,,,,,,,,,,,29.536389628572636,,,,,,,,,,,,,,,
FOSB,,,,10.155463133445833,,,,,,,29.35012096733922,,,,,,,5.764178351685487,,,,,,,,,,,,,,,,,7.351900786174067,,,,,4.166761787680905,,,,,,,,,,6.836837560893254,,,,,,,,,,,,,,,5.726714509165628,,,
PROX1,,,8.666190402474172,,,,,15.23159935890175,,,,,27.64978328352504,,,,,,,,,,,,,,,,,,,,,,,,10.578433574560071,,,12.386104575999143,,,,,12.409165075775427,,,31.991304588579766,,8.543020664672126,,,,,,,,,,,,,,,,,,
CUX1,,,,,,,,,,,10.43245349633443,,16.480201593980496,,,,,,,,,,,,,,,,,,15.07695402333102,,,,,14.474712343998817,,,,,9.86091831455876,,,,,,13.536406981004273,,,31.147879597774992,,,,,,,,,,,,,,,12.929604477550592,,,
SIX1,,,,,,,,,,,12.02020746409124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.379923232427625,,25.112293738169377,,11.47822708913916,15.193322501318791,12.171251027350078,,,,16.0592812149151,11.532462568763938,,,,,,,,,,,,
BACH1,,,,,,,,,,,,,11.884097226343485,,,,,,,,,,12.745585501485941,,,,,,,,,,,,,,8.468405815017647,,,,,,,,,,21.202523225775412,,9.30055068760316,,,20.619127635185503,36.412901620231125,,,,,20.820978411797956,,,,,,,,,,
RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7232234272580489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARID5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5539467048824724,,,,,,,,
BBX,,10.903654469786183,,,22.228578663443965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.796933054421029,20.039846249651767,,,,16.02518592046493,,19.599351507775655,,,13.630109629910288,,,,,,,,,9.063084988563167,,,,,,,,,
