Gene,Club cells_1_corr,Club cells_1_pval,Club cells_1_ci_low,Club cells_1_ci_high,NE_7_corr,NE_7_pval,NE_7_ci_low,NE_7_ci_high
Ascl1,-0.5270272292225479,0.0,-0.5482081210634324,-0.5051707130037693,0.5270268107633059,0.0,0.5051702814733716,0.5482077157994476
Cplx2,-0.5263980825501436,0.0,-0.547598802010835,-0.5045219264051822,0.5263981274016097,0.0,0.5045219726558857,0.5475988454496041
Meis2,-0.4797688792609923,4.665783536390741e-259,-0.5023764478776043,-0.4565057795590396,0.4797689973227227,4.6641641109968686e-259,0.45650590096110344,0.5023765625340878
Piezo2,-0.47846832879694007,2.1168657336430408e-257,-0.5011133608592612,-0.45516848503945245,0.47846815819333,2.1179227636550512e-257,0.45516830962272564,0.5011131951637017
Nrxn1,-0.40358797927116347,2.4610754580178568e-174,-0.4282269391829652,-0.37834940874197664,0.40358788226192344,2.461604271137953e-174,0.37834930944574935,0.4282268445487935
Col8a1,-0.39163211222660294,4.3285579397210625e-163,-0.41655968087237366,-0.36611609242766663,0.39163216863215233,4.328041008267165e-163,0.3661161501213736,0.41655973593569756
Peg3,-0.3736622789212184,4.0823349561567083e-147,-0.3990081709909824,-0.3477458234661766,0.37366245659120545,4.080900707603467e-147,0.3477460049970077,0.399008344616817
Ccn3,-0.3717408920034114,1.7997734643650835e-145,-0.39713041269138283,-0.3457827976206102,0.37174049325938596,1.801182979551295e-145,0.34578239025887003,0.39713002297950956
Smpd3,-0.34332235375617975,1.6039333297313823e-122,-0.36933232399754906,-0.3167749035594732,0.3433224008262265,1.603800573923872e-122,0.3167749515645874,0.3693323700785164
Cacna2d1,-0.3386382550360638,5.618543350262806e-119,-0.3647460184681339,-0.31199842646417736,0.3386380757679005,5.620282381895372e-119,0.31199824368630824,0.3647458429184303
Espn,-0.33784699405266955,2.1974457586670567e-118,-0.36397115209428865,-0.311191693404518,0.3378467453134017,2.198386582516562e-118,0.31119143980751823,0.36397090850311276
Pclo,-0.33226072131975143,2.9579406763620253e-114,-0.358499595650084,-0.3054972811711606,0.3322608479885229,2.957310122296319e-114,0.3054974102702962,0.3584997197381047
Syt7,-0.321644248484714,1.1706069773483398e-106,-0.3480961652365884,-0.29468056737826603,0.3216443735957303,1.1703707960756796e-106,0.2946806948083445,0.34809628787538416
Celf4,-0.31727147090336244,1.2712798594296508e-103,-0.3438092415813374,-0.2902273215087186,0.3172712891211292,1.2716460643659571e-103,0.2902271364056548,0.34380906334517086
Id4,-0.31294175332660207,1.1411612530206466e-100,-0.3395634423471072,-0.2858190817998849,0.3129415823776806,1.1414649581373926e-100,0.28581890777335706,0.3395632746900871
Pcsk1,-0.3121363848517938,3.9893370501517194e-100,-0.338773563791179,-0.284999234064037,0.3121362002927228,3.9904795164661346e-100,0.284999046191434,0.33877338277749053
Scn3a,-0.30916292780005133,3.9102469257644424e-98,-0.3358569709657711,-0.28197266279722416,0.3091627244204177,3.911465935357567e-98,0.28197245580317126,0.3358567714580493
Igfbp5,-0.30636522268709365,2.777316393997397e-96,-0.3331123015319153,-0.2791254769276671,0.3063649392006101,2.778509425628507e-96,0.2791251884516525,0.3331120233964735
Cacna1a,-0.300191076190594,2.8450857898576266e-92,-0.32705359303117293,-0.2728438276130774,0.3001907626280448,2.8464032659847055e-92,0.2728435086500527,0.3270532852752115
Ddc,-0.2932100834179602,7.333740822853142e-88,-0.32020046273101804,-0.2657440910654945,0.29321029278561517,7.331539898973821e-88,0.26574430394974025,0.32020066830630456
Ntn4,-0.2913065791237719,1.1109470939805976e-86,-0.31833133237536154,-0.2638087257576356,0.2913063079406513,1.1113756015997751e-86,0.26380845005120174,0.3183310660743604
Vwf,-0.2891622281706995,2.312026169322472e-85,-0.3162254529133456,-0.2616287476424553,0.2891625025956795,2.3111322967697888e-85,0.26162902660887677,0.31622572243197145
Prox1,-0.2871919530374263,3.669946778904156e-84,-0.31429029106460016,-0.259625985128579,0.28719204966145395,3.6694513394533273e-84,0.25962608334000276,0.3142903859721636
Ccdc88a,-0.2864958363850584,9.692715971062728e-84,-0.3136065264210727,-0.25891844706398376,0.2864954920789143,9.69736614972596e-84,0.2589180971160193,0.313606188217397
Kif5b,-0.2787637379400312,3.86443709007248e-79,-0.30600973660369124,-0.2510614750852912,0.2787641051786008,3.862525715222555e-79,0.2510618481681082,0.3060100974981453
Runx1t1,-0.27656294969076656,7.387622232106314e-78,-0.30384682674159164,-0.24882581122524813,0.27656301006581724,7.387027150565151e-78,0.24882587255300065,0.3038468860813681
Hspa4l,-0.27490563392575657,6.688776201556782e-77,-0.30221784984326644,-0.24714242726491711,0.2749053350281646,6.6914248268054715e-77,0.24714212368102928,0.302217556042213
Ttc3,-0.2668167538945585,2.488661742756283e-72,-0.29426499371765913,-0.23892872021844258,0.26681668891172805,2.4888683886917954e-72,0.23892865424882806,0.2942649298123178
Slc8a1,-0.256135147228292,1.5218503472274964e-66,-0.28375718330068994,-0.22808838680724386,0.2561351541414742,1.5218375415394795e-66,0.22808839382090526,0.28375719010353784
Calca,-0.25098662888402384,7.443790572079822e-64,-0.2786900640216216,-0.22286584473120863,0.250986537609427,7.444598093218811e-64,0.22286575215860133,0.27868997417641916
Kcnb1,-0.2456973026065563,3.700506574328539e-61,-0.27348275625598467,-0.21750215068695752,0.24569707647354658,3.7014767901103566e-61,0.21750192141092126,0.27348253359466607
Gnao1,-0.24553565631196309,4.462863190642472e-61,-0.27332359086506264,-0.21733825846165208,0.2455355650754895,4.463334883085152e-61,0.2173381659579782,0.27332350102843217
Adgrv1,-0.24434337636301373,1.769028715146812e-60,-0.2721495627029685,-0.21612946195838129,0.24434338261815186,1.7690159693447467e-60,0.21612946829994445,0.2721495688625682
Snx30,-0.24418966290176458,2.1115478136149706e-60,-0.2719981963098154,-0.21597362541141663,0.24418988981899384,2.110996382219252e-60,0.21597385546176032,0.27199841976323413
Rnf152,-0.2380340067952916,2.2741773554735782e-57,-0.2659354004173443,-0.20973412879654546,0.2380338897524784,2.2744748328134084e-57,0.20973401018150897,0.265935285119174
Ahi1,-0.23580982629132166,2.69459953623978e-56,-0.2637442294617856,-0.20748022150305104,0.2358096379712253,2.695160588007169e-56,0.2074800306787381,0.2637440439243823
Rims2,-0.23473324646108112,8.831394620965634e-56,-0.26268352383389665,-0.20638936090356153,0.23473311392093532,8.832681964087449e-56,0.20638922660961587,0.2626833932439002
Ttc6,-0.23454495897817004,1.0862137237822931e-55,-0.2624980057147206,-0.2061985830367646,0.23454485679975573,1.086335674709926e-55,0.2061984795074728,0.2624979050386024
Ryr2,-0.2331757871758006,4.864683336158959e-55,-0.2611489097671633,-0.20481136669608413,0.23317558536186347,4.865754921128952e-55,0.20481116223080695,0.26114871090432284
Plcl2,-0.23111153652154404,4.576269021784539e-54,-0.25911472015519904,-0.2027201263244518,0.23111146445167421,4.576625342049037e-54,0.20272005331680165,0.25911464913052323
Shank1,-0.2309186844475325,5.635746615996518e-54,-0.25892466383637996,-0.20252476596957497,0.23091848855212446,5.636938313271358e-54,0.20252456752745274,0.25892447077974345
Marcks,-0.23028542737469146,1.1151102870288903e-53,-0.25830057176909255,-0.20188328849603432,0.23028540985487939,1.115131307145256e-53,0.20188327074913215,0.2583005545025179
Adgrl1,-0.22519510999641232,2.488762803255467e-51,-0.25328307597852273,-0.1967277780189267,0.2251949839300844,2.4890919266048162e-51,0.1967276503575234,0.2532829516969712
Cacna1h,-0.22468793288954375,4.2338067049525365e-51,-0.25278307169933406,-0.19621419157785674,0.22468805197780314,4.2332792186586245e-51,0.19621431216923302,0.2527831891051315
Slc38a1,-0.22369194534428366,1.1971701508844812e-50,-0.2518011263827393,-0.1952056629302683,0.22369211597843,1.1969575144314117e-50,0.19520583570781644,0.2518012946161061
Syne1,-0.22209702545328655,6.256348336762385e-50,-0.2502285723920419,-0.1935907858733233,0.22209681079908447,6.257735254420062e-50,0.1935905685435577,0.25022836073799126
Utp20,-0.22050782294260826,3.207331025515175e-49,-0.2486615079606718,-0.1919818513615551,0.22050757961517825,3.208130516664798e-49,0.1919816050246413,0.248661268011582
Atp2a3,-0.2172106805159276,9.1312792813189e-48,-0.24540982557134355,-0.18864425967395426,0.21721048555070196,9.133072357478321e-48,0.18864406233641032,0.245409633275478
Scn9a,-0.21599300715175376,3.1005220332125036e-47,-0.2442087806663852,-0.1874118147616355,0.2159931051593841,3.1002179425398023e-47,0.18741191395457163,0.24420887733911403
Unc80,-0.21491937015923812,9.052418675771772e-47,-0.24314973336627668,-0.18632522816433778,0.21491915129552372,9.054390605561051e-47,0.18632500666794335,0.2431495174698476
Ptprz1,-0.21382014811958516,2.6946081828975446e-46,-0.24206537896130664,-0.18521282039190504,0.21382024428987279,2.694351775038933e-46,0.18521291771259785,0.24206547383392002
Robo1,-0.21335512573361737,4.266666669016202e-46,-0.24160662504163144,-0.18474224189108873,0.21335503098588868,4.2670657274940575e-46,0.18474214601264546,0.2416065315698081
Pnmal2,-0.2127396442950116,7.82554048306194e-46,-0.2409994208267327,-0.1841194268177564,0.21273982850785458,7.824122232691943e-46,0.18411961322210904,0.24099960256552255
Zfp618,-0.21236611737737807,1.129716332380398e-45,-0.24063090645054921,-0.1837414604276098,0.21236617487559312,1.1296525475138282e-45,0.18374151860855595,0.24063096317779453
Tmod2,-0.2116872355250338,2.197744941446756e-45,-0.23996111398325556,-0.18305453154464996,0.21168697083816182,2.198314214759376e-45,0.18305426372580175,0.23996085283496238
Snap25,-0.20972205179375986,1.4885681179575467e-44,-0.2380220898670216,-0.18106621137858908,0.20972206299879564,1.488551966031139e-44,0.18106622271487585,0.23802210092354437
Kcnk3,-0.2091295255526677,2.6397983367113747e-44,-0.23743740679485761,-0.18046675518776245,0.20912943795200128,2.6400215782147305e-44,0.1804666665641279,0.23743732035222984
Stxbp5l,-0.20911905494206054,2.6666150672878297e-44,-0.23742707459751056,-0.18045616230854433,0.20911908286924574,2.666543182661524e-44,0.1804561905618352,0.23742710215552879
Ptprn,-0.20837360412735992,5.468232909581271e-44,-0.2366914615969593,-0.1797020237174631,0.20837353838091727,5.468578581624371e-44,0.17970195720627186,0.2366913967167494
Dmxl2,-0.20792313416512903,8.427875637327301e-44,-0.23624692080932158,-0.17924632013669378,0.20792301778418193,8.428816469153249e-44,0.17924620240520775,0.23624680595867154
Celf3,-0.2079223592113228,8.434142386906587e-44,-0.23624615604539442,-0.17924553618997655,0.2079223784335514,8.433986888200912e-44,0.1792455556352681,0.23624617501487008
Dmpk,-0.20607582431053675,4.913986527603762e-43,-0.23442380160018975,-0.17737767669222237,0.20607582305486236,4.9139923876646495e-43,0.17737767542211721,0.23442380036089072
Mctp2,-0.2039690297855084,3.5931526552475366e-42,-0.23234435227811076,-0.17524680446793386,0.2039691700968995,3.592679291933359e-42,0.17524694637392715,0.23234449077696384
Kmt2a,-0.20343350872101326,5.936634054174186e-42,-0.23181574067402885,-0.17470520604123443,0.2034331074063176,5.93886505603745e-42,0.17470480017873652,0.2318153445309354
Ncam1,-0.2031673650950102,7.615154641726838e-42,-0.23155302468085157,-0.174436048550135,0.20316739688433508,7.614928323533945e-42,0.1744360806991923,0.23155305606101262
Tanc2,-0.2014325024072906,3.826096085187673e-41,-0.22984040362400607,-0.17268164512772333,0.20143210215550114,3.8275145820283096e-41,0.17268124038872032,0.22984000848330274
F5,-0.20071985628133773,7.393069876896738e-41,-0.2291368429215881,-0.17196102492328533,0.20071967527245524,7.394304473710114e-41,0.17196084189293281,0.22913666421659015
Dst,-0.1984970831543534,5.674463692573643e-40,-0.2269422168638105,-0.16971357800806755,0.19849688328416526,5.6754973116356085e-40,0.1697133759326908,0.22694201951159676
