,TEAD1,TCF7L1,TFDP1,NFYC,EGR1,HSF2,CREB1,TCF4,NFKB1,SIX1,ZEB1,SMAD3,ESR1,SOX11,RORA_RORB,STAT1,ASCL1,GRHL2,THRB,NFIA,FOXO3,STAT2,EHF,LMX1B,ZBTB20,TBX15,MEIS2,NFIX,REST,NFATC2,KMT2A,RBPJ,HES1,JUNB,ICAM1,RUNX1,SIX4,NFIB,JUN,NCAM1,PROX1,TCF7L2,PKNOX2,ETS1,BACH2,JUND,NR6A1,PBX1,EPCAM,BACH1,SOX9,CUX2,FOS
TEAD1,0.0,0.0,0.0,0.0,4.6820450000000005,0.0,0.0,12.088436999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9329809999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.710875,0.0,12.676137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.792827,0.0,0.0,0.0,0.0,0.0
TCF7L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9149309999999997,0.0,0.0,8.354587,0.0,0.0,5.544478999999999,0.0,0.0,0.0,0.0,0.0,5.686141,0.0,0.0,0.0,0.0,0.0,0.0,1.1382910000000002,0.0,5.490067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFDP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFYC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGR1,0.0,0.0,7.531229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.857243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07737900000000031,0.0,0.0,0.0,19.474852999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.003313,0.0,2.534073000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.663373000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSF2,3.4383850000000002,0.0,9.957071000000001,0.24093700000000018,4.916511,0.0,0.0,8.870531,0.0,0.0,3.100861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFKB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4770080000000005,0.0,0.0,0.0,0.0,0.0,1.7235300000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8721899999999999,0.0,2.758882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.887985,0.0,0.0,0.0,0.0,0.0,0.0,5.720335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.736769,0.0,0.0,0.0,0.0,0.0,-3.412929,0.0,0.0,0.0,0.0,0.0,0.0,0.24382700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
