,TEAD1,TCF7L1,TFDP1,NFYC,EGR1,HSF2,CREB1,TCF4,NFKB1,SIX1,ZEB1,SMAD3,ESR1,SOX11,RORA_RORB,STAT1,ASCL1,GRHL2,THRB,NFIA,FOXO3,STAT2,EHF,LMX1B,ZBTB20,TBX15,MEIS2,NFIX,REST,NFATC2,KMT2A,RBPJ,HES1,JUNB,ICAM1,RUNX1,SIX4,NFIB,JUN,NCAM1,PROX1,TCF7L2,PKNOX2,ETS1,BACH2,JUND,NR6A1,PBX1,EPCAM,BACH1,SOX9,CUX2,FOS
TEAD1,,,,,4.682046852182712,,,12.088435310440389,,,,,,,,,,,,,,,1.932986373129684,,,,,,,,,,,,,1.710877174661471,,12.676136484982525,,,,,,,,,,2.7928226321654153,,,,,
TCF7L1,,,,,,,,,,,,,,,,,-1.9149309571273014,,,8.354588254075747,,,5.54447648789274,,,,,,5.686141928843165,,,,,,,1.1382887708713714,,5.490070408394615,,,,,,,,,,,,,,,
TFDP1,,,0.7552929518214624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFYC,,,,0.7654716230395638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGR1,,,7.531232232920762,,,,,,,,,,,,8.857245283670185,,,,,,,,-0.07738035377142005,,,,19.474850619589414,,,,,,,,,-8.003308941001716,,2.5340750842515147,,,,,,,,6.663374610518626,,,,,,,
HSF2,3.4383827196791312,,9.95706955913997,0.2409378036463965,4.916511705048609,,,8.870530363693053,,,3.100859820713955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREB1,,,,,,,0.8442301527613707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCF4,,,,,,,,0.7705246241894069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFKB1,,,,,,,,,,,,,,,,,3.477008015287436,,,,,,1.723531028575514,,,,,,,,,,,,,0.872191521822612,,2.7588809095649105,,,,,,,,,,,,,,,
SIX1,,,,,,,,5.887986397719661,,,,,,,5.720333336130592,,,,,,,,-0.7367700742125579,,,,,,-3.4129290594067996,,,,,,,0.243825507904587,,,,,,,,,,,,,,,,,
