,names,scores,logfoldchanges,pvals,pvals_adj,archetype
0,Scgb1a1,7.4175477,0.799783,1.1930865431736442e-13,4.986803478830039e-10,Arc_1
1,H2-D1,6.6946383,0.8207454,2.162058353821228e-11,5.163921945362444e-08,Arc_1
2,H2-K1,6.6386366,0.8424563,3.165975075365074e-11,6.616492160628583e-08,Arc_1
3,Mki67,6.4229374,1.4887503,1.3366933842996914e-10,2.483130743567393e-07,Arc_1
4,Epcam,6.1086617,1.2556,1.0047009548635035e-09,1.6797595264362913e-06,Arc_1
0,Hsp90aa1,13.275921,3.7921686,3.1932013682366247e-40,5.338713367554813e-36,Arc_2
1,Hspa1a,12.534347,4.6518955,4.843363178757209e-36,4.0488094492820887e-32,Arc_2
2,Hspa1b,12.008315,4.55566,3.213248743768089e-33,1.7907435249019558e-29,Arc_2
3,Dnaja1,10.086788,4.6880226,6.320350990802487e-24,2.6417487053806693e-20,Arc_2
4,Hsp90ab1,9.279479,2.509664,1.703090787042378e-20,5.694794973712304e-17,Arc_2
5,Jun,9.102587,1.9908392,8.820512292375613e-20,2.457835750270464e-16,Arc_2
6,Hsph1,7.57623,3.8726017,3.5574122255250634e-14,8.496624999793362e-11,Arc_2
7,Dnajb1,6.943273,2.8848803,3.831172920933626e-12,8.006672508136162e-09,Arc_2
8,Ccn1,6.601599,5.089101,4.0674624858061094e-11,6.800390530019235e-08,Arc_2
9,Atp11a,6.555591,1.7015857,5.542188921977661e-11,8.4236233260495e-08,Arc_2
10,Klf6,6.4210176,3.334712,1.3536613880893544e-10,1.885988728955493e-07,Arc_2
11,Vegfa,6.221925,1.6147797,4.910919584002495e-10,6.315820348072133e-07,Arc_2
0,Scg2,9.324072,2.2112634,1.1195876995575231e-20,1.871838674890223e-16,Arc_3
1,Ptprn,8.75978,2.2182174,1.9563196409533063e-18,1.0902569359032775e-14,Arc_3
2,Ralgapa2,8.075541,2.102363,6.717840339586768e-16,2.8078893159387793e-12,Arc_3
3,Phldb2,8.001135,1.7107669,1.2327795951117774e-15,4.122168410134761e-12,Arc_3
4,Egfr,7.9626484,1.9129044,1.683956989237117e-15,4.692346150509227e-12,Arc_3
5,Nupr1,7.7080297,2.1189888,1.277750745398989e-14,3.0518163874750995e-11,Arc_3
6,Trip11,7.4060564,1.2745676,1.3011066754913913e-13,2.719150313442571e-10,Arc_3
7,Prune2,7.3105783,2.4590905,2.659954498182117e-13,4.4558345675904947e-10,Arc_3
8,Dst,7.310317,1.1566863,2.6651322253666455e-13,4.4558345675904947e-10,Arc_3
9,Neat1,7.2789316,1.1031765,3.364747303994419e-13,5.114110015952971e-10,Arc_3
10,Anxa1,7.0581727,2.5288467,1.6870617713048122e-12,2.3504988128704296e-09,Arc_3
11,Celf4,6.6388497,1.3021345,3.161402303748958e-11,3.769802514786918e-08,Arc_3
12,Kcnq1ot1,6.6321793,1.0943097,3.307664541602496e-11,3.769802514786918e-08,Arc_3
13,Iqgap1,6.62889,0.9753492,3.382202148561742e-11,3.769802514786918e-08,Arc_3
14,Spag9,6.0025954,1.0951788,1.9418806543223667e-09,2.029143916225978e-06,Arc_3
0,Scgb1a1,33.395794,2.6659305,1.5780416986951763e-244,2.6383279160484654e-240,Arc_4
1,Atp11a,29.5258,2.5554345,1.3432255624271145e-191,1.1228694089109463e-187,Arc_4
2,Hp,24.970585,2.9018047,1.2763822641777024e-137,7.113278358262334e-134,Arc_4
3,Alcam,21.55317,1.6787275,4.94437206328484e-103,1.3777492754343206e-99,Arc_4
4,Zfp36l1,20.96969,2.8135698,1.2406677842186002e-97,2.963246383478682e-94,Arc_4
5,Pigr,20.636024,1.8501558,1.3035290373704331e-94,2.7242127469745336e-91,Arc_4
6,Ptpn13,19.781843,2.3394961,4.267968883882176e-87,7.928463529958457e-84,Arc_4
7,Fmo2,19.749643,2.9154155,8.078697479327277e-87,1.3506774315687274e-83,Arc_4
8,Ahr,19.494194,2.3539658,1.2297769124719545e-84,1.869149109056237e-81,Arc_4
9,Scgb3a2,18.764936,2.2122514,1.4617253353638024e-78,1.8798912216882624e-75,Arc_4
10,Vegfa,18.703382,1.466849,4.64622231528922e-78,5.548585063522891e-75,Arc_4
11,Sfta3-ps,17.748322,1.601344,1.7758473537523058e-70,1.97935946049232e-67,Arc_4
12,Gprin3,17.693336,2.7576258,4.71965406640451e-70,4.931743521013563e-67,Arc_4
13,Resf1,17.6672,1.973432,7.503002888669694e-70,7.378982664451095e-67,Arc_4
14,B430010I23Rik,16.875591,4.021677,6.804071298436613e-64,6.319848224364541e-61,Arc_4
15,Tmem245,16.677774,1.8010131,1.9017406157384442e-62,1.5897600677265524e-59,Arc_4
16,Cbr2,16.091413,2.4988468,2.9307163552728537e-58,2.2272112156275835e-55,Arc_4
17,Malat1,15.935613,0.5403515,3.586700066412413e-57,2.6072190613195272e-54,Arc_4
18,Ccdc141,15.543758,2.801295,1.7538916710582094e-54,1.2218047853509251e-51,Arc_4
19,5330417C22Rik,15.515956,1.7077185,2.705734680929246e-54,1.8094871252182426e-51,Arc_4
20,Atp1b1,15.459655,1.3885217,6.494563599811182e-54,4.176254185586275e-51,Arc_4
21,Scd1,15.047693,1.9593024,3.5748452714981145e-51,2.2136236331176658e-48,Arc_4
22,Sftpb,14.987583,2.0020382,8.851547483256513e-51,5.28532222759163e-48,Arc_4
23,Myo5c,14.868148,2.9999394,5.306129940606735e-50,3.059075395758759e-47,Arc_4
24,Upk3a,14.485582,2.6610386,1.494510474641756e-47,8.060232459850167e-45,Arc_4
25,Runx1,14.310842,2.8479173,1.8723491946480427e-46,9.486001874339583e-44,Arc_4
26,Samd9l,14.270661,1.5723612,3.3340158350380133e-46,1.6394532572353103e-43,Arc_4
27,Tspan11,14.009959,3.2242024,1.3548284973354981e-44,6.471822184843483e-42,Arc_4
28,Zfp704,13.532977,1.2201889,9.989519670976112e-42,4.5139129561905296e-39,Arc_4
29,Tmsb4x,13.442795,1.3577017,3.393734296509183e-41,1.493153781666764e-38,Arc_4
30,Bsg,12.68365,1.3704276,7.2858458211442925e-37,3.1233860585567034e-34,Arc_4
31,Selenbp1,12.493933,2.4764974,8.056986854581273e-36,3.3676190805436074e-33,Arc_4
32,Por,12.227949,1.9059623,2.2043286821692792e-34,8.774802675520995e-32,Arc_4
33,Ascc2,12.106207,1.7017463,9.791794374858917e-34,3.807186282634099e-31,Arc_4
34,Osmr,12.025286,2.8205972,2.6168189111960875e-33,9.943317130974406e-31,Arc_4
35,Slc25a36,11.772747,1.7435063,5.393876356069853e-32,1.960439539068084e-29,Arc_4
36,Col23a1,11.752768,3.295049,6.834298177000358e-32,2.4311198132184892e-29,Arc_4
37,Cyp2f2,11.673768,2.619729,1.7356235238128187e-31,6.045393686380523e-29,Arc_4
38,Rai14,11.546346,1.976551,7.702640891870574e-31,2.575609061423683e-28,Arc_4
39,Scgb3a1,11.412923,2.1159322,3.604097418791449e-30,1.1815079361720438e-27,Arc_4
40,Gabrp,11.322549,2.7161262,1.0147760619985757e-29,3.141859440843368e-27,Arc_4
41,Il18r1,11.318527,2.5850365,1.0624141302157613e-29,3.2295457896504206e-27,Arc_4
42,Nkx2-1,11.015674,1.1538358,3.2112442182055166e-28,9.587284300746077e-26,Arc_4
43,Ppp2r3a,10.829281,1.9046285,2.5011112611546417e-27,7.336154241270956e-25,Arc_4
44,Sat1,10.768695,1.9950439,4.838112908586143e-27,1.3946277537698573e-24,Arc_4
45,Atp8a1,10.70208,0.83953327,9.951922812540749e-27,2.820105042421505e-24,Arc_4
