,gene,accuracy,balanced_accuracy_score,f1,roc_auc_score,precision,recall,explained_variance,max_error,r2,log-loss
0,ASCL1,0.8081858407079646,0.7763132795098662,0.8555722138930534,0.9502648560223587,0.7550720376359894,0.9869331283627979,0.5883622727267572,0.6788881919589921,0.561557088923056,0.40407342968678117
1,CREB1,0.4654867256637168,0.4647025135221126,0.5232833464877664,0.47832555862845394,0.4747583243823845,0.5828571428571429,-0.3231513200642291,0.755233,-0.3251998393666842,0.8255096919921691
2,CUX1,0.9411504424778762,0.9275197628458498,0.9197344598672299,0.9697807559288537,0.9806949806949807,0.865909090909091,0.6773016074969483,0.7930606966835788,0.6767796728848448,0.34107857273209063
3,CUX2,0.7641592920353982,0.7524118419170461,0.8066739209285455,0.8718012387652172,0.718578352180937,0.9193881769326168,0.4686988010290841,0.791042,0.4639899351375917,0.47124437361735144
4,EGR1,0.7462389380530974,0.74611426404346,0.719628452701051,0.8314305119575942,0.8026172300981461,0.6521931767833408,0.42218185875127723,0.8733684035457567,0.4129727693744475,0.5010308231569641
5,EHF,0.8219026548672567,0.8111083152874123,0.7804745023179711,0.850666714934189,0.8746943765281173,0.7045790251107829,0.45907669726553113,0.9880162168028817,0.44783938397545175,0.4704125242997982
6,ESR1,0.9285398230088495,0.9177377918660783,0.9032644504342618,0.9709205046926471,0.9372280919825979,0.8716763005780347,0.7489836708771261,0.9942085419887297,0.7453454292076356,0.2912449217254658
7,ETS1,0.7254424778761062,0.7241163569428398,0.7525423728813561,0.8246092388430886,0.6924770642201835,0.8240174672489083,0.34759452974837723,0.8223703436737518,0.34550882814227846,0.552192951990099
8,FOS,0.5464601769911505,0.5479486209184012,0.5380802163136548,0.58043650533613,0.5104745617785378,0.5688423058599333,-0.08291486840350637,0.9156276467770609,-0.0838225780477766,0.7321195021637119
9,FOXO3,0.9595132743362832,0.9581542747221514,0.9563350035790982,0.9966854909908239,0.9881656804733728,0.926490984743412,0.8243605753598191,0.5230807015596467,0.8130613653084446,0.2829728959698772
10,GRHL2,0.7747787610619469,0.7384385549546411,0.6629139072847682,0.8117829455475649,0.8433024431339511,0.5460992907801419,0.3390296639981053,0.8026349398194377,0.3387932079820922,0.4944128801562264
11,HSF2,0.7097345132743362,0.6904732089050212,0.7656305823508397,0.6918706035275504,0.7033147358057106,0.840062720501764,0.1875316119846332,0.95713,0.18320347865842357,0.635176099253104
12,JUN,0.7030973451327434,0.7029812101164601,0.6962426437301946,0.7684493820426799,0.694043321299639,0.698455949137148,0.2763977034831304,0.8344386824121606,0.2749604819704389,0.5717980589957319
13,JUNB,0.9380530973451328,0.9380196594094736,0.9388379204892966,0.9888846268242599,0.9363834422657952,0.941305300043802,0.8315055000416807,0.5037491565296166,0.829881883854481,0.29436426235803187
14,JUND,0.7106194690265487,0.7032684233500084,0.6457204767063922,0.6408278927650648,0.772020725388601,0.5549348230912476,0.14703461469537626,0.741152,0.14571027906085177,0.635140973467453
15,KMT2A,0.7504424778761062,0.7209243144371956,0.8147783251231528,0.8061792068691943,0.692823233733594,0.9888401753686727,0.34388326652418255,0.8729812567794233,0.3343148764925441,0.525930883954627
16,LMX1B,0.8716814159292036,0.8551179841353251,0.896391568417292,0.9420494957835999,0.8354978354978355,0.966859344894027,0.636335497716902,0.8062735957851783,0.6077270084789596,0.3810888382086211
17,MEIS2,0.9579646017699115,0.9539065277575554,0.965366387167335,0.992971090597986,0.9569931333574269,0.9738874586244943,0.9128171719321713,0.4891669380573841,0.9106936841409417,0.2031015986476309
