Cell,ASCL1,CD44,CREB1,CUX1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NR3C2,PBX1,PKNOX2,PPARG,PRDM16,PROX1,RARB,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX9,SP100,STAT1,TBX15,TCF12,TCF4,TCF7L2,TEAD1,ZBTB18,ZBTB20,ZBTB7A,ZEB1
PleuralEffusion_122293352876461,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.15009886807354758,0.6524204579457813,0.5698958173833855,0.020170917030594676,1.0,0.9674406907113438,0.15660171752841995,0.0,1.0,0.09010231824107283,0.9087820412223059,0.0,0.0,0.8458082046098749,0.0,0.7208964795453634,1.0,1.0,0.40753505219876435,1.0,0.4517864907932151,1.0,0.0,0.8239218256008084,0.0,0.38326828426599463,0.0,0.6560263862335003,0.0,0.0,1.0,0.15460584097189414,0.12910639808139993,1.0,0.5068647024830828,0.4387979098387016,0.5317255733086439,1.0,1.0,0.5085449085799818,0.8333432663380069,0.0,1.0,1.0,1.0
PleuralEffusion_204825324280747,0.0,0.0,0.06134336392717997,0.0,0.04165802017111169,0.0,0.0,0.0,0.4935592521666612,0.0,0.0,0.0,0.5600120650339115,0.0,1.0,0.0,0.0,0.0,0.0,0.17583599835677202,0.0,0.0,0.7241965497278943,1.0,0.11655852643359041,0.4660991736454558,0.07952877946204798,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.49779849946016413,0.30101389733767575,0.8409403862679553,0.0,0.0,0.0,0.0,0.3186741098207939,1.0,0.0,0.0,0.426140802347909,0.0,0.0,0.0,0.36852776570674656,0.0,0.0049918054253110435
PleuralEffusion_126149071650094,0.1707993774481207,0.7725198733566976,0.5234565526592858,0.8534780270056205,0.05534059340241508,1.0,0.0,0.8434163204763928,1.0,0.0,0.65290494473857,0.327247039712327,0.39375510266956204,0.04394852678202999,0.19344711979238172,0.3822444134526425,0.7058237245737329,0.0,0.49876002412621195,0.17476930995973422,0.7208892206951788,0.38472679063646975,1.0,0.5981461954322818,0.5282596243704424,0.7077480424261504,0.2014193933191046,0.7274363285430966,0.41897865880517343,0.4161490959563391,0.4454817671625548,0.0,0.0,0.0,0.8856124046533721,1.0,0.020456237532087876,1.0,0.7229322431830193,0.4260641983920475,0.4139946046614107,1.0,0.36637195475999623,1.0,0.0,0.6122596405299884,0.4398542535401699,1.0,0.3608413946920703,0.20893263043038282,0.6263815430056858,0.22615163725611834,0.0
PleuralEffusion_200363939322269,0.07508639673877776,1.0,0.0,0.0,1.0,0.9135489836013679,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.9472798795714962,0.0,0.0,1.0,0.0,0.0,0.0,0.5917783177603629,0.0,0.0,0.0,0.40237412694660474,1.0,1.0,1.0,0.3790565236433893,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.30336334955393407,1.0,1.0,0.0,1.0,0.0
PleuralEffusion_204351817050036,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5487829920594155,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2850509130572513,1.0,0.5179513943499062,1.0,1.0,0.0,0.03194882526910791,0.0,0.0,0.0,0.23999526849677463,0.0,1.0,0.049261208707823474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6403193159664224,1.0,0.0,1.0,1.0
PleuralEffusion_197206083758939,1.0,1.0,1.0,1.0,0.013819540670981454,0.8006015122250724,1.0,1.0,0.0,0.0,0.8757138335758311,0.0,1.0,1.0,0.0,0.0,1.0,0.2538994762411994,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7873903284736619,0.0,1.0,0.1708115940598998,1.0,0.0,0.33786985519585616,0.5677329311953453,0.40048936990108164,0.0,0.21471045960218735,0.0,0.0,1.0,0.8606165217157523,0.5860439098065708,1.0,0.12072915242414857,0.662636108237872,0.0,1.0,0.9387814462328906,1.0,0.7430226780541298,0.0,0.7437673840168871,1.0,1.0
PleuralEffusion_125239727114077,1.0,1.0,1.0,1.0,0.005558398679346887,0.40978465206625725,0.0,1.0,0.0,0.0,0.8777835697863989,0.0,0.0,1.0,0.0,0.05868808501344463,1.0,0.41747632269757307,1.0,0.10874399170550011,0.027098464219415173,1.0,0.0,0.0,1.0,0.7953954512359437,0.0,1.0,0.5938417040254463,1.0,0.0,0.0,1.0,0.20561360503698922,0.0,0.6747113394691819,0.006424879015267951,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3535893602195361,1.0,1.0,1.0,0.6463008820954572,0.0,0.6296020454202256,0.8005547485225988,1.0
PleuralEffusion_121955407224101,0.878998580937208,0.1003789787235578,1.0,1.0,0.0,1.0,0.2964080372750033,0.9253237628666013,0.5889321418155246,0.28648204557784696,0.5148781889687551,0.0,0.63574201697751,0.37006020339853457,0.0,0.0,0.11260561472710409,0.0,0.9849137803288965,0.10435317236583169,0.0,1.0,0.5299345199497527,0.9803471332660008,0.922829495056553,1.0,0.38751695992774976,0.9872973110012467,0.4353335931592028,1.0,0.0,0.4905663908010089,0.41326647285820217,0.2954285806236621,0.12991384343540455,0.0,0.02157451934486023,0.0,0.8985749484018274,0.044863376946601904,0.5590323260626577,0.6145697697564173,1.0,0.0,1.0,1.0,1.0,0.1526613407429395,1.0,0.21780550141488625,0.9386550572336211,0.373001647125306,0.5423697371438927
PleuralEffusion_197058291264413,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8894868595229105,0.0,1.0,1.0,0.0,0.0,1.0,0.13167931474541147,1.0,0.0,0.0,1.0,0.0,0.3439282712607719,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.41622602209534426,0.5569574032103723,0.7802492399993909,0.0,0.6547951834614297,0.0,0.0,1.0,0.4328187805942799,0.6719244437247719,1.0,1.0,0.5838317338891742,0.2144779126373117,1.0,0.8880077296647318,1.0,1.0,0.0,1.0,1.0,0.9697948625352271
PleuralEffusion_205381669178086,0.0,0.04632151949068811,0.09614364079220636,0.3017079634129666,0.1541038838886581,0.15573891776762538,0.0,0.22756653059289148,1.0,0.19968845781154765,0.0,1.0,0.0,0.13756068484231607,0.9572938389867983,0.7662714759156782,0.37453273865196185,0.0,0.0,0.41430685505199144,1.0,0.0,1.0,0.6830811267622603,0.15846328710850585,0.43909138990184915,0.5167037160567701,0.5129124440151961,0.1233804520265359,0.005576228534037663,1.0,0.0,0.0,0.0,1.0,0.6054783329697758,0.2839322346382547,1.0,0.22743500961084925,0.5072746314580961,0.41113273121001315,0.33987619106371464,0.0,0.38399711457686037,0.0,0.27028758996484314,0.3073891901794307,0.6724041561252381,0.0,0.39298677367030477,0.2798580231206563,0.03895801876856954,0.0
