Cell,ASCL1,CD44,CREB1,CUX1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NR3C2,PBX1,PKNOX2,PPARG,PRDM16,PROX1,RARB,REST,RORA,RORB,RUNX1,SIX1,SIX4,SMAD3,SOX9,SP100,STAT1,TBX15,TCF12,TCF4,TCF7L2,TEAD1,ZBTB18,ZBTB20,ZBTB7A,ZEB1
RU1181B_169649541863334,1.0,1.0,1.0,1.0,1.0,0.6925463695300391,0.8660657120479813,0.8891178932796565,1.0,1.0,0.12375998350316432,1.0,0.1365539004224494,0.7475895201305667,0.7180564205421675,0.2571669773459038,0.05189510085993372,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7021624950790292,0.8127447703532642,0.8405228214982624,1.0,0.8748952071120745,1.0,0.18210363026645843,1.0,0.6646277333845874,0.423739256820818,0.3003417552482679,0.0971028700071089,1.0,0.43339581636867197,0.9330766964646191,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RU1181B_226394635626294,0.4833380985927851,1.0,1.0,1.0,1.0,0.17008220028442608,1.0,0.6621220190281062,0.531041380020101,1.0,0.0,1.0,0.0,1.0,1.0,0.05603789848322616,0.0,0.0,1.0,1.0,1.0,1.0,0.8304139000751447,1.0,1.0,1.0,1.0,1.0,1.0,0.37696204878354356,1.0,1.0,1.0,0.7128550622449243,0.0,0.5594020639981304,0.12085651433501152,1.0,0.6790600574517054,0.9473017971810488,1.0,1.0,0.5972429897976712,1.0,0.4284903669999582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RU1181B_165784084240756,1.0,0.7255551776928524,0.330122232507143,1.0,1.0,0.49450134213600916,0.0,0.6111405846340247,0.6925301846417617,0.6214422739659575,0.026871015353123733,0.594031589782672,0.0,0.5302647513660764,0.918179498822927,0.18000473815583135,0.6860448924950155,0.3271575585380051,1.0,0.32963070803812133,1.0,0.8511046906175789,1.0,0.1946457173087559,1.0,0.8769436299031442,1.0,1.0,0.0,0.7795815078484236,0.6366815083475577,1.0,0.16150171900736685,0.7401525512429169,0.04727143229295417,1.0,0.43175995800009076,0.0,0.09816298276416295,0.0,0.6985745962142762,0.0,0.554249029004769,0.835859278142532,0.263827796812879,0.42209720127993033,0.0,0.4212394376173874,1.0,0.1784057683678575,0.07634086590748605,0.5321926488335215,1.0
RU1181B_227914129033139,0.8508314064169054,1.0,0.7263902086031921,1.0,1.0,0.18917878813663425,0.0,0.0,0.7637040311048601,1.0,0.0,1.0,0.9291660956314416,1.0,1.0,0.0,0.0,0.021550917913024895,1.0,1.0,1.0,1.0,1.0,0.36860998642790194,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.052113110750965225,1.0,1.0,1.0,0.48660233847303475,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2665731498894657,0.6297106904328482,1.0,1.0,0.057651816758802404,1.0,1.0
RU1181B_157002371913579,0.0,1.0,1.0,1.0,0.18178525381351265,0.6380272735142939,1.0,0.07704303856922144,1.0,1.0,0.3522398444397657,0.9318836724280629,1.0,1.0,0.0,0.0,0.10741362084348222,0.0,1.0,0.20175328867837294,1.0,1.0,1.0,0.11606956953527137,1.0,0.5656773012662297,1.0,0.5293525278686958,0.6808821599416862,1.0,0.8213255625819639,0.0,0.0,1.0,1.0,0.39552354122224537,1.0,1.0,0.0,0.5808209981087588,0.9164137472996936,1.0,0.4804991403780073,1.0,0.1790511844012248,1.0,0.8244686026356591,0.0,1.0,1.0,0.21937047571568866,0.7651747251984145,0.9002312751680023
RU1181B_227906759879011,0.0,1.0,0.22488953543613988,0.5439918579111537,0.07024689828795558,0.7746334111459423,0.0,1.0,1.0,0.15126642482370287,0.5118008437953308,0.04824890735083129,0.8583297782509575,1.0,0.0,0.3224004113666145,0.8643848449977606,0.6962493676729434,0.6059644287615773,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0791458270964502,0.0,0.06761314137845888,0.0,0.0,0.0,1.0,0.9579421205120768,0.3405062179404476,1.0,0.31787252190570825,0.0,0.0,0.3761809218451589,0.03921175690068113,1.0,1.0,1.0,0.15555229954777353,0.0,0.0,0.7492790082686808,0.0,0.0,0.0,0.1567491216427864
RU1181B_197066451275181,1.0,0.7651997396387181,1.0,1.0,1.0,0.7829644185246638,1.0,0.4267885553842853,0.9673362876820836,1.0,0.4046822697696629,1.0,0.9134768135011992,0.8293162593834057,0.26977462307192457,0.5102848229090775,0.11530744328793925,0.09356957681365403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8078871656973551,1.0,1.0,1.0,1.0,0.9335733251783661,0.8666569416851295,1.0,0.6570298076800178,0.41036350517400855,1.0,0.2932708246936009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RU1181C_197271850277596,0.6633753331225558,0.0,0.0,0.0,0.0,0.0,0.0,0.3433491404950253,0.0,0.0,0.24067738780852985,0.0,0.0,0.574513675740057,0.2807708179230445,0.6051251553239623,0.6168387059358807,1.0,0.11606193790261285,0.2464787765226769,0.0,0.049954909624166745,0.4677058597261636,0.0,0.423210377427733,0.050086727810315666,0.17755043005859342,0.0,0.0,0.10921039881832083,0.8418006044779887,0.4950139249152378,0.0,1.0,0.0,0.19362274236244198,0.20929744042499546,0.0,0.1839366999932586,0.0,0.0,0.0,0.0,0.2919639186110097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3605441414865553
RU1181C_165239938018539,0.3486100102898683,0.8350016670545923,0.5830581898628774,0.9823907433983776,1.0,0.6877929706534109,0.4764021608256945,0.9832343809266635,0.1700886712963239,0.0,0.6378830865392778,0.5664205180320538,0.0,0.7990911147474778,1.0,0.9636744830581812,0.7285109030040019,0.8725585796307462,0.8456417875278316,0.0,0.2689436029051439,1.0,0.1665177170206653,0.6160407789101119,1.0,0.48849519580288564,0.239273563974,0.0,0.5997280859249882,0.15490698636645236,0.0,0.8261643034333518,0.6513796764385057,0.5290195588296781,0.0,0.22373712212480357,0.0,0.8522635350899572,0.8380423061754018,0.5424120050882173,0.4928610806929788,1.0,0.015809514951335996,0.6524067872733753,0.0,0.9498688084737466,1.0,1.0,0.4938170923200061,0.653044446917985,0.9874275910903624,0.9031495434720549,1.0
RU1181C_206061347728668,0.6583768710802258,0.6364685336108145,0.47227919003090285,0.9563276702964607,1.0,1.0,0.5011305559607637,1.0,0.4364837652145434,0.1115021332242544,1.0,0.8003216031840202,0.0,1.0,1.0,1.0,1.0,1.0,0.7792018055392638,0.2349092173255103,0.5562261117198668,0.782101912659853,0.4104281968175734,0.8409999958401378,1.0,0.6381185447253885,0.31879323092317496,0.0,0.7200760706075017,0.1398094027333591,0.0,0.8082129026610665,0.9241476988614351,0.4558107883366385,0.18628342264752823,0.6417405899976162,0.2528974942306432,1.0,1.0,0.9215230124067122,0.521241957491064,1.0,0.3762888601817449,0.7892393871063654,0.0,1.0,1.0,1.0,0.5901065201748713,0.8796223476821885,1.0,1.0,1.0
RU1181C_240497474885876,1.0,0.0,0.0,0.0,0.6164449678131123,0.9866572469208454,0.0,1.0,0.5116941802370817,0.0,1.0,0.0,0.09218680624721506,0.07211764697486582,1.0,1.0,1.0,1.0,0.0,1.0,0.3361271928743027,0.0,1.0,0.2676717331598744,0.0,0.547339799166266,0.7506370940603367,1.0,0.0,0.0,0.0,0.9412305178262164,0.5681183243999701,0.06105408085411276,0.0,1.0,0.625476801426969,0.0,1.0,0.9614117193611218,0.0,0.0,1.0,0.0,0.5954061334259639,0.0,0.0,0.1774488711593813,0.0,0.0,0.07420019499573514,0.0,0.0
RU1181B_196166655338931,1.0,1.0,1.0,1.0,1.0,0.3484411977402295,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.09614858446973754,1.0,0.0,0.0,0.0,1.0,1.0,0.6326718809128103,1.0,1.0,1.0,1.0,1.0,0.6593559151920989,1.0,1.0,0.6094746439241828,1.0,1.0,1.0,0.5576448986202727,1.0,1.0,1.0,0.7626512070077075,0.3945830908391986,1.0,1.0,1.0,0.7049714430586732,0.7533076613586464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
