,ASCL1,BACH1,BACH2,CREB1,CUX2,EGR1,EHF,EPCAM,ESR1,ETS1,FOS,FOXO3,GRHL2,HES1,HSF2,ICAM1,JUN,JUNB,JUND,KMT2A,LMX1B,MEIS2,NCAM1,NFATC2,NFIA,NFIB,NFIX,NFKB1,NFYC,NR6A1,PBX1,PKNOX2,PROX1,RBPJ,REST,RORA_RORB,RUNX1,SIX1,SIX4,SMAD3,SOX11,SOX9,STAT1,STAT2,TBX15,TCF4,TCF7L1,TCF7L2,TEAD1,TFDP1,THRB,ZBTB20,ZEB1
ASCL1,,,,,,0.17074181121308618,,,,,,,,-0.07070793793458574,,,-0.3143835112070652,,0.10081410125506496,,,,,,,,,,,,,,,,,0.2460692741069449,,0.31116778188733496,,,,,,,,,,,,,,,
BACH1,,,,,,,0.18908434205112334,,,,,,,,,,,,0.11786917477490177,,,,,,,,,,,,,,,,,,0.05544734601797108,,,,,,,,,0.38235755695199153,,,0.3253371469756809,,,,
BACH2,-0.5004600500424031,,,,,,,,,,,,,,,,,,,,,,,,,0.15831997666535902,,,,,,,,,,,,,,,,,,,,,,,0.21064549457374632,,,,
CREB1,,,,0.8442301527613707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUX2,,,,,,,-0.14335014300484006,,,,,,,,,,,,,,,0.2989880244645686,,,,0.2531936490126282,,,,,,,,,,0.11070114622470806,-0.1996511747443247,,,,,,,,,,,,,0.2267641017114867,,,
EGR1,,,,,,,,,,,,,,,,,,,0.11690012439871189,,,0.3339278722816017,,,,0.032789542440691655,,,,,,,,,,0.1505399098496829,-0.15472424692619757,,,,,,,,,,,,,0.12147343326355509,,,
EHF,,,,,,,,,,,,,,,,,,,,,,,,,,0.17117850032425685,,,,,,,,,,,0.5220390852309593,,,,,,,,,,,,,,,,
EPCAM,,,,,,,,,,,-0.19336760170308354,,,0.06942501781957489,,,-0.16268505794257337,,,,,,,,,,,,,0.2739943531640628,,,,,,,,,,,,,0.08558650062189443,,,0.36787817535904316,,,,,,,
ESR1,,,,,,,,,0.7137045810919235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETS1,,,0.20652932444023114,,,,,,,,-0.23439318460291492,,,,,,,,,,,,,,,,-0.17800557118781618,,,,,,,,,,,,,,,,,,,0.49526806372171583,,,,,,,
FOS,,,,,,0.1828500172369089,,,,,,,,,,,0.4106185151391333,,,,,,,,,,,,,,,,,,0.057050367760891785,-0.15493090024599643,-0.0763936819051162,,,,,,,,,,,,-0.1161588157606494,,,,
FOXO3,,,,,,,,,,,-0.25742297861953595,,,,,,,,,,,-0.1378145039363441,,,,,,,,,,,,,,0.35599059730879967,,,,,,0.3865492221907106,,,,,,,,,,,
GRHL2,,,,,,,,,,,,,,,,,,,,,,,,,0.33247515163990166,0.34738992088873577,,,,,,,,,,,0.0812895940261229,,,,,,,,,0.3321595896594137,,,,,,,
HES1,-0.10736845708291298,,,,,,,,,,,,,,,,,,0.224846224853954,,,,,,,0.1801552582881339,,,,,,,,,,0.018576398417562867,0.3693012645337892,,,,,,,,,,,,,,,,
HSF2,,,,,,0.15364099078276905,,,,,,,,,,,,,,,,,,,,,,,0.007529306363949939,,,,,,,,,,,,,,,,,0.2772040738654079,,,0.1074494599899728,0.3111584237231242,,,0.09690186939731105
ICAM1,,,,,,0.010745077808241132,,,,,,,,,,,,,,,,-0.206068327588386,,,0.13751032174153155,,,,,,,,,,,-0.08272255849148535,0.35732015494654107,,,,,,0.07134583828690827,,,,,,,,,,
JUN,,,,,,-0.12805384573676276,0.10008911391506564,,,,0.3284919511255029,,,,,,,0.24935549525921225,,,,,,,,,,,,,,,,,,,-0.003737565741840032,,,,,,,,,-0.3610371600344887,,,,,,,
JUNB,,,,,,0.3957212571472545,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14649145741606295,,,,,,,,,,,,,,,,-0.315219694866348,,,,
JUND,,,,,,,,,,,,,,,,,,,0.7263591641774437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMT2A,,,,,,0.16380573910602503,,,,,,,,,,,0.10528830327832417,,-0.19890155692483302,,0.2086226731564006,,,0.13485931900431158,,,,,,,,,,,,,,,,,,,-0.20925640890294828,,,,,,,,,,
LMX1B,0.15369178930184013,,,,,0.20297218513566384,,,,,,,,,,,,,-0.048252100875171844,,,0.4599750229481078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEIS2,0.1746574608458797,,,,,0.23089341261484775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33290263336332143,,-0.3113761960023537,,,,,,,,,,,,,,,,
NCAM1,,,,,,,,,,,,,,,,,,,,,,0.21386021221682977,,,0.18261941053039543,,-0.26218434807499913,,0.17790447454335634,,,,,,,,-0.08684808297910068,,,,,,,,,,,,,0.3183843250994814,,,
NFATC2,0.26977123540639625,,,,,,,,,,,,,,,,-0.06178427430869504,,,,,0.508463949827811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFIA,,,,,,,0.11757226232451523,,,,,,,,,,,,,,,-0.10823648413604853,,,,0.18082474962918899,,,,,,,,,,,0.21133916064240443,,,,,,0.2583366357658571,,,0.12388889924283958,,,,,,,
NFIB,0.2663133851196706,,,,,,,,,,,,,,0.18165221083387928,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20576727711899978,,,0.2631631850709235,0.18482026963050602,,,,0.2576499351539212,,
NFIX,,,,,,,,,,,,,,,-0.21568197480401508,,,,,,,,,-0.3426494920492893,,,,,,,,,,,,-0.17963838687049138,0.1626021916969433,,,,,,0.13800563157438844,,,,,,,,,,
NFKB1,0.4346260019109295,,,,,,0.21544137857193935,,,,,,,,,,,,,,,,,,,0.34486011369561365,,,,,,,,,,,0.10902394022782635,,,,,,,,,,,,,,,,
NFYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7654716230395638,,,,,,,,,,,,,,,,,,,,,,,,
NR6A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7829863577242777,,,,,,,,,,,,,,,,,,,,,,,
PBX1,0.17080699271104527,,,,,,0.23800349621668626,,,,,,,,,,,,,,,,,,,0.10028160193966718,,,,,,,,,,,0.11511855464679327,,,,,,,,,,,,,,,,
PKNOX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3005228000845841,-0.34577433442581595,,,,,,,,0.1466207278725728,,,,0.12008422448717465,-0.19445190867511386,,,,,
PROX1,,,,,,,,,,,,,,,,,,,,,,,,0.4603416699404077,,,,,,,,,,0.4365601177794333,,,,,,,,,,,,,,,,,,,
RBPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8033016345108884,,,,,,,,,,,,,,,,,,,
REST,-0.5651083245819386,,,,,,,,,,,,,0.2580349998697373,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18698665383516888,,,,,,,,,,,
RORA_RORB,0.4484075978846645,,,,,,,,,,,0.22052230952398238,0.23081398946687992,,,,,,,,0.2788901221622826,,,,0.07025173447966115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
