,NFYC,STAT2,SIX4,FOS,ETS1,NCAM1,NFIB,HSF2,RORA_RORB,SIX1,NFIX,ESR1,JUN,SOX9,RUNX1,PKNOX2,ASCL1,FOXO3,TCF7L1,STAT1,TEAD1,BACH1,CUX2,EHF,ZBTB20,ZEB1,NR6A1,EPCAM,TFDP1,THRB,GRHL2,CREB1,JUNB,KMT2A,RBPJ,SMAD3,NFIA,PROX1,TBX15,TCF4,BACH2,NFATC2,JUND,LMX1B,NFKB1,MEIS2,TCF7L2,REST,PBX1,SOX11,ICAM1,HES1,EGR1
NFYC,0.7654716230395638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT2,,,,,,,-1.0854132038598587,,,,,,,,1.7958818602658293,,,,4.835517302075125,,1.507863245569945,,,,,,,,,,,,,,,,1.3577875877373715,,,,,,,,,,,,,,,,
SIX4,7.174891236916688,,,,,,,,,8.976375212399477,-7.226466154751277,,,,,,,,2.5862878422501523,,6.164342672285427,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.251059656454769,,,,,
FOS,,,,,,,,,-4.9577888078718875,,,,13.139792484452261,,-2.444597820963718,,,,,,-3.7170821043407796,,,,,,,,,,,,,,,,,,,,,,,,,,,1.825611768348535,,,,,5.851200551581083
ETS1,,,,-1.8751454768233193,,,,,,,-1.4240445695025294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9621445097737267,1.6522345955218487,,,,,,,,,,,,
NCAM1,5.692943185387405,,,,,,,,,,-8.389899138399972,,,,-2.779138655331222,,,,,,,,,,,,,,10.188298403183403,,,,,,,,5.843821136972651,,,,,,,,,6.843526790938552,,,,,,,
NFIB,,,,,,,,5.812870746684137,,,,,,,,,8.522028323829463,,5.914248628176198,6.584552867807995,,,,,,,,,,8.244797924925477,,,,,,,,,,8.421221922269556,,,,,,,,,,,,,
HSF2,0.2409378036463965,,,,,,,,,,,,,,,,,,,,3.4383827196791312,,,,,3.100859820713955,,,9.95706955913997,,,,,,,,,,,8.870530363693053,,,,,,,,,,,,,4.916511705048609
RORA_RORB,,,,,,,,,,,,,,,,,7.174521566154634,3.52835695238372,,,,,,,,,,,,,3.69302383147008,,,,,,1.124027751674579,,,,,,,4.462241954596522,,,,,,,,,
SIX1,,,,,,,,,5.720333336130592,,,,,,0.243825507904587,,,,,,,,,-0.7367700742125579,,,,,,,,,,,,,,,,5.887986397719661,,,,,,,,-3.4129290594067996,,,,,
NFIX,,,,,,,,-3.45091159686424,-2.8742141899278626,,,,,,2.6016350671510904,,,,,2.2080901051902146,,,,,,,,,,,,,,,,,,,,,,-5.482391872788628,,,,,,,,,,,
ESR1,,,,,,,,,,,,0.7137045810919235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUN,,,,10.51174243601609,,,,,,,,,,,-0.11960210373888103,,,,,,,,,3.2028516452821028,,,,,,,,,7.979375848294792,,,,,,,-11.553189121103635,,,,,,,,,,,,,-4.0977230635764075
SOX9,,,,,,,,,,,,,,0.7345766715518603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUNX1,,,,-1.0067106334606577,,,,,,,,,,,,,,,,7.768603615327227,-2.296051198678109,,,,,,,,,,,,,,,,,,,,,,2.801337153995288,,,,13.586085783213992,,1.755755515298215,,,,
PKNOX2,,,,,,,,,,,,,,,,,,,1.921347591794795,2.345931645961162,,,,,,,,,,,,,,,4.8083648013533455,,,,,,,,,,,,-3.111230538801821,-5.532389350813056,,,,,
ASCL1,,,,,,,,,7.874216771422239,9.957369020394719,,,-10.060272358626081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.226051240162077,,,,,,,,,-2.26265401390674,5.463737958818758
FOXO3,,,,-2.059383828956287,,,,,2.847924778470397,,,,,3.092393777525684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1025160314907525,,,,,,,
