,NFYC,STAT2,SIX4,FOS,ETS1,NCAM1,NFIB,HSF2,RORA_RORB,SIX1,NFIX,ESR1,JUN,SOX9,RUNX1,PKNOX2,ASCL1,FOXO3,TCF7L1,STAT1,TEAD1,BACH1,CUX2,EHF,ZBTB20,ZEB1,NR6A1,EPCAM,TFDP1,THRB,GRHL2,CREB1,JUNB,KMT2A,RBPJ,SMAD3,NFIA,PROX1,TBX15,TCF4,BACH2,NFATC2,JUND,LMX1B,NFKB1,MEIS2,TCF7L2,REST,PBX1,SOX11,ICAM1,HES1,EGR1
NFYC,0.7654716230395638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAT2,,,,,,,2.2043298857580127,,,,,,,,2.840596184826369,,,,4.835517302075123,,1.9982953114340383,,,,,,,,,,,,,,,,3.1246378902071603,,,,,,,,,,,,,,,,
SIX4,7.2803966328856236,,,,,,,,,8.97637521239948,7.226466154751276,,,,,,,,4.658400294482659,,6.517733557590096,,,,,,,,,,,,,,,,,,,,,,,,,,,5.440149912916739,,,,,
FOS,,,,,,,,,5.217175090618482,,,,13.139792484452267,,5.443041449009066,,,,,,4.969205222459266,,,,,,,,,,,,,,,,,,,,,,,,,,,4.285878081161192,,,,,6.5836861991765705
ETS1,,,,1.8751454768233193,,,,,,,1.4351341445957315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.962144509773727,1.903934760597318,,,,,,,,,,,,
NCAM1,6.101108836973957,,,,,,,,,,8.397418211180415,,,,3.7586870050200574,,,,,,,,,,,,,,10.188298403183406,,,,,,,,7.667735529705294,,,,,,,,,6.9533317247081206,,,,,,,
NFIB,,,,,,,,5.997347401209829,,,,,,,,,8.713759982621244,,6.112843722228361,6.6028227233483,,,,,,,,,,8.244797924925477,,,,,,,,,,8.421221922269556,,,,,,,,,,,,,
HSF2,4.855431358545721,,,,,,,,,,,,,,,,,,,,4.752738886084167,,,,,5.463530386131142,,,9.957069559139972,,,,,,,,,,,8.870530363693055,,,,,,,,,,,,,5.03805323431215
RORA_RORB,,,,,,,,,,,,,,,,,7.174521566154634,3.718826178785002,,,,,,,,,,,,,3.7266831660913207,,,,,,3.1661741132023216,,,,,,,4.462241954596522,,,,,,,,,
SIX1,,,,,,,,,5.720333336130593,,,,,,1.9105956521239724,,,,,,,,,1.6646162082739113,,,,,,,,,,,,,,,,5.887986397719661,,,,,,,,3.419966308516848,,,,,
NFIX,,,,,,,,3.45091159686424,2.937212582618614,,,,,,3.1114278002903335,,,,,3.1401343104225568,,,,,,,,,,,,,,,,,,,,,,5.482391872788626,,,,,,,,,,,
ESR1,,,,,,,,,,,,0.7137045810919235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUN,,,,10.511742436016092,,,,,,,,,,,3.835405189153568,,,,,,,,,3.930738447429915,,,,,,,,,7.979375848294791,,,,,,,11.553189121103637,,,,,,,,,,,,,5.246685127876959
SOX9,,,,,,,,,,,,,,0.7345766715518603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUNX1,,,,4.636619288853766,,,,,,,,,,,,,,,,8.156429071599927,4.428214958118368,,,,,,,,,,,,,,,,,,,,,,4.205877802476498,,,,13.586085783213996,,4.1962570234003,,,,
PKNOX2,,,,,,,,,,,,,,,,,,,2.8126995451297585,3.357197800017576,,,,,,,,,,,,,,,4.8083648013533455,,,,,,,,,,,,3.3729253406240396,5.532389350813055,,,,,
ASCL1,,,,,,,,,7.874216771422235,9.957369020394715,,,10.08764542537082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3266347995876115,,,,,,,,,6.4848989494486755,5.632050536737527
FOXO3,,,,2.0593838289562867,,,,,2.8479247784703974,,,,,3.0923937775256847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.849609237018195,,,,,,,
TCF7L1,,,,,,,6.000406150330725,,,,,,,,4.1410756621571085,,4.596402907123461,,,,,,,6.096804437861233,,,,,,,,,,,,,8.366078829861367,,,,,,,,,,,6.562217017749043,,,,,
STAT1,,,,,,,,,,,,,,,,,,,,0.7206131566008432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAD1,,,,,,,12.676136484982532,,,,,,,,3.4848275907917974,,,,,,,,,2.8587794036986196,,,,,,,,,,,,,,,,12.088435310440381,,,,,,,,,3.3974856925452666,,,,4.874788897952953
BACH1,,,,,,,,,,,,,,,1.6775449801720863,,,,,,5.205394351610897,,,3.025349472817975,,,,,,,,,,,,,,,,6.117720911231864,,,2.0127330858604595,,,,,,,,,,
CUX2,,,,,,,8.168254142134264,,4.334264128231091,,,,,,6.476078072836811,,,,,,,,,5.465355784117401,,,,,7.256451254767573,,,,,,,,,,,,,,,,,9.579487057441211,,,,,,,
EHF,,,,,,,0.3423570006485138,,,,,,,,1.0440781704619186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBTB20,,,,,5.752110369526582,,,,,,,,7.603508813398465,,,,,,,,,,,,,,,,,,,9.340220416916376,,,,,5.513641010767982,,7.7375909095040525,,,,7.980471141492863,,,,,,,,,,
ZEB1,,,,,,,,,,,,,,,,,,,,,,,,,,0.7352758770600663,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR6A1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7829863577242777,,,,,,,,,,,,,,,,,,,,,,,,,,
EPCAM,,,,6.239776359153369,,,,,,,,,5.835769720053941,,,,,,,5.2214056859083815,,,,,,,8.767819301250007,,,,,,,,,,,,,11.772101611489381,,,,,,,,,,,,5.094788091491979,
TFDP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7552929518214624,,,,,,,,,,,,,,,,,,,,,,,,
