gene,accuracy,balanced_accuracy_score,f1,roc_auc_score,precision,recall,explained_variance,max_error,r2,log-loss,brcd,validation_set
ASCL1,0.5168334127362236,0.5228629303091582,0.4826120227871779,0.5590514671206409,0.5589364844903988,0.4246278147677115,-0.291189028825785,0.9930206775641772,-0.3210880452262235,0.8743741425586846,6667,organoid
BACH1,0.5712243925678895,0.5814692727380267,0.5976754582029504,0.5964902707745264,0.522435688700749,0.6982330925232831,-0.1528034098888377,0.9622402727233696,-0.1976111567073211,0.8177746063731516,6667,organoid
BACH2,0.672621883436557,0.6623775316518159,0.6045463264914637,0.7513137851316893,0.6691082802547771,0.5513470958712386,0.1865481507891867,0.964816,0.1854660687601692,0.5962188972915996,6667,organoid
CREB1,0.998689852310624,0.998693690127464,0.9986919814499188,1.0,1.0,0.9973873802549283,0.9757357071,0.0797809999999999,0.9757128107663772,0.1949139056918903,6667,organoid
CUX2,0.787081149753851,0.7816810462072027,0.817591238393252,0.7941539469272623,0.7370002452783909,0.917971435118002,0.4156865644001579,0.9537600384686922,0.4119329504799405,0.5173396714972057,6667,organoid
EGR1,0.732809274257583,0.7242432573398039,0.7788366743345383,0.8108658263619806,0.6885931779882619,0.8963013387792149,0.3089373376329491,0.9602239445117994,0.2781901287072912,0.592916562387853,6667,organoid
EHF,0.3234873749404478,0.3201548616882133,0.2684183410613086,0.2953782303926857,0.2731801101109848,0.2638197316229217,-1.0273429792007036,0.865315,-1.0277268731753213,1.1737856880892423,6667,organoid
EPCAM,0.3904637128791488,0.3917171774779212,0.4389548693586698,0.3446171917874855,0.4019273238305561,0.483497021413621,-0.7392705133424238,0.99043,-0.75368967679489,1.0893183123340429,6667,organoid
ESR1,0.997895823407972,0.9981602332685364,0.9975486795245364,1.0,0.995109347605426,1.0,0.918035172975,0.147148,0.9164084879441476,0.2485971817310719,6667,organoid
ETS1,0.57916468159441,0.5739394311257289,0.6349107942412344,0.6836194237183764,0.5785212151644489,0.7034803846740956,-0.0199294788322563,0.970158466227154,-0.0325563179516317,0.6972134046388129,6667,organoid
FOS,0.6633317452755281,0.6647659443879923,0.669086084445485,0.7261446055419826,0.6362152133580705,0.7055386387951609,0.161422621427438,0.9813624035844756,0.160520865775087,0.6315234874001561,6667,organoid
FOXO3,0.5749960298554867,0.5770908991092628,0.5969958212551293,0.5863979736569728,0.5530059980471475,0.6485889570552147,-0.2004514988491037,0.997161,-0.2170918914634487,0.8225142137747022,6667,organoid
GRHL2,0.4657376528505638,0.4651696615113303,0.4421968911917098,0.4762073628059969,0.4544215368887374,0.4306127391620247,-0.3646168925353326,0.982774,-0.3690324149267403,0.8923029131307462,6667,organoid
HES1,0.370454184532317,0.368881491584225,0.3240547337908692,0.3311196068712891,0.3393144081414033,0.3101085094231867,-1.0729361038298442,0.998662,-1.0738824097138715,1.543416938695815,6667,organoid
HSF2,0.7641337144672066,0.764629053834195,0.766662739091159,0.8398751083375531,0.7842507030936119,0.7498463429625076,0.4278196743468165,0.9832145418830138,0.4196736128536693,0.4973632559116286,6667,organoid
ICAM1,0.5019453708114976,0.489402307896389,0.3781908302354399,0.5165949544758018,0.4455214294055821,0.3285394419565966,-0.2820662461954002,0.997738,-0.317906439999152,0.8561557661044059,6667,organoid
JUN,0.4811418135620136,0.481006695363785,0.4409940544933487,0.4803653321712248,0.4769173836617633,0.4101034208432776,-0.284829740468842,0.9929038000934406,-0.2882759531898036,0.8463308552186214,6667,organoid
JUNB,0.5128235667778307,0.5114472513496253,0.4852552539955535,0.5152831522966425,0.4895471857807871,0.4810379241516966,-0.210292441424382,0.982754,-0.2139753425809072,0.7918160969888693,6667,organoid
JUND,0.995394632364618,0.9957664233576642,0.9949766152780184,1.0,0.9900034470872112,1.0,0.925120603119,0.145553,0.9235779248549598,0.2479055347498818,6667,organoid
KMT2A,0.6784579958710497,0.6558553190877764,0.7554428239272881,0.6982095956544638,0.64426246394726,0.9129990511641486,0.1545006444139594,0.9911673344720788,0.078476144963829,0.6521473347313796,6667,organoid
LMX1B,0.4581943782753692,0.4624110441690002,0.5002746347358014,0.4651617298281773,0.4485226526592252,0.5655269475949996,-0.5736134449381529,0.996831,-0.5926243852835436,1.114978630747407,6667,organoid
MEIS2,0.8155867873590599,0.8077051554839777,0.841451343140936,0.8762527332880468,0.8126854354849344,0.8723283793347487,0.5211939826102513,0.99042,0.521009303948079,0.4236273238483439,6667,organoid
NCAM1,0.822971256153724,0.8186274587223212,0.8426772042479624,0.8957092160985647,0.8240977158236147,0.8621137741842333,0.5848982204910043,0.9911433978602382,0.5831401692610914,0.397756552619751,6667,organoid
NFATC2,0.8000635223122121,0.7923625657925942,0.8286375391316183,0.8845779489707307,0.7642480542304796,0.9048751486325802,0.5301323616709396,0.958491,0.5112085504448871,0.4489805385086506,6667,organoid
NFIA,0.5144513260282674,0.5184506440795318,0.4952121512299818,0.5300456522013648,0.4511883273164861,0.5487559458470546,-0.1340088164942172,0.999271,-0.1403917448658669,0.7958008719459025,6667,organoid
NFIB,0.2557170080990948,0.2655209963928401,0.2664057914302485,0.2272775370471793,0.2260292164674635,0.3243449261553121,-1.0552458705960257,0.998928,-1.0839744984230393,1.503126356264999,6667,organoid
NFIX,0.7704065427981579,0.7554613876252869,0.7061334417399258,0.787119987843073,0.8196295859384216,0.6202463845741831,0.2910094242534163,0.988351,0.2873664614118383,0.571179996313515,6667,organoid
NFKB1,0.4536287120851199,0.4560755346377603,0.4645969498910675,0.4487613709231765,0.4329321345707657,0.5012592343854936,-0.4007483903114237,0.98218,-0.4191384280667081,0.8916422241900267,6667,organoid
NFYC,0.9992456725424804,0.999254375637705,0.9992373459639544,1.0,0.9984758543237606,1.0,0.944996617216,0.118437,0.9449795677393764,0.2320171520862732,6667,organoid
NR6A1,0.9978561219628396,0.997829756450446,0.997825036249396,1.0,1.0,0.9956595129008922,0.952904923804,0.112534,0.9528543150321124,0.2209326435245654,6667,organoid
PBX1,0.5563363506431634,0.5340473841142024,0.6414476850514967,0.543872781019816,0.5923204550841432,0.6994611993562382,-0.101802344837987,0.961434,-0.1026971297121535,0.7553882165054765,6667,organoid
PKNOX2,0.554470382721931,0.5560763234133792,0.5796373988612527,0.6082368435547607,0.5379641218189404,0.6283092415137242,-0.1945904065534798,0.987566,-0.2014293531873963,0.8165612616344047,6667,organoid
PROX1,0.6942194695886931,0.7042774616823935,0.6402951615916309,0.8441314922148498,0.8418273363625199,0.5166176803074836,0.3262791789287309,0.953032,0.2292434203318942,0.576084380307541,6667,organoid
