gene,r2_6668_minus_6667,roc_auc_score_6668_minus_6667,f1_6668_minus_6667,accuracy_6668_minus_6667,validation_set
ASCL1,0.03770481085140226,0.0032277835332500393,-0.029932486833018912,0.020525647133555647,organoid
BACH1,-0.03728363524766659,-0.0016882367333636017,-0.07059482179755516,-0.02084325869461645,organoid
BACH2,-0.1928613077143821,-0.06393175725687228,-0.0067730650264110626,-0.034063839923773154,organoid
CREB1,0.015092584301151457,0.0,0.0009909859749840377,0.0009925361283151801,organoid
CUX2,-0.09119501331417929,0.060923578301809944,-0.0332120661636125,-0.043552485310465294,organoid
EGR1,-0.168019217904525,-0.022474447913450324,-0.04013568660631317,-0.04474352866444342,organoid
EHF,-0.0009895318066825975,-0.024190871513098677,0.04323839894112241,0.0020247737017626832,organoid
EPCAM,-0.0040071692835208506,0.03106915157883189,-0.02444628901545609,0.013538192790217563,organoid
ESR1,0.06510504091966873,0.0,0.00236889383517358,0.0020247737017627943,organoid
ETS1,0.0369874081349838,0.030653546137117793,0.0461063645159151,0.0931395902810862,organoid
FOS,-0.015615671492971106,0.01243073422250196,0.036565218159725466,0.04510084167063677,organoid
FOXO3,0.023965671656463294,-0.0027941911496137672,-0.0030381173276368134,-0.001865967921232281,organoid
GRHL2,-0.2983709895875213,-0.06374500875098332,-0.07740916375681861,-0.031245037319358515,organoid
HES1,0.02305154094273343,0.02125837860128449,0.06103399541632443,0.014610131808797833,organoid
HSF2,-0.10503288334678007,-0.032175035828095444,-0.041243723102899144,-0.046410989360012644,organoid
ICAM1,0.0009652748906526232,0.005062472187597367,0.08423450081431155,-0.012863268222963409,organoid
JUN,0.2140217156989579,0.13048474140026856,0.17828323273674695,0.11144195648721622,organoid
JUNB,-0.09881348084552502,-0.004875001960230607,-0.01046016332582922,-0.0038113387327298742,organoid
JUND,0.05880514397884662,0.0,0.004820273051185042,0.004406860409718827,organoid
KMT2A,-0.1709391070458277,-0.09268363016789138,-0.13422114978123612,-0.08392885501032243,organoid
LMX1B,-0.14282774834924128,-0.0007340628514215797,-0.01897356622543056,0.017587740193743095,organoid
MEIS2,-0.09460959426503529,-0.01195597681333982,-0.04757628586279328,-0.02989518818484993,organoid
NCAM1,-0.12907477210784007,-0.02269055960708599,-0.03333589546183113,-0.03430204859456887,organoid
NFATC2,-0.07924731852916611,-0.025816056733412696,-0.04830683727387508,-0.02211370493885978,organoid
NFIA,0.19281980368518148,0.14692281821448527,0.058697883372094306,0.10167540098459593,organoid
NFIB,0.04344792453549351,-0.008797856626275496,-0.0466733214634768,0.017111322852151778,organoid
NFIX,-0.1151599458177627,-0.019901201992067574,0.011189726409163603,-0.03537398761314914,organoid
NFKB1,0.048622941450838564,0.031126034710515726,-0.020984549112274598,0.10389868191202156,organoid
NFYC,0.03918820232642595,0.0,0.0004838917406372323,0.0004764173415912065,organoid
NR6A1,0.032421010583563614,0.0,0.0017778862410740004,0.001746863585834424,organoid
PBX1,-0.1626983304370544,-0.13119475025339833,-0.13830957572171887,-0.16293473082420207,organoid
PKNOX2,-0.23091361507406383,-0.053991915178362104,0.01501546875409876,-0.0023026838176909425,organoid
PROX1,0.08503234680844207,0.00862642770305333,0.017784574195111258,0.01806415753533419,organoid
RBPJ,0.027497704454140792,0.0,0.0018563930292878617,0.001826266476099625,organoid
REST,-0.07394897995008567,0.00791290644784537,0.044721709612133176,-0.010362077179609352,organoid
RORA_RORB,-0.1547520166420335,-0.046068959848779456,-0.04791609532271812,-0.05546291885024612,organoid
RUNX1,0.0022934937221912033,0.0029500461042837323,0.1818127893581411,-0.014332221692869629,organoid
SIX1,0.04735356254023171,0.008489080015250394,0.038619327465367836,0.01663490551056057,organoid
SIX4,-0.06534677770755251,-0.00382989346795648,9.593983504829762e-05,-0.04875337462283624,organoid
SMAD3,-0.17339238516758382,-0.025104903373450893,0.08719240350072699,-0.062172463077656004,organoid
SOX11,-0.0487929459674434,-0.005116015230281157,0.026194183069674914,-0.011950134984913485,organoid
SOX9,0.05170208652213959,0.0,0.009233334487250389,0.007424170239796801,organoid
STAT1,0.061941366097609585,0.0,0.010477828931440003,0.010004764173416003,organoid
STAT2,0.03998679756630741,0.02314722343192388,0.008089861260733966,0.013617595680482819,organoid
TBX15,-0.1715039733561807,-0.05217333140813185,-0.016814632301371035,-0.031125932983960602,organoid
TCF4,0.04338016804337763,0.0,0.005485105561465531,0.005558202318564409,organoid
TCF7L1,0.007816156162987697,0.040427051005790526,0.04272076959888782,-0.07062887089090047,organoid
TCF7L2,0.0139527827238335,-0.02534281346205236,0.1584584856490735,0.0006352231221216087,organoid
TEAD1,-0.0439853562851841,0.0066707163198410635,-0.13840574142793505,-0.016079085278704164,organoid
TFDP1,0.04279013370452134,0.0,0.002368031339818444,0.0024217881530884666,organoid
THRB,-0.05152779093278448,0.007717162373766906,-0.025842920050040796,-0.0021041765920279953,organoid
ZBTB20,-0.1474561925128323,-0.06557683376693357,-0.04365781089189946,-0.006193425440686018,organoid
ZEB1,0.05608485016083842,0.0,0.0055046192984635756,0.004486263299984028,organoid
ASCL1,0.07746612765567873,0.01048074802765242,-0.004367084902894003,0.023948729480548714,organoid_shGFP
BACH1,-0.036419165324430305,0.004652132569743284,-0.06500353389742664,-0.01562851360467732,organoid_shGFP
BACH2,-0.1919551542107457,-0.05748512579967091,-0.004649748974419388,-0.04654823476501013,organoid_shGFP
CREB1,0.015081270631747246,0.0,0.0005729557654515771,0.0005621767483697804,organoid_shGFP
CUX2,-0.011063710052299808,0.0553778006973451,0.005168934291438387,0.013267371261524552,organoid_shGFP
EGR1,-0.1584178797272155,-0.0835712322118114,-0.01005089300475559,-0.008657521924893219,organoid_shGFP
EHF,0.15194383526096145,-0.0052771944129123005,0.0861052539096819,0.03125702720935458,organoid_shGFP
EPCAM,0.05581183157784109,0.04932257330970241,-0.02142152815303333,0.04182595007870471,organoid_shGFP
ESR1,0.06513525355342276,0.0,0.002054970459799632,0.0017989655947829863,organoid_shGFP
ETS1,-0.06013112322380437,0.01137895201951844,-0.0027928794709305427,0.054643579941533627,organoid_shGFP
FOS,-0.0710921755477033,-0.005897632462363744,0.011688523129759432,0.011693276366089411,organoid_shGFP
FOXO3,-0.06238368184484219,-0.01560659619809357,-0.005668760491258307,-0.006633685630762276,organoid_shGFP
GRHL2,-0.06501709791221888,-0.0011942490563101038,0.05403754318885523,0.031144591859680604,organoid_shGFP
HES1,0.13778280836893053,0.041440498344354204,0.09033073947369208,0.048459635709466986,organoid_shGFP
HSF2,-0.0723023352723943,-0.025548257437489008,0.03623637036062766,-0.010231616820328249,organoid_shGFP
ICAM1,0.044782026901845295,0.0019445154437539025,0.09097391254896603,0.0021362716438048657,organoid_shGFP
JUN,0.1450597830710743,0.10893844293861132,0.16333489111929822,0.10715088823926244,organoid_shGFP
JUNB,-0.0835018832699887,0.005379008154140608,-0.004615629302576418,-0.002698448392174535,organoid_shGFP
JUND,0.058296484460148346,0.0,0.004790739670741395,0.004497413986957355,organoid_shGFP
KMT2A,-0.06664465776312901,-0.04741959999511891,-0.09109662456777201,-0.02687204857207104,organoid_shGFP
LMX1B,-0.15853207018239046,0.010162363185749312,-0.008075003638446432,0.0190015740948955,organoid_shGFP
MEIS2,-0.05703840797734619,-0.008209308382787439,-0.04536842698863064,-0.017989655947829974,organoid_shGFP
NCAM1,-0.08333172140527409,-0.01216719838668534,0.012131892942154665,-0.0017989655947829863,organoid_shGFP
NFATC2,-0.0748183215289245,-0.009953905333860869,-0.059737097104101244,-0.027209354621092863,organoid_shGFP
NFIA,-0.053290883896195795,-0.012975488014206227,-0.08267879509262976,-0.06127726557229596,organoid_shGFP
NFIB,0.19441112794592685,0.1146243676197029,0.11069016802556653,0.1132223971216551,organoid_shGFP
NFIX,-0.1546548596616251,-0.02598054412850148,0.024643242382981767,-0.08792444344501915,organoid_shGFP
NFKB1,0.034221931853297693,0.0598143246177012,-0.03484645057897162,0.054193838542837935,organoid_shGFP
NFYC,0.03919218176747896,0.0,-0.00022518576053287553,-0.00022487069934773452,organoid_shGFP
NR6A1,0.03246674938060945,0.0,0.002244013997582339,0.0022487069934787884,organoid_shGFP
PBX1,-0.1290465089215649,-0.09647539517571974,-0.11142759369738853,-0.15279964020688108,organoid_shGFP
PKNOX2,-0.2783217059909147,-0.06170016297870451,0.043240244079762125,-0.00213627164380481,organoid_shGFP
PROX1,0.104462154218225,0.009491706265240873,0.02673418077746098,0.011468405666741677,organoid_shGFP
RBPJ,0.027486642679652395,0.0,0.002298920645242397,0.0022487069934787884,organoid_shGFP
REST,-0.10695792307365,0.0005893826754900244,0.046789736741003396,-0.01776478524848213,organoid_shGFP
RORA_RORB,-0.21834123404236297,-0.0885087848207643,-0.07773908896643877,-0.08084101641556102,organoid_shGFP
RUNX1,-0.0205651362920067,-0.027120363275432435,0.161600722195537,-0.03642905329435575,organoid_shGFP
SIX1,0.08287906045165831,0.019285300992146648,0.09469411188923316,0.0427254328760962,organoid_shGFP
SIX4,0.021885792853920998,0.07545715806788811,0.045396458503208836,-0.01922644479424329,organoid_shGFP
SMAD3,-0.13910624258129345,-0.013947401749397959,0.10074101863306012,-0.02957049696424552,organoid_shGFP
SOX11,-0.026875145966353403,0.005167944757621834,0.04205513458200577,-0.01607825500337312,organoid_shGFP
SOX9,0.05173617926575158,0.0,0.008975728760472257,0.006633685630762387,organoid_shGFP
STAT1,0.0617437038691564,0.0,0.008764198045760008,0.008432651225545373,organoid_shGFP
STAT2,-0.0650035033822586,0.017145839842949595,0.0019254432499949958,0.008095345176523439,organoid_shGFP
TBX15,-0.1273067521076645,-0.03286566794224921,0.03484757381692982,-0.019563750843265115,organoid_shGFP
TCF4,0.043446450008167936,0.0,0.006804141632380745,0.006970991679783989,organoid_shGFP
TCF7L1,0.1565516999781238,0.06624759351008372,0.09751545412394341,-0.006521250281088298,organoid_shGFP
TCF7L2,0.006976656662132791,-0.015559402520290089,0.0744857705880031,-0.022374634585113573,organoid_shGFP
TEAD1,-0.02695352148120861,0.012846389347866749,-0.03341877714644581,0.010344052170002338,organoid_shGFP
TFDP1,0.04271891955424434,0.0,0.0020207976494539537,0.002023836294130832,organoid_shGFP
THRB,-0.022152990862260302,0.015999505569952915,-0.035224962323063935,-0.004384978637283599,organoid_shGFP
ZBTB20,-0.1018128325794043,-0.03568240544291801,-0.022006665359141753,-0.0007870474477176259,organoid_shGFP
ZEB1,0.05697862428550282,0.0,0.0036036302585176205,0.0026984483921743685,organoid_shGFP
ASCL1,0.009636415076260896,0.004737756548227501,-0.007193293855400018,0.013886646213466913,organoid_shRORB1
BACH1,-0.04648171643915451,-0.004890754268158437,-0.04205366267018029,-0.006458905215565913,organoid_shRORB1
BACH2,-0.14583478058088062,-0.05596089733327758,0.00021240404360900467,-0.025028257710318136,organoid_shRORB1
CREB1,0.015088588780787004,0.0,0.00016246707855727127,0.00016147263038912563,organoid_shRORB1
CUX2,-0.14045940333753437,-0.016547675636954917,-0.05420713042818248,-0.058453092200871914,organoid_shRORB1
EGR1,-0.014212835528595147,-0.03731967938344727,-0.01081177693862323,-0.01743904408202812,organoid_shRORB1
