,TCF7L2,GRHL2,MEIS2,ZEB1,JUNB,TFDP1,RORA_RORB,ASCL1,NFIX,TEAD1,SIX4,TCF7L1,NR6A1,LMX1B,ESR1,FOS,JUN,NCAM1,ZBTB20,CREB1,TBX15,ICAM1,RUNX1,KMT2A,BACH2,REST,THRB,JUND,NFATC2,ETS1,RBPJ,NFKB1,FOXO3,STAT1,PKNOX2,HSF2,TCF4,CUX2,SOX9,BACH1,EGR1,SIX1,EHF,NFIB,NFYC,PBX1,NFIA,SMAD3,EPCAM,SOX11,STAT2,PROX1,HES1
TCF7L2,,,-2.3099028685131353,,,-1.9394828886664355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19422935750708903,,,,,,2.2883598720218044,,,,,-3.0596903856212503,
GRHL2,,,,,,,,,,,,,,,,,,,,,,,1.0269736001295815,,,,,,,,,,,,,,1.7598517411088723,,,,,,,3.1583601731026585,,,1.911353027710963,,,,,,
MEIS2,,,,,,,,1.7735098901290167,,,,,,,,,,,,,,,-1.5987202247205108,,,-2.09993207482681,,,,,,,,,,,,,,,2.8850501086579143,,,,,,,,,,,,
ZEB1,,,,0.32589326662359946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNB,,,,,,,,,,-1.1189909101814433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6867594068353036,,,,,,,,,,,-0.5871414418055853,
TFDP1,,,,,,0.7620104285864917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RORA_RORB,,1.957974911805743,,,,,,10.69256901338785,,,,,,1.80913186389888,,,,,,,,,,,,,,,,,,,2.21972481101981,,,,,,,,,,,,,,-0.03224612378163849,,,,,,
ASCL1,,,,,,,8.720321068696231,,,,,,,,,,-3.415759055878692,,,,,,,,,,,2.0967872479485266,,,,,,,,,,,,,7.894963179518703,9.634305244431856,,,,,,,,,,,-2.222341997317991
NFIX,,,,,,,-3.601739924604785,,,,,,,,,,,,,,,,2.2052165560307793,,,,,,-4.019584995407605,,,,,1.3930005037669486,,-3.036159721558421,,,,,,,,,,,,,,,,,
TEAD1,,,,,,,,,,,,,,,,,,,,,,,1.2293515923604397,,,,,,,,,,,,,,14.249346615862367,,,,0.40958129369034835,,2.398888940470984,15.651680631623634,,1.642511985486771,,,,,,,
