,TCF7L2,GRHL2,MEIS2,ZEB1,JUNB,TFDP1,RORA_RORB,ASCL1,NFIX,TEAD1,SIX4,TCF7L1,NR6A1,LMX1B,ESR1,FOS,JUN,NCAM1,ZBTB20,CREB1,TBX15,ICAM1,RUNX1,KMT2A,BACH2,REST,THRB,JUND,NFATC2,ETS1,RBPJ,NFKB1,FOXO3,STAT1,PKNOX2,HSF2,TCF4,CUX2,SOX9,BACH1,EGR1,SIX1,EHF,NFIB,NFYC,PBX1,NFIA,SMAD3,EPCAM,SOX11,STAT2,PROX1,HES1
TCF7L2,,,2.5961693062658253,,,1.9860562707867215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4842375665103922,,,,,,2.455531592647871,,,,,3.0596903856212503,
GRHL2,,,,,,,,,,,,,,,,,,,,,,,1.0365767070242473,,,,,,,,,,,,,,1.7802625257810756,,,,,,,3.158360173102658,,,1.911353027710963,,,,,,
MEIS2,,,,,,,,1.7735098901290167,,,,,,,,,,,,,,,1.6597612468577987,,,2.09993207482681,,,,,,,,,,,,,,,2.8850501086579143,,,,,,,,,,,,
ZEB1,,,,0.32589326662359946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNB,,,,,,,,,,1.2862280807384825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6867594068353036,,,,,,,,,,,0.8954340374538388,
TFDP1,,,,,,0.7620104285864917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RORA_RORB,,2.3832506140146132,,,,,,10.69256901338785,,,,,,1.8404973351908547,,,,,,,,,,,,,,,,,,,2.6260852118552442,,,,,,,,,,,,,,2.3018578023881746,,,,,,
ASCL1,,,,,,,8.720321068696233,,,,,,,,,,5.447595996348436,,,,,,,,,,,4.520579465825574,,,,,,,,,,,,,7.894963179518706,9.634305244431848,,,,,,,,,,,3.7944014299663382
NFIX,,,,,,,3.601739924604784,,,,,,,,,,,,,,,,2.4294624030510814,,,,,,4.019584995407605,,,,,2.214963199838999,,3.0361597215584206,,,,,,,,,,,,,,,,,
TEAD1,,,,,,,,,,,,,,,,,,,,,,,1.9649873567383747,,,,,,,,,,,,,,14.249346615862368,,,,1.786951276684464,,2.411060251574831,15.651680631623634,,1.9841414681193936,,,,,,,
