predicted.id,shGFP,shRORB1,shRORB2
Generalist NE,0.749943782325163,0.6707573066365251,0.6372636372636372
Generalist nonNE,0.0017989655947829998,0.034232197642499594,0.012969012969012969
Intermediate,0.047560152912075555,0.1435491684159535,0.29304029304029305
Neuroendocrine1,0.19653699123004273,0.1435491684159535,0.05049005049005049
Neuroendocrine2,0.0031481897908702495,0.0022606168254480866,0.00099000099000099
Stress,0.0008994827973914999,0.0054900694332310675,0.004752004752004752
nonNE1,0.00011243534967393749,0.00016147263038914905,0.000495000495000495
