,FLI1,FOG1,PU1,CEBPA,GFI1,GATA2,EGRNAB,GATA1,CJUN,SCL,EKLF
FLI1,,,,,,,,0.49708134456083336,,,0.10708656852905407
FOG1,,,,,,,,0.3908412009371852,,,
PU1,,,5.132743994430558,0.38036881855211935,,-0.31844308028340906,,-0.9771455815442621,,,
CEBPA,,-0.30314038395880194,,6.5640637846076215,,,,-0.05828676072773398,,-0.2399250069835136,
GFI1,,,,1.6650649752532867,,,-0.1365565831556007,,,,
GATA2,,-0.048521841869093585,-0.20610546068980073,,,5.899764110054231,,0.19054929764962691,,,
EGRNAB,,,0.16909569145069492,,-1.0129399445018672,,,,1.6482152909504564,,
GATA1,0.15116909638517462,,-1.4546731635098777,,,0.0711556713426541,,5.31346847615926,,,
CJUN,,,0.5480332510638424,,-0.911149188230914,,,,,,
SCL,,,-0.561623878277627,,,,,0.5553060941905305,,,
EKLF,0.10904977263820481,,,,,,,0.40481153739706804,,,
