start-state,dist-to-start,attractor
441040579945925,1, 441041116816837
441040579945925,1, 441040579947973
441040579945925,1, 441040579944901
478698852671943,1, 478423974764999
476362398851527,0, 476362398851527
476362398851527,1, 441178026762695
476362398851527,1, 478561422107079
476362398851527,1, 476912154665415
476362398851527,1, 476224959898055
476362398851527,1, 476328039113159
476362398851527,1, 476345218982343
476362398851527,1, 476362935722439
476362398851527,1, 476362667286983
476362398851527,1, 476362382074311
476362398851527,1, 476362390462919
476362398851527,1, 476362399375815
476362398851527,1, 476362399113671
476362398851527,1, 476362398982599
476362398851527,1, 476362398853575
476362398851527,1, 476362398851399
476362398851527,1, 476362398851463
476362398851527,1, 476362398851543
476362398851527,1, 476362398851535
476362398851527,1, 476362398851525
476224959373573,1, 476224960422149
300440538407173,1, 441178026762501
476362390987013,0, 476362390987013
476362390987013,1, 441178018898181
476362390987013,1, 476912146800901
476362390987013,1, 476328031248645
476362390987013,1, 476362927857925
476362390987013,1, 476362659422469
476362390987013,1, 476362374209797
476362390987013,1, 476362399375621
476362390987013,1, 476362390462725
476362390987013,1, 476362391249157
476362390987013,1, 476362391118085
476362390987013,1, 476362390978821
476362390987013,1, 476362390989061
476362390987013,1, 476362390987141
476362390987013,1, 476362390987077
476362390987013,1, 476362390987029
476362390987013,1, 476362390987015
354383135606827,1, 354108257699883
354383135606827,1, 354348775868459
354383135606827,1, 354383135610923
354383135606827,1, 354383135607851
300440537882887,1, 300440537882919
441040588333319,0, 441040588333319
441040588333319,1, 476224960422151
441040588333319,1, 441590344147207
441040588333319,1, 441178027286791
441040588333319,1, 441006228594951
441040588333319,1, 441041125204231
441040588333319,1, 441040856768775
441040588333319,1, 441040571556103
441040588333319,1, 441040587809031
441040588333319,1, 441040588595463
441040588333319,1, 441040588464391
441040588333319,1, 441040588325127
441040588333319,1, 441040588335367
441040588333319,1, 441040588333447
441040588333319,1, 441040588333383
441040588333319,1, 441040588333335
441040588333319,1, 441040588333327
441040588333319,1, 441040588333317
478561690674141,1, 478562227545053
478561690674141,1, 478561690673629
478561413850581,1, 478561413852629
478561413850581,1, 478561413849557
460848972947933,1, 460848972915165
461398716146117,0, 461398716146117
461398716146117,1, 478990902190533
461398716146117,1, 459199692890565
461398716146117,1, 460299204518341
461398716146117,1, 460848960332229
461398716146117,1, 461673594053061
461398716146117,1, 461415896015301
461398716146117,1, 461399253017029
461398716146117,1, 461398984581573
461398716146117,1, 461398732923333
461398716146117,1, 461398707757509
461398716146117,1, 461398720340421
461398716146117,1, 461398716408261
461398716146117,1, 461398716015045
461398716146117,1, 461398716150213
461398716146117,1, 461398716148165
461398716146117,1, 461398716145989
461398716146117,1, 461398716146053
461398716146117,1, 461398716146133
461398716146117,1, 461398716146125
461398716146117,1, 461398716146119
460024347615711,1, 460024347582943
476362390595031,1, 476362390597079
476362390595031,1, 476362390594007
335624901050757,1, 335624901050789
441178026893767,0, 441178026893767
441178026893767,1, 476362398982599
441178026893767,1, 443377050149319
441178026893767,1, 441727782707655
441178026893767,1, 441040587940295
441178026893767,1, 441143667155399
441178026893767,1, 441178563764679
441178026893767,1, 441178295329223
441178026893767,1, 441178010116551
441178026893767,1, 441178018505159
441178026893767,1, 441178027418055
441178026893767,1, 441178027155911
441178026893767,1, 441178026762695
441178026893767,1, 441178026895815
441178026893767,1, 441178026893639
441178026893767,1, 441178026893703
441178026893767,1, 441178026893783
441178026893767,1, 441178026893765
458667121140167,0, 458667121140167
458667121140167,1, 460866144395719
458667121140167,1, 459216876954055
458667121140167,1, 458667658011079
458667121140167,1, 458667389575623
458667121140167,1, 458667137917383
458667121140167,1, 458667112751559
458667121140167,1, 458667116945863
