source,target,sign
ASCL1,RNF11,-1
ASCL1,ECI1,-1
ASCL1,PTMS,-1
ASCL1,FSCN1,-1
ASCL1,NEAT1,-1
ASCL1,IGSF3,-1
ASCL1,CLSTN1,-1
ASCL1,ULK1,-1
ASCL1,TGOLN2,-1
ASCL1,RHBDF1,1
ASCL1,RAB26,1
ASCL1,RNF186,1
ASCL1,SFTA3,1
ASCL1,B3GNT8,1
ASCL1,GRP,1
ASCL1,CA5A,1
ASCL1,OR7E47P,1
ASCL1,MYO7A,1
ASCL1,HPSE,1
ASCL1,KDM1B,1
ASCL1,NDRG1,1
ASCL1,DBH-AS1,1
ASCL1,DLL4,1
ASCL1,GFI1,1
ASCL1,DBH,1
ASCL1,HES1,1
ASCL1,ABHD2,1
ASCL1,FAM163B,1
ASCL1,LFNG,1
ASCL1,PRR15L,1
ASCL1,CLDN9,1
ASCL1,AHNAK,1
ASCL1,C12orf80,1
ASCL1,NRTN,1
ASCL1,KRT80,1
ASCL1,MFSD2A,1
ASCL1,BTBD17,1
ASCL1,SCGN,1
ASCL1,WNT9A,1
ASCL1,SVIP,1
ASCL1,KIF19,1
ASCL1,MYCL,1
ASCL1,CYBA,1
ASCL1,ID2,1
ASCL1,TTYH2,1
ASCL1,VWA5B2,1
ASCL1,PQLC3,1
ASCL1,INPPL1,1
ASCL1,SYT4,1
ASCL1,MS4A8,1
ASCL1,TFEB,1
ASCL1,SNCAIP,1
ASCL1,SLC9A3R2,1
ASCL1,B3GNT1,1
ASCL1,NTHL1,1
ASCL1,RNF183,1
ASCL1,ROCK1,1
ASCL1,INHBE,1
ASCL1,KRT15,1
ASCL1,TGFB2,1
ASCL1,NAV2,1
ASCL1,GRASP,1
ASCL1,VWA1,1
ASCL1,PTAR1,1
ASCL1,PI4K2B,1
ASCL1,ADIPOR1,1
ASCL1,TP53INP1,1
ASCL1,MPG,1
ASCL1,TFF3,1
ASCL1,OTUD4,1
ASCL1,KCNN4,1
ASCL1,DDC,1
ASCL1,GPRC5B,1
ASCL1,RAB30,1
ASCL1,ASCL1,1
ASCL1,SP6,1
ASCL1,KIAA1211L,1
ASCL1,ACER2,1
ASCL1,GRAMD2,1
ASCL1,NR0B2,1
ASCL1,STEAP3,1
ASCL1,SLC23A2,1
ASCL1,INSM1,1
ASCL1,IER5L,1
ASCL1,SCNN1A,1
ASCL1,GCNT1,1
ASCL1,MAP6D1,1
ASCL1,CPE,1
ASCL1,PROX1,1
ASCL1,RIMS3,1
ASCL1,UNC5B,1
ASCL1,RASSF6,1
ASCL1,CORO2A,1
ASCL1,GYLTL1B,1
ASCL1,HEPACAM2,1
ASCL1,DLL3,1
ASCL1,B3GNT5,1
ASCL1,SOCS4,1
ASCL1,TMEM132A,1
ASCL1,BTBD3,1
ASCL1,DLL1,1
ASCL1,FCGRT,1
ASCL1,ABHD10,1
ASCL1,PPP1R1B,1
ASCL1,SLC7A5,1
ASCL1,SLC7A4,1
ASCL1,CBFA2T2,1
ASCL1,PTP4A3,1
ASCL1,RAD1,1
ASCL1,KRT7,1
ASCL1,NEURL1B,1
ASCL1,NOL4,1
ASCL1,HIPK3,1
ASCL1,SEC11C,1
ASCL1,ABLIM2,1
ASCL1,DUSP4,1
ASCL1,LZTS3,1
ASCL1,UBE2QL1,1
ASCL1,SOX13,1
ASCL1,BCL2,1
