source,target,sign
ASCL1,ABAT,0
ASCL1,ACVR2A,0
ASCL1,ADA,0
ASCL1,ADCY5,0
ASCL1,ADCYAP1,0
ASCL1,NR0B1,0
ASCL1,ALCAM,0
ASCL1,AMPH,0
ASCL1,ANXA11,0
ASCL1,BIRC2,0
ASCL1,APLP2,0
ASCL1,APOD,0
ASCL1,ARNTL,0
ASCL1,ASCL1,0
ASCL1,ATP2A3,0
ASCL1,ATP4A,0
ASCL1,AVP,0
ASCL1,AZGP1,0
ASCL1,BBS1,0
ASCL1,BCAT2,0
ASCL1,BCHE,0
ASCL1,BCL2,0
ASCL1,HCN2,0
ASCL1,BDKRB1,0
ASCL1,BIK,0
ASCL1,BMP8B,0
ASCL1,C4BPA,0
ASCL1,CA5A,0
ASCL1,CA8,0
ASCL1,CACNA1A,0
ASCL1,CACNA1E,0
ASCL1,CALCA,0
ASCL1,CALCB,0
ASCL1,CALM1,0
ASCL1,CALML3,0
ASCL1,CASP7,0
ASCL1,RUNX1T1,0
ASCL1,CBLN1,0
ASCL1,ENTPD2,0
ASCL1,LRBA,0
ASCL1,CDH1,0
ASCL1,CDH9,0
ASCL1,CDKN2C,0
ASCL1,CEBPD,0
ASCL1,CEL,0
ASCL1,CHGA,0
ASCL1,CPA2,0
ASCL1,CPD,0
ASCL1,CLDN3,0
ASCL1,CLDN7,0
ASCL1,CRIP2,0
ASCL1,CRY1,0
ASCL1,CRYM,0
ASCL1,CTNNA2,0
ASCL1,CYB5A,0
ASCL1,CYB561,0
ASCL1,CYP2J2,0
ASCL1,CYP51A1,0
ASCL1,DGKB,0
ASCL1,DBC1,0
ASCL1,DBH,0
ASCL1,DDC,0
ASCL1,DLX5,0
ASCL1,DLX6,0
ASCL1,DMPK,0
ASCL1,DNASE1L2,0
ASCL1,DPP6,0
ASCL1,RCAN1,0
ASCL1,DTNA,0
ASCL1,DTX1,0
ASCL1,DUSP8,0
ASCL1,ECM1,0
ASCL1,EFNA1,0
ASCL1,ELAVL2,0
ASCL1,ELAVL3,0
ASCL1,ELAVL4,0
ASCL1,ELF1,0
ASCL1,EPB41,0
ASCL1,EPOR,0
ASCL1,ETS2,0
ASCL1,EXTL3,0
ASCL1,FAAH,0
ASCL1,FABP6,0
ASCL1,FGF14,0
ASCL1,FOXG1,0
ASCL1,FOXC1,0
ASCL1,FOXJ1,0
ASCL1,FUT1,0
ASCL1,GABRB3,0
ASCL1,GAD2,0
ASCL1,GALNT3,0
ASCL1,GCH1,0
ASCL1,GCK,0
ASCL1,GFI1,0
ASCL1,GHRH,0
ASCL1,GJB1,0
ASCL1,GPC3,0
ASCL1,GNAO1,0
ASCL1,GPR6,0
ASCL1,GRIK3,0
ASCL1,GRIN2C,0
ASCL1,GRM2,0
ASCL1,GRM8,0
ASCL1,GRP,0
ASCL1,HABP2,0
ASCL1,HCRT,0
ASCL1,FOXA2,0
ASCL1,HES1,0
ASCL1,HTR3A,0
ASCL1,ICA1,0
ASCL1,ICAM2,0
ASCL1,ID2,0
ASCL1,IGFBP2,0
ASCL1,IGFBP5,0
ASCL1,RBPJ,0
ASCL1,IL17A,0
ASCL1,INPPL1,0
ASCL1,INSM1,0
ASCL1,ISL1,0
ASCL1,ITGB1,0
ASCL1,ITPR3,0
ASCL1,JAG2,0
ASCL1,KCNA1,0
ASCL1,KCNC1,0
ASCL1,KCNF1,0
ASCL1,KCNH2,0
ASCL1,KCNK3,0
ASCL1,KLK1,0
ASCL1,KLC1,0
ASCL1,KRT8,0
ASCL1,KRT18,0
ASCL1,STMN1,0
ASCL1,LFNG,0
ASCL1,LGALS8,0
ASCL1,LIFR,0
ASCL1,BCAM,0
ASCL1,LY6H,0
ASCL1,EPCAM,0
ASCL1,MAF,0
ASCL1,MAGEA1,0
ASCL1,MAP6,0
ASCL1,MBD1,0
ASCL1,CD46,0
ASCL1,MEP1B,0
ASCL1,MGST1,0
ASCL1,MGST2,0
ASCL1,MUC1,0
ASCL1,MYCL1,0
ASCL1,MYL5,0
ASCL1,MYO1D,0
ASCL1,MYO5B,0
ASCL1,MYT1,0
ASCL1,NELL1,0
ASCL1,NHS,0
ASCL1,NKX2-2,0
ASCL1,NPPA,0
ASCL1,NPTX1,0
ASCL1,NRTN,0
ASCL1,NTHL1,0
ASCL1,NUCB2,0
ASCL1,SIX6,0
ASCL1,P4HB,0
ASCL1,PAH,0
ASCL1,PCP4,0
ASCL1,PCSK2,0
ASCL1,ATP8B1,0
ASCL1,PFKFB2,0
ASCL1,SERPINI1,0
ASCL1,PIK3R1,0
ASCL1,PLOD2,0
ASCL1,PLS1,0
ASCL1,PLXNB1,0
ASCL1,PON1,0
ASCL1,PPP2R2B,0
ASCL1,PKIB,0
ASCL1,MAPK4,0
ASCL1,PRRG2,0
ASCL1,PTH2R,0
ASCL1,PTPRH,0
ASCL1,PTPRN2,0
ASCL1,RAB3B,0
ASCL1,RAC1,0
ASCL1,RET,0
ASCL1,RFX2,0
ASCL1,RGS4,0
ASCL1,RGS7,0
ASCL1,RORA,0
ASCL1,RTN1,0
ASCL1,RTN2,0
ASCL1,SALL1,0
ASCL1,SCN2A,0
ASCL1,SCN3A,0
ASCL1,SCNN1A,0
ASCL1,SEC14L1,0
ASCL1,SEPW1,0
ASCL1,SFTPB,0
ASCL1,SCG5,0
ASCL1,SLC6A3,0
ASCL1,SLC7A4,0
ASCL1,SLC8A3,0
ASCL1,SNAP25,0
ASCL1,SOX1,0
ASCL1,SOX2,0
ASCL1,SOX11,0
ASCL1,SPAG1,0
ASCL1,SPAG4,0
ASCL1,SPTB,0
ASCL1,ST14,0
ASCL1,SULT2B1,0
ASCL1,SYT1,0
ASCL1,SYT4,0
ASCL1,TFF3,0
ASCL1,TGM3,0
ASCL1,NKX2-1,0
ASCL1,TSPAN8,0
ASCL1,CLDN5,0
ASCL1,TNNT1,0
ASCL1,TPD52L1,0
ASCL1,TPH1,0
ASCL1,SCGB1A1,0
ASCL1,VGF,0
ASCL1,VLDLR,0
ASCL1,WNT11,0
ASCL1,ZIC2,0
ASCL1,ZNF24,0
ASCL1,ZNF236,0
ASCL1,DNALI1,0
ASCL1,CXCR4,0
ASCL1,SCG2,0
ASCL1,TFEB,0
ASCL1,SHFM1,0
ASCL1,TUSC3,0
ASCL1,RASSF7,0
ASCL1,AP3B2,0
ASCL1,NR0B2,0
ASCL1,RASAL1,0
ASCL1,RANBP3,0
ASCL1,PPAP2C,0
ASCL1,CADPS,0
ASCL1,SKAP1,0
ASCL1,NOL4,0
ASCL1,DLK1,0
ASCL1,TNFRSF11A,0
ASCL1,INPP4B,0
ASCL1,PROM1,0
ASCL1,CDK5R1,0
ASCL1,ARHGEF7,0
ASCL1,CCNA1,0
ASCL1,BSN,0
ASCL1,SKAP2,0
ASCL1,BAIAP3,0
ASCL1,CDK5R2,0
ASCL1,SELENBP1,0
ASCL1,BRSK2,0
ASCL1,MAP7,0
ASCL1,SYT7,0
ASCL1,PIGQ,0
ASCL1,MTMR7,0
ASCL1,SLC16A3,0
ASCL1,SYNGR2,0
ASCL1,DCLK1,0
ASCL1,CER1,0
ASCL1,SLC9A3R2,0
ASCL1,LONP1,0
ASCL1,NRXN3,0
ASCL1,NRXN1,0
ASCL1,MAPK8IP1,0
ASCL1,PGS1,0
ASCL1,RPH3AL,0
ASCL1,GDF15,0
ASCL1,VPS4B,0
ASCL1,CXCL14,0
ASCL1,SOX13,0
ASCL1,APOBEC3B,0
ASCL1,SNCAIP,0
ASCL1,ZNF516,0
ASCL1,ST18,0
ASCL1,ADAMTSL2,0
ASCL1,TOX,0
ASCL1,DNAJC6,0
ASCL1,JAKMIP2,0
ASCL1,ELMO1,0
ASCL1,OSBPL2,0
ASCL1,HS3ST1,0
ASCL1,HDAC5,0
ASCL1,COX17,0
ASCL1,PTPRU,0
ASCL1,TSPAN1,0
ASCL1,ARL4A,0
ASCL1,KCNMB2,0
ASCL1,KLHL41,0
ASCL1,NPM2,0
ASCL1,HMG20B,0
ASCL1,PIAS3,0
ASCL1,WFDC2,0
ASCL1,UNC13B,0
ASCL1,NEBL,0
ASCL1,SCGN,0
ASCL1,TRIM3,0
ASCL1,SPINT2,0
ASCL1,DLL3,0
ASCL1,FUT9,0
ASCL1,HPSE,0
ASCL1,USP20,0
ASCL1,PPARGC1A,0
ASCL1,RUNDC3A,0
ASCL1,GADD45G,0
ASCL1,RAB40B,0
ASCL1,MAPRE2,0
ASCL1,STMN2,0
ASCL1,TBC1D8,0
ASCL1,RABL2A,0
ASCL1,SOX21,0
ASCL1,CELF3,0
ASCL1,HRH3,0
ASCL1,KIAA1009,0
ASCL1,RHOBTB3,0
ASCL1,RUFY3,0
ASCL1,ZP1,0
ASCL1,SIRT2,0
ASCL1,TTC39A,0
ASCL1,ERP44,0
ASCL1,WWC1,0
ASCL1,WSCD1,0
ASCL1,COTL1,0
ASCL1,GRIP1,0
ASCL1,SLC39A14,0
ASCL1,NNT,0
ASCL1,SEZ6L,0
ASCL1,AMACR,0
ASCL1,SLC7A11,0
ASCL1,CADM1,0
ASCL1,QPCT,0
ASCL1,GCA,0
ASCL1,BAMBI,0
ASCL1,MGAT4C,0
ASCL1,SETBP1,0
ASCL1,CNTNAP2,0
ASCL1,SLITRK5,0
ASCL1,SERGEF,0
ASCL1,PPP1R14B,0
ASCL1,PLEK2,0
ASCL1,NARF,0
ASCL1,RGS17,0
ASCL1,SRPK3,0
ASCL1,FOXB1,0
ASCL1,LAMP3,0
ASCL1,STK36,0
ASCL1,IL17C,0
ASCL1,PCDH17,0
ASCL1,TEKT2,0
ASCL1,TOX3,0
ASCL1,UBE2S,0
ASCL1,DLL1,0
ASCL1,STXBP6,0
ASCL1,SCG3,0
ASCL1,TAGLN3,0
ASCL1,TFCP2L1,0
ASCL1,NPC1L1,0
ASCL1,ST8SIA5,0
ASCL1,RAX,0
ASCL1,KLK12,0
ASCL1,ATP6V0A4,0
ASCL1,F11R,0
ASCL1,ST8SIA3,0
ASCL1,THAP4,0
ASCL1,PLLP,0
ASCL1,ZNF706,0
ASCL1,PIPOX,0
ASCL1,RXFP3,0
ASCL1,KCNK9,0
ASCL1,HOOK1,0
ASCL1,ACTL6B,0
ASCL1,GULP1,0
ASCL1,LSR,0
ASCL1,RASD1,0
ASCL1,TPPP3,0
ASCL1,CYB5R1,0
ASCL1,SYT17,0
ASCL1,MYO3A,0
ASCL1,TSPEAR,0
ASCL1,FAM3B,0
ASCL1,CLIC6,0
ASCL1,KCNK10,0
ASCL1,GNG2,0
ASCL1,MOV10L1,0
ASCL1,ZDHHC13,0
ASCL1,RNF186,0
ASCL1,DLL4,0
ASCL1,P4HTM,0
ASCL1,ARHGEF38,0
ASCL1,PID1,0
ASCL1,AIM1L,0
ASCL1,CEP192,0
ASCL1,FBXW7,0
ASCL1,TMEM176A,0
ASCL1,SMPD3,0
ASCL1,SVOP,0
ASCL1,FERMT1,0
ASCL1,CHD7,0
ASCL1,CNDP2,0
ASCL1,LRIF1,0
ASCL1,MBNL3,0
ASCL1,WSB2,0
ASCL1,BARX1,0
ASCL1,WDR45B,0
ASCL1,PRMT8,0
ASCL1,ERO1LB,0
ASCL1,KCNK12,0
ASCL1,FMN2,0
ASCL1,CELF4,0
ASCL1,NMUR2,0
ASCL1,SPPL2B,0
ASCL1,C11orf75,0
ASCL1,PRTFDC1,0
ASCL1,CAMK1D,0
ASCL1,RGL3,0
ASCL1,PAK7,0
ASCL1,KIAA1244,0
ASCL1,PLEKHG5,0
ASCL1,RPTOR,0
ASCL1,KCTD16,0
ASCL1,KLHL14,0
ASCL1,TMEM181,0
ASCL1,SYT13,0
ASCL1,KIAA1468,0
ASCL1,SHROOM3,0
ASCL1,KIAA1598,0
ASCL1,KIAA1609,0
ASCL1,SLC7A14,0
ASCL1,PLEKHB1,0
ASCL1,SIGIRR,0
ASCL1,PLEKHA2,0
ASCL1,SLC25A19,0
ASCL1,FAM111A,0
ASCL1,PRSS22,0
ASCL1,SNX16,0
ASCL1,SMOC1,0
ASCL1,SMOC2,0
ASCL1,DNAJC1,0
ASCL1,RAB17,0
ASCL1,INF2,0
ASCL1,NDST4,0
ASCL1,HS3ST6,0
ASCL1,SMYD3,0
ASCL1,PCDH20,0
ASCL1,MRPL34,0
ASCL1,DUSP26,0
ASCL1,MLPH,0
ASCL1,EFHD2,0
ASCL1,CERS4,0
ASCL1,PGBD5,0
ASCL1,RIC3,0
ASCL1,BEND5,0
ASCL1,C3orf52,0
ASCL1,ZDHHC14,0
ASCL1,ZNF322,0
ASCL1,ZMAT4,0
ASCL1,NARS2,0
ASCL1,BAALC,0
ASCL1,PGAP1,0
ASCL1,RAB11FIP1,0
ASCL1,CXXC4,0
ASCL1,TSGA10,0
ASCL1,C12orf39,0
ASCL1,KIAA1715,0
ASCL1,OR51E2,0
ASCL1,ARHGAP24,0
ASCL1,ZMIZ2,0
ASCL1,JAM3,0
ASCL1,ESPN,0
ASCL1,KCNK16,0
ASCL1,NCALD,0
ASCL1,B3GNT5,0
ASCL1,SYDE2,0
ASCL1,PRADC1,0
ASCL1,TMEM246,0
ASCL1,ABLIM2,0
ASCL1,PHYHIPL,0
ASCL1,SRRM4,0
ASCL1,MAP1LC3A,0
ASCL1,KISS1R,0
ASCL1,RETNLB,0
ASCL1,C9orf24,0
ASCL1,MFSD2A,0
ASCL1,LRP11,0
ASCL1,MICALCL,0
ASCL1,ATG4D,0
ASCL1,ZIC5,0
ASCL1,SCIN,0
ASCL1,RSPH1,0
ASCL1,FGD3,0
ASCL1,C12orf23,0
ASCL1,SEC11C,0
ASCL1,SESTD1,0
ASCL1,TTC30A,0
ASCL1,DAPL1,0
ASCL1,CHMP4C,0
ASCL1,DNER,0
ASCL1,CADPS2,0
ASCL1,CAMK2N2,0
ASCL1,GNG8,0
ASCL1,MRAP2,0
ASCL1,PTH2,0
ASCL1,TRIM9,0
ASCL1,UCN3,0
ASCL1,CSMD2,0
ASCL1,SLC25A25,0
ASCL1,SLC26A9,0
ASCL1,PHACTR3,0
ASCL1,LYPD1,0
ASCL1,ZNF488,0
ASCL1,GYLTL1B,0
ASCL1,SLC36A4,0
ASCL1,TMEM45B,0
ASCL1,BTBD11,0
ASCL1,ANO4,0
ASCL1,SPPL3,0
ASCL1,AK7,0
ASCL1,ADSSL1,0
ASCL1,CANT1,0
ASCL1,KIF19,0
ASCL1,SEZ6,0
ASCL1,GOLT1A,0
ASCL1,TMEM125,0
ASCL1,APOA1BP,0
ASCL1,FBLN7,0
ASCL1,CIB4,0
ASCL1,TMEM198,0
ASCL1,TMEM178A,0
ASCL1,KCNH8,0
ASCL1,FAM131A,0
ASCL1,OCIAD2,0
ASCL1,STXBP5,0
ASCL1,RALYL,0
ASCL1,RNF183,0
ASCL1,BRI3BP,0
ASCL1,NRSN1,0
ASCL1,FRMPD2,0
ASCL1,BEST3,0
ASCL1,C2CD4A,0
ASCL1,CBLN2,0
ASCL1,KLC3,0
ASCL1,TMC4,0
ASCL1,C1orf210,0
ASCL1,CNKSR3,0
ASCL1,SLC2A12,0
ASCL1,NKAIN2,0
ASCL1,PRUNE2,0
ASCL1,FAAH2,0
ASCL1,TMEM30B,0
