source,target,sign
ASCL1,0610007P08RIK,0
ASCL1,0610007P22RIK,0
ASCL1,1110001J03RIK,0
ASCL1,1110004E09RIK,0
ASCL1,1110004F10RIK,0
ASCL1,1110012J17RIK,0
ASCL1,1110021J02RIK,0
ASCL1,1110032F04RIK,0
ASCL1,1110038D17RIK,0
ASCL1,1110038F14RIK,0
ASCL1,1110051M20RIK,0
ASCL1,1110054O05RIK,0
ASCL1,1110067D22RIK,0
ASCL1,1190002N15RIK,0
ASCL1,1200011I18RIK,0
ASCL1,1300010F03RIK,0
ASCL1,1500031L02RIK,0
ASCL1,1600014C10RIK,0
ASCL1,1600014C23RIK,0
ASCL1,1600021P15RIK,0
ASCL1,1600029D21RIK,0
ASCL1,1700001C19RIK,0
ASCL1,1700001L19RIK,0
ASCL1,1700003F12RIK,0
ASCL1,1700007B14RIK,0
ASCL1,1700010B08RIK,0
ASCL1,1700010I14RIK,0
ASCL1,1700010M22RIK,0
ASCL1,1700011A15RIK,0
ASCL1,1700011E24RIK,0
ASCL1,1700011F14RIK,0
ASCL1,1700011I03RIK,0
ASCL1,1700012A03RIK,0
ASCL1,1700013F07RIK,0
ASCL1,1700016C15RIK,0
ASCL1,1700016H13RIK,0
ASCL1,1700016K19RIK,0
ASCL1,1700016M24RIK,0
ASCL1,1700017B05RIK,0
ASCL1,1700018B08RIK,0
ASCL1,1700018L24RIK,0
ASCL1,1700019L03RIK,0
ASCL1,1700020O03RIK,0
ASCL1,1700021F07RIK,0
ASCL1,1700021K19RIK,0
ASCL1,1700023A16RIK,0
ASCL1,1700023F06RIK,0
ASCL1,1700024G13RIK,0
ASCL1,1700024P04RIK,0
ASCL1,1700025G04RIK,0
ASCL1,1700028K03RIK,0
ASCL1,1700029H14RIK,0
ASCL1,1700030F18RIK,0
ASCL1,1700040L02RIK,0
ASCL1,1700042G07RIK,0
ASCL1,1700057K13RIK,0
ASCL1,1700071K01RIK,0
ASCL1,1700088E04RIK,0
ASCL1,1700090G07RIK,0
ASCL1,1700101E01RIK,0
ASCL1,1700106J16RIK,0
ASCL1,1700112E06RIK,0
ASCL1,1700113H08RIK,0
ASCL1,1700123L14RIK,0
ASCL1,1700129C05RIK,0
ASCL1,1810011O10RIK,0
ASCL1,1810013D10RIK,0
ASCL1,1810013L24RIK,0
ASCL1,1810041L15RIK,0
ASCL1,1810046K07RIK,0
ASCL1,1810063B05RIK,0
ASCL1,2010106G01RIK,0
ASCL1,2010109K11RIK,0
ASCL1,2010111I01RIK,0
ASCL1,2010300C02RIK,0
ASCL1,2010305A19RIK,0
ASCL1,2200002D01RIK,0
ASCL1,2210010C04RIK,0
ASCL1,2210404O07RIK,0
ASCL1,2210407C18RIK,0
ASCL1,2310002J15RIK,0
ASCL1,2310002L13RIK,0
ASCL1,2310021P13RIK,0
ASCL1,2310022A10RIK,0
ASCL1,2310022B05RIK,0
ASCL1,2310028H24RIK,0
ASCL1,2310035K24RIK,0
ASCL1,2310044G17RIK,0
ASCL1,2310044H10RIK,0
ASCL1,2310046A06RIK,0
ASCL1,2310061I04RIK,0
ASCL1,2410004P03RIK,0
ASCL1,2410016O06RIK,0
ASCL1,2410066E13RIK,0
ASCL1,2410076I21RIK,0
ASCL1,2510006D16RIK,0
ASCL1,2510009E07RIK,0
ASCL1,2610002J02RIK,0
ASCL1,2610015P09RIK,0
ASCL1,2610034B18RIK,0
ASCL1,2610109H07RIK,0
ASCL1,2610528E23RIK,0
ASCL1,2810006K23RIK,0
ASCL1,2810422O20RIK,0
ASCL1,2900010M23RIK,0
ASCL1,2900026A02RIK,0
ASCL1,3110035E14RIK,0
ASCL1,3110079O15RIK,0
ASCL1,4632428N05RIK,0
ASCL1,4833422F24RIK,0
ASCL1,4921504E06RIK,0
ASCL1,4921506M07RIK,0
ASCL1,4921536K21RIK,0
ASCL1,4922502D21RIK,0
ASCL1,4922505E12RIK,0
ASCL1,4930403N07RIK,0
ASCL1,4930449E01RIK,0
ASCL1,4930452B06RIK,0
ASCL1,4930455F23RIK,0
ASCL1,4930503L19RIK,0
ASCL1,4930523C07RIK,0
ASCL1,4930528F23RIK,0
ASCL1,4930529M08RIK,0
ASCL1,4930549C01RIK,0
ASCL1,4930550L24RIK,0
ASCL1,4930571K23RIK,0
ASCL1,4930572J05RIK,0
ASCL1,4930579C15RIK,0
ASCL1,4930588N13RIK,0
ASCL1,4930596D02RIK,0
ASCL1,4931408A02RIK,0
ASCL1,4931429L15RIK,0
ASCL1,4931440L10RIK,0
ASCL1,4932418E24RIK,0
ASCL1,4932438H23RIK,0
ASCL1,4933402J07RIK,0
ASCL1,4933403F05RIK,0
ASCL1,4933403G14RIK,0
ASCL1,4933407C03RIK,0
ASCL1,4933407H18RIK,0
ASCL1,4933412E24RIK,0
ASCL1,4933417A18RIK,0
ASCL1,4933426M11RIK,0
ASCL1,4933427D06RIK,0
ASCL1,4933430I17RIK,0
ASCL1,5330417C22RIK,0
ASCL1,5330437I02RIK,0
ASCL1,5430419D17RIK,0
ASCL1,5730419I09RIK,0
ASCL1,5730455O13RIK,0
ASCL1,5730469M10RIK,0
ASCL1,5730494M16RIK,0
ASCL1,5730494N06RIK,0
ASCL1,5730507C01RIK,0
ASCL1,5730508B09RIK,0
ASCL1,6030419C18RIK,0
ASCL1,6030458C11RIK,0
ASCL1,6330406I15RIK,0
ASCL1,6330409N04RIK,0
ASCL1,6330512M04RIK,0
ASCL1,6430548M08RIK,0
ASCL1,6430598A04RIK,0
ASCL1,8430427H17RIK,0
ASCL1,9030619P08RIK,0
ASCL1,9030625A04RIK,0
ASCL1,9130011E15RIK,0
ASCL1,9130017N09RIK,0
ASCL1,9130404H23RIK,0
ASCL1,9130409I23RIK,0
ASCL1,9230110C19RIK,0
ASCL1,9430015G10RIK,0
ASCL1,9430020K01RIK,0
ASCL1,9430031J16RIK,0
ASCL1,9530008L14RIK,0
ASCL1,9930013L23RIK,0
ASCL1,A2LD1,0
ASCL1,A2M,0
ASCL1,A430005L14RIK,0
ASCL1,A430033K04RIK,0
ASCL1,A430107O13RIK,0
ASCL1,A530016L24RIK,0
