x
XKR4
GM1992
GM19938
GM37381
RP1
GM37323
MRPL15
LYPLA1
TCEA1
RGS20
GM16041
ATP6V1H
OPRK1
RB1CC1
4732440D04RIK
ALKAL1
ST18
PCMTD1
GM26901
GM30414
SNTG1
RRS1
ADHFE1
2610203C22RIK
VXN
MYBL1
VCPIP1
1700034P13RIK
SGK3
MCMDC2
SNHG6
TCF24
PPP1R42
GM15818
COPS5
CSPP1
ARFGEF1
CPA6
PREX2
A830018L16RIK
GM17644
SULF1
SLCO5A1
GM29283
PRDM14
NCOA2
GM29570
TRAM1
LACTB2
XKR9
EYA1
GM9947
MSC
TRPA1
KCNB2
TERF1
SBSPON
4930444P10RIK
RPL7
RDH10
GM28095
STAU2
GM7568
UBE2W
ELOC
D030040B21RIK
TMEM70
LY96
GM28376
JPH1
GDAP1
GM28784
PI15
CRISPLD1
GM28153
GM28756
CRISP4
GM15825
TFAP2D
TFAP2B
PKHD1
4930486I03RIK
GM28653
IL17F
MCM3
6720483E21RIK
PAQR8
EFHC1
TRAM2
TMEM14A
GSTA3
GM28836
KCNQ5
RIMS1
GM29506
GM27028
GM29107
OGFRL1
B3GAT2
SMAP1
SDHAF4
FAM135A
COL9A1
COL19A1
LMBRD1
ADGRB3
GM5524
GM9898
PHF3
PTP4A1
PTP4A1.1
4931428L18RIK
GM29128
LGSN
KHDRBS2
GM5415
GM37724
PRIM2
RAB23
BAG2
ZFP451
BEND6
DST
GM26788
GM37233
CCDC115
GM28306
IMP4
PTPN18
GM28417
4930568A12RIK
CFC1
PRSS40
AMER3
ARHGEF4
GM38336
FAM168B
PLEKHB2
HS6ST1
GM33280
UGGT1
NEURL3
ARID5A
4930403P22RIK
KANSL3
FER1L5
LMAN2L
CNNM4
CNNM3
GM38033
ANKRD23
ANKRD39
SEMA4C
D430040D24RIK
FAM178B
COX5B
ACTR1B
4933424G06RIK
ZAP70
TMEM131
GM38115
VWA3B
CNGA3
INPP4A
4930439A04RIK
COA5
UNC50
MGAT4A
2010300C02RIK
4930556I23RIK
TSGA10
GM26805
LIPT1
MITD1
MRPL30
LYG2
GM15457
LYG1
TXNDC9
EIF5B
REV1
GM37062
GM5099
AFF3
GM16150
GM16152
LONRF2
CHST10
PDCL3
GM37821
NPAS2
RPL31
TBC1D8
CNOT11
GM15832
RNF149
CREG2
D930019O06RIK
RFX8
1700066B17RIK
MAP4K4
IL1R2
GM16894
IL1R1
IL1RL2
IL1RL1
IL18R1
IL18RAP
GM35801
SLC9A4
SLC9A2
GM37623
GM37915
MFSD9
TMEM182
GM29260
PANTR1
POU3F3
MRPS9
GPR45
TGFBRAP1
8430432A02RIK
AI597479
FHL2
GM29040
NCK2
ECRG4
GM29155
GM29156
UXS1
TPP2
GM8251
TEX30
POGLUT2
BIVM
ERCC5
GULP1
COL3A1
COL5A2
WDR75
SLC40A1
DNAH7B
DNAH7C
SLC39A10
GM28151
GM28826
C230029F24RIK
TMEFF2
GM28322
GM28320
GM29325
9330175M20RIK
CAVIN2
1700072G22RIK
NABP1
GM17767
GM28055
MYO1B
GM29453
GM28323
STAT4
GM31812
STAT1
GLS
NAB1
