x
XKR4
GM19938
GM37381
ALKAL1
RRS1
TCF24
PPP1R42
CPA6
GM29283
EYA1
MSC
KCNB2
4930444P10RIK
GM28376
GM28756
PKHD1
KCNQ5
RIMS1
GM29107
OGFRL1
B3GAT2
ADGRB3
4931428L18RIK
KHDRBS2
DST
FAM178B
GM38115
CNGA3
GM5099
AFF3
NPAS2
IL1RL1
IL18R1
GM35801
POU3F3
FHL2
GM8251
DNAH7B
TMEFF2
STAT4
STAT1
HSPD1
HSPE1
GM10561
PLCL1
AOX1
AOX3
AOX4
2310016D23RIK
PARD3B
NRP2
MDH1B
FZD5
GM15668
ERBB4
IKZF2
GM29112
SPAG16
ABCA12
FN1
GM39662
IGFBP2
IGFBP5
RUFY4
AAMP
SLC11A1
CFAP65
IHH
PTPRN
GM15179
GM15178
EPHA4
GM28387
ACSL3
UTP14B
SCG2
AP1S3
DOCK10
COL4A3
SPHKAP
PID1
GM10553
SP110
SP100
PTMA
GM29055
ECEL1
CHRNG
NGEF
SPP2
D130058E05RIK
ACKR3
COL6A3
MLPH
GM17090
TRAF3IP1
GM29483
FARP2
SLCO4C1
PANCT2
PAM
B230216N24RIK
SLCO6D1
CNTNAP5B
GM28187
CDH20
BCL2
SERPINB12
SERPINB13
CNTNAP5A
GM7145
CFAP221
TMEM37
DPP10
GPR39
NCKAP5
4930599A14RIK
TMEM163
THSD7B
GM15675
GM28856
PIGR
ZC3H11A
ZC3H11A.1
GM38394
BTG2
CHIT1
CHIL1
MGAT4E
GM10535
LMOD1
CSRP1
PHLDA3
TNNI1
KIF14
GM4258
GM26930
GM28501
LHX9
ASPM
RGS2
RGS13
PTGS2
2310030A07RIK
HMCN1
SWT1
FAM129A
COLGALT2
APOBEC4
NMNAT2
LAMC2
C230024C17RIK
RGS16
GLUL
GM28286
A830008E24RIK
CACNA1E
LHX4
BRINP2
GM37679
4930523C07RIK
GM37083
GM37634
PRDX6
GM31925
DNM3
MYOCOS
FMO2
FMO3
METTL11B
METTL18
F5
GM26685
GM37184
CD247
LMX1A
PBX1
GM37839
RGS4
CCDC190
CD84
ATP1A2
CFAP45
OLFR1406
IFI207
IFI204
SPTA1
GREM2
RGS7
PLD5
GM15423
AKT3
KIF26B
CNST
COQ8A
ENAH
VMN1R1
1700047M11RIK
DUSP10
GM37223
TGFB2
ESRRG
KCNK2
CENPF
GM26574
GM28172
TATDN3
BATF3
FAM71A
ATF3
PACC1
NEK2
TRAF5
KCNH1
1700065J18RIK
HSD11B1
GM16897
FAM107B
GM10862
GM36988
CAMK1D
A230108P19RIK
CELF2
GM10855
GM10115
GATA3
GM13264
PFKFB3
ST8SIA6
SLC39A12
CACNB2
PLXDC2
NEBL
GM20539
ETL4
GM13327
GPR158
MYO3A
OBP2A
OBP2B
SARDH
AA645442
GM10134
RALGDS
GTF3C4
CFAP77
6530402F18RIK
PHYHD1
IER5L
PTGES
BC005624
HMCN2
LCN2
SH2D3C
RPL12
GARNL3
LMX1B
PBX3
HSPA5
PHF19
HC
CNTRL
STOM
TTLL11
MORN5
GPR21
NR5A1
OLFML2A
RPL35
LRP1B
ZEB2
ZEB2OS
GM13481
RND3
GM13490
CACNB4
GALNT13
KCNJ3
CYTIP
CCDC148
ITGB6
IFIH1
KCNH7
FIGN
GRB14
SLC38A11
SCN2A
GM28638
SCN7A
XIRP2
B3GALT1
GM36231
LRP2
METTL5OS
MYO3B
GAD1OS
GM26558
DLX2
ITGA6
CDCA7
NFE2L2
PDE11A
PJVK
TTN
CCDC141
ITGA4
NEUROD1
PDE1A
ZFP804A
CALCRL
SERPING1
OLFR1023
OLFR1094
OLFR1113
OLFR1137
OLFR1161
OLFR1175-PS
OLFR1216
OLFR1246
PTPRJ
GM13802
ALKBH3
LRRC4C
GM10801
GM10800
PAMR1
GM13872
CD44
BC016548
ABTB2
D430041D05RIK
WT1
MPPED2
GM13912
GM45346
CCDC34
RYR3
ACTC1
MEIS2
G630016G05RIK
4930412B13RIK
THBS1
KNL1
DLL4
NUSAP1
PLA2G4E
MAP1A
TRIM69
SEMA6D
1810024B03RIK
ADRA2B
MTLN
ACOXL
MORRBID
GM14027
NOP56
GFRA4
RNF24
SMOX
RASSF2
PROKR2
CHGB
FERMT1
BMP2
PLCB1
PAK7
ANKEF1
MACROD2
FLRT3
PCSK2
DSTN
BANF2
1700108N11RIK
RALGAPA2
NKX2-2
9030622O22RIK
CSTDC2
ACSS1
GINS1
RSPO4
TRIB3
TPX2
HCK
BPIFB6
BPIFB1
MMP24
ROMO1
GM14224
MROH8
NNAT
GM20412
BPI
SNHG11
GM14204
MAFB
PTPRT
KCNK15
SDC4
WFDC2
SPINT3
CDH22
EYA2
BC046401
ZNFX1
B4GALT5
1200007C13RIK
RIPOR3
E130018N17RIK
TSHZ2
GM16796
RBM38
CTCFLOS
PMEPA1
GNAS
GM20721
GM14296
PHACTR3
GM17180
ADRM1
LAMA5
NTSR1
SLC17A9
GM14342
FNDC11
LIME1
UCKL1OS
HNF4G
PKIA
GM16685
ZBTB10
RALYL
CAR2
CYP7B1
CP
GM38324
NAALADL2
NLGN1
SLC2A2
MECOM
GPR160
KCNMB2
KCNMB3
PEX5L
4930419G24RIK
1700017M07RIK
GM6639
CCDC144B
FAT4
6430590A07RIK
2400006E01RIK
2610316D01RIK
GM31415
SLC7A11
MGST2
GM30292
GM20750
LHFP
GM30735
TRPC4
POSTN
DCLK1
GM43376
WWTR1
GM26671
ANKUB1
GM26850
VMN2R2
KCNAB1
TIPARP
SHOX2
MLF1
SERPINI1
GM37256
FSTL5
4930589L23RIK
GRIA2
ASIC5
DCHS2
TLR2
GLT28D2
FCRL1
INSRR
GPATCH4
IQGAP3
LMNA
GM43713
THBS3
EFNA1
KCNN3
4632404H12RIK
NUP210L
RPS27
S100A13
S100A2
SPRR2A2
SPRR2D
SPRR2F
SPRR1A
IVL
RPTN
TCHH
GM43774
GM43768
SELENBP2
SELENBP1
TNFAIP8L2
CIART
HIST2H2AB
HIST2H2AC
GM20627
HIST2H4
TXNIP
GM16253
CD160
GM15999
GM43024
GM42717
TBX15
SPAG17
TENT5C
GM42869
GM43462
VTCN1
GM16160
NGF
GM42679
SYT6
GM43387
PTPN22
9530097N15RIK
GM42702
GM42701
GM43258
GM43259
GM43260
GM5546
GM43696
4930509H03RIK
SLC16A1
GM43329
OVGP1
CHIA1
CSF1
GSTM6
GSTM3
GM12523
CELSR2
5330417C22RIK
GPSM2
FAM102B
NTNG1
GM26871
DPYD
GM42664
F3
METTL14
PRSS12
ANK2
LARP7
GM43824
ENPEP
COL25A1
RPL34
LEF1
DKK2
GIMD1
CENPE
SLC9B2
SLC9B1
MANBA
PPP3CA
DDIT4L
GM42610
ADH7
ADH6A
ADH4
STPG2
UNC5C
BMPR1B
GBP5
A830019L24RIK
CLCA3A1
CLCA3A2
