Generalist,Arc_4,Arc_6,Arc_1,Arc_5,Arc_2,Arc_5_Arc_6,None,Start,Walk
73,0,115,0,0,0,0,1812,1130535254491137,1
739,0,445,0,0,0,0,816,1130535254491137,2
575,0,188,0,0,0,385,852,1130535254491137,3
257,0,209,0,0,0,216,1318,1130535254491137,4
8,0,159,0,0,0,55,1778,1130535254491137,5
296,0,84,0,0,0,865,755,1130535254491137,6
765,0,300,0,0,0,0,935,1130535254491137,7
397,0,335,0,0,0,0,1268,1130535254491137,8
218,0,1076,0,0,0,0,706,1130535254491137,9
177,0,118,0,0,0,511,1194,1130535254491137,10
938,0,16,0,0,0,0,1046,1130535254491137,11
137,0,706,0,0,0,0,1157,1130535254491137,12
455,0,404,0,0,0,813,328,1130535254491137,13
158,0,33,0,0,0,0,1809,1130535254491137,14
216,0,354,0,0,0,0,1430,1130535254491137,15
249,0,257,0,0,0,231,1263,1130535254491137,16
0,0,136,0,0,0,0,1864,1130535254491137,17
265,0,102,0,0,0,0,1633,1130535254491137,18
173,59,89,0,0,0,47,1632,1130535254491137,19
92,0,620,0,0,0,0,1288,1130535254491137,20
41,0,184,0,0,0,0,1775,1130535254491137,21
165,0,238,0,0,0,0,1597,1130535254491137,22
722,0,106,0,0,0,0,1172,1130535254491137,23
857,0,550,0,0,0,0,593,1130535254491137,24
113,0,57,0,0,0,0,1830,1130535254491137,25
1168,0,249,0,0,0,54,529,1130535254491137,26
80,0,1006,0,0,0,0,914,1130535254491137,27
180,0,177,0,0,0,0,1643,1130535254491137,28
31,0,595,0,0,0,74,1300,1130535254491137,29
71,0,512,0,0,0,0,1417,1130535254491137,30
379,0,633,0,0,0,62,926,1130535254491137,31
10,0,112,0,0,0,34,1844,1130535254491137,32
55,0,22,0,0,0,0,1923,1130535254491137,33
121,0,673,0,0,0,0,1206,1130535254491137,34
615,0,710,0,0,0,0,675,1130535254491137,35
223,0,336,0,0,0,145,1296,1130535254491137,36
478,0,407,0,0,0,0,1115,1130535254491137,37
44,0,105,0,0,0,0,1851,1130535254491137,38
265,0,312,0,0,0,0,1423,1130535254491137,39
506,0,465,0,0,0,0,1029,1130535254491137,40
0,0,365,0,0,0,0,1635,1130535254491137,41
140,0,199,0,0,0,0,1661,1130535254491137,42
0,0,183,0,0,0,0,1817,1130535254491137,43
428,0,143,0,0,0,0,1429,1130535254491137,44
683,0,621,0,0,0,0,696,1130535254491137,45
84,0,314,0,0,0,158,1444,1130535254491137,46
62,0,443,0,0,0,0,1495,1130535254491137,47
260,0,148,0,0,0,97,1495,1130535254491137,48
45,0,137,0,0,0,0,1818,1130535254491137,49
0,0,178,0,0,0,0,1822,1130535254491137,50
212,0,202,0,0,0,0,1586,1130535254491137,51
454,0,145,0,0,0,545,856,1130535254491137,52
0,0,397,0,0,0,0,1603,1130535254491137,53
513,0,386,0,0,0,107,994,1130535254491137,54
49,0,994,0,0,0,0,957,1130535254491137,55
163,0,195,0,0,0,240,1402,1130535254491137,56
97,0,229,0,0,0,0,1674,1130535254491137,57
286,0,385,0,0,0,0,1329,1130535254491137,58
0,0,136,0,0,0,0,1864,1130535254491137,59
0,0,345,0,0,0,0,1655,1130535254491137,60
236,0,127,0,0,0,0,1637,1130535254491137,61
0,0,135,0,0,0,0,1865,1130535254491137,62
186,0,502,0,0,0,0,1312,1130535254491137,63
335,0,568,0,0,0,0,1097,1130535254491137,64
535,0,521,0,0,0,0,944,1130535254491137,65
116,0,112,0,0,0,293,1479,1130535254491137,66
282,0,190,0,0,0,0,1528,1130535254491137,67
82,0,194,0,0,0,0,1724,1130535254491137,68
611,0,570,0,0,0,105,714,1130535254491137,69
111,0,18,0,0,0,0,1871,1130535254491137,70
76,0,0,0,0,0,0,1924,1130535254491137,71
260,0,808,0,0,0,0,932,1130535254491137,72
97,0,255,0,0,0,414,1234,1130535254491137,73
35,0,586,0,0,0,0,1379,1130535254491137,74
0,0,89,0,0,0,0,1911,1130535254491137,75
139,0,843,0,0,0,0,1018,1130535254491137,76
614,0,637,0,0,0,0,749,1130535254491137,77
0,0,91,0,0,0,0,1909,1130535254491137,78
116,0,74,0,0,0,0,1810,1130535254491137,79
213,0,188,0,0,0,0,1599,1130535254491137,80
158,0,671,0,0,0,0,1171,1130535254491137,81
192,0,71,0,0,0,0,1737,1130535254491137,82
100,0,213,0,0,0,587,1100,1130535254491137,83
17,0,438,0,0,0,0,1545,1130535254491137,84
424,0,448,0,0,0,0,1128,1130535254491137,85
33,0,401,0,0,0,0,1566,1130535254491137,86
248,0,470,0,0,0,0,1282,1130535254491137,87
71,0,131,0,0,0,0,1798,1130535254491137,88
238,0,225,0,0,0,0,1537,1130535254491137,89
124,0,483,0,0,0,100,1293,1130535254491137,90
201,0,281,0,0,0,74,1444,1130535254491137,91
32,0,16,0,0,0,0,1952,1130535254491137,92
56,0,94,0,0,0,1362,488,1130535254491137,93
65,0,153,0,0,0,0,1782,1130535254491137,94
127,0,142,0,0,0,0,1731,1130535254491137,95
97,0,468,0,0,0,83,1352,1130535254491137,96
131,0,85,0,0,0,0,1784,1130535254491137,97
309,0,182,0,0,0,54,1455,1130535254491137,98
124,0,86,0,0,0,127,1663,1130535254491137,99
613,0,183,0,0,0,0,1204,1130535254491137,100
690,0,720,0,0,0,0,590,6187638966150109,1
701,0,650,0,0,0,0,649,6187638966150109,2
662,0,499,0,550,0,0,289,6187638966150109,3
1080,0,665,0,0,0,0,255,6187638966150109,4
573,0,1184,0,0,0,0,243,6187638966150109,5
1424,0,221,0,0,0,0,355,6187638966150109,6
0,0,1377,0,0,0,0,623,6187638966150109,7
0,0,137,0,0,0,0,1863,6187638966150109,8
364,0,281,0,0,0,0,1355,6187638966150109,9
279,0,1692,0,18,0,0,11,6187638966150109,10
12,0,1067,0,0,0,0,921,6187638966150109,11
397,0,70,0,0,0,0,1533,6187638966150109,12
360,0,559,0,34,0,0,1047,6187638966150109,13
360,0,627,0,0,0,0,1013,6187638966150109,14
396,0,399,0,0,0,0,1205,6187638966150109,15
423,0,202,0,630,0,0,745,6187638966150109,16
26,0,888,0,0,0,0,1086,6187638966150109,17
420,0,173,0,598,0,0,809,6187638966150109,18
898,0,4,0,493,0,0,605,6187638966150109,19
294,0,922,0,0,0,0,784,6187638966150109,20
174,0,703,0,0,0,0,1123,6187638966150109,21
1470,0,433,0,29,0,0,68,6187638966150109,22
29,0,495,0,0,0,0,1476,6187638966150109,23
582,0,150,0,156,0,0,1112,6187638966150109,24
18,0,653,0,0,0,0,1329,6187638966150109,25
811,0,176,0,209,0,0,804,6187638966150109,26
234,0,490,0,0,0,0,1276,6187638966150109,27
36,0,1051,0,0,0,0,913,6187638966150109,28
706,0,244,0,850,0,0,200,6187638966150109,29
936,0,238,0,0,0,0,826,6187638966150109,30
819,0,848,0,275,0,0,58,6187638966150109,31
385,0,333,0,0,0,0,1282,6187638966150109,32
388,0,792,0,145,0,0,675,6187638966150109,33
684,0,376,0,215,0,0,725,6187638966150109,34
1045,0,739,0,0,0,0,216,6187638966150109,35
500,0,867,0,0,0,0,633,6187638966150109,36
426,0,902,0,394,0,0,278,6187638966150109,37
2,0,1095,0,0,0,0,903,6187638966150109,38
0,0,157,0,25,0,0,1818,6187638966150109,39
235,0,930,0,325,0,0,510,6187638966150109,40
93,0,268,0,0,0,0,1639,6187638966150109,41
77,0,618,0,0,0,0,1305,6187638966150109,42
1515,0,308,0,125,0,0,52,6187638966150109,43
238,0,483,0,9,0,0,1270,6187638966150109,44
872,0,437,0,201,0,0,490,6187638966150109,45
530,0,336,0,0,0,0,1134,6187638966150109,46
0,0,44,0,536,0,0,1420,6187638966150109,47
654,0,868,0,0,0,0,478,6187638966150109,48
748,0,684,0,0,0,0,568,6187638966150109,49
604,0,510,0,0,0,0,886,6187638966150109,50
48,0,236,0,0,0,0,1716,6187638966150109,51
553,0,228,0,559,0,0,660,6187638966150109,52
769,0,659,0,0,0,0,572,6187638966150109,53
1104,0,229,0,24,0,0,643,6187638966150109,54
726,0,923,0,0,0,0,351,6187638966150109,55
0,0,1683,0,0,0,0,317,6187638966150109,56
313,0,87,0,0,0,0,1600,6187638966150109,57
0,0,483,0,0,0,0,1517,6187638966150109,58
1,0,82,0,37,0,0,1880,6187638966150109,59
0,0,145,0,1048,0,0,807,6187638966150109,60
1162,0,97,0,0,0,0,741,6187638966150109,61
652,0,597,0,0,0,0,751,6187638966150109,62
235,0,30,0,697,0,0,1038,6187638966150109,63
0,0,1337,0,27,0,0,636,6187638966150109,64
95,0,886,0,100,0,0,919,6187638966150109,65
1032,0,377,0,0,0,0,591,6187638966150109,66
471,0,37,0,72,0,0,1420,6187638966150109,67
9,0,491,0,9,0,0,1491,6187638966150109,68
0,0,873,0,5,0,0,1122,6187638966150109,69
1619,0,13,0,244,0,0,124,6187638966150109,70
520,0,385,0,0,0,0,1095,6187638966150109,71
258,0,384,0,0,0,0,1358,6187638966150109,72
167,0,928,0,165,0,0,740,6187638966150109,73
0,0,877,0,39,0,0,1084,6187638966150109,74
507,0,22,0,0,0,0,1471,6187638966150109,75
1016,0,764,0,0,0,0,220,6187638966150109,76
259,0,921,0,0,0,0,820,6187638966150109,77
137,0,269,0,0,0,0,1594,6187638966150109,78
291,0,777,0,680,0,0,252,6187638966150109,79
178,0,308,0,0,0,0,1514,6187638966150109,80
82,0,1094,0,0,0,0,824,6187638966150109,81
179,0,401,0,132,0,0,1288,6187638966150109,82
229,0,199,0,1062,0,0,510,6187638966150109,83
110,0,114,0,0,0,0,1776,6187638966150109,84
1158,0,213,0,348,0,0,281,6187638966150109,85
391,0,336,0,818,0,0,455,6187638966150109,86
192,0,384,0,0,0,0,1424,6187638966150109,87
180,0,1387,0,2,0,0,431,6187638966150109,88
152,0,1661,0,0,0,0,187,6187638966150109,89
602,0,767,0,229,0,0,402,6187638966150109,90
68,0,455,0,140,0,0,1337,6187638966150109,91
43,0,769,0,23,0,0,1165,6187638966150109,92
91,0,263,0,0,0,191,1455,6187638966150109,93
779,0,24,0,201,0,0,996,6187638966150109,94
502,0,1288,0,0,0,0,210,6187638966150109,95
112,0,529,0,0,0,0,1359,6187638966150109,96
592,0,522,0,0,0,0,886,6187638966150109,97
0,0,706,0,0,0,0,1294,6187638966150109,98
567,0,491,0,368,0,0,574,6187638966150109,99
235,0,353,0,411,0,0,1001,6187638966150109,100
139,0,516,0,0,0,0,1345,6187638982927261,1
31,0,1231,0,0,0,0,738,6187638982927261,2
39,0,311,0,0,0,0,1650,6187638982927261,3
303,0,123,0,0,0,0,1574,6187638982927261,4
3,0,330,0,0,0,0,1667,6187638982927261,5
26,0,100,0,0,0,0,1874,6187638982927261,6
152,0,428,0,0,0,0,1420,6187638982927261,7
0,0,163,0,22,0,0,1815,6187638982927261,8
0,0,295,0,0,0,0,1705,6187638982927261,9
337,84,114,0,0,11,0,1454,6187638982927261,10
0,0,94,0,0,0,0,1906,6187638982927261,11
13,0,271,0,0,0,0,1716,6187638982927261,12
0,0,516,0,0,0,0,1484,6187638982927261,13
128,0,389,0,0,0,0,1483,6187638982927261,14
397,0,297,0,0,0,0,1306,6187638982927261,15
92,0,370,0,0,0,0,1538,6187638982927261,16
441,0,6,0,0,0,0,1553,6187638982927261,17
309,0,298,0,0,0,0,1393,6187638982927261,18
370,0,228,0,0,0,0,1402,6187638982927261,19
252,0,82,0,0,0,0,1666,6187638982927261,20
53,0,968,0,0,0,0,979,6187638982927261,21
235,0,510,0,0,0,98,1157,6187638982927261,22
65,0,736,0,0,0,0,1199,6187638982927261,23
193,0,214,0,0,0,0,1593,6187638982927261,24
325,0,287,0,0,0,0,1388,6187638982927261,25
740,0,625,0,471,0,0,164,6187638982927261,26
0,0,156,0,0,0,0,1844,6187638982927261,27
285,0,77,0,0,0,0,1638,6187638982927261,28
100,0,125,0,0,0,0,1775,6187638982927261,29
432,0,647,0,0,0,0,921,6187638982927261,30
457,0,513,0,799,0,0,231,6187638982927261,31
151,0,456,0,0,0,0,1393,6187638982927261,32
0,0,154,0,0,0,0,1846,6187638982927261,33
544,0,97,0,0,0,0,1359,6187638982927261,34
0,0,741,0,0,0,0,1259,6187638982927261,35
45,0,30,0,0,0,0,1925,6187638982927261,36
33,0,174,0,0,0,0,1793,6187638982927261,37
39,0,140,0,0,0,0,1821,6187638982927261,38
68,0,307,0,0,0,0,1625,6187638982927261,39
711,0,33,0,0,0,0,1256,6187638982927261,40
0,0,664,0,0,0,0,1336,6187638982927261,41
254,0,559,0,0,0,0,1187,6187638982927261,42
1295,0,46,0,0,0,0,659,6187638982927261,43
74,0,205,0,0,0,0,1721,6187638982927261,44
242,0,313,0,0,0,0,1445,6187638982927261,45
0,0,294,0,0,0,0,1706,6187638982927261,46
84,0,375,0,0,0,0,1541,6187638982927261,47
260,0,569,0,0,0,0,1171,6187638982927261,48
164,0,469,0,0,0,0,1367,6187638982927261,49
0,0,324,0,0,0,0,1676,6187638982927261,50
0,0,863,0,0,0,0,1137,6187638982927261,51
745,0,404,0,0,0,0,851,6187638982927261,52
0,0,174,0,0,0,0,1826,6187638982927261,53
273,0,101,0,0,0,0,1626,6187638982927261,54
16,0,707,0,0,0,0,1277,6187638982927261,55
0,0,252,0,0,0,0,1748,6187638982927261,56
