Start,Walk,Closest Attractor,Distance,Step
1130535254491137,1,None,None,None
1130535254491137,2,None,None,None
1130535254491137,3,None,None,None
1130535254491137,4,None,None,None
1130535254491137,5,None,None,None
1130535254491137,6,None,None,None
1130535254491137,7,None,None,None
1130535254491137,8,None,None,None
1130535254491137,9,None,None,None
1130535254491137,10,None,None,None
1130535254491137,11,None,None,None
1130535254491137,12,None,None,None
1130535254491137,13,None,None,None
1130535254491137,14,None,None,None
1130535254491137,15,None,None,None
1130535254491137,16,None,None,None
1130535254491137,17,None,None,None
1130535254491137,18,None,None,None
1130535254491137,19,Arc_4,4,689
1130535254491137,20,None,None,None
1130535254491137,21,None,None,None
1130535254491137,22,None,None,None
1130535254491137,23,None,None,None
1130535254491137,24,None,None,None
1130535254491137,25,None,None,None
1130535254491137,26,None,None,None
1130535254491137,27,None,None,None
1130535254491137,28,None,None,None
1130535254491137,29,None,None,None
1130535254491137,30,None,None,None
1130535254491137,31,None,None,None
1130535254491137,32,None,None,None
1130535254491137,33,None,None,None
1130535254491137,34,None,None,None
1130535254491137,35,None,None,None
1130535254491137,36,None,None,None
1130535254491137,37,None,None,None
1130535254491137,38,None,None,None
1130535254491137,39,None,None,None
1130535254491137,40,None,None,None
1130535254491137,41,None,None,None
1130535254491137,42,None,None,None
1130535254491137,43,None,None,None
1130535254491137,44,None,None,None
1130535254491137,45,None,None,None
1130535254491137,46,None,None,None
1130535254491137,47,None,None,None
1130535254491137,48,None,None,None
1130535254491137,49,None,None,None
1130535254491137,50,None,None,None
1130535254491137,51,None,None,None
1130535254491137,52,None,None,None
1130535254491137,53,None,None,None
1130535254491137,54,None,None,None
1130535254491137,55,None,None,None
1130535254491137,56,None,None,None
1130535254491137,57,None,None,None
1130535254491137,58,None,None,None
1130535254491137,59,None,None,None
1130535254491137,60,None,None,None
1130535254491137,61,None,None,None
1130535254491137,62,None,None,None
1130535254491137,63,None,None,None
1130535254491137,64,None,None,None
1130535254491137,65,None,None,None
1130535254491137,66,None,None,None
1130535254491137,67,None,None,None
1130535254491137,68,None,None,None
1130535254491137,69,None,None,None
1130535254491137,70,None,None,None
1130535254491137,71,None,None,None
1130535254491137,72,None,None,None
1130535254491137,73,None,None,None
1130535254491137,74,None,None,None
1130535254491137,75,None,None,None
1130535254491137,76,None,None,None
1130535254491137,77,None,None,None
1130535254491137,78,None,None,None
1130535254491137,79,None,None,None
1130535254491137,80,None,None,None
1130535254491137,81,None,None,None
1130535254491137,82,None,None,None
1130535254491137,83,None,None,None
1130535254491137,84,None,None,None
1130535254491137,85,None,None,None
1130535254491137,86,None,None,None
1130535254491137,87,None,None,None
1130535254491137,88,None,None,None
1130535254491137,89,None,None,None
1130535254491137,90,None,None,None
1130535254491137,91,None,None,None
1130535254491137,92,None,None,None
1130535254491137,93,None,None,None
1130535254491137,94,None,None,None
1130535254491137,95,None,None,None
1130535254491137,96,None,None,None
1130535254491137,97,None,None,None
1130535254491137,98,None,None,None
1130535254491137,99,None,None,None
1130535254491137,100,None,None,None
6187638966150109,1,None,None,None
6187638966150109,2,None,None,None
6187638966150109,3,Arc_5,0,34
6187638966150109,4,None,None,None
6187638966150109,5,None,None,None
6187638966150109,6,None,None,None
6187638966150109,7,None,None,None
6187638966150109,8,None,None,None
6187638966150109,9,None,None,None
6187638966150109,10,Arc_5,3,344
6187638966150109,11,None,None,None
6187638966150109,12,None,None,None
6187638966150109,13,Arc_5,4,1065
6187638966150109,14,None,None,None
6187638966150109,15,None,None,None
6187638966150109,16,Arc_5,3,474
6187638966150109,17,None,None,None
6187638966150109,18,Arc_5,2,313
6187638966150109,19,Arc_5,4,745
6187638966150109,20,None,None,None
6187638966150109,21,None,None,None
6187638966150109,22,Arc_5,0,136
6187638966150109,23,None,None,None
6187638966150109,24,Arc_5,0,150
6187638966150109,25,None,None,None
6187638966150109,26,Arc_5,3,910
6187638966150109,27,None,None,None
6187638966150109,28,None,None,None
6187638966150109,29,Arc_5,3,1076
6187638966150109,30,None,None,None
6187638966150109,31,Arc_5,2,1705
6187638966150109,32,None,None,None
6187638966150109,33,Arc_5,4,284
6187638966150109,34,Arc_5,4,117
6187638966150109,35,None,None,None
6187638966150109,36,None,None,None
6187638966150109,37,Arc_5,2,250
6187638966150109,38,None,None,None
6187638966150109,39,Arc_5,2,67
6187638966150109,40,Arc_5,4,1041
6187638966150109,41,None,None,None
6187638966150109,42,None,None,None
6187638966150109,43,Arc_5,1,308
6187638966150109,44,Arc_5,3,49
6187638966150109,45,Arc_5,4,333
6187638966150109,46,None,None,None
6187638966150109,47,Arc_5,2,44
6187638966150109,48,None,None,None
6187638966150109,49,None,None,None
6187638966150109,50,None,None,None
6187638966150109,51,None,None,None
6187638966150109,52,Arc_5,3,228
6187638966150109,53,None,None,None
6187638966150109,54,Arc_5,4,1030
6187638966150109,55,None,None,None
6187638966150109,56,None,None,None
6187638966150109,57,None,None,None
6187638966150109,58,None,None,None
6187638966150109,59,Arc_5,2,68
6187638966150109,60,Arc_5,1,145
6187638966150109,61,None,None,None
6187638966150109,62,None,None,None
6187638966150109,63,Arc_5,0,30
6187638966150109,64,Arc_5,3,948
6187638966150109,65,Arc_5,4,1525
6187638966150109,66,None,None,None
6187638966150109,67,Arc_5,0,37
6187638966150109,68,Arc_5,4,1991
6187638966150109,69,Arc_5,4,286
6187638966150109,70,Arc_5,1,13
6187638966150109,71,None,None,None
6187638966150109,72,None,None,None
6187638966150109,73,Arc_5,4,1773
6187638966150109,74,Arc_5,2,114
6187638966150109,75,None,None,None
6187638966150109,76,None,None,None
6187638966150109,77,None,None,None
6187638966150109,78,None,None,None
6187638966150109,79,Arc_5,2,156
6187638966150109,80,None,None,None
6187638966150109,81,None,None,None
6187638966150109,82,Arc_5,1,34
6187638966150109,83,Arc_5,1,199
6187638966150109,84,None,None,None
6187638966150109,85,Arc_5,1,213
6187638966150109,86,Arc_5,1,327
6187638966150109,87,None,None,None
6187638966150109,88,Arc_5,1,102
6187638966150109,89,None,None,None
6187638966150109,90,Arc_5,2,486
6187638966150109,91,Arc_5,1,455
6187638966150109,92,Arc_5,3,431
6187638966150109,93,None,None,None
6187638966150109,94,Arc_5,1,24
6187638966150109,95,None,None,None
6187638966150109,96,None,None,None
6187638966150109,97,None,None,None
6187638966150109,98,None,None,None
6187638966150109,99,Arc_5,2,1277
6187638966150109,100,Arc_5,3,396
6187638982927261,1,None,None,None
6187638982927261,2,None,None,None
6187638982927261,3,None,None,None
6187638982927261,4,None,None,None
6187638982927261,5,None,None,None
6187638982927261,6,None,None,None
6187638982927261,7,None,None,None
6187638982927261,8,Arc_5,4,778
6187638982927261,9,None,None,None
6187638982927261,10,Arc_4,4,1487
6187638982927261,11,None,None,None
6187638982927261,12,None,None,None
6187638982927261,13,None,None,None
6187638982927261,14,None,None,None
6187638982927261,15,None,None,None
6187638982927261,16,None,None,None
6187638982927261,17,None,None,None
6187638982927261,18,None,None,None
6187638982927261,19,None,None,None
6187638982927261,20,None,None,None
6187638982927261,21,None,None,None
6187638982927261,22,None,None,None
6187638982927261,23,None,None,None
6187638982927261,24,None,None,None
6187638982927261,25,None,None,None
6187638982927261,26,Arc_5,2,277
6187638982927261,27,None,None,None
6187638982927261,28,None,None,None
6187638982927261,29,None,None,None
6187638982927261,30,None,None,None
6187638982927261,31,Arc_5,2,235
6187638982927261,32,None,None,None
6187638982927261,33,None,None,None
6187638982927261,34,None,None,None
6187638982927261,35,None,None,None
6187638982927261,36,None,None,None
6187638982927261,37,None,None,None
6187638982927261,38,None,None,None
6187638982927261,39,None,None,None
6187638982927261,40,None,None,None
6187638982927261,41,None,None,None
6187638982927261,42,None,None,None
6187638982927261,43,None,None,None
6187638982927261,44,None,None,None
6187638982927261,45,None,None,None
6187638982927261,46,None,None,None
6187638982927261,47,None,None,None
6187638982927261,48,None,None,None
6187638982927261,49,None,None,None
6187638982927261,50,None,None,None
6187638982927261,51,None,None,None
6187638982927261,52,None,None,None
6187638982927261,53,None,None,None
6187638982927261,54,None,None,None
6187638982927261,55,None,None,None
6187638982927261,56,None,None,None
6187638982927261,57,None,None,None
6187638982927261,58,None,None,None
6187638982927261,59,None,None,None
6187638982927261,60,None,None,None
6187638982927261,61,None,None,None
6187638982927261,62,None,None,None
6187638982927261,63,None,None,None
6187638982927261,64,None,None,None
6187638982927261,65,None,None,None
6187638982927261,66,None,None,None
6187638982927261,67,None,None,None
6187638982927261,68,None,None,None
6187638982927261,69,None,None,None
6187638982927261,70,None,None,None
6187638982927261,71,None,None,None
6187638982927261,72,None,None,None
6187638982927261,73,None,None,None
6187638982927261,74,None,None,None
6187638982927261,75,None,None,None
6187638982927261,76,None,None,None
6187638982927261,77,None,None,None
6187638982927261,78,Arc_5,4,811
6187638982927261,79,None,None,None
6187638982927261,80,None,None,None
6187638982927261,81,None,None,None
6187638982927261,82,None,None,None
6187638982927261,83,Arc_5,4,1666
6187638982927261,84,Arc_5,4,1800
6187638982927261,85,None,None,None
6187638982927261,86,None,None,None
6187638982927261,87,None,None,None
6187638982927261,88,Arc_5,4,463
6187638982927261,89,Arc_5,4,1895
6187638982927261,90,None,None,None
6187638982927261,91,None,None,None
6187638982927261,92,None,None,None
6187638982927261,93,None,None,None
6187638982927261,94,None,None,None
6187638982927261,95,None,None,None
6187638982927261,96,None,None,None
6187638982927261,97,None,None,None
6187638982927261,98,None,None,None
