Generalist,Arc_4,Arc_6,Arc_1,Arc_5,Arc_2,Arc_5_Arc_6,None,Start,Walk
14,0,185,0,0,0,0,1801,1130535254491137,1
1063,0,310,0,0,0,0,627,1130535254491137,2
681,0,518,0,0,0,0,801,1130535254491137,3
68,0,36,0,0,0,881,1015,1130535254491137,4
449,0,474,0,0,0,180,897,1130535254491137,5
0,0,187,0,0,0,0,1813,1130535254491137,6
297,0,375,0,0,0,0,1328,1130535254491137,7
116,0,442,0,0,0,0,1442,1130535254491137,8
820,0,33,0,0,0,0,1147,1130535254491137,9
36,0,287,0,0,0,0,1677,1130535254491137,10
414,0,291,0,0,0,0,1295,1130535254491137,11
513,0,317,0,0,0,0,1170,1130535254491137,12
454,0,771,0,0,0,0,775,1130535254491137,13
401,0,58,0,0,0,0,1541,1130535254491137,14
350,0,206,0,0,0,428,1016,1130535254491137,15
297,0,545,0,0,0,0,1158,1130535254491137,16
20,0,1065,0,0,0,0,915,1130535254491137,17
11,0,9,0,0,0,192,1788,1130535254491137,18
295,0,1244,0,0,0,0,461,1130535254491137,19
941,0,303,0,0,0,0,756,1130535254491137,20
112,0,368,0,0,0,0,1520,1130535254491137,21
328,0,173,0,0,0,0,1499,1130535254491137,22
685,0,963,0,0,0,0,352,1130535254491137,23
189,0,960,0,0,0,0,851,1130535254491137,24
783,0,652,0,0,0,0,565,1130535254491137,25
101,0,532,0,0,0,0,1367,1130535254491137,26
0,0,32,0,0,7,74,1887,1130535254491137,27
557,0,227,0,0,0,0,1216,1130535254491137,28
241,287,206,0,0,0,0,1266,1130535254491137,29
253,0,541,0,0,0,0,1206,1130535254491137,30
174,0,49,0,0,0,0,1777,1130535254491137,31
279,0,751,0,0,0,446,524,1130535254491137,32
467,0,508,0,0,0,0,1025,1130535254491137,33
226,0,204,0,0,0,20,1550,1130535254491137,34
651,0,100,0,0,0,387,862,1130535254491137,35
542,0,399,0,0,0,0,1059,1130535254491137,36
217,0,8,0,0,0,0,1775,1130535254491137,37
909,0,463,0,0,0,283,345,1130535254491137,38
157,244,93,0,0,0,0,1506,1130535254491137,39
600,0,258,0,0,0,0,1142,1130535254491137,40
1157,0,155,0,0,0,0,688,1130535254491137,41
50,0,254,0,0,0,0,1696,1130535254491137,42
1119,0,301,0,0,0,0,580,1130535254491137,43
85,0,59,0,0,0,0,1856,1130535254491137,44
746,0,435,0,0,0,0,819,1130535254491137,45
91,0,119,0,0,0,0,1790,1130535254491137,46
39,0,408,0,0,0,0,1553,1130535254491137,47
455,0,365,0,0,0,12,1168,1130535254491137,48
111,0,426,0,0,0,0,1463,1130535254491137,49
473,0,138,0,0,0,0,1389,1130535254491137,50
117,0,313,0,0,0,605,965,1130535254491137,51
14,0,580,0,0,0,138,1268,1130535254491137,52
0,0,257,0,0,0,0,1743,1130535254491137,53
981,0,612,0,0,0,0,407,1130535254491137,54
205,0,377,103,0,0,0,1315,1130535254491137,55
1176,0,64,0,0,0,0,760,1130535254491137,56
203,0,414,0,0,0,52,1331,1130535254491137,57
199,0,13,0,0,0,91,1697,1130535254491137,58
357,0,463,0,0,0,43,1137,1130535254491137,59
3,0,113,0,0,0,287,1597,1130535254491137,60
0,0,271,0,0,0,0,1729,1130535254491137,61
929,0,380,0,0,0,0,691,1130535254491137,62
0,0,339,0,0,0,0,1661,1130535254491137,63
459,0,650,0,0,0,100,791,1130535254491137,64
264,0,372,0,0,0,0,1364,1130535254491137,65
108,26,338,18,0,30,0,1480,1130535254491137,66
64,0,613,0,0,0,0,1323,1130535254491137,67
143,0,211,0,0,0,580,1066,1130535254491137,68
439,0,66,0,0,0,0,1495,1130535254491137,69
0,0,99,0,0,0,0,1901,1130535254491137,70
159,0,296,0,0,0,0,1545,1130535254491137,71
436,2,30,0,0,0,0,1532,1130535254491137,72
120,0,539,0,0,0,471,870,1130535254491137,73
136,0,624,0,0,0,0,1240,1130535254491137,74
216,0,368,0,0,0,0,1416,1130535254491137,75
129,0,990,0,0,0,0,881,1130535254491137,76
459,0,82,0,0,0,0,1459,1130535254491137,77
0,0,249,0,0,0,0,1751,1130535254491137,78
0,0,125,0,0,0,0,1875,1130535254491137,79
294,0,969,0,0,0,57,680,1130535254491137,80
254,0,924,0,0,0,0,822,1130535254491137,81
363,0,228,0,0,0,0,1409,1130535254491137,82
94,0,567,0,0,0,2,1337,1130535254491137,83
162,0,201,0,0,0,28,1609,1130535254491137,84
1437,0,266,0,0,0,0,297,1130535254491137,85
159,0,315,0,0,0,109,1417,1130535254491137,86
203,0,27,0,32,0,0,1738,1130535254491137,87
100,0,286,0,0,0,0,1614,1130535254491137,88
178,0,42,0,0,0,562,1218,1130535254491137,89
0,0,205,0,0,0,0,1795,1130535254491137,90
205,0,178,0,0,0,0,1617,1130535254491137,91
576,0,234,0,0,0,0,1190,1130535254491137,92
30,0,213,0,0,0,0,1757,1130535254491137,93
301,0,607,0,0,0,123,969,1130535254491137,94
176,0,627,0,0,0,0,1197,1130535254491137,95
89,0,106,0,0,0,0,1805,1130535254491137,96
188,0,160,0,0,0,570,1082,1130535254491137,97
88,0,841,0,0,0,0,1071,1130535254491137,98
312,0,264,0,0,0,0,1424,1130535254491137,99
29,0,64,0,0,0,0,1907,1130535254491137,100
370,0,245,0,53,0,0,1332,6187638966150109,1
209,0,28,0,185,0,0,1578,6187638966150109,2
58,0,57,0,625,0,0,1260,6187638966150109,3
0,0,5,0,249,0,0,1746,6187638966150109,4
150,0,13,0,670,0,0,1167,6187638966150109,5
33,0,108,0,0,0,0,1859,6187638966150109,6
516,0,55,0,157,0,0,1272,6187638966150109,7
90,0,49,0,0,0,0,1861,6187638966150109,8
19,0,30,0,0,0,0,1951,6187638966150109,9
75,0,83,0,44,0,0,1798,6187638966150109,10
0,0,64,0,0,0,0,1936,6187638966150109,11
515,0,36,0,210,0,0,1239,6187638966150109,12
56,0,162,0,0,0,0,1782,6187638966150109,13
383,0,44,0,288,0,0,1285,6187638966150109,14
661,0,67,0,14,0,0,1258,6187638966150109,15
16,0,18,0,152,0,0,1814,6187638966150109,16
0,0,51,0,126,0,0,1823,6187638966150109,17
0,0,64,0,0,0,0,1936,6187638966150109,18
43,0,82,0,0,0,0,1875,6187638966150109,19
275,0,120,0,0,0,0,1605,6187638966150109,20
364,0,58,0,0,0,0,1578,6187638966150109,21
72,0,28,0,651,0,0,1249,6187638966150109,22
245,0,33,0,114,0,0,1608,6187638966150109,23
197,0,91,0,223,0,0,1489,6187638966150109,24
0,0,54,0,0,0,0,1946,6187638966150109,25
95,0,48,0,286,0,0,1571,6187638966150109,26
982,0,66,0,199,0,0,753,6187638966150109,27
7,0,30,0,0,0,0,1963,6187638966150109,28
147,0,105,0,0,0,0,1748,6187638966150109,29
175,0,121,0,30,0,0,1674,6187638966150109,30
419,0,58,0,525,0,0,998,6187638966150109,31
580,0,250,0,32,0,0,1138,6187638966150109,32
55,0,48,0,81,0,0,1816,6187638966150109,33
648,0,95,0,115,0,0,1142,6187638966150109,34
16,0,21,0,0,0,0,1963,6187638966150109,35
305,0,312,0,0,0,0,1383,6187638966150109,36
455,0,51,0,0,0,0,1494,6187638966150109,37
0,0,95,0,0,0,0,1905,6187638966150109,38
8,0,167,0,118,0,0,1707,6187638966150109,39
0,0,95,0,264,0,0,1641,6187638966150109,40
28,0,171,0,0,0,0,1801,6187638966150109,41
249,0,77,0,395,0,0,1279,6187638966150109,42
0,0,180,0,77,0,0,1743,6187638966150109,43
0,0,58,0,0,0,0,1942,6187638966150109,44
0,0,40,0,247,0,0,1713,6187638966150109,45
274,0,176,0,32,0,0,1518,6187638966150109,46
55,0,80,0,69,0,0,1796,6187638966150109,47
0,0,32,0,0,0,0,1968,6187638966150109,48
19,0,31,0,100,0,0,1850,6187638966150109,49
46,0,39,95,3,18,0,1799,6187638966150109,50
9,0,168,0,0,0,0,1823,6187638966150109,51
0,0,99,0,0,0,0,1901,6187638966150109,52
46,0,4,0,99,0,0,1851,6187638966150109,53
0,0,23,0,145,0,0,1832,6187638966150109,54
62,0,63,0,126,133,0,1616,6187638966150109,55
13,0,48,0,0,0,0,1939,6187638966150109,56
106,0,11,0,0,0,0,1883,6187638966150109,57
79,0,0,0,0,0,0,1921,6187638966150109,58
76,0,86,0,4,0,0,1834,6187638966150109,59
98,0,35,0,206,0,0,1661,6187638966150109,60
