Generalist,Arc_4,Arc_6,Arc_1,Arc_5,Arc_2,Arc_5_Arc_6,None,Start,Walk
294,0,41,0,0,0,0,1665,1130535254491137,1
280,0,557,0,0,0,0,1163,1130535254491137,2
27,0,15,0,0,0,93,1865,1130535254491137,3
142,0,441,0,0,0,0,1417,1130535254491137,4
0,0,246,0,0,0,0,1754,1130535254491137,5
126,0,767,0,0,0,0,1107,1130535254491137,6
177,0,335,0,0,0,0,1488,1130535254491137,7
102,0,148,0,0,0,0,1750,1130535254491137,8
59,23,56,0,0,195,0,1667,1130535254491137,9
458,0,424,0,0,0,0,1118,1130535254491137,10
167,0,485,0,0,0,0,1348,1130535254491137,11
46,0,140,0,0,0,0,1814,1130535254491137,12
485,0,234,0,0,0,191,1090,1130535254491137,13
558,0,113,0,0,0,47,1282,1130535254491137,14
267,0,221,0,0,0,20,1492,1130535254491137,15
57,0,242,0,0,0,0,1701,1130535254491137,16
248,0,270,0,0,0,0,1482,1130535254491137,17
385,0,334,0,0,0,0,1281,1130535254491137,18
145,0,592,0,0,0,0,1263,1130535254491137,19
619,0,770,0,0,0,23,588,1130535254491137,20
240,0,495,0,0,0,0,1265,1130535254491137,21
40,0,178,0,0,0,0,1782,1130535254491137,22
417,0,172,0,0,0,920,491,1130535254491137,23
2,0,176,0,0,0,11,1811,1130535254491137,24
531,0,787,0,0,0,0,682,1130535254491137,25
234,0,362,0,0,0,0,1404,1130535254491137,26
490,0,8,0,0,0,152,1350,1130535254491137,27
1138,0,87,0,0,0,83,692,1130535254491137,28
1156,0,439,0,0,0,0,405,1130535254491137,29
131,0,160,0,0,0,0,1709,1130535254491137,30
0,0,95,0,0,0,0,1905,1130535254491137,31
86,0,320,0,0,0,0,1594,1130535254491137,32
0,0,253,0,0,0,0,1747,1130535254491137,33
446,0,492,0,0,0,517,545,1130535254491137,34
18,0,191,0,0,0,0,1791,1130535254491137,35
368,0,44,0,0,0,179,1409,1130535254491137,36
88,0,168,0,0,0,0,1744,1130535254491137,37
661,0,142,0,0,0,0,1197,1130535254491137,38
141,0,456,0,0,0,0,1403,1130535254491137,39
633,0,1001,0,0,0,0,366,1130535254491137,40
205,0,302,0,0,0,0,1493,1130535254491137,41
118,0,234,0,0,0,0,1648,1130535254491137,42
131,0,725,0,0,0,214,930,1130535254491137,43
164,0,626,0,0,0,0,1210,1130535254491137,44
159,0,346,0,0,0,0,1495,1130535254491137,45
370,0,279,0,0,0,0,1351,1130535254491137,46
282,0,582,0,0,0,0,1136,1130535254491137,47
340,0,257,0,0,0,0,1403,1130535254491137,48
141,0,1,0,0,0,0,1858,1130535254491137,49
0,0,426,0,0,0,0,1574,1130535254491137,50
524,0,2,0,0,0,0,1474,1130535254491137,51
698,0,25,0,0,0,0,1277,1130535254491137,52
0,0,175,0,0,0,0,1825,1130535254491137,53
355,0,489,0,0,0,0,1156,1130535254491137,54
277,0,274,0,0,0,0,1449,1130535254491137,55
518,0,132,0,0,0,14,1336,1130535254491137,56
189,0,283,0,0,0,0,1528,1130535254491137,57
123,0,298,0,0,0,0,1579,1130535254491137,58
105,0,400,0,0,0,0,1495,1130535254491137,59
195,0,41,0,0,0,0,1764,1130535254491137,60
929,0,92,0,0,0,0,979,1130535254491137,61
21,0,601,0,0,0,174,1204,1130535254491137,62
213,0,397,0,0,0,0,1390,1130535254491137,63
37,0,134,0,0,0,0,1829,1130535254491137,64
552,0,83,0,0,0,0,1365,1130535254491137,65
499,0,413,0,0,0,0,1088,1130535254491137,66
0,0,89,0,0,0,0,1911,1130535254491137,67
0,0,222,0,0,0,0,1778,1130535254491137,68
0,0,151,0,0,0,0,1849,1130535254491137,69
0,0,145,0,0,0,0,1855,1130535254491137,70
43,0,223,0,0,0,0,1734,1130535254491137,71
66,0,324,0,0,0,0,1610,1130535254491137,72
14,42,577,0,0,0,0,1367,1130535254491137,73
71,0,401,0,0,0,306,1222,1130535254491137,74
106,0,267,0,0,0,0,1627,1130535254491137,75
212,0,830,0,0,0,189,769,1130535254491137,76
0,0,726,0,0,0,0,1274,1130535254491137,77
157,0,868,0,0,0,0,975,1130535254491137,78
521,0,212,0,0,0,0,1267,1130535254491137,79
214,0,456,0,0,0,0,1330,1130535254491137,80
220,0,35,0,0,0,546,1199,1130535254491137,81
193,0,306,0,0,0,303,1198,1130535254491137,82
817,0,26,0,0,0,178,979,1130535254491137,83
130,0,690,0,0,0,0,1180,1130535254491137,84
192,0,868,0,0,0,0,940,1130535254491137,85
0,0,292,0,0,0,0,1708,1130535254491137,86
135,0,307,0,0,0,0,1558,1130535254491137,87
202,0,657,0,0,0,0,1141,1130535254491137,88
119,0,131,0,0,0,0,1750,1130535254491137,89
48,0,247,0,0,0,163,1542,1130535254491137,90
142,0,783,0,0,0,0,1075,1130535254491137,91
472,0,285,0,0,0,89,1154,1130535254491137,92
666,0,471,0,0,0,115,748,1130535254491137,93
316,0,617,0,0,0,0,1067,1130535254491137,94
38,0,340,0,0,0,507,1115,1130535254491137,95
158,0,242,0,0,0,0,1600,1130535254491137,96
1017,0,53,0,0,0,150,780,1130535254491137,97
495,0,751,0,0,0,0,754,1130535254491137,98
698,10,76,0,0,0,0,1216,1130535254491137,99
545,0,589,0,0,0,0,866,1130535254491137,100
196,274,36,0,0,160,0,1334,6187638966150109,1
4,0,47,0,0,0,0,1949,6187638966150109,2
0,0,57,0,0,0,0,1943,6187638966150109,3
0,0,77,0,0,0,0,1923,6187638966150109,4
0,0,116,0,0,0,0,1884,6187638966150109,5
100,72,33,40,0,0,0,1755,6187638966150109,6
0,0,59,0,0,0,0,1941,6187638966150109,7
0,0,69,0,0,0,0,1931,6187638966150109,8
0,0,32,0,0,0,0,1968,6187638966150109,9
0,0,47,0,11,0,0,1942,6187638966150109,10
0,0,15,0,0,0,0,1985,6187638966150109,11
0,0,27,0,0,0,0,1973,6187638966150109,12
0,0,44,0,12,0,0,1944,6187638966150109,13
171,0,31,0,57,0,0,1741,6187638966150109,14
0,0,41,0,0,0,0,1959,6187638966150109,15
0,0,40,0,0,0,0,1960,6187638966150109,16
0,0,14,0,89,0,0,1897,6187638966150109,17
0,0,16,0,0,0,0,1984,6187638966150109,18
0,0,30,0,0,0,0,1970,6187638966150109,19
0,0,81,0,0,0,0,1919,6187638966150109,20
