name,total_var,identity_pc_var_frac,ieg_var_frac,mean_r2,relative_diversity_vs_gemm,strong_sign_flip_rate
allograft_mt3,1.2277988111707652,0.4469878695006021,0.2183397706222982,0.10957240533100157,0.4397561828060961,0.3112582781456953
allograft_mt6,2.584945398023379,0.4626422561893389,0.4468129662443468,0.25390221401441204,0.6767602092393931,0.2119205298013245
allograft_3L,1.8041321766834568,0.5135463090694056,0.31815620345648044,0.18335222526612685,0.5509464247318296,0.2781456953642384
allograft_2LR,1.3620512806697296,0.5614800695796319,0.41517167082124545,0.2925788503235253,0.5213978939357291,0.2582781456953642
allograft_mt5,1.2258672309155472,0.5101079092241668,0.26595728150131037,0.25384168260020407,0.4768481585892692,0.2781456953642384
allograft_2L,1.2508741830773598,0.5552058578774809,0.46121137429165754,0.2789601253201466,0.4882805730923849,0.271523178807947
allograft_mt4Rf,1.6339720016482788,0.5358797158536549,0.2090538576309168,0.23680429512579726,0.5453065807647814,0.2649006622516556
allograft_TKO-luc,9.08160085200109,0.6550599140491095,0.5240531296938576,0.5498306292431346,1.2089113374954787,0.1589403973509933
allograft_mt4,3.421431088235451,0.5582180780126033,0.1980566101250526,0.24106770302772618,0.778970391318189,0.2185430463576159
allograft_5B,3.9291884891091597,0.5665228938440995,0.28735742281115423,0.15193191615347967,0.8300700795772153,0.2913907284768212
allograft_mt2,3.0476388350040633,0.37033768321552885,0.2331893978702924,0.11437624137526792,0.6952751917010255,0.3774834437086092
allograft_1L,6.361434778786417,0.47862599825178176,0.332579047073356,0.35834947094260583,1.0045305431756066,0.2251655629139073
human_RU1181,2.2074498797207833,0.46492961392853877,0.3301487547026217,0.22594277197595336,0.7224622926069264,0.2913907284768212
human_PleuralEffusion,1.2216040080771864,0.4354660977950178,0.29940831884864744,,0.4697309138655272,0.3642384105960264
human_RU1293,4.561241349156287,0.612749681422288,0.678894107393855,0.1544156268089052,0.8573714565062848,0.3841059602649007
human_RU1145,2.826228792688408,0.4026311121615861,0.2601973197018639,0.09792622507653337,0.6972137573686839,0.3509933774834437
human_RU426,5.77588067293786,0.6586950084817531,0.4880426851314651,,1.0983720232318668,0.3245033112582781
human_RU1080,7.3776086154460305,0.6149148578960557,0.3199944285929747,0.25722280260801655,1.2535456367469702,0.2847682119205298
human_RU1152,3.4450539296363476,0.6226887080102453,0.49485789032189337,0.11521843979202141,0.8542550665465439,0.3443708609271523
human_RU1124,5.4544389631819294,0.6687222216550293,0.6019234528436501,0.46881989464106855,0.9701866730115026,0.2649006622516556
human_RU1144,7.94858039784207,0.6472155328825666,0.5340675614343096,0.22980136077839336,1.160804854714815,0.3245033112582781
human_RU1065,6.415228159331909,0.6147128977486372,0.4323924139261538,0.4560631617526429,1.110992216829198,0.2781456953642384
human_RU1322,1.54085711066872,0.4396802828943886,0.4011762264442816,0.09749170510337325,0.5722455250049033,0.3112582781456953
human_RU1231,3.123719083207404,0.48251187112316424,0.33862870040741133,0.1401053005438147,0.8541978100026926,0.3311258278145695
human_RU1229,2.6355221407427405,0.5843951729006716,0.5760994216806653,0.14870008689403738,0.7053720096168995,0.2913907284768212
human_RU1066,5.73580677551069,0.6053674435590419,0.5452597533193646,0.12370163505379853,1.035872716885559,0.3774834437086092
human_RU1195,5.852047177289882,0.6604460906144174,0.5303704907220017,0.42671937697872075,1.1035315563264447,0.2516556291390728
human_RU1311,14.661507888095164,0.7100920014053387,0.5737218909665711,0.5379865508748085,1.7085363673088854,0.2516556291390728
human_RU1215,1.4282998116708008,0.4203655951586842,0.3967211161588185,0.033169142510470394,0.5546443435550779,0.3576158940397351
human_RU779,3.91748568946026,0.5312878324045536,0.5572335987486275,,0.8796328814400382,0.4370860927152318
human_RU1108,2.61157070848944,0.6382884725014254,0.5998630044044099,0.07765384075023023,0.6106668792408885,0.3178807947019867
organoid_shGFP,2.0609523343972733,0.21457817457467623,0.0052858428043352015,0.023188739280125447,0.7299971227597912,0.3774834437086092
organoid_shRORB1,3.8937748488790778,0.4039456490699514,0.010421003359240613,0.15082702253875024,1.0880593743823517,0.2582781456953642
organoid_shRORB2,4.006693652589872,0.3258272301618479,0.005863112411873769,0.16178585380406868,1.0451410330233293,0.2781456953642384
organoid_combined,3.6405887861377324,0.32374933283508994,0.006870905567619917,0.0995993149327351,1.0169940968484517,0.3377483443708609
mets_compiled,0.42589240964897296,0.2708154875392128,0.12810236529727678,0.019325370558959512,0.2908795112964589,0.3112582781456953
