gene,r2,f1,roc_auc_score
ASCL1,-0.34664316759918656,0.4739434793881255,0.5135659190254054
BACH1,-0.3823252036349791,0.5515164551516455,0.5023325136001192
BACH2,-0.35645458166668664,0.4720020455126566,0.5175267687245688
CREB1,0.9757040007565099,0.9997629770087698,1.0
CUX2,-0.35186024151801965,0.5333624073266463,0.49886987490498225
EGR1,-0.2538781065685418,0.6555075593952484,0.4973850903637215
EHF,-0.3526325402215924,0.4029638073525221,0.48959269242288106
EPCAM,-0.3181043952252438,0.5851348569075561,0.5011010549062828
ESR1,0.9180345247749946,0.99814039981404,1.0
ETS1,-0.49594014211916004,0.5058383932741709,0.48894716282164624
FOS,-0.23655332612437752,0.46054667354306345,0.4907457413520034
FOXO3,-0.46691297193786485,0.4735249621785174,0.49529180038509046
GRHL2,-0.4119679783512469,0.5743145743145743,0.4855938516990842
HES1,-0.29574243653358456,0.397796462742824,0.4957285793837556
HSF2,-0.28759474255608697,0.4315217391304348,0.5006013954894288
ICAM1,-0.30295952163653506,0.2791056283731688,0.50894407825905
JUN,-0.34788778276068144,0.5473405429265062,0.507758381529322
JUNB,-0.3708998049152741,0.51577752553916,0.49374989473999376
JUND,0.9240603064745643,0.998272884283247,1.0
KMT2A,-0.2521344243034851,0.6579459077249425,0.4993083991902404
LMX1B,-0.3382010065762764,0.5887888707037643,0.5009023694817676
MEIS2,-0.34683202511459,0.6413655347739241,0.48548153081424966
NCAM1,-0.2968300456136572,0.4745594440307769,0.4858454744780536
NFATC2,-0.35340018046554555,0.5577416595380668,0.4929826423103161
NFIA,-0.2538692579612849,0.474025974025974,0.4954699616929833
NFIB,-0.2439365887742626,0.5662196144174351,0.4926535530501144
NFIX,-0.34286554890214416,0.29776496034607064,0.49237004185092936
NFKB1,-0.41176656945225654,0.5315539470707985,0.5074856519669405
NFYC,0.9444384019876867,0.9987755102040816,1.0
NR6A1,0.9524289533255117,0.9990825688073395,1.0
PBX1,-0.1310434801948721,0.5358524926018666,0.5105148318401851
PKNOX2,-0.3584268553073957,0.5661499256742408,0.49772218684956193
PROX1,-0.5740283810394022,0.40100812097451694,0.49344486619209355
RBPJ,0.9604368464918291,0.9989350372736954,1.0
REST,-0.4437032731090631,0.3567753001715266,0.5041042859181312
RORA_RORB,-0.4380862130746759,0.5793848711554447,0.5060104643557881
RUNX1,-0.26389609953311743,0.2953125,0.492479296833741
SIX1,-0.4686092785505014,0.37803468208092483,0.4827967065756592
SIX4,-0.18255932264812613,0.5622609434764131,0.4909749933383265
SMAD3,-0.42403377390621166,0.3237704918032787,0.503866176525368
SOX11,-0.30369729925211275,0.3701765860039241,0.49866332819722653
SOX9,0.929469358803638,0.9857320099255583,1.0
STAT1,0.9207390742433715,0.9890468422279189,1.0
STAT2,-0.14772743896770968,0.48606183476938675,0.5108858198451794
TBX15,-0.2739156607927049,0.5799832495812395,0.5124065715041133
TCF4,0.945930105600949,0.9974937343358395,1.0
TCF7L1,-0.20266676251027826,0.38406231276213304,0.5048967602145475
TCF7L2,-0.3274808559521005,0.2563887725178048,0.4940959544832314
TEAD1,-0.3837731087446754,0.49685838569357177,0.5072873841438197
TFDP1,0.9400506367712744,0.9958311620635748,1.0
THRB,-0.4262613388849621,0.522911051212938,0.4880715227375574
ZBTB20,-0.27659374716853624,0.5741022850924918,0.5206870378347671
ZEB1,0.9289201794927446,0.9938042131350682,1.0
