gene,regulator,corr_gemm,corr_organoid_shgfp,sign_flip,ieg_involved
TEAD1,NFIB,0.9852518091685606,0.3772568408226381,False,False
TEAD1,TCF4,0.9326830906490442,0.36268372073729754,False,False
TEAD1,EGR1,0.551976509711177,-0.11984267935164143,True,True
TEAD1,RUNX1,0.03926736184938894,0.24254517746538173,False,False
TEAD1,PBX1,0.48172988648099285,-0.07254360827692885,True,False
TEAD1,EHF,0.28779210106655395,-0.09485240296606558,True,False
TCF7L1,NFIA,0.7832739098383542,-0.5044823593971333,True,False
TCF7L1,REST,0.5560162578369752,-0.48253193574852526,True,False
TCF7L1,EHF,0.6012558329816088,0.3627909741607982,False,False
TCF7L1,NFIB,0.3729499029868137,-0.5282944423804773,True,False
TCF7L1,ASCL1,-0.035357308694301835,0.20003274822951847,True,False
TCF7L1,RUNX1,0.6817632184473736,-0.6242025770493811,True,False
TFDP1,TFDP1,1.0,1.0,False,False
NFYC,NFYC,1.0,0.9999999999999999,False,False
EGR1,MEIS2,0.7927680772779996,0.5656743761753623,False,True
EGR1,RUNX1,-0.46276471425921323,-0.589968157547125,False,True
EGR1,JUND,0.20195639173440189,0.011096925337088493,False,True
EGR1,TFDP1,0.7278734627580116,0.18829116214922517,False,True
EGR1,RORA_RORB,0.7649376612770143,0.021316739360417794,False,True
EGR1,NFIB,0.5123140314661735,-0.6223211100751006,True,True
EGR1,EHF,-0.1394006538510748,0.518587903500289,True,True
HSF2,TFDP1,0.9244524290808617,0.4305544932246116,False,False
HSF2,TCF4,0.9264828299315179,0.12241383572391905,False,False
HSF2,ZEB1,0.3314834222799044,-0.2796954069555458,True,False
HSF2,EGR1,0.7546517888948893,0.16323901779229807,False,True
HSF2,NFYC,0.6558612137438486,0.15209383967576662,False,False
HSF2,TEAD1,0.7788586024676191,0.07547606262717158,False,False
CREB1,CREB1,1.0,1.0,False,False
TCF4,TCF4,1.0,1.0,False,False
NFKB1,ASCL1,0.6848582596682208,-0.15262703296368615,True,False
NFKB1,NFIB,0.9376048800881824,0.337248111158645,False,False
NFKB1,EHF,0.37981357183359815,-0.37952476401275353,True,False
NFKB1,RUNX1,0.14999884810794306,0.321773769169506,False,False
SIX1,TCF4,0.9449207317292528,0.03843393206719521,False,False
SIX1,RORA_RORB,0.9799603953807491,0.43188947960562946,False,False
SIX1,REST,-0.7236188377654619,0.24337698669918895,True,False
SIX1,RUNX1,-0.3461650088653993,0.4735592958435027,True,False
SIX1,EHF,-0.07239246887621062,-0.34328882139814815,False,False
ZEB1,ZEB1,1.0,1.0,False,False
SMAD3,ASCL1,-0.6142000208036923,0.09438987437018768,True,False
SMAD3,REST,0.9184244704046582,-0.2701500642294907,True,False
SMAD3,RUNX1,0.8820374203692122,-0.4283118209513902,True,False
SMAD3,PBX1,0.34515878860341237,0.5076551298177373,False,False
SMAD3,EHF,0.6822807148097254,0.6038284495922205,False,False
ESR1,ESR1,0.9999999999999999,1.0,False,False
SOX11,CREB1,0.7621853156922708,0.21005771871146633,False,False
SOX11,SMAD3,-0.47432994174314624,0.3242779134288176,True,False
SOX11,BACH1,0.6682284108803785,0.40898241079908587,False,False
SOX11,JUN,-0.7206773555920127,-0.022173631465469395,False,True
RORA_RORB,ASCL1,0.976443535054929,-0.10657111951652856,True,False
RORA_RORB,LMX1B,0.6812315441641582,0.361831641671345,False,False
RORA_RORB,GRHL2,0.6720515735577558,-0.191402089323227,True,False
RORA_RORB,FOXO3,0.46613867363808087,0.15675177577914945,False,False
RORA_RORB,NFIA,0.19652752330093912,0.5070632178624734,False,False
STAT1,STAT1,1.0,0.9999999999999999,False,False
ASCL1,JUN,-0.7568028202948722,0.11028652191765043,True,True
ASCL1,SIX1,0.990783028677235,-0.041850760921772534,True,False
ASCL1,RORA_RORB,0.9764435350549291,-0.10657111951652855,True,False
ASCL1,JUND,0.34895063337559884,0.05750542073444493,False,True
ASCL1,HES1,-0.0573942872618119,-0.09214758788654291,False,False
ASCL1,EGR1,0.757902893597325,0.22163205394969915,False,True
GRHL2,NFIB,0.9172140203350214,0.06855373463175893,False,False
GRHL2,NFIA,0.6838185376291449,-0.38455046592123193,True,False
GRHL2,TCF4,0.8008350418833293,0.18557025080593972,False,False
GRHL2,RUNX1,0.25417859666347065,0.000943727190545816,False,False
THRB,SIX1,0.6895807425794676,-0.48361137357047385,True,False
NFIA,NFIB,0.5098139485199623,0.440531245053609,False,False
NFIA,STAT1,0.8705328736587344,0.4861359290092387,False,False
NFIA,TCF4,0.33012969439594386,-0.06412175277780338,True,False
NFIA,RUNX1,0.7273755654058522,0.5331666091394567,False,False
NFIA,EHF,0.6861968905359,-0.3606544484830297,True,False
NFIA,MEIS2,-0.4405319027840594,-0.28584743703303384,False,False
NFIA,NFIX,0.3688039497746401,0.5281163482709527,False,False
FOXO3,SOX9,0.49472331215307885,0.2974440897619093,False,False
FOXO3,RORA_RORB,0.46613867363808087,0.15675177577914945,False,False
FOXO3,FOS,-0.5076183746650212,-0.03581311890734925,False,True
FOXO3,MEIS2,-0.18019383948125137,-0.20355072262914592,False,False
STAT2,TCF7L1,0.7388006772674609,0.23702312347428783,False,False
STAT2,NFIA,0.6269453818807919,-0.08832211806046786,True,False
STAT2,RUNX1,0.5561802277011244,-0.32127988500242294,True,False
STAT2,NFIB,0.29099676231804633,-0.39898366606816293,True,False
STAT2,TEAD1,0.3192827042940499,-0.03911323222723826,True,False
EHF,RUNX1,0.7113367561683528,-0.4527429898103655,True,False
EHF,NFIB,0.264144969235664,-0.6550454169829332,True,False
LMX1B,MEIS2,0.9653169027606885,-0.28810085057741974,True,False
LMX1B,EGR1,0.8109324650813095,-0.31832302275809743,True,True
LMX1B,JUND,-0.05937468074339316,0.06641993805764626,True,True
LMX1B,ASCL1,0.720399174432268,0.030275259321993656,False,False
ZBTB20,CREB1,0.991149667916527,-0.17452105259125483,True,False
ZBTB20,JUND,0.6133491702492101,-0.07739873544756097,True,True
ZBTB20,TBX15,0.7655560304423396,0.2870078353543156,False,False
ZBTB20,JUN,-0.7789194620509957,-0.1894319654101557,False,True
ZBTB20,ETS1,0.9090461861492304,-0.2546602065962509,True,False
