name,category,overall_corr,sign_flip_rate,strong_sign_flip_rate,n_cells,mean_r2
allograft_mt3,allograft,0.1850364808223716,0.3584070796460177,0.3112582781456953,1469,0.1095724053310015
allograft_mt6,allograft,0.4010687574227532,0.247787610619469,0.2119205298013245,3317,0.253902214014412
allograft_3L,allograft,0.1824819830060688,0.3407079646017699,0.2781456953642384,1801,0.1833522252661268
allograft_2LR,allograft,0.2863606928964796,0.3097345132743362,0.2582781456953642,2992,0.2925788503235253
allograft_mt5,allograft,0.2705479920995061,0.3053097345132743,0.2781456953642384,3104,0.253841682600204
allograft_2L,allograft,0.2332060073122672,0.3097345132743362,0.271523178807947,2125,0.2789601253201466
allograft_mt4Rf,allograft,0.2465388744631158,0.3008849557522124,0.2649006622516556,4026,0.2368042951257972
allograft_TKO-luc,TKO,0.6206876875312143,0.2389380530973451,0.1589403973509933,4146,0.5498306292431346
allograft_mt4,allograft,0.2853838579973465,0.2566371681415929,0.2185430463576159,3945,0.2410677030277261
allograft_5B,allograft,0.3514110045734243,0.3274336283185841,0.2913907284768212,5446,0.1519319161534796
allograft_mt2,allograft,0.1283282946269417,0.415929203539823,0.3774834437086092,3224,0.1143762413752679
allograft_1L,allograft,0.4935702566086198,0.3141592920353982,0.2251655629139073,1383,0.3583494709426058
human_RU1181,human_tumor,0.1898072189018733,0.3008849557522124,0.2913907284768212,4362,0.2259427719759533
human_PleuralEffusion,human_tumor,0.2131110174798015,0.3893805309734513,0.3642384105960264,559,
human_RU1293,human_tumor,0.2042755595370852,0.3938053097345133,0.3841059602649007,5667,0.1544156268089052
human_RU1145,human_tumor,0.1767126698657543,0.3716814159292035,0.3509933774834437,3422,0.0979262250765333
human_RU426,human_tumor,0.273692879280556,0.3584070796460177,0.3245033112582781,1374,
human_RU1080,human_tumor,0.209849946188138,0.3230088495575221,0.2847682119205298,2915,0.2572228026080165
human_RU1152,human_tumor,0.1616206217784042,0.3849557522123893,0.3443708609271523,1483,0.1152184397920214
human_RU1124,human_tumor,0.1194738188050735,0.3097345132743362,0.2649006622516556,891,0.4688198946410685
human_RU1144,human_tumor,0.1961091541194895,0.3761061946902654,0.3245033112582781,3617,0.2298013607783933
human_RU1065,human_tumor,0.0421658307477923,0.3141592920353982,0.2781456953642384,177,0.4560631617526429
human_RU1322,human_tumor,0.1634263066253465,0.3628318584070796,0.3112582781456953,3098,0.0974917051033732
human_RU1231,human_tumor,0.2799605451315211,0.3495575221238938,0.3311258278145695,4942,0.1401053005438147
human_RU1229,human_tumor,0.1619066208668171,0.3274336283185841,0.2913907284768212,3437,0.1487000868940373
human_RU1066,human_tumor,0.1628159361364946,0.415929203539823,0.3774834437086092,2762,0.1237016350537985
human_RU1195,human_tumor,0.112328294930769,0.2920353982300885,0.2516556291390728,267,0.4267193769787207
human_RU1311,human_tumor,0.2223476290791032,0.2876106194690265,0.2516556291390728,145,0.5379865508748085
human_RU1215,human_tumor,0.1803606356429168,0.3539823008849557,0.3576158940397351,3923,0.0331691425104703
human_RU779,human_tumor,-0.0304352653176818,0.4336283185840708,0.4370860927152318,216,
human_RU1108,human_tumor,0.1997797432220626,0.3584070796460177,0.3178807947019867,11056,0.0776538407502302
organoid_shGFP,organoid,0.2699857661775499,0.4203539823008849,0.3774834437086092,8894,0.0231887392801254
organoid_shRORB1,organoid,0.4799569995109082,0.3097345132743362,0.2582781456953642,6193,0.1508270225387502
organoid_shRORB2,organoid,0.4046369167183578,0.3716814159292035,0.2781456953642384,10101,0.1617858538040686
organoid_combined,organoid,0.3781947065851797,0.4203539823008849,0.3377483443708609,25188,0.0995993149327351
mets_compiled,mets_compiled,0.230696182449924,0.331858407079646,0.3112582781456953,5533,0.0193253705589595
