name,category,mean_r2,mean_f1,mean_auc
allograft_mt3,allograft,0.10957240533100157,0.6523196191456246,0.7086217732117095
allograft_mt6,allograft,0.25390221401441204,0.7049767483397518,0.7713327612056371
allograft_3L,allograft,0.18335222526612685,0.6796193169961036,0.7455980046321302
allograft_2LR,allograft,0.2925788503235253,0.7257203927834225,0.7819732254041464
allograft_mt5,allograft,0.25384168260020407,0.7084924836457399,0.7695111083596573
allograft_2L,allograft,0.2789601253201466,0.7166498755984677,0.7734569076202584
allograft_mt4Rf,allograft,0.23680429512579726,0.6896862782488112,0.7563062304464785
allograft_TKO-luc,TKO,0.5498306292431346,0.8226101535022023,0.8794902555284004
allograft_mt4,allograft,0.24106770302772618,0.6920631250239049,0.7637132595057294
allograft_5B,allograft,0.15193191615347967,0.6695239714965687,0.7190406204740071
allograft_mt2,allograft,0.11437624137526792,0.631999526491057,0.7112337665040745
allograft_1L,allograft,0.35834947094260583,0.7498913596807029,0.8121917133652516
human_RU1181,human_tumor,0.22594277197595336,0.6912281669007869,0.7477367963462728
human_RU1293,human_tumor,0.1544156268089052,0.65203386800454,0.7090510301102955
human_RU1145,human_tumor,0.09792622507653337,0.6349890677987385,0.6806141667653799
human_RU1080,human_tumor,0.25722280260801655,0.693794735709538,0.7595247663778154
human_RU1152,human_tumor,0.11521843979202141,0.64558426767776,0.7045356374823614
human_RU1124,human_tumor,0.46881989464106855,0.7617604377063708,0.8430051672878056
human_RU1144,human_tumor,0.22980136077839336,0.7011035788264511,0.7466122127014415
human_RU1065,human_tumor,0.4560631617526429,0.768331711213783,0.8514830453547616
human_RU1322,human_tumor,0.09749170510337325,0.636324840561417,0.6851873524118545
human_RU1231,human_tumor,0.1401053005438147,0.6595584734915819,0.7123550985905915
human_RU1229,human_tumor,0.14870008689403738,0.6603177673516771,0.7138096143300535
human_RU1066,human_tumor,0.12370163505379853,0.6471446836349837,0.7124401146993704
human_RU1195,human_tumor,0.42671937697872075,0.7306312124244777,0.8338474661133196
human_RU1311,human_tumor,0.5379865508748085,0.8116213757043729,0.8726026582334883
human_RU1215,human_tumor,0.033169142510470394,0.6133936646457139,0.669032727496404
human_RU1108,human_tumor,0.07765384075023023,0.6465424474177536,0.7113931750899894
organoid_shGFP,organoid,0.023188739280125447,0.6236952866947547,0.6599848226684297
organoid_shRORB1,organoid,0.15082702253875024,0.6720883942931388,0.7137524715083315
organoid_shRORB2,organoid,0.16178585380406868,0.6773150816717328,0.7238837357707743
mets_compiled,mets_compiled,0.019325370558959512,0.6175663046791293,0.6581603284067254
