name,mean_gene_std,total_var,n_cells,relative_diversity_vs_gemm
allograft_mt3,0.09007861905221361,1.228635186382734,1469,0.20829136908262408
allograft_mt6,0.13862596470792946,2.5857249352362928,3317,0.3205487859741405
allograft_3L,0.11285456589812291,1.8051344723371698,1801,0.2609568428721109
allograft_2LR,0.10680191455812305,1.3625066639130157,2992,0.24696112393843603
allograft_mt5,0.09767645186753898,1.2262622896428803,3104,0.22586005536818632
allograft_2L,0.10001824068401878,1.2514631068923674,2125,0.23127504067567886
allograft_mt4Rf,0.11169931356493248,1.6343779574250863,4026,0.25828551983621206
allograft_TKO-luc,0.24763054641615756,9.083791829287458,4146,0.5726032002089427
allograft_mt4,0.15956245727975288,3.4222985910468697,3945,0.3689608369964316
allograft_5B,0.17002959687287902,3.9299101031567463,5446,0.3931643034701731
allograft_mt2,0.1424185300364656,3.0485844257068266,3224,0.3293184433348754
allograft_1L,0.20576566666471963,6.36603784302577,1383,0.47579784049475926
human_RU1181,0.14798747164863296,2.2079560594684837,4362,0.34219566642004695
human_PleuralEffusion,0.09621857224870024,1.2237932625719483,559,0.22248895859782444
human_RU1293,0.17562194651604235,4.562046368808449,5667,0.40609565361540595
human_RU1145,0.14281562125453653,2.8270549338145963,3422,0.33023664872404485
human_RU426,0.22498793405694642,5.780087432350053,1374,0.5202460395693743
human_RU1080,0.2567733309775526,7.380140396027859,2915,0.5937443226368587
human_RU1152,0.17498359254859985,3.4473785274296245,1483,0.4046195694653941
human_RU1124,0.1987307493213173,5.460567546286629,891,0.4595307997668035
human_RU1144,0.23777652797191431,7.950778567199881,3617,0.5498174713166388
human_RU1065,0.2275730247409823,6.4516783193281135,177,0.5262236187490513
human_RU1322,0.11721742335111085,1.5413546428323202,3098,0.2710452030352306
human_RU1231,0.17497186425323188,3.124351287029141,4942,0.40459244979232517
human_RU1229,0.14448673839883583,2.6362891727976705,3437,0.33410082072785613
human_RU1066,0.2121857235877896,5.737884213676394,2762,0.49064312187412296
human_RU1195,0.22604480064412688,5.874047354648114,267,0.5226898624287578
human_RU1311,0.34997255885207423,14.763323915095825,145,0.8092515648179933
human_RU1215,0.11361203886607492,1.4286639880633731,3923,0.2627083692964486
human_RU779,0.1801819242822929,3.9357065531321678,216,0.41663982072089967
human_RU1108,0.1250875629125585,2.6118069428366577,11056,0.2892435520038693
organoid_shGFP,0.1495308884816427,2.06118408435054,8894,0.34576455333899964
organoid_shRORB1,0.22287551539529835,3.894403688486454,6193,0.5153614334359774
organoid_shRORB2,0.21408422360046098,4.007090354931712,10101,0.4950330777926688
organoid_combined,0.2083186715961547,3.6407333285122165,25188,0.4817012268703326
mets_compiled,0.05958307287681995,0.4259693967078394,5533,0.1377756448116598
