organoid_start,archetype,mean_dist_unperturbed,mean_dist_kd,mean_dist_shift,mean_dist_p,mean_dist_significant,min_dist_unperturbed,min_dist_kd,min_dist_shift,min_dist_p,min_dist_significant
Neuroendocrine1,Generalist_NE,15.8544975,23.788527500000004,7.9340300000000035,7.271211877390054e-14,True,4.03,8.04,4.009999999999999,2.9643071682444296e-25,True
Neuroendocrine1,Generalist_nonNE,35.93556749999999,29.899232500000004,-6.036334999999987,2.7145912722470112e-12,True,22.49,14.75,-7.739999999999998,1.8730450345205894e-07,True
Neuroendocrine1,Arc_3,25.268507500000002,25.999922500000004,0.7314150000000019,0.0008013384002976275,True,18.04,18.12,0.08000000000000185,0.8119940886365946,False
Neuroendocrine1,Arc_4,34.5581975,29.369947499999995,-5.188250000000004,1.250137604307805e-11,True,21.91,14.88,-7.029999999999999,9.122356655897626e-08,True
Neuroendocrine1,Arc_6,16.297002499999998,22.944327499999996,6.647324999999999,1.880517636118816e-12,True,5.65,8.19,2.539999999999999,3.361325867080894e-14,True
Neuroendocrine1,Arc_1,21.30539750000001,25.5753675,4.26996999999999,6.687052159154646e-11,True,12.57,15.6,3.0299999999999994,3.687402172603953e-18,True
Neuroendocrine1,Arc_5,16.1269675,23.3373275,7.210360000000001,3.5229587654208897e-12,True,3.83,7.38,3.55,8.089795376815101e-24,True
Neuroendocrine1,Arc_2,35.3945175,29.376157500000005,-6.018359999999994,2.5875614505313944e-13,True,22.08,14.57,-7.509999999999998,1.4968714687896184e-07,True
Generalist NE,Generalist_NE,21.040197500000005,27.617692499999997,6.577494999999992,3.4028905457096357e-12,True,8.63,13.81,5.18,8.502227747550796e-17,True
Generalist NE,Generalist_nonNE,32.5105175,27.792672500000002,-4.717844999999997,2.067522799959182e-09,True,18.86,14.09,-4.77,4.9315275294418126e-05,True
Generalist NE,Arc_3,25.6415525,25.906247500000003,0.26469500000000323,0.31116283185999327,False,18.34,18.1,-0.23999999999999844,0.5285288305555933,False
Generalist NE,Arc_4,31.3542975,27.5306675,-3.8236300000000014,2.2171945841769144e-08,True,18.54,14.33,-4.209999999999999,0.00010142394158326899,True
Generalist NE,Arc_6,20.729162499999997,26.5612475,5.832085000000003,2.2316864230317678e-11,True,8.89,12.65,3.76,2.659517644341173e-12,True
Generalist NE,Arc_1,24.1866325,28.308497499999998,4.121864999999996,2.052768576261011e-12,True,14.61,18.64,4.030000000000001,1.7647073259884403e-16,True
Generalist NE,Arc_5,21.4867325,27.640522500000003,6.153790000000004,2.4461572161019484e-11,True,9.22,13.98,4.76,8.892255531018625e-16,True
Generalist NE,Arc_2,31.9699825,27.561752499999997,-4.408230000000003,1.9912158648497374e-09,True,18.66,14.05,-4.609999999999999,4.828213791426884e-05,True
Intermediate,Generalist_NE,35.414302500000005,36.355717500000004,0.9414149999999992,0.14164345203833323,False,21.19,22.75,1.5599999999999987,0.19576667134634207,False
Intermediate,Generalist_nonNE,19.058382499999997,17.8389875,-1.2193949999999951,0.14032409805940232,False,5.54,5.19,-0.34999999999999964,0.49808747864949066,False
Intermediate,Arc_3,26.908147499999995,27.217777499999997,0.30963000000000207,0.2996339996644303,False,19.43,19.68,0.25,0.6614870631313265,False
Intermediate,Arc_4,20.270292500000004,18.8809125,-1.3893800000000027,0.07750521791497839,False,7.2,6.97,-0.23000000000000043,0.6133414342904828,False
Intermediate,Arc_6,34.5013475,35.366922499999994,0.8655749999999927,0.15465657862396312,False,20.52,21.8,1.2800000000000011,0.2489038147627216,False
Intermediate,Arc_1,31.206417499999997,31.183477500000002,-0.022939999999994853,0.8969622942988819,False,21.74,22.11,0.370000000000001,0.8638359114503552,False
Intermediate,Arc_5,35.434047500000005,36.1618925,0.727844999999995,0.22414268085132616,False,21.82,23.25,1.4299999999999997,0.2846005267609094,False
Intermediate,Arc_2,19.3025175,17.862092500000003,-1.4404249999999976,0.07193078736067997,False,5.83,5.65,-0.17999999999999972,0.802362143815879,False
Neuroendocrine2,Generalist_NE,33.711225,37.2896875,3.5784625000000005,3.1842937085548045e-05,True,16.85,21.81,4.959999999999997,4.3534694159931593e-13,True
Neuroendocrine2,Generalist_nonNE,20.013035,17.0081775,-3.0048575,0.0006217005618471992,True,6.83,5.68,-1.1500000000000004,0.034045226464481514,False
Neuroendocrine2,Arc_3,26.139560000000003,26.4949325,0.35537249999999787,0.10708917469434089,False,17.63,18.7,1.0700000000000003,0.0003634871614416157,True
Neuroendocrine2,Arc_4,20.958705,18.2998625,-2.6588424999999987,0.0010193302689509968,True,8.21,7.22,-0.9900000000000011,0.07153239312846016,False
Neuroendocrine2,Arc_6,32.927335,36.1336575,3.206322499999999,7.358125551836408e-05,True,17.16,21.4,4.239999999999998,2.841176369811884e-10,True
Neuroendocrine2,Arc_1,30.081265000000002,31.835097500000003,1.7538325000000015,0.0007237289569644637,True,18.13,20.93,2.8000000000000007,3.4814632210428386e-09,True
Neuroendocrine2,Arc_5,34.116355000000006,37.4550575,3.3387024999999966,1.8116145921538542e-05,True,18.54,24.08,5.539999999999999,1.576445200992051e-10,True
Neuroendocrine2,Arc_2,20.095605,17.2536725,-2.8419324999999986,0.0007367051404631699,True,7.17,6.07,-1.0999999999999996,0.044328060740520876,False
