gene,sample,n_regulators,n_well_populated_leaves,transferability,mean_abs_residual,sample_mean_r2
FOS,allograft_mt3,8,46,0.16482582837723025,0.3576944937973447,0.10957240533100157
FOXO3,allograft_mt3,4,13,0.6781292984869326,0.16089818235963632,0.10957240533100157
GRHL2,allograft_mt3,4,13,0.087465564738292,0.48319326622425424,0.10957240533100157
HES1,allograft_mt3,5,22,0.38748241912798875,0.2588212007522137,0.10957240533100157
HSF2,allograft_mt3,6,29,0.38860482103725347,0.2534254881899364,0.10957240533100157
ICAM1,allograft_mt3,6,31,0.43580599144079885,0.1805200208231926,0.10957240533100157
JUN,allograft_mt3,6,32,0.5408532176428055,0.2081262458910428,0.10957240533100157
JUNB,allograft_mt3,3,8,0.4247787610619469,0.2663628600962105,0.10957240533100157
JUND,allograft_mt3,1,2,1.0,0.030073329078044685,0.10957240533100157
KMT2A,allograft_mt3,7,40,0.4514637904468413,0.2893995206103499,0.10957240533100157
LMX1B,allograft_mt3,4,14,0.11485557083906466,0.2902632456575366,0.10957240533100157
MEIS2,allograft_mt3,4,16,0.27978216473791695,0.33942007845814043,0.10957240533100157
NCAM1,allograft_mt3,7,47,0.308095952023988,0.27960241768621114,0.10957240533100157
NFATC2,allograft_mt3,3,8,0.134785568413887,0.4075057430650239,0.10957240533100157
NFIA,allograft_mt3,7,37,0.20604182804027885,0.3529299291689669,0.10957240533100157
NFIB,allograft_mt3,8,37,0.4604377104377104,0.19671656396485637,0.10957240533100157
NFIX,allograft_mt3,5,27,0.21721027064538515,0.2793478355761795,0.10957240533100157
NFKB1,allograft_mt3,4,15,0.3290190735694823,0.28588528525881335,0.10957240533100157
NFYC,allograft_mt3,1,2,1.0,0.020272231318157176,0.10957240533100157
NR6A1,allograft_mt3,1,2,1.0,0.009835796355771993,0.10957240533100157
PBX1,allograft_mt3,4,15,0.12397820163487738,0.3392269235617952,0.10957240533100157
PKNOX2,allograft_mt3,5,29,0.22398345968297725,0.3625740406848041,0.10957240533100157
PROX1,allograft_mt3,2,4,0.7134104833219878,0.2142155875418202,0.10957240533100157
RBPJ,allograft_mt3,1,2,1.0,0.006362773374479338,0.10957240533100157
REST,allograft_mt3,3,8,0.24098025867937373,0.2842555765703429,0.10957240533100157
RORA_RORB,allograft_mt3,5,24,0.1597269624573379,0.6040652866245902,0.10957240533100157
RUNX1,allograft_mt3,7,40,0.3269230769230769,0.36176956271213373,0.10957240533100157
SIX1,allograft_mt3,5,23,0.5430974071478627,0.21644523132230467,0.10957240533100157
SIX4,allograft_mt3,8,48,0.4422560429722471,0.2005303842133052,0.10957240533100157
SMAD3,allograft_mt3,5,23,0.10284920083391244,0.5713374122697286,0.10957240533100157
SOX11,allograft_mt3,4,15,0.226775956284153,0.3939462760973093,0.10957240533100157
SOX9,allograft_mt3,1,2,1.0,0.029205823423982497,0.10957240533100157
STAT1,allograft_mt3,1,2,1.0,0.04477543460500484,0.10957240533100157
STAT2,allograft_mt3,5,21,0.43405443126308446,0.230529220514771,0.10957240533100157
TBX15,allograft_mt3,6,24,0.16678966789667896,0.26925564324627815,0.10957240533100157
TCF4,allograft_mt3,1,2,1.0,0.017425990443628817,0.10957240533100157
TCF7L1,allograft_mt3,6,34,0.49789915966386555,0.21592068046988422,0.10957240533100157
TCF7L2,allograft_mt3,5,22,0.17461430575035064,0.4274257214780743,0.10957240533100157
TEAD1,allograft_mt3,6,35,0.40486409155937053,0.21792322329836267,0.10957240533100157
TFDP1,allograft_mt3,1,2,1.0,0.019297567326680844,0.10957240533100157
THRB,allograft_mt3,1,2,0.0,0.30837402781585943,0.10957240533100157
ZBTB20,allograft_mt3,7,38,0.36363636363636365,0.334513051801333,0.10957240533100157
ZEB1,allograft_mt3,1,2,1.0,0.03357123584312135,0.10957240533100157
ASCL1,allograft_mt6,6,40,0.27395163758800123,0.259065166908719,0.25390221401441204
BACH1,allograft_mt6,5,26,0.7965947096381879,0.1224783077467561,0.25390221401441204
BACH2,allograft_mt6,3,8,0.3038890563762436,0.24068244475828682,0.25390221401441204
CREB1,allograft_mt6,1,2,1.0,0.029077221827547378,0.25390221401441204
CUX2,allograft_mt6,7,54,0.38095238095238093,0.27304474433318915,0.25390221401441204
EGR1,allograft_mt6,7,54,0.4480664749121125,0.2262487706900053,0.25390221401441204
EHF,allograft_mt6,2,4,0.0,0.2690203940192238,0.25390221401441204
EPCAM,allograft_mt6,6,37,0.33794587945879456,0.3599195433544433,0.25390221401441204
ESR1,allograft_mt6,1,2,1.0,0.03830309119441595,0.25390221401441204
ETS1,allograft_mt6,4,16,0.2071148628278565,0.447398260846535,0.25390221401441204
FOS,allograft_mt6,8,72,0.3303243062520896,0.24727964194047689,0.25390221401441204
