gene,mean_transferability,n_samples_tested,mean_n_regulators
NFIX,0.23108462984017805,36,5.0
JUNB,0.23382203213180638,36,3.0
KMT2A,0.2348749027359518,36,7.0
TCF7L2,0.24670181491249668,36,5.0
FOS,0.30219746147495025,36,8.0
LMX1B,0.31160887762347356,36,4.0
MEIS2,0.3135001409908068,36,4.0
EHF,0.3264176966004991,36,2.0
JUN,0.3270092007470054,36,6.0
ASCL1,0.32733180945623475,36,6.0
THRB,0.3300075857367328,36,1.0
ETS1,0.33130042850104124,36,4.0
EPCAM,0.33995236316544647,36,6.0
SIX1,0.34622437652202137,36,5.0
HES1,0.3467673764167145,36,5.0
PKNOX2,0.34923151261671836,36,5.0
FOXO3,0.3526813052508902,36,4.0
BACH2,0.35382789041481527,36,3.0
REST,0.35623012508042945,36,3.0
ICAM1,0.3600103196688755,36,6.0
PBX1,0.36211988718158056,36,4.0
TCF7L1,0.36552323918834434,36,6.0
NFKB1,0.37183506171196684,36,4.0
TBX15,0.3777900468574306,36,6.0
SMAD3,0.3784399520311972,36,5.0
SOX11,0.3826355756322384,36,4.0
GRHL2,0.3868515954561726,36,4.0
CUX2,0.4046234776204553,36,7.0
NFIA,0.4063113088791149,36,7.0
RORA_RORB,0.4319737657650861,36,5.0
RUNX1,0.4325960409001831,36,7.0
NFIB,0.44495913520367186,36,8.0
SIX4,0.4535512751952552,36,8.0
NCAM1,0.45542186311837857,36,7.0
STAT2,0.46103250601694284,36,5.0
NFATC2,0.4673768464027552,36,3.0
ZBTB20,0.4720246932975452,36,7.0
EGR1,0.48314448482632677,36,7.0
HSF2,0.4953143491712011,36,6.0
BACH1,0.5022668502666856,36,5.0
PROX1,0.5210396014239822,36,2.0
TEAD1,0.6322474622412616,36,6.0
TFDP1,1.0,36,1.0
TCF4,1.0,36,1.0
ESR1,1.0,36,1.0
SOX9,1.0,36,1.0
RBPJ,1.0,36,1.0
NR6A1,1.0,36,1.0
NFYC,1.0,36,1.0
CREB1,1.0,36,1.0
JUND,1.0,36,1.0
STAT1,1.0,36,1.0
ZEB1,1.0,36,1.0
