start-state,dist-to-start,attractor
460292996874442,1, 460292996874378
460024343388623,1, 460574099202511
478535904092639,1, 478544494027231
478544225575375,1, 478544225591759
478561405460877,1, 478544225591693
478561422238149,1, 478544242368965
461398716146117,0, 461398716146117
461398716146117,1, 460848960332229
461398716146117,1, 461398732923333
461398716146117,1, 461398716148165
461398716146117,1, 461398716146133
461398716146117,1, 461398716146119
460299221295567,1, 460574099202511
459749448704463,1, 460848960332239
478544494027215,0, 478544494027215
478544494027215,1, 478544225591759
478544494027215,1, 478544494289359
478544494027215,1, 478544494029263
478544494027215,1, 478544494027151
478544494027215,1, 478544494027231
478544494027215,1, 478544494027207
478544494027215,1, 478544494027213
478561422238165,1, 478544242368981
478561422238167,1, 478544242368983
460848968720861,1, 460848977109469
478561405460957,1, 478544225591773
460574350860765,0, 460574350860765
460574350860765,1, 460574082425309
460574350860765,1, 460574351122909
460574350860765,1, 460574350862813
460574350860765,1, 460574350860749
460574350860765,1, 460574350860767
478561405723101,1, 478544225853917
458649937076703,1, 460848960332255
458649937076703,1, 458649936945631
460024343388639,1, 460574099202527
83890063318562,1, 84439819132450
83890063318562,1, 83890063318570
460848964526551,1, 460848960332247
478561673896415,1, 478544494027231
478509865853407,1, 478544225591775
460024326611423,1, 460574082425311
478544225591775,0, 478544225591775
478544225591775,1, 478544494027231
478544225591775,1, 478544242368991
478544225591775,1, 478544225853919
478544225591775,1, 478544225460703
478544225591775,1, 478544225593823
478544225591775,1, 478544225591711
478544225591775,1, 478544225591759
478544225591775,1, 478544225591767
478544225591775,1, 478544225591773
478561405460959,1, 478544225591775
478545098007517,1, 478545030898653
478819640370141,1, 478544762463197
478544494027743,1, 478545030898655
478544494027743,1, 478544494027231
478544510804959,1, 478545047675871
478561422238175,1, 478544242368991
478562210767829,1, 478545030898645
460297291841672,1, 460292996874376
460567874781320,1, 460292996874376
459742972625290,1, 459742972625034
478544233980373,1, 478544242368981
478544242368983,0, 478544242368983
478544242368983,1, 478544225591767
478544242368983,1, 478544242631127
478544242368983,1, 478544242237911
478544242368983,1, 478544242371031
478544242368983,1, 478544242368919
478544242368983,1, 478544242368967
478544242368983,1, 478544242368991
478544242368983,1, 478544242368981
478544225591773,0, 478544225591773
478544225591773,1, 478544494027229
478544225591773,1, 478544242368989
478544225591773,1, 478544225853917
478544225591773,1, 478544225460701
478544225591773,1, 478544225593821
478544225591773,1, 478544225591709
478544225591773,1, 478544225591757
478544225591773,1, 478544225591765
478544225591773,1, 478544225591775
460024343388637,1, 460574099202525
