cluster,gene,perturb,mean,count,std,ci95_hi,ci95_lo,ci_sig,mean_sig
Arc_3,ASCL1,activate,-0.0474234,5,0.05633434014258088,0.001955826298351171,-0.09680262629835117,no,no
Arc_3,ASCL1,knockdown,0.0023471999999999994,5,0.058896346276318366,0.05397212368888407,-0.04927772368888407,no,no
Arc_3,BACH1,activate,-0.1282338,5,0.044154747538628275,-0.08953045732592,-0.16693714267408002,yes,no
Arc_3,BACH1,knockdown,-0.0033201999999999997,5,0.042969195578926075,0.034343960563161156,-0.04098436056316116,no,no
Arc_3,BACH2,activate,0.0069006,5,0.031450886685433846,0.034468517667859064,-0.020667317667859064,no,no
Arc_3,BACH2,knockdown,0.050471199999999994,5,0.04377933625810241,0.0888454801781118,0.012096919821888194,no,no
Arc_3,CREB1,activate,-0.10508500000000001,5,0.0965941264052841,-0.02041651511518633,-0.1897534848848137,yes,no
Arc_3,CREB1,knockdown,0.039098999999999995,5,0.1115190206041104,0.13684973145515628,-0.058651731455156286,no,no
Arc_3,CUX2,activate,0.0376108,5,0.0344141429313589,0.06777612628890965,0.007445473711090351,no,no
Arc_3,CUX2,knockdown,0.0294074,5,0.02578925135206526,0.05201267549192214,0.006802124508077857,no,no
Arc_3,EGR1,activate,0.08980099999999999,5,0.04883516086284553,0.13260690583753226,0.04699509416246772,no,no
Arc_3,EGR1,knockdown,0.053119000000000006,5,0.06065782175861577,0.10628792502517764,-4.992502517762315e-05,no,no
Arc_3,EHF,activate,-0.3528178,5,0.02128580028328746,-0.3341599734155453,-0.3714756265844547,yes,yes
Arc_3,EHF,knockdown,0.013735400000000004,5,0.03925271048348127,0.04814191774533564,-0.020671117745335636,no,no
Arc_3,EPCAM,activate,-0.0142484,5,0.052560135419346087,0.03182258999606689,-0.06031938999606689,no,no
Arc_3,EPCAM,knockdown,-0.0153446,5,0.034473199232157144,0.01487249141891879,-0.04556169141891879,no,no
Arc_3,ESR1,activate,-0.0628554,5,0.07922410435151665,0.006587589252319018,-0.13229838925231902,no,no
Arc_3,ESR1,knockdown,0.010754999999999999,5,0.06523292575072806,0.06793418048913118,-0.04642418048913118,no,no
Arc_3,ETS1,activate,-0.0050926,5,0.06464888549928761,0.05157464663723495,-0.06175984663723495,no,no
Arc_3,ETS1,knockdown,0.003212799999999999,5,0.03337884304016543,0.032470645922857415,-0.026045045922857415,no,no
Arc_3,FOS,activate,0.004802,5,0.03959213087218216,0.0395060328336728,-0.0299020328336728,no,no
Arc_3,FOS,knockdown,-0.08540339999999999,5,0.0753855722058273,-0.019325032521820135,-0.15148176747817985,yes,no
Arc_3,FOXO3,activate,-0.0981892,5,0.034677040555676025,-0.06779343378312461,-0.1285849662168754,yes,no
Arc_3,FOXO3,knockdown,-0.027073999999999997,5,0.05715112014212845,0.023021165534198206,-0.0771691655341982,no,no
Arc_3,GRHL2,activate,-0.248231,5,0.05434076631314652,-0.20059921820915452,-0.29586278179084546,yes,no
Arc_3,GRHL2,knockdown,-0.012870399999999999,5,0.030931923676034118,0.014242626533663408,-0.03998342653366341,no,no
Arc_3,HES1,activate,-0.20912540000000002,5,0.05481834459649433,-0.16107500238674632,-0.2571757976132537,yes,no
Arc_3,HES1,knockdown,-0.007398199999999999,5,0.04006420274634203,0.02771962207562058,-0.04251602207562058,no,no
Arc_3,HSF2,activate,0.0477528,5,0.07602160620310518,0.11438867585771423,-0.018883075857714232,no,no
Arc_3,HSF2,knockdown,-0.016776999999999997,5,0.061602735888919735,0.037220178778655466,-0.07077417877865545,no,no
Arc_3,ICAM1,activate,-0.0198394,5,0.03554202719035593,0.01131456043146643,-0.050993360431466433,no,no
Arc_3,ICAM1,knockdown,0.0005246000000000001,5,0.02414620050442719,0.021689677924685652,-0.020640477924685652,no,no
Arc_3,JUN,activate,0.0672936,5,0.07271825858957295,0.1310339640093837,0.003553235990616299,no,no
Arc_3,JUN,knockdown,-0.1474878,5,0.08892359581798298,-0.06954283161933143,-0.22543276838066856,yes,no
Arc_3,JUNB,activate,0.2363228,5,0.07623104214622806,0.30314225455597,0.16950334544403,no,no
Arc_3,JUNB,knockdown,0.1179654,5,0.051801827417572825,0.16337170372604684,0.07255909627395316,no,no
Arc_3,JUND,activate,-0.4166506,5,0.01896515711245232,-0.40002690684109643,-0.43327429315890353,yes,yes
Arc_3,JUND,knockdown,-0.0055876,5,0.05757609020070745,0.04488006821443701,-0.05605526821443701,no,no
Arc_3,KMT2A,activate,-0.012459999999999999,5,0.029306339629848008,0.01322813929294218,-0.03814813929294218,no,no
Arc_3,KMT2A,knockdown,-0.0115506,5,0.028579486188523406,0.013500424160785446,-0.03660162416078545,no,no
Arc_3,LMX1B,activate,0.0788174,5,0.06669404122783383,0.1372773046728071,0.020357495327192887,no,no
Arc_3,LMX1B,knockdown,0.10300119999999999,5,0.05378010606813639,0.15014154141815672,0.05586085858184325,no,no
Arc_3,MEIS2,activate,0.0713526,5,0.053098116556051206,0.1178951512538427,0.024810048746157297,no,no
Arc_3,MEIS2,knockdown,-0.2328094,5,0.04640788352532359,-0.19213109655622967,-0.2734877034437703,yes,no
Arc_3,NCAM1,activate,0.0168974,5,0.057338301189519034,0.06715663695625568,-0.03336183695625567,no,no
Arc_3,NCAM1,knockdown,-0.0033071999999999997,5,0.01864213484824096,0.013033351660422729,-0.01964775166042273,no,no
Arc_3,NFATC2,activate,0.0737448,5,0.012704620643687088,0.08488089099195154,0.06260870900804846,no,no
Arc_3,NFATC2,knockdown,0.048636200000000004,5,0.048521596724551426,0.09116725475194783,0.006105145248052182,no,no
Arc_3,NFIA,activate,-0.45999619999999997,5,0.04448597323539187,-0.42100252520176756,-0.49898987479823237,yes,yes
Arc_3,NFIA,knockdown,-0.0272948,5,0.05739445920731374,0.023013661629201744,-0.07760326162920175,no,no
Arc_3,NFIB,activate,-0.5838822,5,0.02146954048646594,-0.5650633180264187,-0.6027010819735813,yes,yes
Arc_3,NFIB,knockdown,-0.0121328,5,0.042448239553602225,0.025074722473483566,-0.049340322473483564,no,no
Arc_3,NFIX,activate,0.11704240000000002,5,0.0882520837334734,0.1943987620865476,0.03968603791345243,no,no
Arc_3,NFIX,knockdown,0.0918938,5,0.03908848973419157,0.12615637191191437,0.05763122808808563,no,no
Arc_3,NFKB1,activate,-0.0053831999999999994,5,0.022479261224515365,0.014320741223340675,-0.025087141223340673,no,no
Arc_3,NFKB1,knockdown,-0.033373200000000006,5,0.015263251920871908,-0.019994369809712666,-0.04675203019028734,yes,no
Arc_3,NFYC,activate,-0.16465380000000002,5,0.039063801072092307,-0.1304128686545628,-0.19889473134543723,yes,no
Arc_3,NFYC,knockdown,-0.002633,5,0.04282333931981484,0.03490331191511707,-0.04016931191511708,no,no
Arc_3,NR6A1,activate,-0.0089292,5,0.042164973339253994,0.028030028689166986,-0.04588842868916698,no,no
Arc_3,NR6A1,knockdown,0.014152000000000001,5,0.03750936463071589,0.04703040772998596,-0.01872640772998595,no,no
Arc_3,PBX1,activate,-0.0535182,5,0.03672550469632786,-0.02132687579648107,-0.08570952420351893,yes,no
Arc_3,PBX1,knockdown,0.002661999999999999,5,0.05436125682413901,0.050311742515630864,-0.04498774251563087,no,no
Arc_3,PKNOX2,activate,-0.0328932,5,0.04357256251587689,0.005299835001829116,-0.07108623500182912,no,no
Arc_3,PKNOX2,knockdown,0.013435399999999997,5,0.06576245309673295,0.07107873167264309,-0.044207931672643086,no,no
Arc_3,PROX1,activate,-0.0427888,5,0.04683171572449594,-0.001738991253735861,-0.08383860874626414,yes,no
Arc_3,PROX1,knockdown,0.009425399999999997,5,0.0360228112353825,0.04100078622787971,-0.022149986227879715,no,no
Arc_3,RBPJ,activate,-0.406891,5,0.028819551375758767,-0.3816295494247603,-0.4321524505752397,yes,yes
Arc_3,RBPJ,knockdown,-0.0113606,5,0.04167768148301918,0.02517149854472113,-0.04789269854472113,no,no
Arc_3,REST,activate,-0.0566222,5,0.06208580038704503,-0.0022015965196571508,-0.11104280348034284,yes,no
Arc_3,REST,knockdown,0.0586016,5,0.04984095174954026,0.10228912042070155,0.01491407957929844,no,no
Arc_3,RORA_RORB,activate,-0.32847879999999996,5,0.04002449564579174,-0.29339578273257916,-0.36356181726742076,yes,yes
Arc_3,RORA_RORB,knockdown,-0.0213448,5,0.04468056071940011,0.017819438248223133,-0.06050903824822314,no,no
Arc_3,RUNX1,activate,-0.5114826,5,0.0369708929875922,-0.4790761834756224,-0.5438890165243776,yes,yes
Arc_3,RUNX1,knockdown,-0.016193,5,0.057658093824718135,0.034346547560091194,-0.0667325475600912,no,no
Arc_3,SIX1,activate,-0.3936648,5,0.021191695595208983,-0.37508945981152686,-0.4122401401884731,yes,yes
Arc_3,SIX1,knockdown,-0.006430200000000002,5,0.044399625434230865,0.032487787613415774,-0.04534818761341578,no,no
Arc_3,SIX4,activate,-0.0320118,5,0.03672918469963634,0.0001827498686405582,-0.06420634986864056,no,no
Arc_3,SIX4,knockdown,-0.006926800000000001,5,0.03270974635639965,0.021744556820836782,-0.035598156820836786,no,no
Arc_3,SMAD3,activate,-0.0031174000000000006,5,0.054338231548330694,0.0445121599715229,-0.0507469599715229,no,no
Arc_3,SMAD3,knockdown,0.013161599999999999,5,0.05380575887672249,0.06032442709629117,-0.034001227096291164,no,no
Arc_3,SOX11,activate,0.014575199999999996,5,0.07852347133628264,0.0834040573369762,-0.05425365733697621,no,no
Arc_3,SOX11,knockdown,0.0125366,5,0.10756321577472477,0.10681991564149881,-0.08174671564149882,no,no
Arc_3,SOX9,activate,-0.153152,5,0.04801342890275594,-0.11106637398310917,-0.19523762601689085,yes,no
Arc_3,SOX9,knockdown,0.012718800000000002,5,0.05045592907379667,0.056945371812551604,-0.0315077718125516,no,no
Arc_3,STAT1,activate,-0.34943559999999996,5,0.041637238426677645,-0.31293895135717226,-0.38593224864282766,yes,yes
Arc_3,STAT1,knockdown,0.0013573999999999988,5,0.06315989258857237,0.05671948680561612,-0.05400468680561612,no,no
Arc_3,STAT2,activate,-0.0198006,5,0.02774617812059888,0.004519997434242768,-0.04412119743424277,no,no
Arc_3,STAT2,knockdown,-0.0193282,5,0.04912389616775119,0.023730793491087355,-0.06238719349108736,no,no
Arc_3,TBX15,activate,-0.0345052,5,0.056451233597681456,0.014976487929349212,-0.08398688792934922,no,no
Arc_3,TBX15,knockdown,0.022219,5,0.0578271753979044,0.07290675409351492,-0.028468754093514927,no,no
