,GATA2,FLI1,GFI1,SCL,FOG1,CJUN,GATA1,PU1,CEBPA,EKLF
GATA2,,-0.12240899999999999,,,,,,,,
FLI1,,0.7275210000000001,,,,,,,,
GFI1,,0.049160871791834954,,0.040958693402533886,,,,,,
SCL,0.06113030107798467,-0.05526144642026298,,0.34508030504626447,,,0.1657068517088374,,-0.009500116810451258,
FOG1,0.06784337673731616,-0.06403556743648647,,0.04732646404708408,,,0.1842489036369955,,,0.08545567259651005
CJUN,,,0.008710179694186086,-0.008904464437586301,,0.41389828854878663,-0.01948340056753889,0.04651220037829652,0.023910302061597905,0.0025721092514722097
GATA1,0.038761158009484264,-0.07145544835650634,,0.06963848791943493,,,0.227895027498178,,,0.1427643239747324
PU1,,,,,,0.15908449941036645,,0.7015611345219714,,
CEBPA,,0.1419140907007137,0.05004211551618348,,,0.023997254341686897,-0.015485549391953261,,0.44989074963876086,-0.0235627565116759
EKLF,0.007119030692304209,-0.024950498296796027,,0.10413957790370774,,-0.000209058508119659,0.1580641751910544,,-0.016545031444980478,0.22827832809474624
