,GATA2,FLI1,GFI1,SCL,FOG1,CJUN,GATA1,PU1,CEBPA,EKLF
GATA2,,0.12240899999999999,,,,,,,,
FLI1,,0.7275210000000001,,,,,,,,
GFI1,,0.35970742451937543,,0.3767925008367735,,,,,,
SCL,0.09253661393664822,0.06288551136524775,,0.34508030504626447,,,0.1657068517088374,,0.051922560998564835,
FOG1,0.06960506547343397,0.0944799531191837,,0.105904732653589,,,0.18918550324844616,,,0.09263920150387217
CJUN,,,0.08331560381129807,0.05866813289970012,,0.41389828854878663,0.04285793561695199,0.0673942932667795,0.0684283363385788,0.0427858492650028
GATA1,0.04586864306244186,0.07145544835650634,,0.06963848791943493,,,0.227895027498178,,,0.1427643239747324
PU1,,,,,,0.15908449941036645,,0.7015611345219714,,
CEBPA,,0.14316936884141393,0.055258291851124505,,,0.05449628594748189,0.07209601375986856,,0.44989074963876086,0.06522689942647344
EKLF,0.04501269372955109,0.03889223492466551,,0.10462838410204338,,0.029861249386807544,0.1580641751910544,,0.03463077722363361,0.22827832809474624
