Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,Neuroendocrine1,Generalist NE,Intermediate,Neuroendocrine2,None,Start,Walk
19,0,0,0,0,8,0,0,0,3973,5500048749758430,1
0,0,0,0,0,46,0,0,0,3954,5500048749758430,2
0,0,0,0,0,31,0,0,0,3969,5500048749758430,3
39,0,0,0,0,18,0,0,0,3943,5500048749758430,4
111,0,0,0,21,15,0,0,0,3853,5500048749758430,5
0,0,0,0,0,19,0,0,0,3981,5500048749758430,6
0,232,0,0,0,63,0,0,0,3705,5500048749758430,7
0,22,0,0,0,15,0,0,0,3963,5500048749758430,8
0,0,0,0,0,22,0,0,0,3978,5500048749758430,9
37,0,0,0,0,34,0,0,0,3929,5500048749758430,10
0,0,0,0,0,39,0,0,0,3961,5500048749758430,11
0,0,0,0,0,16,0,0,0,3984,5500048749758430,12
113,0,0,0,0,12,0,0,0,3875,5500048749758430,13
0,0,0,0,31,32,0,0,0,3937,5500048749758430,14
0,343,0,0,0,15,0,0,0,3642,5500048749758430,15
0,0,0,0,0,10,0,0,0,3990,5500048749758430,16
0,35,0,0,0,16,0,0,0,3949,5500048749758430,17
0,0,0,0,0,25,0,0,0,3975,5500048749758430,18
188,0,0,0,0,33,0,0,0,3779,5500048749758430,19
0,0,0,0,0,21,0,0,0,3979,5500048749758430,20
0,0,0,0,0,28,0,0,0,3972,5500048749758430,21
93,0,73,0,0,13,0,0,0,3821,5500048749758430,22
10,0,0,0,266,8,0,0,0,3716,5500048749758430,23
0,0,0,0,0,13,0,0,0,3987,5500048749758430,24
84,0,0,0,0,25,0,0,0,3891,5500048749758430,25
0,0,0,0,0,34,0,0,0,3966,5500048749758430,26
23,0,9,0,0,9,0,0,0,3959,5500048749758430,27
0,0,0,0,0,22,0,0,0,3978,5500048749758430,28
79,0,0,0,0,11,0,0,0,3910,5500048749758430,29
0,0,0,0,0,26,0,0,0,3974,5500048749758430,30
0,0,0,0,0,14,0,0,0,3986,5500048749758430,31
0,0,0,0,0,35,0,0,0,3965,5500048749758430,32
0,0,0,0,0,27,0,0,0,3973,5500048749758430,33
30,0,0,0,0,12,0,0,0,3958,5500048749758430,34
0,0,0,0,0,21,0,0,0,3979,5500048749758430,35
0,0,0,0,0,33,0,0,0,3967,5500048749758430,36
0,0,0,0,0,14,0,0,0,3986,5500048749758430,37
0,0,0,0,0,63,0,0,0,3937,5500048749758430,38
0,0,0,0,0,23,0,0,0,3977,5500048749758430,39
0,0,0,0,0,8,0,0,0,3992,5500048749758430,40
0,0,0,0,0,29,0,0,0,3971,5500048749758430,41
0,0,0,0,0,8,0,0,0,3992,5500048749758430,42
0,0,0,0,0,37,0,0,0,3963,5500048749758430,43
0,0,0,0,0,45,0,0,0,3955,5500048749758430,44
0,0,0,0,0,12,0,0,0,3988,5500048749758430,45
