Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,Neuroendocrine1,Generalist NE,Intermediate,Neuroendocrine2,None,Start,Walk
0,562,0,148,0,0,0,33,0,3257,2308064086923296,1
0,0,0,0,0,0,0,32,0,3968,2308064086923296,2
0,0,0,0,0,0,0,22,0,3978,2308064086923296,3
0,497,0,31,0,0,0,21,0,3451,2308064086923296,4
14,449,0,70,0,0,0,18,0,3449,2308064086923296,5
0,194,101,0,0,0,0,23,0,3682,2308064086923296,6
0,1440,0,0,0,0,0,20,0,2540,2308064086923296,7
0,0,0,0,0,0,0,12,0,3988,2308064086923296,8
92,18,217,0,0,0,0,46,0,3627,2308064086923296,9
0,0,163,84,0,0,0,16,0,3737,2308064086923296,10
0,0,0,0,0,0,0,33,0,3967,2308064086923296,11
510,596,407,73,0,0,0,53,0,2361,2308064086923296,12
63,435,223,0,0,0,0,24,0,3255,2308064086923296,13
0,281,0,0,0,0,0,15,0,3704,2308064086923296,14
0,853,0,0,0,0,0,29,0,3118,2308064086923296,15
0,1243,0,0,0,0,0,40,0,2717,2308064086923296,16
28,257,89,0,0,0,0,23,0,3603,2308064086923296,17
1,0,0,0,126,0,0,17,0,3856,2308064086923296,18
0,0,0,94,0,0,0,34,0,3872,2308064086923296,19
0,0,0,0,0,0,0,45,0,3955,2308064086923296,20
0,93,0,0,0,0,0,15,0,3892,2308064086923296,21
0,0,0,0,0,0,0,56,0,3944,2308064086923296,22
0,535,0,255,0,0,0,29,0,3181,2308064086923296,23
0,1334,0,0,0,0,0,35,0,2631,2308064086923296,24
0,1039,0,0,0,0,0,12,0,2949,2308064086923296,25
29,0,0,340,0,0,0,41,0,3590,2308064086923296,26
0,14,0,56,0,0,0,35,0,3895,2308064086923296,27
413,27,391,0,0,0,0,33,0,3136,2308064086923296,28
0,460,0,0,0,0,0,10,0,3530,2308064086923296,29
0,657,0,0,0,0,0,18,0,3325,2308064086923296,30
98,522,0,552,0,0,0,21,0,2807,2308064086923296,31
0,1794,0,0,0,0,0,44,0,2162,2308064086923296,32
68,232,439,142,0,0,0,31,0,3088,2308064086923296,33
20,530,0,36,0,0,0,44,0,3370,2308064086923296,34
0,739,0,0,0,0,0,19,0,3242,2308064086923296,35
17,0,0,0,0,0,0,46,0,3937,2308064086923296,36
12,197,0,242,0,0,0,20,0,3529,2308064086923296,37
232,304,0,90,0,0,0,20,0,3354,2308064086923296,38
147,0,106,740,0,0,0,42,0,2965,2308064086923296,39
0,0,0,0,0,0,0,19,0,3981,2308064086923296,40
10,0,0,0,0,0,0,31,0,3959,2308064086923296,41
0,0,0,0,0,0,0,13,0,3987,2308064086923296,42
0,242,0,0,0,0,0,12,0,3746,2308064086923296,43
35,0,0,58,0,0,0,10,0,3897,2308064086923296,44
68,21,3,0,0,0,0,37,0,3871,2308064086923296,45
0,1128,0,267,0,0,0,19,0,2586,2308064086923296,46
0,0,0,0,0,0,0,30,0,3970,2308064086923296,47
175,0,268,79,0,0,0,20,0,3458,2308064086923296,48
0,1787,0,0,0,0,0,10,0,2203,2308064086923296,49
47,0,10,32,0,0,0,13,0,3898,2308064086923296,50
0,213,0,0,0,0,0,42,0,3745,2308064086923296,51
2,32,86,39,0,0,0,49,0,3792,2308064086923296,52
0,159,0,73,0,0,0,26,0,3742,2308064086923296,53
