Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,Neuroendocrine1,Generalist NE,Intermediate,Neuroendocrine2,None,Start,Walk
0,43,0,0,0,0,0,7,0,3950,2308064086923296,1
1,0,0,215,0,0,0,15,0,3769,2308064086923296,2
0,1234,0,0,0,0,0,17,0,2749,2308064086923296,3
60,42,0,0,0,0,0,16,0,3882,2308064086923296,4
0,980,0,0,0,0,0,27,0,2993,2308064086923296,5
0,2,0,0,0,0,0,47,0,3951,2308064086923296,6
0,210,0,52,0,0,0,44,0,3694,2308064086923296,7
0,1928,0,0,0,0,0,28,0,2044,2308064086923296,8
93,103,0,0,0,0,0,12,0,3792,2308064086923296,9
0,204,0,0,0,0,0,21,0,3775,2308064086923296,10
0,76,0,0,0,0,0,25,0,3899,2308064086923296,11
0,319,0,0,0,0,0,22,0,3659,2308064086923296,12
0,1843,0,24,0,0,0,43,0,2090,2308064086923296,13
0,745,0,0,0,0,0,35,0,3220,2308064086923296,14
0,0,0,0,0,0,0,41,0,3959,2308064086923296,15
0,177,0,0,0,0,0,47,0,3776,2308064086923296,16
0,1300,0,0,0,0,0,50,0,2650,2308064086923296,17
0,0,0,0,0,0,0,31,0,3969,2308064086923296,18
0,0,0,0,0,0,0,35,0,3965,2308064086923296,19
0,0,0,5,0,0,0,36,0,3959,2308064086923296,20
0,52,0,0,0,0,0,65,0,3883,2308064086923296,21
0,1652,0,0,0,0,0,29,0,2319,2308064086923296,22
0,0,0,15,0,0,0,30,0,3955,2308064086923296,23
0,611,0,0,0,0,0,40,0,3349,2308064086923296,24
0,140,0,6,0,0,0,40,0,3814,2308064086923296,25
12,6,0,0,0,0,0,64,0,3918,2308064086923296,26
0,0,0,0,0,0,0,19,0,3981,2308064086923296,27
0,19,0,0,0,0,0,46,0,3935,2308064086923296,28
0,0,0,2,0,0,0,28,0,3970,2308064086923296,29
0,164,0,0,0,0,0,20,0,3816,2308064086923296,30
0,0,0,0,0,0,0,37,0,3963,2308064086923296,31
0,0,0,203,0,0,0,25,0,3772,2308064086923296,32
0,852,0,0,0,0,0,33,0,3115,2308064086923296,33
0,619,0,0,0,0,0,26,0,3355,2308064086923296,34
152,5,100,0,0,0,0,22,0,3721,2308064086923296,35
0,109,0,0,0,0,0,19,0,3872,2308064086923296,36
16,871,0,5,0,0,0,63,0,3045,2308064086923296,37
0,194,0,21,0,0,0,34,0,3751,2308064086923296,38
0,127,0,0,0,0,0,29,0,3844,2308064086923296,39
