Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,Neuroendocrine1,Generalist NE,Intermediate,Neuroendocrine2,None,Start,Walk
0,590,0,0,0,0,0,0,33,3377,17609338899731,1
0,0,0,0,0,0,0,0,40,3960,17609338899731,2
0,219,0,0,0,0,0,0,22,3759,17609338899731,3
0,905,0,0,0,0,0,0,48,3047,17609338899731,4
0,0,0,0,0,0,0,0,29,3971,17609338899731,5
0,198,19,0,0,0,0,0,24,3759,17609338899731,6
0,0,0,0,0,0,0,0,16,3984,17609338899731,7
0,146,0,0,0,0,0,0,9,3845,17609338899731,8
26,0,0,0,0,0,0,0,12,3962,17609338899731,9
0,308,0,0,0,0,0,0,34,3658,17609338899731,10
0,41,6,0,0,0,0,0,16,3937,17609338899731,11
0,0,0,0,0,0,0,0,22,3978,17609338899731,12
0,292,0,0,0,0,0,0,19,3689,17609338899731,13
24,50,0,0,0,0,0,0,23,3903,17609338899731,14
4,22,82,0,0,0,0,0,23,3869,17609338899731,15
635,0,358,0,0,0,0,0,9,2998,17609338899731,16
0,0,15,0,0,0,0,0,20,3965,17609338899731,17
0,999,0,0,0,0,0,0,23,2978,17609338899731,18
256,58,37,0,0,0,0,0,12,3637,17609338899731,19
0,506,0,0,0,0,0,0,9,3485,17609338899731,20
0,669,0,0,0,0,0,0,17,3314,17609338899731,21
0,1151,0,0,0,0,0,0,17,2832,17609338899731,22
226,0,0,0,442,0,0,0,35,3297,17609338899731,23
0,0,0,0,0,0,0,0,20,3980,17609338899731,24
0,250,0,0,0,0,0,0,12,3738,17609338899731,25
153,0,548,0,0,0,0,0,8,3291,17609338899731,26
0,791,0,0,0,0,0,0,25,3184,17609338899731,27
0,904,0,0,0,0,0,0,17,3079,17609338899731,28
163,131,0,0,0,0,0,0,28,3678,17609338899731,29
132,619,222,0,0,0,0,0,21,3006,17609338899731,30
0,285,29,0,0,0,0,0,5,3681,17609338899731,31
0,61,0,44,0,0,0,0,13,3882,17609338899731,32
0,863,9,106,0,0,0,0,29,2993,17609338899731,33
0,209,0,0,0,0,0,0,15,3776,17609338899731,34
173,0,0,113,0,0,0,0,29,3685,17609338899731,35
0,415,0,0,0,0,0,0,27,3558,17609338899731,36
0,387,0,0,0,0,0,0,22,3591,17609338899731,37
0,6,0,0,0,0,0,0,24,3970,17609338899731,38
0,998,0,0,0,0,0,0,21,2981,17609338899731,39
89,0,0,95,0,0,0,0,12,3804,17609338899731,40
24,0,658,899,0,0,0,0,9,2410,17609338899731,41
86,567,124,0,0,0,0,0,13,3210,17609338899731,42
0,68,0,0,0,0,0,0,28,3904,17609338899731,43
0,0,0,0,0,0,0,0,26,3974,17609338899731,44
0,344,0,0,0,0,0,0,9,3647,17609338899731,45
0,338,0,0,0,0,0,0,15,3647,17609338899731,46
0,268,0,0,0,0,0,0,26,3706,17609338899731,47
0,1129,0,0,0,0,0,0,20,2851,17609338899731,48
0,1486,0,0,0,0,0,0,33,2481,17609338899731,49
0,0,0,0,0,0,0,0,11,3989,17609338899731,50
0,0,0,0,0,0,0,0,26,3974,17609338899731,51
0,9,0,0,0,0,0,0,21,3970,17609338899731,52
0,499,0,5,0,0,0,0,7,3489,17609338899731,53
0,0,0,0,9,0,0,0,11,3980,17609338899731,54
125,0,0,171,0,0,0,0,13,3691,17609338899731,55
1359,0,125,107,0,0,0,0,20,2389,17609338899731,56
7,554,274,0,0,0,0,0,27,3138,17609338899731,57
0,123,0,0,0,0,0,0,21,3856,17609338899731,58
0,0,0,0,0,0,0,0,11,3989,17609338899731,59
66,0,0,0,0,0,0,0,25,3909,17609338899731,60
0,168,0,0,0,0,0,0,19,3813,17609338899731,61
133,78,49,0,0,0,0,0,17,3723,17609338899731,62
0,0,0,0,0,0,0,0,11,3989,17609338899731,63
0,1159,0,0,0,0,0,0,11,2830,17609338899731,64
0,127,0,0,0,0,0,0,6,3867,17609338899731,65
0,0,0,0,0,0,0,0,16,3984,17609338899731,66
305,243,84,0,0,0,0,0,18,3350,17609338899731,67
0,264,0,0,0,0,0,0,19,3717,17609338899731,68
0,491,0,0,0,0,0,0,21,3488,17609338899731,69
0,0,0,0,0,0,0,0,20,3980,17609338899731,70
0,504,0,0,0,0,0,0,17,3479,17609338899731,71
0,284,0,0,0,0,0,0,22,3694,17609338899731,72
42,0,0,0,0,0,0,0,21,3937,17609338899731,73
0,0,0,0,0,0,0,0,7,3993,17609338899731,74
0,0,117,0,0,0,0,0,36,3847,17609338899731,75
0,0,0,0,0,0,0,0,19,3981,17609338899731,76
0,0,0,0,0,0,0,0,17,3983,17609338899731,77
0,230,0,0,0,0,0,0,25,3745,17609338899731,78
0,0,0,0,0,0,0,0,33,3967,17609338899731,79
302,295,0,0,0,0,0,0,26,3377,17609338899731,80
0,0,0,0,0,0,0,0,14,3986,17609338899731,81
62,16,0,0,0,0,0,0,31,3891,17609338899731,82
0,0,0,0,0,0,0,0,15,3985,17609338899731,83
1,100,0,0,0,0,0,0,18,3881,17609338899731,84
15,41,42,0,0,0,0,0,16,3886,17609338899731,85
70,0,505,0,0,0,0,0,15,3410,17609338899731,86
0,0,167,314,0,0,0,0,23,3496,17609338899731,87
0,567,51,0,0,0,0,0,18,3364,17609338899731,88
21,0,0,0,71,0,0,0,20,3888,17609338899731,89
0,0,104,0,0,0,0,0,17,3879,17609338899731,90
0,0,0,72,0,0,0,0,14,3914,17609338899731,91
0,140,209,0,0,0,0,0,21,3630,17609338899731,92
0,927,0,0,0,0,0,0,21,3052,17609338899731,93
0,0,0,0,0,0,0,0,27,3973,17609338899731,94
0,1480,0,0,0,0,0,0,29,2491,17609338899731,95
0,411,0,0,0,0,0,0,42,3547,17609338899731,96
0,0,37,0,0,0,0,0,18,3945,17609338899731,97
0,0,0,0,0,0,0,0,47,3953,17609338899731,98
26,0,130,117,0,0,0,0,25,3702,17609338899731,99
6,596,0,0,0,0,0,0,43,3355,17609338899731,100
