Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,Neuroendocrine1,Generalist NE,Intermediate,Neuroendocrine2,None,Start,Walk
166,0,0,0,647,0,23,0,0,3164,7861313821741716,1
291,0,0,0,507,0,31,0,0,3171,7861313821741716,2
11,0,0,0,0,0,26,0,0,3963,7861313821741716,3
0,0,0,0,0,0,26,0,0,3974,7861313821741716,4
68,0,0,0,0,0,36,0,0,3896,7861313821741716,5
147,0,0,0,0,0,10,0,0,3843,7861313821741716,6
0,0,0,0,0,0,16,0,0,3984,7861313821741716,7
10,0,0,0,0,0,39,0,0,3951,7861313821741716,8
19,0,671,0,0,0,11,0,0,3299,7861313821741716,9
145,0,0,0,176,0,9,0,0,3670,7861313821741716,10
0,0,0,0,0,0,17,0,0,3983,7861313821741716,11
55,0,0,0,0,0,16,0,0,3929,7861313821741716,12
0,0,0,0,0,0,41,0,0,3959,7861313821741716,13
0,0,0,0,256,0,8,0,0,3736,7861313821741716,14
259,0,0,0,5,0,26,0,0,3710,7861313821741716,15
0,0,0,0,0,0,28,0,0,3972,7861313821741716,16
86,0,0,0,4,0,20,0,0,3890,7861313821741716,17
0,0,0,0,0,0,19,0,0,3981,7861313821741716,18
0,0,0,0,0,0,19,0,0,3981,7861313821741716,19
0,0,0,0,0,0,28,0,0,3972,7861313821741716,20
0,0,0,0,0,0,27,0,0,3973,7861313821741716,21
0,0,0,0,0,0,17,0,0,3983,7861313821741716,22
456,0,0,0,0,0,16,0,0,3528,7861313821741716,23
1,0,0,0,0,0,27,0,0,3972,7861313821741716,24
0,0,0,0,0,0,33,0,0,3967,7861313821741716,25
0,0,0,0,0,0,18,0,0,3982,7861313821741716,26
0,0,133,0,0,0,28,0,0,3839,7861313821741716,27
0,0,0,0,0,0,14,0,0,3986,7861313821741716,28
1,0,0,0,0,0,33,0,0,3966,7861313821741716,29
0,0,0,0,0,0,30,0,0,3970,7861313821741716,30
0,0,0,0,0,0,42,0,0,3958,7861313821741716,31
0,0,0,0,0,0,24,0,0,3976,7861313821741716,32
