Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,Neuroendocrine1,Generalist NE,Intermediate,Neuroendocrine2,None,Start,Walk
86,14,31,0,0,0,0,0,11,3858,17609338899731,1
182,463,0,0,0,0,0,0,8,3347,17609338899731,2
0,36,0,0,0,0,0,0,18,3946,17609338899731,3
0,0,0,0,0,0,0,0,10,3990,17609338899731,4
0,435,0,33,0,0,0,0,20,3512,17609338899731,5
0,503,0,0,0,0,0,0,19,3478,17609338899731,6
93,0,0,0,0,0,0,0,12,3895,17609338899731,7
309,0,0,0,0,0,0,0,15,3676,17609338899731,8
12,0,75,261,0,0,0,0,8,3644,17609338899731,9
0,637,0,0,0,0,0,0,8,3355,17609338899731,10
615,0,0,16,0,0,0,0,19,3350,17609338899731,11
0,152,0,0,0,0,0,0,26,3822,17609338899731,12
0,1115,0,0,0,0,0,0,13,2872,17609338899731,13
0,358,0,0,0,0,0,0,6,3636,17609338899731,14
0,334,68,0,0,0,0,0,21,3577,17609338899731,15
0,0,0,0,0,0,0,0,10,3990,17609338899731,16
106,272,142,281,0,0,0,0,16,3183,17609338899731,17
0,0,32,0,0,0,0,0,17,3951,17609338899731,18
0,914,0,0,0,0,0,0,15,3071,17609338899731,19
0,192,0,0,0,0,0,0,12,3796,17609338899731,20
3,698,0,0,0,0,0,0,12,3287,17609338899731,21
0,1252,0,0,0,0,0,0,21,2727,17609338899731,22
0,1690,0,0,0,0,0,0,17,2293,17609338899731,23
0,0,0,0,0,0,0,0,17,3983,17609338899731,24
0,1191,0,0,0,0,0,0,10,2799,17609338899731,25
0,330,0,0,0,0,0,0,24,3646,17609338899731,26
0,580,0,0,0,0,0,0,14,3406,17609338899731,27
0,652,0,0,0,0,0,0,17,3331,17609338899731,28
0,1005,0,0,0,0,0,0,7,2988,17609338899731,29
0,98,0,0,0,0,0,0,25,3877,17609338899731,30
0,0,0,0,0,0,0,0,10,3990,17609338899731,31
260,370,0,0,0,0,0,0,10,3360,17609338899731,32
0,383,0,0,0,0,0,0,33,3584,17609338899731,33
