Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,Neuroendocrine1,Generalist NE,Intermediate,Neuroendocrine2,None,Start,Walk
0,0,0,0,0,0,31,0,0,3969,7861313821741716,1
66,86,0,0,0,0,26,0,0,3822,7861313821741716,2
0,0,0,0,0,0,17,0,0,3983,7861313821741716,3
0,0,0,0,0,0,29,0,0,3971,7861313821741716,4
0,0,0,0,0,0,36,0,0,3964,7861313821741716,5
0,0,0,0,0,0,29,0,0,3971,7861313821741716,6
46,0,0,0,0,0,12,0,0,3942,7861313821741716,7
0,0,0,0,0,0,31,0,0,3969,7861313821741716,8
0,0,0,0,0,0,32,0,0,3968,7861313821741716,9
21,0,153,0,0,0,30,0,0,3796,7861313821741716,10
0,0,0,0,0,0,34,0,0,3966,7861313821741716,11
0,0,0,0,0,0,47,0,0,3953,7861313821741716,12
0,0,0,0,0,0,16,0,0,3984,7861313821741716,13
0,0,0,0,0,0,33,0,0,3967,7861313821741716,14
0,0,0,0,0,0,51,0,0,3949,7861313821741716,15
0,0,0,0,0,0,19,0,0,3981,7861313821741716,16
0,0,0,0,0,0,28,0,0,3972,7861313821741716,17
0,0,0,0,0,0,17,0,0,3983,7861313821741716,18
0,0,0,0,0,0,29,0,0,3971,7861313821741716,19
0,0,0,0,0,0,11,0,0,3989,7861313821741716,20
0,0,0,0,0,0,42,0,0,3958,7861313821741716,21
0,0,0,0,0,0,31,0,0,3969,7861313821741716,22
0,0,47,0,0,0,23,0,0,3930,7861313821741716,23
0,0,0,0,0,0,30,0,0,3970,7861313821741716,24
67,0,50,0,0,0,24,0,0,3859,7861313821741716,25
0,0,147,0,0,0,33,0,0,3820,7861313821741716,26
0,0,0,0,0,0,37,0,0,3963,7861313821741716,27
0,0,0,0,0,0,40,0,0,3960,7861313821741716,28
0,0,0,0,0,0,23,0,0,3977,7861313821741716,29
0,41,0,0,0,0,15,0,0,3944,7861313821741716,30
0,0,0,0,0,0,30,0,0,3970,7861313821741716,31
0,0,0,0,0,0,15,0,0,3985,7861313821741716,32
0,0,0,0,0,0,22,0,0,3978,7861313821741716,33
0,0,0,0,0,0,20,0,0,3980,7861313821741716,34
0,0,0,0,0,0,24,0,0,3976,7861313821741716,35
0,0,0,0,0,0,21,0,0,3979,7861313821741716,36
0,0,0,0,0,0,12,0,0,3988,7861313821741716,37
0,0,0,0,0,0,45,0,0,3955,7861313821741716,38
0,0,0,0,0,0,53,0,0,3947,7861313821741716,39
211,146,177,532,0,0,39,0,0,2895,7861313821741716,40
0,0,0,0,0,0,41,0,0,3959,7861313821741716,41
0,0,0,0,0,0,44,0,0,3956,7861313821741716,42
0,0,0,0,0,0,29,0,0,3971,7861313821741716,43
0,0,0,0,2,0,31,0,0,3967,7861313821741716,44
0,0,0,0,0,0,66,0,0,3934,7861313821741716,45
0,0,0,0,0,0,37,0,0,3963,7861313821741716,46
0,0,0,0,0,0,48,0,0,3952,7861313821741716,47
0,0,0,0,0,0,20,0,0,3980,7861313821741716,48
