Generalist_NE,Generalist_nonNE,Arc_3,Arc_6,Arc_5,Neuroendocrine1,Generalist NE,Intermediate,Neuroendocrine2,None,Start,Walk
406,0,0,0,296,39,0,0,0,3259,5500048749758430,1
0,0,0,0,0,43,0,0,0,3957,5500048749758430,2
800,0,0,0,0,8,0,0,0,3192,5500048749758430,3
172,0,0,0,0,57,0,0,0,3771,5500048749758430,4
439,0,0,0,335,55,0,0,0,3171,5500048749758430,5
119,0,0,0,212,35,0,0,0,3634,5500048749758430,6
331,0,0,0,0,49,0,0,0,3620,5500048749758430,7
311,0,29,0,0,20,0,0,0,3640,5500048749758430,8
371,0,0,0,63,64,0,0,0,3502,5500048749758430,9
1733,0,0,0,114,22,0,0,0,2131,5500048749758430,10
755,0,0,0,364,29,0,0,0,2852,5500048749758430,11
1308,0,0,0,161,18,0,0,0,2513,5500048749758430,12
427,0,0,0,189,54,0,0,0,3330,5500048749758430,13
996,0,0,0,24,28,0,0,0,2952,5500048749758430,14
0,0,0,0,190,30,0,0,0,3780,5500048749758430,15
902,0,0,0,667,59,0,0,0,2372,5500048749758430,16
342,0,0,0,21,14,0,0,0,3623,5500048749758430,17
349,0,0,0,0,30,0,0,0,3621,5500048749758430,18
1115,0,0,0,0,20,0,0,0,2865,5500048749758430,19
498,0,0,0,0,20,0,0,0,3482,5500048749758430,20
233,0,0,0,0,38,0,0,0,3729,5500048749758430,21
426,0,0,0,108,14,0,0,0,3452,5500048749758430,22
319,11,0,0,72,30,0,0,0,3568,5500048749758430,23
513,0,0,0,766,34,0,0,0,2687,5500048749758430,24
340,0,0,0,0,12,0,0,0,3648,5500048749758430,25
290,0,0,0,0,49,0,0,0,3661,5500048749758430,26
350,0,0,0,428,36,0,0,0,3186,5500048749758430,27
251,0,0,0,186,33,0,0,0,3530,5500048749758430,28
756,0,0,0,138,45,0,0,0,3061,5500048749758430,29
1176,0,0,0,140,34,0,0,0,2650,5500048749758430,30
32,0,0,0,0,10,0,0,0,3958,5500048749758430,31
1675,0,0,0,467,14,0,0,0,1844,5500048749758430,32
169,0,0,0,881,56,0,0,0,2894,5500048749758430,33
52,0,0,0,0,13,0,0,0,3935,5500048749758430,34
432,0,0,0,457,22,0,0,0,3089,5500048749758430,35
0,0,0,0,0,45,0,0,0,3955,5500048749758430,36
85,0,0,0,561,36,0,0,0,3318,5500048749758430,37
1092,0,0,0,0,18,0,0,0,2890,5500048749758430,38
902,0,0,0,1,30,0,0,0,3067,5500048749758430,39
200,0,0,0,0,31,0,0,0,3769,5500048749758430,40
61,0,0,0,497,22,0,0,0,3420,5500048749758430,41
284,0,0,0,0,38,0,0,0,3678,5500048749758430,42
164,0,0,0,0,37,0,0,0,3799,5500048749758430,43
517,0,0,0,0,26,0,0,0,3457,5500048749758430,44
0,0,0,0,0,22,0,0,0,3978,5500048749758430,45
500,0,0,0,0,21,0,0,0,3479,5500048749758430,46
307,0,0,0,248,28,0,0,0,3417,5500048749758430,47
584,0,0,0,204,21,0,0,0,3191,5500048749758430,48
397,0,0,0,0,25,0,0,0,3578,5500048749758430,49
97,0,0,0,123,30,0,0,0,3750,5500048749758430,50
1424,0,0,0,248,23,0,0,0,2305,5500048749758430,51
346,0,0,0,0,41,0,0,0,3613,5500048749758430,52
0,0,0,0,0,41,0,0,0,3959,5500048749758430,53
63,143,0,0,0,42,0,0,0,3752,5500048749758430,54
723,0,0,72,98,63,0,0,0,3044,5500048749758430,55
847,0,0,0,1763,42,0,0,0,1348,5500048749758430,56
516,0,218,64,0,29,0,0,0,3173,5500048749758430,57
48,0,0,0,0,28,0,0,0,3924,5500048749758430,58
152,0,0,0,0,27,0,0,0,3821,5500048749758430,59
0,0,0,0,0,42,0,0,0,3958,5500048749758430,60
545,0,0,0,192,36,0,0,0,3227,5500048749758430,61
595,0,0,0,620,34,0,0,0,2751,5500048749758430,62
120,0,0,0,556,27,0,0,0,3297,5500048749758430,63
333,0,0,0,0,33,0,0,0,3634,5500048749758430,64
0,0,0,0,0,56,0,0,0,3944,5500048749758430,65
131,0,0,0,82,48,0,0,0,3739,5500048749758430,66
501,0,0,0,0,34,0,0,0,3465,5500048749758430,67
0,0,0,0,0,27,0,0,0,3973,5500048749758430,68
1231,0,0,0,690,46,0,0,0,2033,5500048749758430,69
389,0,0,0,0,22,0,0,0,3589,5500048749758430,70
107,0,0,0,0,46,0,0,0,3847,5500048749758430,71
42,0,0,0,0,37,0,0,0,3921,5500048749758430,72
312,0,0,0,40,98,0,0,0,3550,5500048749758430,73
303,168,0,0,0,16,0,0,0,3513,5500048749758430,74
386,0,0,0,264,28,0,0,0,3322,5500048749758430,75
1769,0,0,0,0,25,0,0,0,2206,5500048749758430,76
385,0,0,0,796,42,0,0,0,2777,5500048749758430,77
1213,0,0,0,144,19,0,0,0,2624,5500048749758430,78
49,0,0,0,0,29,0,0,0,3922,5500048749758430,79
156,0,0,0,0,61,0,0,0,3783,5500048749758430,80
709,0,0,0,0,30,0,0,0,3261,5500048749758430,81
421,0,0,0,811,24,0,0,0,2744,5500048749758430,82
471,0,0,0,0,19,0,0,0,3510,5500048749758430,83
0,0,0,0,0,34,0,0,0,3966,5500048749758430,84
764,0,0,0,0,22,0,0,0,3214,5500048749758430,85
127,0,0,0,0,33,0,0,0,3840,5500048749758430,86
0,0,0,0,0,24,0,0,0,3976,5500048749758430,87
159,0,0,0,1697,17,0,0,0,2127,5500048749758430,88
1066,0,0,0,56,29,0,0,0,2849,5500048749758430,89
368,0,0,0,1273,27,0,0,0,2332,5500048749758430,90
0,0,0,0,0,43,0,0,0,3957,5500048749758430,91
28,0,0,0,93,27,0,0,0,3852,5500048749758430,92
218,0,0,0,0,35,0,0,0,3747,5500048749758430,93
174,0,0,0,0,14,0,0,0,3812,5500048749758430,94
0,217,0,0,0,52,0,0,0,3731,5500048749758430,95
474,0,0,0,107,69,0,0,0,3350,5500048749758430,96
24,0,0,0,0,24,0,0,0,3952,5500048749758430,97
88,0,0,0,0,44,0,0,0,3868,5500048749758430,98
373,0,0,0,112,19,0,0,0,3496,5500048749758430,99
