"","Npas2","Stat4","Stat1","Creb1","Sp100","Pbx1","Prox1","Lmx1b","Nr6a1","Nfe2l2","Ehf","Meis2","Nfatc2","Mecom","Tbx15","Nfkb1","Bach2","Nfib","Jun","Nfia","Nfyc","Prdm16","Cux2","Cux1","Tcf7l1","Pparg","Sox5","Fosb","Tead1","Sox6","Tfdp1","Jund","Nr3c2","Nfix","Junb","Ets1","Pknox2","Kmt2a","Smad3","Tcf12","Esr1","Foxo3","Hsf2","Arid5b","Ascl1","Stat2","Ahr","Six1","Six4","Hif1a","Fos","Rarb","Thrb","Grhl2","Trps1","Zbtb20","Bbx","Bach1","Runx1","Epas1","Zeb1","Egr1","Tcf4","Kdm2a","Rorb","Glis3","Lcor","Tcf7l2"
"Npas2",1,0.147557370610805,0.109029080928759,0.109880716093046,0.263186245107589,0.251950113110264,-0.092043089435211,-0.0873499464808463,0.145545136157078,0.226714223515997,0.20451207327778,-0.219703427593634,-0.0949767008306223,0.472033737374229,-0.0580098928272499,0.145426151948288,0.158109300724031,0.224585119345484,0.00609814647093089,0.434837113543568,0.162698996504881,0.322092197972164,0.00732018225241078,0.271568857258296,0.247382057396247,0.189082754168014,0.383842934121387,0.0378296059671028,0.121598214060684,0.098105294317645,-0.00572206059393744,0.120486469058392,0.0682982439192937,0.225433606349347,0.0139671388116827,0.0400765436114689,-0.0227547610982612,-0.0649224637931404,0.252431162776331,0.148446902464638,0.312365672278444,0.170200102736326,-0.0209242720940166,0.292591347106166,-0.126504733963026,0.0501929769581256,0.325196842083068,-0.0525912580094046,-0.0550873405497067,-0.010462613837533,0.0146254002542194,0.297122441943102,0.225224506277712,0.241520931446119,0.0159156622990346,0.196515476513307,0.0988468422795384,0.0179871656841522,0.475681512378721,0.205332386292827,0.0706557955892482,0.00227129775771229,0.0764042884241862,0.0578133254365672,-0.0512093269716866,0.198595432465222,0.0460079163322404,0.319035566664887
"Stat4",0.147557370610805,1,0.0394182692776301,0.0781841504416545,0.0770905239085473,0.2109356429763,0.0129377577131683,-0.00354682587429697,0.105280516054943,0.083871456523981,0.0824625721018441,0.0229073561281434,-0.00676694282825369,0.119759272679699,0.0404575122900796,0.0955554144462375,0.06961224155318,0.126666329978291,-0.0165751032408455,0.146557894917216,0.0783003000806962,0.0842627106306347,0.00273368928154512,0.102028843076977,0.0542504300156697,0.125536158213309,0.118105160739189,-0.00392565563886129,0.0757167344927376,0.179860042471784,0.00300851561035821,0.0423337272203948,0.128134628639121,0.0439372891849816,0.0112418795324085,0.0882688294640544,0.0655224191907128,-0.0201337790770054,0.109445700243801,0.121402961666132,0.103312278641055,0.0816954945096607,0.0306983062673769,0.122888186099521,0.0121769003337214,0.00313034504676166,0.091295568780129,0.035058629133565,0.00608214156455876,0.0129543578510043,-0.00942510280958146,0.14016929987587,0.0904877176566979,0.0802661549411517,0.079524346010736,0.185362972593252,0.0704703790982715,0.0159166312755141,0.136249650831816,0.0500397751262728,0.122380054411965,0.0202826530801235,0.108083612594479,0.0499163594121194,0.124195894823675,0.112698224460905,0.0962997441317506,0.110229779166935
"Stat1",0.109029080928759,0.0394182692776301,1,0.0428318987610524,0.228958913266304,0.141815364328768,0.000305078111988336,-0.0332054237393188,0.0796174015034595,0.114567960442935,0.103616629251453,-0.0796547163944634,-0.0363620178017809,0.191988610759886,-0.0289684961581857,0.0968489852964775,0.091596494791327,0.119143476901713,0.00316659482782486,0.178129765766031,0.0750889578698977,0.156734959209185,0.0278105842488018,0.130168602409584,0.122613485741627,0.0389888558517127,0.129753104044211,0.0237977378452128,0.0972944472336697,0.0485078519399884,0.0172573955492064,0.0383958103721505,0.0468910848713502,0.121921833927983,0.000767057197873627,0.0333442940980867,0.00713770943280864,-0.024077822829843,0.137305754685565,0.0839811510009474,0.107606981194969,0.102847904958282,0.00785038518298563,0.117121094347001,-0.00158567560688439,0.193367335095195,0.154070313034614,0.00412060467446472,0.00655954720584201,0.00824260598803542,-0.0114449164867089,0.131973376149904,0.118705230555815,0.102212300394551,0.0354382572456095,0.108348307953562,0.0666728662304411,0.00899525911952514,0.167315902362586,0.11366509012925,0.0551629888796941,0.00935954614262947,0.0774103073801966,0.059803099150919,-0.0166136899878803,0.117916889579349,0.0336633628347646,0.124450523080847
"Creb1",0.109880716093046,0.0781841504416545,0.0428318987610524,1,0.0258761497445658,0.230998601175596,0.117560246472882,0.00120980397467507,0.103688549627298,0.0718451840804237,0.0690761663263072,0.106265775795335,0.05673089779982,0.0720939799991593,0.0726120516211366,0.0854966454342636,0.0729343254264136,0.177355630153331,-0.0869406986986138,0.119535526199992,0.133944260257134,0.0361835887074844,0.070858141873187,0.140308238544965,0.0909444024215958,0.0687463139583966,0.104324116521934,-0.0428179369572764,0.0872131741842332,0.140608642314175,0.0714411892612652,0.0429720920074438,0.153713996469016,0.0231652946369867,-0.0221048571682894,0.0611721835890448,0.0775253040350848,-0.026164468672866,0.0346018179653921,0.226768661342315,0.0803455900431783,0.0940138074530874,0.0583972538568148,0.091333530942889,0.14303274647015,0.00349343878182204,0.0556801671259402,0.063369086574122,0.0908210539503448,0.0460730117890441,-0.0624133998590444,0.0501213919183214,0.126888431763108,0.093394141866939,0.142990896236638,0.255363287661409,0.132071348682901,-0.00605670394416075,0.0976981551381155,0.00660458920284278,0.0800619497181444,0.00655736952121273,0.191065494360821,0.10289476446206,0.0923405226574886,0.0863872781254878,0.11069232399507,0.0662727883875304
"Sp100",0.263186245107589,0.0770905239085473,0.228958913266304,0.0258761497445658,1,0.124846505699269,-0.131009676860297,-0.108265017074395,0.0910964622641017,0.199967929583995,0.181654936057818,-0.313724460982523,-0.132580458744303,0.476171875501188,-0.101521731172097,0.099783393782103,0.16556664196732,0.147709253327983,0.0673777333337989,0.360351485297389,0.0988077283421852,0.39293932103018,-0.0190589072066302,0.215335700014448,0.218358150064056,0.111299400806783,0.323348766915929,0.0742951856547759,0.0968398868429752,0.0181403240062098,-0.0341698560826529,0.10613915435773,-0.0275490145354495,0.307969113902385,5.36321614402127e-06,0.0173629988043126,-0.0607381800790233,-0.0820596290188987,0.260320676114491,0.0235533691230197,0.284963353615488,0.137335180751164,-0.0464077019207339,0.226220966407235,-0.162330054097405,0.184586877087805,0.309023897870014,-0.0926745122980596,-0.071852854959417,-0.0545222400654813,0.038589861358559,0.296371047356409,0.170008548031382,0.213550183210991,-0.0607977017133702,0.0828058624755853,0.0493665106794822,0.00481947305015211,0.407826774676956,0.228056127480809,0.0120218211644855,-0.030650070183368,-0.0125159236829744,0.0104492578413735,-0.129283909016683,0.150787822523077,0.00161486853975398,0.28788382148687
"Pbx1",0.251950113110264,0.2109356429763,0.141815364328768,0.230998601175596,0.124846505699269,1,0.110126744614577,-0.014880597212611,0.219716517437929,0.157885559956551,0.154178474264715,0.175155045079394,0.0782680410690697,0.235096753601878,0.103090317819688,0.177213980635305,0.16584550449322,0.326942721172276,-0.0926643550194219,0.334465934959634,0.213064956426647,0.143948056702478,0.0749564658731243,0.245298940541675,0.157559889166092,0.152016184638301,0.24996820373345,-0.00308331207988369,0.181444220267019,0.325301775607158,0.0628742593781262,0.0999118695360652,0.322524337165631,0.0786047862209511,-0.0101842811834217,0.121437653829559,0.0929146971833316,-0.0418742593803271,0.142746941713618,0.423671758775583,0.201115596844397,0.198202036529847,0.0861049968036057,0.238839155829875,0.182877489587659,0.0173139078038467,0.162595699106366,0.0870668266378824,0.0902860718233078,0.0536209963045528,-0.0603256814567942,0.192476083113071,0.254464402037123,0.201196512699155,0.253413114290127,0.502796724910545,0.233525752054139,0.0128412535670437,0.272892284903974,0.0798511285385974,0.201940307128214,0.0903055197932093,0.354913360046557,0.158062411451604,0.233308094558784,0.195667477781389,0.218690185284086,0.203539642821019
"Prox1",-0.092043089435211,0.0129377577131683,0.000305078111988336,0.117560246472882,-0.131009676860297,0.110126744614577,1,0.0771158947021858,0.0628561341558257,-0.0514750230098359,-0.0577593488304922,0.31585241065351,0.15174701242817,-0.249074146530069,0.134927176377746,0.0286247784284053,-0.0225603826864333,0.0882073413569639,-0.0956645972346065,-0.123875662554341,0.0405721869378746,-0.180921132566558,0.10281702078695,-0.0209768539650133,-0.0507806542521845,-0.0232854846682033,-0.116580206192348,-0.0601847548113365,0.0297368684053604,0.0996085711033691,0.10688642997974,-0.0230951711302388,0.164709063447338,-0.138249447214241,-0.0307410460618363,0.0626578044121716,0.128719116089691,0.0431563115890789,-0.129575495415631,0.190211895028673,-0.106366940619707,0.00946423719367213,0.0990380636054823,-0.0525173200946531,0.306905247966086,-0.0091944650430589,-0.133923045250598,0.110465999113136,0.136713174088616,0.0962773841035883,-0.0489086585512494,-0.126011645842191,-0.000864682498180818,-0.0344547588014267,0.179498085457519,0.203141881270262,0.110170776934888,-0.000869978683663241,-0.192011463383322,-0.119145221764571,0.0838628086001514,0.0593178724155364,0.19016369729034,0.126171455816064,0.149661745447686,-0.0299957560258771,0.118935888801177,-0.133149069138555
"Lmx1b",-0.0873499464808463,-0.00354682587429697,-0.0332054237393188,0.00120980397467507,-0.108265017074395,-0.014880597212611,0.0771158947021858,1,-0.0160299403147828,-0.0810867058219997,-0.0623444715934556,0.189333025170182,0.135190472108656,-0.211701471699995,0.0734011029664681,-0.0155417155388427,-0.0524778671253294,-0.0640944647945201,0.0162960756285832,-0.144716515450002,-0.0122971682528176,-0.144015128128212,0.0358260746251392,-0.069854061205578,-0.0855863486083389,-0.0619636849263178,-0.13297588716259,-0.0129820381878642,-0.0482103795161602,0.0397471096895984,0.0495667587701503,-0.0120397358509046,0.0327804642540721,-0.0921374186197245,0.0472902711788958,-0.0087168223438232,0.0261612993982508,0.0530578170411729,-0.105525724601944,-0.0136053992280525,-0.107389477904302,-0.0625234128042818,0.0412341055022,-0.0782752751113372,0.0887378900787824,-0.000856422624910224,-0.123531558068516,0.0621830161331681,0.0574455750875823,0.0162612805573684,0.0480397035042776,-0.118398168532419,-0.0653874709962632,-0.0548931425267076,0.0316388200920823,-0.000925503652978001,-0.0129397499737173,0.0128655325845001,-0.166048524511639,-0.08711904496743,0.0390676460231231,0.0671337510927774,0.00247462675450614,0.0197541926622469,0.0978116789251689,-0.0530191943044182,0.0190051128493135,-0.117781311284821
"Nr6a1",0.145545136157078,0.105280516054943,0.0796174015034595,0.103688549627298,0.0910964622641017,0.219716517437929,0.0628561341558257,-0.0160299403147828,1,0.103992520440664,0.0856746924754742,0.0409256846703959,0.0168188921386264,0.145222379316819,0.0369883851889669,0.10950177640786,0.0868584561332228,0.167172034128992,-0.0248331881722193,0.182315818419371,0.100773119825428,0.103564342379942,0.0258727667234611,0.141074557087226,0.0905883067846804,0.0832842709599677,0.133657819099197,0.0212477196793841,0.111841851740489,0.133276687807636,0.0499313208987827,0.0594093669763416,0.145587814904401,0.0626004218515328,-0.0181716611939212,0.0713205061095533,0.0447087042732211,-0.00816479109382834,0.0915194800551416,0.197321159600654,0.113350759733783,0.111771816967368,0.0359226278049982,0.12775994536699,0.0472660266396943,0.0439061323774766,0.110460014642365,0.0107654991991961,0.0391996911561675,0.0255571498946531,-0.00299316053194022,0.111441615297014,0.129178105973211,0.116338482795579,0.10650025513832,0.226292684098609,0.114052028321286,0.00841925980651418,0.146660695533333,0.0489273787142129,0.0867562469699249,0.0481149263412618,0.160304412475235,0.0923199371876684,0.0849169858141493,0.125237338842295,0.10118547346488,0.100816160148673
"Nfe2l2",0.226714223515997,0.083871456523981,0.114567960442935,0.0718451840804237,0.199967929583995,0.157885559956551,-0.0514750230098359,-0.0810867058219997,0.103992520440664,1,0.166057752046823,-0.185187712784549,-0.0794594111570886,0.368727866976017,-0.0542344054677098,0.10822106674445,0.153711590707326,0.175087966486195,0.0363258607316361,0.335714159215518,0.117009925017203,0.260961508057035,0.00957887595596819,0.201557493889766,0.198285466100665,0.125240339761081,0.258403371649374,0.0976542123108557,0.0992339807162488,0.0417246846927817,-0.0171333649022143,0.109114262557834,0.0387516163641753,0.191654478292104,0.0206993530592321,0.0323980211675553,-0.0102132728948324,-0.0630485214942199,0.174679133578673,0.0876116273205733,0.213386094972321,0.145186910438119,-0.0116035966244908,0.211773351000951,-0.064519004973113,0.0483948878206514,0.255602499222341,-0.0473256352940581,-0.0253539203170276,-0.00957489078070012,0.029083304091458,0.23388866020204,0.171633025998375,0.165477103609437,-0.00970359906668555,0.135224968785069,0.0658582126945455,0.0309238367308861,0.338346302629273,0.179157675024229,0.0362453393243157,0.000956504330983591,0.0461785198537036,0.0522647316574028,-0.0723047146816457,0.139045758109517,0.0334215145080286,0.218570428982394
