"","DORC","Motif","Enrichment.Z","Enrichment.P","Enrichment.log10P","Corr","Corr.Z","Corr.P","Corr.log10P","Score"
"37549","Ahr","Gata6",3.75467838369474,0.000173564198089071,3.76053985390542,0.459702260467975,1.75395354448668,0.0794384676039948,1.09996914212531,1.09909651233599
"37687","Ahr","Nkx22",5.05249093497395,4.36085060308709e-07,6.36042879142019,0.477657449943314,1.82707940781622,0.0676878308955841,1.1694894029536,1.16948679436872
"37816","Ahr","Tead4",4.05874914201611,4.93362780195556e-05,4.30683361724069,0.49316497127818,1.8902366853972,0.0587263123389211,1.2311672693961,1.23082397854821
"54940","Arid5b","Gata6",3.05832773915839,0.00222576003775752,2.65252165936129,0.483611689335773,1.79716473636135,0.0723094709805712,1.14080481577298,1.12857718182464
"55131","Arid5b","Rarg",2.75965421434743,0.00578625702666428,2.23760227881407,0.479967603763909,1.78290845648573,0.074601206290253,1.12725414999429,1.09715001853053
"55175","Arid5b","Sp100",2.51707393260627,0.0118333995260265,1.92689047233716,0.609361495684249,2.28911927427091,0.0220724232350659,1.65614998492415,1.47308423102877
"55207","Arid5b","Tead4",3.47316329391246,0.000514362303820393,3.28873086714969,0.512018415443333,1.9082966595155,0.0563528845205314,1.24908384892954,1.2453592178464
"73332","Bach2","Ehf",2.68332998904243,0.00728930263341529,2.13731401858827,0.417172032153791,1.74283692696368,0.0813621040004276,1.08957782921067,1.05522953713698
"73337","Bach2","Elf5",2.9532666134757,0.00314430267894545,2.50247565427746,0.533824442801806,2.24207286484166,0.0249566634204579,1.60281347808197,1.55249320281907
"73523","Bach2","Nkx22",3.37267388562301,0.000744420649703501,3.12818158835172,0.436292768413595,1.82466771508502,0.0680511880473637,1.16716428841935,1.16275919965245
"73594","Bach2","Runx1",2.12590150348157,0.0335114616865334,1.47480662890745,0.537306478883026,2.25697489334734,0.0240096436219601,1.61961428618058,1.2462905234694
"73595","Bach2","Runx2",2.78076608661166,0.00542307967892682,2.26575401461968,0.400146249666414,1.66997188764752,0.0949249257918628,1.02261973370038,1.00072492086576
"73652","Bach2","Tead4",4.83740774689966,1.31543404288728e-06,5.88093092297032,0.44430585813699,1.85896124010637,0.0630326325683181,1.20043455411478,1.20042606215043
"147085","Cux1","Cux1",1.99693775877088,0.0458319447561312,1.33883171423815,0.484876238116913,1.92128634410299,0.0546956177942084,1.2620474678902,1.008681952172
"147165","Cux1","Gata6",3.66135398742104,0.000250885830969359,3.60052386521222,0.444541241624053,1.74556775360609,0.0808860896404653,1.09212615962164,1.09088982045281
"147303","Cux1","Nkx22",3.35324096904669,0.000798711361930831,3.09761013754228,0.468922474668202,1.85178409865654,0.0640568319285234,1.19343454412964,1.18839563754528
"147348","Cux1","Prdm16",1.88711844922282,0.0591443957676982,1.22808640069745,0.621933684594831,2.51837431748281,0.0117897951637691,1.92849374028384,1.15343472284717
"147432","Cux1","Tead4",2.59819312710805,0.0093715768975969,2.02818732690252,0.488436593103133,1.93679695806716,0.0527701679222629,1.27761152383318,1.21008660800109
"181947","Ehf","Gata6",3.4048527592795,0.000661997372065641,3.17914373457791,0.503129169085693,1.75253604657695,0.0796816772289089,1.09864153297299,1.09533353579953
"182085","Ehf","Nkx22",3.22649264768156,0.0012531745157376,2.90198844541104,0.537762869404657,1.87966956363053,0.0601531261377355,1.22074179759947,1.21232053270769
"182214","Ehf","Tead4",3.32084506365665,0.000897453430712603,3.04698807791318,0.568439286375451,1.99227667012455,0.0463407099943261,1.33403731659145,1.32608951834109
"187217","Epas1","Gata6",2.37627158941622,0.0174885852105113,1.75724532260369,0.459862465945675,1.80147238200512,0.0716284565350646,1.14491440700872,1.0561872431804
"187348","Epas1","Nfix",2.29745141990305,0.0215930313440412,1.66568638482755,0.54443856288281,2.16796867982886,0.0301610696160517,1.52055326094179,1.29155503128185
"187355","Epas1","Nkx22",3.91892774528377,8.89437708761506e-05,4.05088446206959,0.470661062749706,1.84826628588212,0.0645638304031922,1.19001071196593,1.18945141168254
"187452","Epas1","Sp100",2.25487706721127,0.0241410461437,1.61724391383304,0.559763778576909,2.23437792568721,0.0254582168889661,1.59417201790159,1.30993976864112
"187484","Epas1","Tead4",2.13053841049432,0.0331271881831808,1.47981542522135,0.480967595606835,1.89292791336707,0.0583674565913069,1.23382923100759,1.04788060497729
"219020","Fos","Prdm16",2.5906350101527,0.00957990358636745,2.01863886170635,0.298396367318326,2.44885203331365,0.0143312308129985,1.84371650936965,1.6239006171478
"219027","Fos","Rarb",2.13366687467489,0.0328700594825817,1.48319951000619,0.30832378082389,2.52772897246708,0.0114802937165309,1.94004700062822,1.35681395099719
"219072","Fos","Sp100",3.47633426843805,0.000508318292111483,3.29386426169187,0.260876745285321,2.15074488360154,0.0314963415880733,1.50173988812731,1.49500409171646
"219104","Fos","Tead4",3.94391538149754,8.0161953554388e-05,4.09603170755027,0.231732277382012,1.91918140332742,0.0549613801975725,1.25994236975012,1.25934417114425
"219554","Fosb","Rarb",2.14126268157321,0.0322528607679568,1.49143175821829,0.319800087820916,2.14204467276725,0.0321898873952286,1.49228054253515,1.19787969729029
"219631","Fosb","Tead4",5.85326102125906,4.82026702098902e-09,8.31692890314496,0.274806101789228,1.80660398570909,0.0708240476214871,1.14981925677242,1.14981922930786
"220365","Foxo3","Ehf",2.41958862110421,0.0155380740829126,1.80860281224023,0.428352879209801,1.9079906461313,0.0563924252551996,1.24877922741376,1.14840982016203
"220370","Foxo3","Elf5",2.02441515510439,0.0429274537200823,1.36726487131823,0.49024481576748,2.21193975550264,0.0269708278447945,1.5691057230722,1.16278735999291
"220377","Foxo3","Esr1",2.17474665733764,0.0296491064251683,1.52798839101697,0.472240838005138,2.12352285807844,0.0337100621323843,1.4722404470125,1.20509601525099
"220556","Foxo3","Nkx22",3.97205164173432,7.12562669544255e-05,4.14717693364878,0.390778149098827,1.72346247675571,0.0848049251630742,1.07157892475941,1.07124508885166
"220565","Foxo3","Nr2f2",3.42838303173852,0.000607188120892134,3.21667673362355,0.376010150718705,1.65093735951929,0.0987513662775471,1.00545688696535,1.00305690190192
"220685","Foxo3","Tead4",3.82621196728307,0.000130130249495337,3.88562173755155,0.416620583694033,1.85037375819348,0.0642596985378639,1.19206131618956,1.19123913399274
"233204","Glis3","Nkx22",2.83710790886595,0.0045524223151995,2.34175745648703,0.292438812487027,1.83617338835158,0.0663320171209765,1.17827679583912,1.15130315958734
"233261","Glis3","Rel",2.70670460543178,0.00679546931459849,2.16778054427335,0.334829790233263,2.09125931998675,0.0365048243318134,1.43764973712616,1.3660043862397
"233301","Glis3","Sp100",2.5724221599945,0.0100989662892073,1.99572307749146,0.365691174384744,2.2769664054651,0.0227882318266338,1.64228937107793,1.48602290878154
"233302","Glis3","Sp110",1.80822839129476,0.0705709615860958,1.15137396491403,0.353671612288216,2.20463919438746,0.0274794231096934,1.56099238889439,1.01722629229736
"233333","Glis3","Tead4",2.9065917948809,0.00365389673795399,2.43724373031968,0.305323250376547,1.91370495325953,0.0556578658069943,1.25447345064329,1.22835083714409
"250398","Grhl2","Ebf3",3.26016135346487,0.00111348848705544,2.95331426900636,0.486203667177738,1.71383693899196,0.0865586772294222,1.0626893889791,1.05761596793669
"250640","Grhl2","Prdm16",2.12696320081639,0.0334231408808908,1.47595274046464,0.635240382051056,2.32783289932508,0.0199209783949526,1.7006893355361,1.27836826847101
"250692","Grhl2","Sp100",2.15475075581194,0.0311813436459399,1.50610517441195,0.579667069431464,2.09888401595924,0.0358271262114152,1.44578802634627,1.18117171356324
"250693","Grhl2","Sp110",2.4683155053642,0.0135750610120008,1.86725820983372,0.53028823933206,1.89545493318068,0.0580321569076301,1.23633128751451,1.14984758623431
"250724","Grhl2","Tead4",3.84451819280305,0.000120789524257002,3.91797072924682,0.530865101835028,1.89783147004135,0.0577182861981461,1.23868657268835,1.23783100757952
"262238","Hif1a","Prox1",2.02662510157295,0.0427007674581559,1.36956431935795,0.478853473813132,2.29302809267118,0.0218463876486938,1.6606203643657,1.19644526382082
"262312","Hif1a","Tcf4",3.66584789166619,0.000246520428786647,3.60814708554824,0.362653430976166,1.68268711906053,0.0924356765948785,1.03416037555659,1.03311047066672
"262407","Hif1a","Zfp423",2.22121433082183,0.0263364480140971,1.57944279854273,0.404203458763442,1.9009287289093,0.0573113485106795,1.24175937266497,1.08545365978001
"301058","Jund","Grhl2",1.9637980375386,0.0495535177756574,1.30492550976946,0.447060980505828,2.08001265567229,0.0375243720796496,1.42568656636317,1.06946649555367
"301232","Jund","Prdm16",1.96968149993524,0.0488748845348511,1.31091425559989,0.421568642432979,1.9308708775806,0.0534990224454283,1.27165415350092,1.0010472667401
"355330","Mecom","Gata6",2.60803387674426,0.00910639415794995,2.04065355577196,0.477954027956009,1.75339271370995,0.0795346208438152,1.0994437849473,1.0559284172671
"355539","Mecom","Runx1",1.73787660425287,0.082232558920645,1.08495619511328,0.635571590188559,2.3447277645374,0.0190409767341968,1.72031077762213,1.00127109516607
"355597","Mecom","Tead4",5.8522925921185,4.84842688343175e-09,8.31439914937043,0.515183024232209,1.89306503253925,0.0583492216201277,1.2339649330777,1.23396489909641
"389992","Nfatc2","Ascl1",3.13332258828954,0.00172839369611763,2.76235732633808,0.590811939447911,2.36323985959422,0.0181159402486949,1.74193912040821,1.70304926797489
"391113","Nfe2l2","Ehf",2.96911223096141,0.00298661493653545,2.52482076725791,0.56948166383465,1.98351911639718,0.0473094739175861,1.32505188128899,1.29968755185394
"391118","Nfe2l2","Elf5",2.90707449623704,0.00364826303241118,2.43791385745803,0.640896281691222,2.25497304251568,0.0241350209112467,1.61735232056043,1.55759497616954
"391166","Nfe2l2","Gata6",2.70665667604045,0.00679645037378967,2.16771784987791,0.532498231466052,1.84294148370639,0.0653375546037779,1.18483712394628,1.14454177382152
"391304","Nfe2l2","Nkx22",3.60092628232485,0.000317085480533205,3.49882364402992,0.528523484040664,1.82783308116452,0.0675746067334917,1.17021647310199,1.16832045326
"391433","Nfe2l2","Tead4",5.49662822198296,3.87121643715925e-08,7.41215254688404,0.563490213786664,1.96074503053796,0.0499087732772951,1.301823104657,1.30182278460539
"392348","Nfib","Nfib",2.73481180337194,0.00624159501955913,2.20470441357465,0.429055763916039,1.99456907258814,0.0460898995169202,1.33639423870331,1.28363083345171
"392358","Nfib","Nkx22",2.27622763230467,0.0228323888797755,1.64144864729082,0.423109908221808,1.96150342902342,0.0498203253888757,1.3025934403055,1.1456016593213
"392439","Nfib","Smad3",2.59722766437861,0.00939796113382683,2.026966355376,0.387122173426637,1.76137115662514,0.0781756036017819,1.10692875684024,1.06128581922312
"393801","Nfix","Gata6",3.08622192123931,0.00202717462200631,2.69310883931522,0.515117814050269,1.76150225956114,0.0781534309019189,1.1070519518858,1.09678964938104
"393810","Nfix","Grhl2",2.28260557166919,0.022453612472481,1.64871377712602,0.572284863746613,1.98026819331599,0.0476734007971232,1.32172386643368,1.1607949764646
"393939","Nfix","Nkx22",4.9474604982792,7.51879558017521e-07,6.12385172254353,0.573930884163626,1.98656715741192,0.0469703837575222,1.32817589152862,1.32816926613684
"394037","Nfix","Sp110",3.23482643268407,0.00121716697294975,2.91464984045804,0.532790197475022,1.82913064832924,0.0673800386344638,1.17146874433843,1.16421311552649
"394068","Nfix","Tead4",2.22880824812198,0.0258266659181903,1.58793165525877,0.553644097286848,1.90893401213754,0.05627060473064,1.24971841753183,1.09342800076671
"399736","Npas2","Nkx22",4.54738577319836,5.43163827994119e-06,5.26506915961419,0.465951607320829,1.88433421777164,0.0595197817282068,1.22533867011018,1.22530139792538
"399833","Npas2","Sp100",2.77574073712837,0.00550761081884818,2.25903675563338,0.562109857554222,2.27233495401015,0.0230662871524671,1.63702230573741,1.54596569758883
"399865","Npas2","Tead4",5.7593439772551,8.44414693570691e-09,8.07344421818633,0.495788560154677,2.00472700402293,0.0449922399759028,1.34686238458598,1.34686230674482
"423736","Pbx1","Bcl6",2.01970896880176,0.0434135842477986,1.36237435710575,0.472253697989556,2.06048449285992,0.0393522468209175,1.40503046650518,1.09120728267007
"423978","Pbx1","Nkx22",2.58203593732667,0.00982193565916345,2.00780291514046,0.434259165036789,1.86502559775363,0.0621778162735188,1.20636453473758,1.14636842516859
"424023","Pbx1","Prdm16",2.52196131640124,0.0116702541194601,1.93291968710136,0.48128436817308,2.10694182971771,0.0351226221628792,1.45441306826826,1.33364129286203
