Cell,NFIX,TCF7L2,HIF1A,STAT4,ICAM1,ELF5,PKNOX2,ESR1,GRHL2,ZEB1,TRPS1,LMX1B,PRDM16,EPAS1,SP100,NR2F2,AHR,EGR1,NR6A1,TCF7L1,JUND,EPCAM,HSF2,TCF12,RORA,NR3C2,PPARG,ARID5B,RUNX1,FOSB,ASCL1,NFIA,SOX6,CREB1,TFDP1,STAT2,REL,SIX1,PROX1,TBX15,GATA6,SP110,RUNX2,PBX1,JUNB,NFIB,BACH1,EBF3,MEIS2,HES1,BCL6,REST,FOS,SOX9,ETS1,GLIS3,LCOR,TCF4,RBPJ,NFYC,ZBTB7A,ZBTB20,BACH2,RARG,NFE2L2,EHF,FOXP1,BBX,JUN,KMT2A,THRB,NPAS2,ZBTB18,CUX2,SMAD3,SOX5,MECOM,NCAM1,FOXO3,RARB,SOX11,SIX4,PLAGL1,STAT1,TEAD1,RORB,NFATC2,CUX1,TEAD4,NFKB1,CD44
RU426B_227303182691099,0.17906557,0.13794617,0.8902309,0.0039763674,0.0032452368,0.0021462552,5.909161e-06,0.0075955014,0.09370099,0.18256344,0.004952618,0.011594739,0.014078679,0.23782678,0.31453308,1.1213635,0.007882863,1.4374155,0.05935048,0.04468059,3.6445868,3.474068,0.45190004,0.84949064,0.37367636,1.9673482e-05,0.017478688,0.1300801,0.090975165,1.2506723,3.7341118,0.8984084,0.023438284,0.5696824,1.906193,0.13790281,0.5024021,1.0295587,1.4433036,0.056930568,0.036893982,0.08556395,0.0043406663,0.48149067,1.7508789,1.2864772,0.3268755,0.098698355,0.92880315,0.54555255,0.24602689,0.015841525,3.7191079,0.15796956,0.21128477,0.005640134,0.48531562,0.9243728,1.5059713,0.4614609,0.60626805,1.1192893,0.009951577,0.005845109,0.973083,0.59887415,0.8378538,0.48807573,4.0190554,1.3001276,0.003533694,3.9768445e-05,0.25856745,0.00030620288,0.11735951,0.09565399,0.25960043,0.9679467,0.04817845,0.020408899,0.09242841,0.38281587,0.0032717478,0.85326517,0.84134346,0.05893492,0.16037375,0.8560256,0.16888155,0.19983542,0.0498556
RU426B_164693584561908,0.23669359,0.15708235,1.0579263,0.0021761712,0.0006673138,0.002068826,6.3666757e-06,0.0030280335,0.10132505,0.32932505,0.0021360856,0.002129181,0.0064934515,0.08218858,0.3120934,1.3401414,0.0021086596,1.3024715,0.036872752,0.0911962,3.4935884,3.2592635,0.37536246,0.94799554,0.41896027,1.18369735e-05,0.013379981,0.12534927,0.07927033,1.1341722,4.022612,0.8778092,0.017639477,0.6527763,1.860453,0.19638155,0.43433917,1.3625517,1.8806398,0.07701288,0.025958546,0.093619674,0.004051584,0.65743595,1.7926041,1.6703242,0.37552404,0.18670885,0.9660161,0.26250687,0.34150454,0.009343433,3.3969512,0.199483,0.16368929,0.0022837494,0.610092,0.89056545,1.6071963,0.37720886,0.5711818,1.5773482,0.017377796,0.002590015,0.89416504,0.4110821,0.731655,0.42139795,3.7672238,1.4391667,0.0020675198,4.756363e-05,0.28258222,8.7619235e-05,0.06976557,0.13453083,0.26136467,1.0084394,0.036574252,0.020330958,0.115245834,0.41533062,0.0083247535,0.9854408,0.9969694,0.09728376,0.14804158,0.8904106,0.115600035,0.17232443,0.023168083
RU426B_227920825727716,0.21315336,0.2103565,0.9334198,0.0030486358,0.0021808688,0.00276618,2.1032243e-05,0.012604494,0.08810393,0.27761954,0.0040860926,0.012235856,0.011867988,0.16034743,0.29310244,1.3716034,0.0026666948,1.2915474,0.04838137,0.11163587,3.4665236,3.2404563,0.39683327,0.92749774,0.37380746,0.00019502194,0.015910236,0.13817804,0.09555725,1.1128521,3.8960836,0.96830904,0.031052526,0.62659526,1.5248902,0.17424008,0.32699618,1.396948,2.034857,0.086624704,0.033720367,0.066865146,0.0063045206,0.78667206,1.7416048,1.4240545,0.33777618,0.17772226,0.75350094,0.34146172,0.29037753,0.016570168,3.5521603,0.1967992,0.1798755,0.008869904,0.5910168,0.9254313,1.6891212,0.34968102,0.6287931,1.582118,0.011522696,0.0035862494,0.86136943,0.5686268,0.76889503,0.57013124,3.7162564,1.2510856,0.00508685,0.0002510653,0.30316126,0.00011897197,0.11426656,0.176584,0.26284733,0.76248187,0.099973485,0.01783804,0.1141246,0.42192912,0.0067948173,0.801596,0.89648294,0.08792826,0.17092167,0.7899253,0.089434445,0.15966268,0.029622741
RU426B_134530833959660,0.27850622,0.1368432,0.9134238,0.0041855015,0.0008069749,0.0011836572,2.5869955e-05,0.005327688,0.07110062,0.28534195,0.00097465987,0.002174098,0.0073281764,0.06899225,0.21266726,1.6253529,0.0020893458,1.5551914,0.024622694,0.08723667,3.5853426,3.0643065,0.30827457,0.95401657,0.36259997,0.00023129057,0.0059281983,0.15298988,0.108992435,1.1591847,3.9347062,0.81863385,0.07214801,0.6476435,1.2174604,0.16990587,0.25712726,1.6176664,2.2586918,0.06742339,0.018973002,0.05600674,0.0014142605,0.8583979,1.9687884,1.3546735,0.34946704,0.281745,0.6970315,0.23950274,0.35121593,0.017290704,3.6553957,0.23752798,0.12812375,0.0015114616,0.62877506,1.0977216,1.7451735,0.3106267,0.52437174,1.9469689,0.010655625,0.004479736,0.7663073,0.39306325,0.5137904,0.5804003,3.6583343,1.1277871,0.0047901887,0.0015024921,0.33893755,3.8136222e-05,0.054053035,0.21956275,0.21489207,0.75258815,0.04159265,0.023099434,0.13909046,0.47260213,0.002922517,0.76687557,0.98034185,0.12813793,0.13783039,0.8673556,0.045743033,0.14222252,0.015160461
RU426B_157606888291043,0.3289786,0.16768351,1.0071381,0.00623293,0.0020119362,0.0013986939,9.052861e-05,0.003397994,0.07917203,0.39940986,0.0020002502,0.005679943,0.0053289463,0.0879227,0.19590734,1.6500669,0.0038635144,1.6232481,0.042129975,0.09007467,3.5310447,2.8408582,0.3123947,1.0049207,0.4811171,0.000917403,0.006717238,0.17346494,0.10350296,1.24747,3.856072,0.83131844,0.06014288,0.69062215,1.2129408,0.1893128,0.30139825,1.609184,2.2917252,0.07449914,0.021111365,0.06754662,0.0017612666,0.9435019,1.9246244,1.3694392,0.3910554,0.27758092,0.82808656,0.21192913,0.36714306,0.009761443,3.5161688,0.28136423,0.15996924,0.003559613,0.67865247,1.2059273,1.6940855,0.3029147,0.56976813,2.1267595,0.014379749,0.0036483726,0.7468366,0.44651812,0.600132,0.565557,3.6411827,1.3093278,0.0039403937,0.0028430987,0.35448262,8.652442e-05,0.06913673,0.2259056,0.25729105,0.96876717,0.05737331,0.020678625,0.20055275,0.44259053,0.008104702,0.81626034,1.0328281,0.13965042,0.14902896,0.8934671,0.047388285,0.14192984,0.018708868
RU426B_126700272367852,0.2255315,0.17041636,0.8856648,0.0035343827,0.013517601,0.0031123366,0.0009187008,0.015574955,0.07688884,0.39680994,0.016188858,0.0044287136,0.011337722,0.12795763,0.21564034,1.4333762,0.011558011,1.2542684,0.064288855,0.06706332,3.4420927,2.7243693,0.44520003,0.68508786,0.46772256,0.002179945,0.011519773,0.16255525,0.12679212,1.0208038,3.286439,0.7158328,0.053523064,0.5536915,1.0719467,0.16064303,0.37079808,1.3811809,1.755684,0.0633919,0.02322727,0.04065384,0.011691613,0.697564,1.8919675,1.0936804,0.3170202,0.20056318,0.71827567,0.32140234,0.32975066,0.040965337,3.341662,0.290645,0.16925462,0.01619133,0.62486386,0.9884935,1.6851993,0.25469753,0.58267033,1.6227646,0.02543796,0.0061895507,0.8790994,0.46606103,0.6687767,0.56235653,3.5067363,1.2806726,0.0067821243,0.005901443,0.30819708,0.0017195877,0.07111264,0.16376477,0.1689418,0.70318645,0.14748523,0.025848664,0.26932502,0.40474954,0.019868433,0.60462487,0.8168418,0.10475141,0.11987589,0.68129873,0.050455254,0.13815555,0.08496045
RU426B_162080050040243,0.29573336,0.12350484,0.9723796,0.004389734,0.0012845434,0.00067078805,2.8082873e-06,0.004695812,0.08754403,0.3248111,0.0008652499,0.0011027139,0.0046074814,0.04097854,0.17740396,1.7602884,0.0018911277,1.391559,0.024784649,0.09143295,3.4779031,3.0244317,0.32713935,1.0099233,0.3118406,0.00016783141,0.0028855396,0.1392892,0.11838772,0.9200434,3.8644178,0.79799545,0.084562436,0.69629395,1.1403481,0.16050275,0.26477486,1.7027588,2.3517783,0.07544046,0.016438928,0.04817805,0.0011203653,0.92309767,1.7639229,1.4291562,0.38251337,0.34025997,0.6874838,0.19205035,0.35378125,0.020201987,3.4136887,0.2790619,0.10516604,0.0010776296,0.6572268,1.1703235,1.8804017,0.32416978,0.49250755,2.0525353,0.009003442,0.004757231,0.7580832,0.359744,0.45554677,0.6367415,3.4003494,1.1471082,0.003365972,0.0022798846,0.3751641,1.8592034e-05,0.042424966,0.23892313,0.21922868,0.7485803,0.0465333,0.029212514,0.19439094,0.4907673,0.0031422712,0.68359935,1.0438441,0.14301635,0.12835391,0.9213059,0.04114852,0.13123743,0.012930816
RU426B_201587038305118,0.10238538,0.028394926,0.34015986,0.0058164136,0.024796706,0.002793772,0.00043594983,0.0021858416,0.017958874,0.05661226,0.010802344,0.00022550086,0.006468083,0.046041753,0.07309141,0.30275163,0.026776524,0.37918264,0.018843606,0.044689495,1.9315803,1.651137,0.13581608,0.1892215,0.09681079,0.0015982782,0.010852403,0.0821565,0.079472244,0.3052029,2.117333,0.2977536,0.021388281,0.19907838,0.50507605,0.04122799,0.07011698,0.46106955,0.33513695,0.020184102,0.013048954,0.03381328,0.008715904,0.41263098,0.7561761,0.45696816,0.044270378,0.02242211,0.14116806,0.18367782,0.05813472,0.028245317,1.1704271,0.06139556,0.05690377,0.02312681,0.19930468,0.3276223,0.58953375,0.14886741,0.12361261,0.36489993,0.004640743,0.0018056848,0.34763443,0.21666141,0.22440305,0.24117309,1.6272937,0.25516105,0.0045699896,0.0033069688,0.098113135,0.0014817708,0.026079653,0.021986414,0.04462931,0.20207684,0.08367805,0.01011893,0.28899476,0.053773053,0.0031910255,0.23705745,0.25582483,0.01898648,0.032935508,0.20127133,0.036162965,0.07283087,0.08768032
RU426B_239956411772206,0.2941726,0.11531776,0.9544617,0.005871718,0.0027286727,0.0005217678,3.0540734e-05,0.0052443985,0.069961734,0.3562752,0.0011152825,0.001520193,0.0036382386,0.047030024,0.15852275,1.7625535,0.003966508,1.2230585,0.033624265,0.085256025,3.3632276,2.833802,0.31589472,0.9471055,0.37678495,0.00038291342,0.0046121273,0.14117737,0.114952244,0.89923316,3.7130222,0.7217504,0.08751214,0.6753487,1.1794882,0.1571159,0.2843861,1.6659197,2.1826224,0.07154066,0.019823799,0.05032608,0.0011193252,0.92093676,1.6725738,1.3858376,0.34229356,0.30362824,0.72731596,0.1831333,0.3226901,0.012790434,3.1790504,0.24815525,0.11819981,0.0014942577,0.61931163,1.1896397,1.7533389,0.31409034,0.48187438,2.0424647,0.014436553,0.002118127,0.7035878,0.37712705,0.474868,0.5794153,3.127527,1.1239853,0.004480506,0.004073421,0.35873416,0.00013043506,0.03949155,0.21971671,0.20572564,0.85404325,0.04307604,0.01979377,0.24846645,0.42539224,0.0042262976,0.71491,0.9560434,0.1901721,0.12567817,0.88025886,0.041439902,0.11157153,0.0151228765
RU426B_196104809008499,0.2926781,0.18656471,1.0394402,0.00091455603,0.002034259,0.0029877773,0.00012146302,0.005841749,0.136226,0.31016263,0.003868181,0.000451917,0.0010806284,0.072724625,0.40356043,1.2121866,0.010435598,1.7957475,0.03876793,0.08261332,3.5718,3.1448207,0.4121135,1.0145746,0.4310545,4.8673555e-05,0.012062631,0.26341686,0.18686412,1.2626761,3.6626244,0.8824583,0.11255719,0.71688163,1.7980767,0.24016799,0.4242988,1.4102898,1.5838239,0.06890336,0.025507366,0.12020783,0.0034699368,0.818325,2.137482,1.8384738,0.40099725,0.24681169,1.0673556,0.30785474,0.60889655,0.0271738,4.0302844,0.44294527,0.17060296,0.0016814056,0.657772,1.1991321,1.5220721,0.4627871,0.47343802,1.7229284,0.0265688,0.003985268,0.96724933,0.4150615,0.94207686,0.5804952,4.3488235,1.3986111,0.025712984,0.00020189614,0.27358896,0.0014743058,0.1305414,0.22245353,0.31194744,1.2163334,0.052269608,0.09065993,0.38533455,0.43673763,0.0017624722,1.3562063,0.9626533,0.12597024,0.10673796,0.79594505,0.083871104,0.11567188,0.04541009
