Cell,clusters
RU1145_170180373265117,6
RU1145_236082068110763,6
RU1145_156933498461046,6
RU1145_130531413835059,6
RU1145_227516876540699,6
RU1145_162090653992811,6
RU1145_166332095151414,6
RU1145_157140462300020,6
RU1145_231291315698526,6
RU1145_161889610021686,6
RU1145_240094687456478,6
RU1145_239382644053924,6
RU1145_231907656088502,6
RU1145_200561495496486,12
RU1145_231897742887150,12
RU1145_129978390755101,6
RU1145_195625758641572,12
RU1145_191774157887725,12
RU1145_164698952742813,6
RU1145_131097928264611,6
RU1145_196174305945822,6
RU1145_157140434933555,6
RU1145_200974093901091,6
RU1145_192315324517092,6
RU1145_129457492510955,6
RU1145_192317694265693,6
RU1145_134600595499748,6
RU1145_236633986579171,6
RU1145_165385725922021,12
RU1145_196163851991468,6
RU1145_226829546739612,6
RU1145_195615853234021,6
RU1145_169768847628699,6
RU1145_164753426504549,6
RU1145_231907628529910,6
RU1145_169795556690227,6
RU1145_191708928109875,6
RU1145_232328266669364,6
RU1145_161960477018924,6
RU1145_165232467949494,12
RU1145_126218864126892,6
RU1145_205392406759661,6
RU1145_204765448261036,4
RU1145_235626694860085,20
RU1145_230611621984029,6
RU1145_197060142742755,6
RU1145_235697696532915,6
RU1145_130126460971828,6
RU1145_130184193455966,6
RU1145_126776271067358,6
RU1145_169027876808422,6
RU1145_130754453031796,6
RU1145_126681647277814,6
RU1145_232449780115294,6
RU1145_200570519276955,12
RU1145_125745325001971,6
RU1145_227846603361501,6
RU1145_120703409154923,6
RU1145_121812464908654,6
RU1145_227853865539380,6
RU1145_235214377764590,6
RU1145_131089759922011,6
RU1145_120703455751540,6
RU1145_231891388255029,6
RU1145_135081900756211,6
RU1145_121339915426206,6
RU1145_125745344494318,6
RU1145_195615840386459,6
RU1145_191210558708654,6
RU1145_236633972160412,6
RU1145_192788843878694,6
RU1145_235000959458612,6
RU1145_204360528584037,6
RU1145_236170008292140,12
RU1145_130531368552878,6
RU1145_166264168397533,6
RU1145_236639624056035,6
RU1145_169022508166054,6
RU1145_196527729031581,6
RU1145_226283249909029,6
RU1145_156933486766451,6
RU1145_191026787473179,6
RU1145_204911358466788,6
RU1145_191096714881845,6
RU1145_239458061862763,6
RU1145_226874778566067,6
RU1145_232311402125148,6
RU1145_232318603480493,12
RU1145_162001533192044,6
RU1145_239458073827750,6
RU1145_166288071481652,6
RU1145_197068894423404,6
RU1145_240001540607325,6
RU1145_227903391545181,6
RU1145_205392379559211,6
RU1145_199934565047028,6
RU1145_169768861719988,6
RU1145_227844233549605,12
RU1145_232330294611379,6
RU1145_226901469027035,6
RU1145_156463307278171,6
RU1145_235697715178213,6
RU1145_125247364910388,6
RU1145_161960476694389,6
RU1145_192325881550636,6
RU1145_226970341923045,6
RU1145_191760421833446,6
RU1145_226806174203230,6
RU1145_230732700962228,6
RU1145_122514723751661,6
RU1145_232311355788581,6
RU1145_226949787433709,6
RU1145_126227588996019,6
RU1145_169727132298142,6
RU1145_157072030035182,6
RU1145_226953398237987,6
RU1145_226283262011636,6
RU1145_200563808746358,12
RU1145_196113283307357,6
RU1145_230749746640748,6
RU1145_130184146804075,6
RU1145_170343433693412,6
RU1145_170798565776804,6
RU1145_195958632496484,6
RU1145_197135466190691,6
RU1145_227510414952348,6
RU1145_157140462521188,6
RU1145_161411826149684,6
RU1145_134472820444067,6
RU1145_130185515911988,6
RU1145_129978391455534,6
RU1145_161889595017651,6
RU1145_239382631238454,6
RU1145_126776224173470,6
RU1145_130057606651101,6
RU1145_226265813342045,6
RU1145_228042051643187,6
RU1145_170343479863070,6
RU1145_227516830140270,6
RU1145_126765635946797,6
RU1145_236785369044700,6
RU1145_170343432895915,6
RU1145_192653640976293,6
RU1145_165860307036908,22
RU1145_240617733941555,6
RU1145_170798580677859,6
RU1145_192307003078902,6
RU1145_232301303589598,6
RU1145_227510433471278,6
RU1145_135081913400565,6
RU1145_230741457135979,6
RU1145_169151760584027,6
RU1145_192745895061741,6
RU1145_200363958458803,18
RU1145_235198540365173,6
RU1145_239408803900724,6
RU1145_232318649199341,6
RU1145_169027845872052,6
RU1145_204959661341989,6
RU1145_197058291156837,12
RU1145_231890207525733,6
RU1145_231890194713884,6
RU1145_164818790274926,6
RU1145_227921630248163,12
RU1145_239468531010285,6
RU1145_239477267578078,6
RU1145_230799420050846,6
RU1145_228042024348580,12
RU1145_196113263877405,6
RU1145_239932667713949,6
RU1145_130754483969443,6
RU1145_191691449064348,6
RU1145_130531367774948,6
RU1145_235199333066483,6
RU1145_236634017512349,4
RU1145_236082095937765,6
RU1145_239407446780340,6
RU1145_201595521489260,6
RU1145_192255416449389,6
RU1145_129497381629283,6
RU1145_200562823317788,6
RU1145_204224163633908,6
RU1145_170344418823027,6
RU1145_157537719405494,6
RU1145_125197019106028,6
RU1145_230800346770205,6
RU1145_236785384183709,6
RU1145_226829547027318,6
RU1145_230799439481141,6
RU1145_200426638728611,6
RU1145_227921645426476,6
RU1145_169158156179227,2
RU1145_165302261999838,6
RU1145_170265230892451,6
RU1145_160447856242076,6
RU1145_131242051422565,6
RU1145_166402815375659,6
RU1145_241106375272731,6
RU1145_166290909214621,6
RU1145_160928776546612,6
RU1145_240094642067229,6
RU1145_166469284550517,6
RU1145_135081886370214,6
RU1145_196043578162611,6
RU1145_240154817023270,6
RU1145_192180148156837,6
RU1145_130142316968221,6
RU1145_164818790766813,6
RU1145_122436443622748,6
RU1145_165945548097373,6
RU1145_157614001994990,6
RU1145_134376349358374,6
RU1145_170199713790325,6
RU1145_232450539317483,6
RU1145_235189029754611,6
RU1145_192101783289139,6
RU1145_192729654377323,6
RU1145_130185488680757,6
RU1145_157477604879589,12
RU1145_235697696552750,6
RU1145_169723764586915,6
RU1145_195426069928756,6
RU1145_197264047295708,6
RU1145_204224148172014,6
RU1145_164698906584987,6
RU1145_196180794853803,6
RU1145_205510806224292,6
RU1145_200967504194980,6
RU1145_201474310073644,6
RU1145_165851863832413,6
RU1145_232328281934044,6
RU1145_236785396467564,15
RU1145_232302646086006,6
RU1145_240634614181284,6
RU1145_241098904489324,11
RU1145_195426069408478,6
RU1145_226265832778019,12
RU1145_227846602771883,12
RU1145_232261694700771,6
RU1145_157477636299557,12
RU1145_191647322069878,6
RU1145_134448002488742,6
RU1145_230652424407861,6
RU1145_125677920532781,6
RU1145_239475388246757,6
RU1145_191553860458269,12
RU1145_236221669500779,6
RU1145_160785117702059,6
RU1145_170276753947867,6
RU1145_170268003261661,6
RU1145_122514692033892,6
RU1145_165232468711646,6
RU1145_160440071404971,6
RU1145_157690371193260,12
RU1145_135571539938011,6
RU1145_230652424705838,6
RU1145_235559290813342,6
RU1145_157477590485875,6
RU1145_121319737472884,6
RU1145_133895267207020,6
RU1145_131242065549614,6
RU1145_161411795474651,6
RU1145_200899053074870,6
RU1145_201111686040435,6
RU1145_192315324586788,6
RU1145_232311369878445,6
RU1145_166288059746725,6
RU1145_170745967368107,6
RU1145_205527717373686,6
RU1145_236768101034933,6
RU1145_120703409573164,6
RU1145_239587849886045,6
RU1145_170327461709556,6
RU1145_192315305704867,6
RU1145_129497354947827,6
RU1145_161451938364699,6
RU1145_135064452523756,12
RU1145_126707800403187,6
RU1145_239596305857252,6
RU1145_122282764262836,6
RU1145_169158156859678,6
RU1145_161548562779492,6
RU1145_134447990192054,12
RU1145_156453554744565,6
RU1145_161462694661555,6
RU1145_236175645136748,6
RU1145_192315292805491,6
RU1145_162001547553564,6
RU1145_122282763795693,6
RU1145_239932640451420,6
RU1145_196527747643677,6
RU1145_169572486495475,6
RU1145_205392379832045,6
RU1145_126364056205747,6
RU1145_166416939433331,6
RU1145_235069844609373,6
RU1145_131310502177142,6
RU1145_162090668116724,6
RU1145_160440044383141,6
RU1145_226205940205486,6
RU1145_201465618159397,6
RU1145_161864242878252,5
RU1145_204358278109940,6
RU1145_241114562381667,6
RU1145_161548575553836,6
RU1145_205449154160564,12
RU1145_165945548392748,6
RU1145_232301335034781,6
RU1145_157690352520500,6
RU1145_241098858912542,6
RU1145_164769520016692,6
RU1145_191080758131427,6
RU1145_240482308445934,6
RU1145_196638162409262,12
RU1145_170344419318571,6
RU1145_230800378182444,6
