Cell,ELF5,ZBTB18,MECOM,TEAD4,GLIS3,SIX1,EBF3,CD44,RORA,KMT2A,ETS1,NFKB1,SP110,ZBTB7A,CUX2,PRDM16,NEUROG2,SOX9,FOS,GATA6,NFATC2,TCF7L2,PROX1,STAT4,FOXP1,STAT1,RUNX2,MEIS2,GRHL2,FOSB,ARID5B,CREB1,REL,NFE2L2,PPARG,JUN,ICAM1,RARB,NFIB,REST,SIX4,ZBTB20,NCAM1,TCF4,CUX1,PLAGL1,RARG,SOX6,ZEB1,BBX,EHF,JUND,FOXO3,BCL6,BACH1,CD24,JUNB,RUNX1,PBX1,NPAS2,SMAD3,NR3C2,LMX1B,AHR,EPCAM,NR2F2,TBX15,TCF7L1,ESR1,TEAD1,SP100,RORB,TCF12,SOX5,EPAS1,BACH2,PKNOX2,HSF2,EGR1,LCOR,NFIA,STAT2,HIF1A,NFIX,THRB,ASCL1
RU1108a_RPMI_164761076713396,0.0,0.005413745,0.0015013232,0.042328395,0.01146284,0.13660653,0.0067301285,0.005660782,0.1822321,0.21474855,0.06911527,0.11927408,0.047408156,0.3393193,3.2925666e-07,5.4238964e-05,0.0,0.039362665,4.221774,0.0,0.055813335,0.0100144725,0.69437355,0.00013647896,0.6418694,0.3419359,0.025818389,1.586341,0.000353532,1.2220137,0.0043844245,0.27899995,0.15152077,0.50354767,0.00095999066,2.3122559,0.2513064,1.7694249e-05,0.18667294,0.00019292458,0.013388541,0.21148637,0.22085255,0.0037628869,0.14811765,1.4737908e-05,0.0340714,0.008500714,0.13656063,0.33058336,0.006840812,1.1587213,0.43664426,0.041264724,0.08498566,5.937304,3.6802986,0.10591445,0.49320105,0.0052021295,0.029579198,1.3804389e-05,0.107482955,0.03765864,3.0959818,0.17110756,0.07557092,0.0034970175,0.0011647606,0.19879256,0.094586276,0.026698316,0.39613372,0.0759247,0.26490456,0.0007553131,0.0,0.28591263,2.1434238,0.24531111,0.6530345,0.05147311,0.56304616,0.10546296,0.00014825749,3.3099763
RU1108a_Bambanker_232318649977766,0.0,0.00778647,0.0014468824,0.0147186825,0.010595509,0.096717395,0.003678735,0.0024677082,0.25812852,0.24499743,0.07279189,0.12367858,0.052166387,0.3667586,7.397668e-05,0.0010696992,0.0,0.031905092,4.6691985,0.0,0.042545956,0.016117606,0.8392271,0.00082945253,0.7732881,0.23009041,0.017835302,1.5839951,8.37695e-07,1.6795256,0.00063119794,0.2858684,0.18212375,0.5568766,0.00093012507,2.81938,0.22830029,0.00056890317,0.16931452,0.00016271985,0.008304378,0.22882186,0.2115102,0.0024360802,0.11431958,0.00016688304,0.03149442,0.00603559,0.17103647,0.31233305,0.004870048,1.4057145,0.60286397,0.042027358,0.14260831,5.3594003,4.4041195,0.11076797,0.42087284,0.0043185833,0.019564787,0.0010145344,0.09963626,0.039680667,2.8550942,0.20448612,0.07190618,0.0015933824,0.0016027136,0.17997456,0.07104385,0.025110833,0.3229365,0.07868236,0.34823716,0.0014906991,0.0,0.28278735,2.8117752,0.34328032,0.5552916,0.04092697,0.45423853,0.119159184,1.8704863e-05,3.1772602
RU1108a_Bambanker_Frozen_227364270627237,0.0,0.0092232395,0.0008839644,0.018461198,0.009422923,0.10933289,0.0033579066,0.005433252,0.22164616,0.23144472,0.0808958,0.12635465,0.051957026,0.34273612,0.00023047788,0.0013287601,0.0,0.038751278,4.2270145,2.3797577e-08,0.047333416,0.017956844,0.77763534,0.00061916525,0.82241833,0.2706288,0.020737812,1.6957548,2.5384766e-06,1.3190953,0.0034083964,0.25698966,0.16988908,0.5099036,0.0008559448,2.5573838,0.27993658,0.0002696197,0.16272211,0.0014012163,0.011893257,0.26675314,0.2570505,0.0033650598,0.11550104,0.00028249566,0.022993408,0.0032023452,0.17264636,0.34106687,0.011149634,1.2457536,0.5978877,0.056582525,0.14521986,5.240808,3.8319223,0.1246347,0.46141434,0.0030899185,0.034383703,0.0011069812,0.09091367,0.046412382,2.8467352,0.1782804,0.103035904,0.0015738433,0.0016632188,0.17775439,0.10748838,0.03211721,0.3288753,0.07149182,0.32806325,0.0024508254,5.407931e-09,0.28731883,2.2666175,0.35078913,0.5622865,0.046772093,0.47901517,0.11075936,3.869361e-05,3.141871
RU1108a_RPMI_129457506380510,0.0,0.008785771,0.0016130703,0.012134474,0.0060697836,0.0742292,0.0021294456,0.0019420875,0.25931096,0.2483265,0.06426699,0.08998729,0.048090402,0.3338252,4.070821e-05,0.00093850016,0.0,0.023608346,4.0032783,1.3449235e-09,0.06343545,0.02055267,0.89968044,0.00050617324,0.8616302,0.20751613,0.007271726,1.8320657,4.3462563e-08,1.2229182,0.00031806304,0.2762942,0.14562534,0.5316263,0.0001582318,2.3276312,0.19073388,7.921482e-06,0.13821721,0.0014650134,0.005115954,0.24195048,0.32171595,0.002002817,0.091798164,0.00067495723,0.025014129,0.0013440601,0.18164004,0.30407846,0.018269185,1.2042365,0.630913,0.060100816,0.10998952,4.7625103,3.6205971,0.11040144,0.49035466,0.0022355411,0.032471694,0.0032032689,0.072594136,0.02540742,2.4900398,0.17598596,0.10598698,0.0032959364,0.0011029755,0.17719059,0.09989549,0.020263009,0.26773748,0.08476682,0.2915342,0.0024214187,0.0,0.29056504,1.9166541,0.35316744,0.5831639,0.0454076,0.4611532,0.1385067,2.064923e-07,3.3450642
RU1108a_RPMI_204762093402485,0.0,0.01037078,0.0023654278,0.03013649,0.0084818555,0.12707582,0.0030171745,0.0033822858,0.16861048,0.18645008,0.0625004,0.113770105,0.03441133,0.26915982,0.00035305912,0.00041800758,0.0,0.05517136,3.9250584,0.0,0.048673738,0.011914313,0.58702767,0.00116082,0.5543824,0.26730183,0.023825094,1.3754816,2.6656293e-05,0.87211674,0.0030878314,0.26947007,0.10352549,0.42054656,0.0009220227,2.381813,0.23784408,1.114658e-05,0.14417335,8.927661e-05,0.015094264,0.20413052,0.17738917,0.0010545525,0.13417882,1.7881626e-05,0.027368736,0.0032007569,0.13147381,0.32585862,0.0043133334,1.0507115,0.37928137,0.025804646,0.08945042,5.7876205,3.3755229,0.110447936,0.3938665,0.0031629996,0.029369446,1.2970212e-05,0.08279089,0.030374344,3.202247,0.13247262,0.062819004,0.0030929116,0.0010642887,0.14518647,0.0841799,0.03043151,0.341516,0.09012854,0.24741445,0.0013155749,0.0,0.27037862,1.9438595,0.21306686,0.50945514,0.04620978,0.52661717,0.08100977,7.361218e-05,3.220309
RU1108a_RPMI_230652451450077,0.0,0.006767797,0.002074508,0.03231561,0.0116404705,0.15456381,0.005246772,0.0027074981,0.19885163,0.2145017,0.0636788,0.13006231,0.07425444,0.36599448,4.4102755e-05,0.00023449518,0.0,0.04356001,4.547741,0.0,0.06333189,0.016736904,0.79159695,0.0005361752,0.71025026,0.4141978,0.023480516,1.6296233,8.344025e-05,1.4225873,0.0028339294,0.28352717,0.17042017,0.5230933,0.001477615,2.6994731,0.2815432,0.0005335115,0.19915412,0.00064257137,0.015388525,0.21964829,0.25493836,0.00274343,0.13309105,3.5239722e-05,0.026751632,0.0069529056,0.15209831,0.34734157,0.007317238,1.238457,0.5052967,0.043087333,0.10388031,5.7956705,3.887872,0.11572663,0.4772595,0.0061101476,0.028905798,0.0001383229,0.09759772,0.03630777,3.093645,0.18524618,0.08706172,0.004790199,0.004201304,0.19922987,0.13729668,0.028639527,0.39124086,0.07520576,0.27636415,0.0014116673,0.0,0.31091824,2.422614,0.29044092,0.6303738,0.051365506,0.5300179,0.11030879,0.00012324456,3.5065126
RU1108a_Bambanker_Frozen_205449168076213,0.0,0.006347769,0.0056867367,0.15476935,0.0021274956,0.16436836,0.00095378474,0.010711253,0.1750074,0.23467015,0.10761159,0.09066629,0.026471337,0.17329648,0.0,4.5912728e-08,0.0,0.062228013,3.4828436,0.00038585096,0.04100983,0.005534303,0.4350669,3.442916e-09,0.7903296,0.716415,0.01261488,1.0739441,0.00012027519,0.81008095,0.0083329715,0.29186037,0.09422925,0.56868464,3.2711375e-07,2.1708148,0.22900705,0.0009995651,0.25533545,2.4328892e-06,0.028876254,0.16945018,0.6685242,0.0033903103,0.17241195,0.0,0.0011216741,0.00085905736,0.16999306,0.32882237,0.003974701,1.0906178,0.4198475,0.03855704,0.16126338,5.1177597,2.626025,0.19656618,0.57224053,0.0046166326,0.16665395,0.0,0.054650906,0.03839526,3.089688,0.07658003,0.1251749,9.7710144e-05,9.704308e-07,0.30058149,0.10123497,0.09787522,0.2703499,0.07456084,0.2191203,0.011724938,0.0,0.38019904,1.7286289,0.34014294,0.6271271,0.04259829,0.6134065,0.21524905,6.5161174e-08,2.2434733
RU1108a_Bambanker_227510387325868,0.0,0.01124607,0.005326095,0.21729122,0.003723321,0.18766391,0.0011481025,0.009598603,0.18756714,0.24647169,0.12905674,0.11134486,0.036435053,0.20166633,0.0,4.1429004e-07,0.0,0.06512028,4.224583,0.00063839054,0.027493754,0.0036103146,0.44278327,7.202222e-09,0.8170033,0.6960809,0.017388338,1.092156,0.00035550605,1.165933,0.0048090136,0.28624672,0.113832146,0.6181594,3.2940693e-06,2.6795197,0.24099256,0.00015148737,0.3255873,5.6227896e-07,0.044657122,0.16620213,0.6474821,0.0016938015,0.17246157,1.4141139e-06,0.0014993733,0.0032752603,0.18435508,0.28112888,0.003727723,1.2978089,0.4632865,0.03883197,0.16213714,4.9963064,3.2625217,0.17339943,0.5146514,0.0082050515,0.10388623,0.0,0.04870243,0.03818773,3.1180367,0.10594391,0.11387535,0.0006576797,1.0074776e-05,0.23843338,0.09749557,0.0598509,0.24550696,0.06835912,0.24660663,0.011925358,0.0,0.35782483,2.3620758,0.36557347,0.65690327,0.03608325,0.6083862,0.16943735,1.3561668e-06,2.3170023
RU1108a_Bambanker_Frozen_236082095344436,0.0,0.009125582,0.00030351355,0.021418437,0.009158376,0.09972724,0.0027045081,0.0070374464,0.24505816,0.31348535,0.09440604,0.12579894,0.056712408,0.400365,1.1683006e-05,0.0006200376,0.0,0.05041099,4.4024277,0.0,0.058777656,0.016823191,0.93588257,0.0020766289,0.8468343,0.30620742,0.027249428,1.73786,1.7524562e-06,1.6325426,0.0032336977,0.3131564,0.20846453,0.5449015,0.0028519984,2.654949,0.24769115,0.0004376347,0.1769229,0.00012285987,0.017217673,0.29052326,0.26076996,0.001416487,0.14147371,0.0010509102,0.029147817,0.006600978,0.19970928,0.34638616,0.0064509274,1.5971525,0.6487569,0.056602996,0.16705,5.2240825,4.2540627,0.1270762,0.46140265,0.0066326726,0.034630306,0.0008094018,0.102244705,0.050313607,2.4896533,0.23694472,0.08408727,0.0010063488,0.003681963,0.21571845,0.094506465,0.02839158,0.3403995,0.07274729,0.40591756,0.0022689311,0.0,0.24393415,2.7595434,0.3773221,0.63766396,0.057145733,0.49910846,0.15078834,6.9792666e-05,3.1800537
RU1108a_Bambanker_164769532397932,0.0,0.008306174,0.00074879616,0.07377366,0.009721072,0.19539976,0.0003431486,0.009349556,0.15567766,0.19710372,0.099502616,0.10720149,0.028192129,0.2364778,0.0,7.4278373e-06,0.0,0.12188719,4.4313316,0.00046432606,0.07649246,0.0041157743,0.5394114,5.7713333e-07,0.86309165,0.7091463,0.013413972,0.9531305,1.2956175e-05,1.3441254,0.0022022447,0.24659081,0.111785665,0.48646614,1.1601717e-07,2.9310884,0.40568635,0.0034702113,0.16305667,0.0,0.025545489,0.2429855,0.5554952,0.0034732241,0.14673053,5.2195823e-08,0.007859524,0.0046890196,0.18928456,0.33055234,0.0070894547,1.2411559,0.41357914,0.070506416,0.17187527,5.1961594,3.8104093,0.18737715,0.6139985,0.010472256,0.39460245,5.690698e-08,0.1307073,0.048835494,2.8469408,0.1254933,0.110385165,1.2101949e-05,1.1728892e-05,0.4110895,0.14469206,0.13545136,0.21789916,0.053351566,0.21801764,0.014846167,0.0,0.31724718,2.6630409,0.28872573,0.771264,0.04991372,0.6019673,0.30862737,9.622515e-06,1.9748732
