Cell,NFIX,TCF7L2,HIF1A,STAT4,ICAM1,ELF5,PKNOX2,ESR1,GRHL2,ZEB1,TRPS1,LMX1B,PRDM16,EPAS1,SP100,NR2F2,AHR,EGR1,NR6A1,TCF7L1,JUND,EPCAM,HSF2,TCF12,RORA,NR3C2,PPARG,ARID5B,RUNX1,FOSB,ASCL1,NFIA,SOX6,CREB1,TFDP1,STAT2,REL,SIX1,PROX1,TBX15,GATA6,SP110,RUNX2,PBX1,JUNB,NFIB,BACH1,EBF3,MEIS2,HES1,BCL6,REST,FOS,SOX9,ETS1,GLIS3,LCOR,TCF4,RBPJ,NFYC,ZBTB7A,ZBTB20,BACH2,RARG,NFE2L2,EHF,FOXP1,BBX,JUN,KMT2A,THRB,NPAS2,ZBTB18,CUX2,SMAD3,SOX5,MECOM,NCAM1,FOXO3,RARB,SOX11,SIX4,PLAGL1,STAT1,TEAD1,RORB,NFATC2,CUX1,TEAD4,NFKB1,CD44,RORA_RORB
RU1231A_120703424294126,0.37014115,0.3607619,0.6202388,0.0010428574,0.051494736,0.00014376733,1.7371141e-05,8.2411404e-08,0.1274013,0.58754647,0.18622991,0.00023478072,0.090898275,0.1240119,0.13527586,0.26937032,0.022697924,2.2656524,0.11657131,0.19608171,3.3390918,3.033613,0.39932132,0.17226312,0.24365269,7.970213e-05,0.0025007091,0.012667309,0.011535311,1.4902637,2.2628927,1.0756286,0.010106764,0.50459254,0.9300714,0.20705546,0.33495545,1.5130047,0.4778783,0.08326326,0.03356545,0.10395346,7.182079e-06,0.3416836,3.4734669,1.6261015,0.18830118,0.0010121062,0.33898407,0.77312636,0.3981461,0.07359215,4.312175,0.6748752,0.15552245,0.2745139,0.6656598,1.8425375,0.8523993,0.26378804,0.5572139,1.2855526,0.018459596,0.012088275,1.34045,0.035427485,0.5580971,1.2478588,3.5657928,2.1013837,1.1826341e-05,0.00025099516,0.18413153,0.3811211,0.053123068,4.1235538e-08,0.0100952275,1.2234138,0.41067597,0.0038828535,1.093971,0.33624697,0.27508226,0.466674,0.51895314,4.1729865e-05,0.083567314,0.828936,0.07936013,0.07423812,0.33770943,0.1218472099325
RU1231A_155914237328627,0.43695474,0.3965646,0.5084326,0.0120227,0.10164436,0.0031001498,1.4474671e-08,4.525772e-06,0.037892114,1.2018013,0.29832402,0.00012465409,0.044258926,0.14289047,0.15985276,0.20837314,0.013474196,2.58642,0.073844515,0.23441505,3.1905968,1.4796798,0.2842627,0.15232168,0.44264767,2.746234e-06,0.0013020885,0.034649592,0.06718304,1.4095855,1.4556661,0.9898315,0.01310533,0.505189,0.4523829,0.20555748,0.24928172,1.3260748,0.5749257,0.16143207,0.02479614,0.12967768,0.0007277339,0.5067581,3.7513044,1.3895044,0.1675523,0.0014358469,0.3834336,0.73846245,0.53226465,0.317244,4.575694,1.0725849,0.3830784,0.3855907,0.56570965,1.7399725,0.8097648,0.21926564,0.46163926,1.2288628,0.041977756,0.023750817,1.2747258,0.008801295,0.68930703,1.4347963,3.5503254,1.8594189,0.0002036495,0.0146049,0.1693725,0.24843453,0.052459452,7.973702e-05,0.032814894,1.0056696,0.39666763,0.0071837376,1.1536162,0.25617027,0.15329279,0.30713946,0.4448358,3.573436e-05,0.03302293,0.7795156,0.015014638,0.083546855,0.57884264,0.22134170218
RU1231A_134394584096091,0.42986536,0.47693878,0.72419494,0.0018348885,0.04832679,0.00033635632,4.527507e-06,2.7255973e-07,0.117917486,0.63027996,0.1721424,0.0019753885,0.08783704,0.12206177,0.13075498,0.2951419,0.032014675,2.9969218,0.2092886,0.12858857,3.8859396,2.4938898,0.52071327,0.21774286,0.44886252,0.00039988346,8.256573e-06,0.00564104,0.01746966,1.9671656,2.5346162,1.0240706,0.0030401777,0.7986097,0.9894103,0.2207225,0.24119622,1.3273381,0.41477633,0.17360926,0.05450902,0.085396804,1.7092203e-05,0.37907344,3.9981928,2.1748805,0.27581483,0.002673682,0.49253362,0.80708444,0.5042256,0.1792791,4.8017526,0.74162203,0.11064907,0.24809317,0.77068424,1.945079,0.8434705,0.42591816,0.5342161,1.3717654,0.050006114,0.010529585,1.8370539,0.019653846,0.8726596,1.5261784,4.441864,2.3286896,2.1514748e-05,1.9466113e-05,0.22098112,0.4227839,0.091021076,0.000118983495,0.019010164,1.7921035,0.6204378,0.0037619025,1.0835826,0.3456151,0.22265296,0.69283026,0.5909779,0.00037280374,0.06964558,0.7811629,0.06375008,0.057388715,0.45415756,0.22461766186999998
RU1231A_191166535358253,0.49369225,0.47934476,0.6363151,0.006994765,0.117190726,0.0038253586,0.00026323303,5.094103e-06,0.11575381,0.6998489,0.17508046,0.0005834807,0.10593628,0.16582265,0.17522402,0.2612913,0.03312392,2.8739653,0.16672872,0.14450665,3.7084267,2.5990548,0.43845153,0.19223082,0.5631901,0.00011978589,0.0004046051,0.019041542,0.067468174,2.0329688,2.4625247,1.0317947,0.0121134315,0.6682003,0.785031,0.20586132,0.27113956,1.4139334,0.4115202,0.12886773,0.05141201,0.1425978,0.000111788024,0.42413536,3.9649568,2.1213512,0.25110087,0.0026016075,0.39622897,1.0897222,0.5894933,0.2827112,4.7546186,0.93557346,0.20255055,0.27832043,0.7536379,1.7566872,0.86200345,0.34592977,0.5829691,1.3521386,0.048549727,0.022084761,1.5791078,0.021902243,0.8077982,1.5597172,4.4344893,2.1715753,0.0004438013,0.002344597,0.18431014,0.3343987,0.08045368,1.2527906e-05,0.03316495,1.5339035,0.5479824,0.0018669161,1.1651468,0.3684463,0.22311492,0.6579839,0.5521326,0.00029007255,0.07450242,0.8269282,0.040390026,0.08223527,0.5268078,0.281740086275
RU1231A_156395258140469,0.5423154,0.62161696,0.7405843,0.020909237,0.13426961,0.0009490491,5.8629316e-06,6.4807176e-07,0.07331443,1.6113522,0.23920262,0.001232749,0.046499547,0.064089425,0.15270342,0.25762495,0.011109812,2.837979,0.17063174,0.26812565,3.3751664,1.248514,0.5115954,0.2556157,0.5513658,0.00027530472,9.772577e-05,0.0039263717,0.1042594,1.6146473,1.940494,1.4592637,0.007200402,0.7463718,0.56179506,0.20919344,0.15968463,1.3605437,0.42291123,0.14856037,0.027294932,0.119731784,2.8206034e-06,0.94507533,3.5462203,2.2909513,0.19803935,0.00020655344,0.44789284,0.849224,0.48681465,0.507789,4.458899,1.1840607,0.32138374,0.43877715,0.7815427,2.5363958,0.88788956,0.42890412,0.555984,1.646885,0.038306303,0.016455997,1.5413176,0.013591129,0.99055356,1.6211705,4.0649476,2.1590574,2.773325e-05,0.007354245,0.23464967,0.36543062,0.12704873,9.222737e-05,0.061270114,1.5708032,0.6045199,7.998731e-05,1.7338016,0.38042971,0.19195046,0.8023753,0.65005183,0.00013900847,0.04169827,0.9107049,0.03645464,0.049462497,0.6132134,0.275752404235
RU1231A_134945401387235,0.5882271,0.58290404,0.65084875,0.012360674,0.112775154,0.0019834589,1.1931417e-05,1.1197288e-06,0.07486173,1.4811597,0.23941667,0.0017625425,0.06421901,0.052248906,0.11471252,0.23401101,0.0144875785,2.5193133,0.1945455,0.23639402,3.2238052,1.4296151,0.51052266,0.21540003,0.5923392,3.096624e-05,0.00014415263,0.0023533972,0.08566938,1.4077935,2.2820082,1.3008211,0.0067683277,0.6994434,0.50524867,0.18541029,0.14822987,1.3499237,0.3079337,0.119336024,0.024583176,0.08892141,1.3205571e-06,0.8166113,3.2666583,2.1823645,0.20239475,0.00032737057,0.4133208,0.68670356,0.44569772,0.43748605,4.191021,1.1776404,0.31177297,0.36740518,0.7253242,2.4840355,0.90762925,0.3802201,0.60351723,1.5852439,0.02731518,0.010111598,1.3500623,0.008537572,0.9103345,1.5348238,3.7642686,2.0592868,0.00027870358,0.009588333,0.24648471,0.3619176,0.13840882,4.0821615e-05,0.048497494,1.4155061,0.5300442,0.00015248635,1.766078,0.37371242,0.16152768,0.74582916,0.5543683,0.00027880643,0.039424308,0.8577213,0.020774243,0.04904045,0.54530305,0.296309003215
RU1231A_165713619929822,0.40198594,0.45148557,0.67352694,0.0011891752,0.1276328,0.0002301566,0.0019455735,0.0004831744,0.026036475,0.9937111,0.27274325,8.691616e-07,0.12093423,0.22190222,0.16268593,0.17134123,0.027655292,2.6713748,0.11376965,0.16562772,3.367373,1.6448978,0.62653553,0.18934868,0.575536,0.000211032,0.0043335618,0.051351637,0.115106896,1.65662,1.5306541,0.831762,0.0059042624,0.51626945,1.0323585,0.19877312,0.53253156,1.0393146,0.5486404,0.17766072,0.05388314,0.118889384,2.1635542e-05,0.23704663,3.9759514,1.7783498,0.34516698,0.0032359534,0.5469576,1.3932076,0.5253379,0.20223631,4.629669,1.0007554,0.35025248,0.33059132,0.72970474,1.6094922,1.0332469,0.23813996,0.5073604,1.2711786,0.048214264,0.009186888,1.5207969,0.0055712666,0.7377326,1.4853286,4.5446205,2.2762384,3.675815e-06,0.007845154,0.1785597,0.26669884,0.0952239,8.6412786e-07,0.050039414,1.6549149,0.6549666,0.0014214227,1.2634577,0.19020778,0.40806136,0.43623975,0.58708286,1.0272286e-05,0.02808436,0.81222904,0.106653236,0.05056524,0.85501724,0.28777313614300004
RU1231A_130673800570781,0.43325654,0.367889,0.57782525,0.0048023933,0.047007866,0.005532432,9.729868e-07,6.2007557e-06,0.12599622,0.5476753,0.23933949,0.0028293682,0.10020212,0.052877728,0.16247691,0.22588335,0.030025665,2.3768675,0.09555982,0.19364594,3.5926507,3.1997936,0.3131533,0.17329203,0.2985924,2.2984027e-06,0.0012902775,0.014547602,0.028016914,1.5729983,2.4102676,1.1153116,0.019994617,0.5167178,0.6671152,0.19284287,0.2166688,1.6189928,0.46849188,0.07872715,0.03653755,0.08795356,0.00023322296,0.39460975,3.3776703,1.6453975,0.19478804,0.0015865505,0.26049918,0.6412309,0.4896778,0.15925948,4.397072,0.81183684,0.14244793,0.29052672,0.66768295,2.0717797,0.77396095,0.23939157,0.5110095,1.3551674,0.021741122,0.019785164,1.2246811,0.06771535,0.53722596,1.3231294,3.4898167,2.0070617,0.00067425374,0.0012132401,0.15416823,0.36843303,0.06508381,2.6589107e-05,0.02040343,0.9556259,0.36674768,0.0047258325,1.2813481,0.37179172,0.1673741,0.45156994,0.60658467,0.0003380059,0.11118884,0.774972,0.016439034,0.09182847,0.3616975,0.14946520295
RU1231A_129457538677990,0.41418025,0.3539349,0.5111397,0.009642686,0.060803674,0.0081016645,5.2964143e-08,2.2067303e-05,0.14552201,0.550986,0.23373117,0.0044397353,0.09817908,0.066682585,0.18223034,0.19267042,0.030639503,2.605457,0.08548277,0.2173456,3.6472397,3.0626721,0.3092645,0.15846568,0.33401105,6.703278e-06,0.00080215273,0.017121883,0.033057824,1.8360977,2.2776136,1.1051724,0.018642927,0.49395072,0.64587027,0.20202745,0.21726498,1.5455966,0.4842949,0.089242786,0.035246078,0.09771308,0.0006243684,0.3983515,3.6147654,1.6601927,0.18262592,0.0006569552,0.24804239,0.723305,0.57775277,0.18542631,4.5933943,0.9028005,0.1642965,0.3135263,0.6067952,1.9735856,0.7618424,0.24707183,0.53859085,1.3519748,0.019228583,0.017811945,1.2854044,0.07356388,0.5333187,1.3020116,3.697526,1.946739,0.00045593188,0.0021557598,0.1446417,0.35761297,0.06387236,2.66549e-05,0.024610784,0.95493627,0.37802035,0.0041129743,1.1747414,0.3325924,0.16202055,0.45110163,0.5435358,0.0001299463,0.10215858,0.78227025,0.013903761,0.09555607,0.41805115,0.16707049815
RU1231A_166288849750838,0.41681314,0.3695174,0.5423038,0.008199404,0.05593447,0.0072777425,1.676094e-08,1.1919028e-05,0.13604511,0.5956783,0.23477115,0.004023972,0.09943851,0.07524657,0.1774352,0.19862843,0.030305449,2.5446503,0.09243116,0.21180476,3.5801573,2.9993064,0.31641886,0.15860726,0.34196308,3.6501976e-06,0.0008281705,0.014491594,0.028536482,1.7423633,2.3381407,1.0916263,0.019116094,0.49971327,0.6372944,0.2121028,0.22141291,1.5690907,0.47832787,0.087426305,0.034010746,0.096661165,0.0007670169,0.38838822,3.535304,1.6357493,0.1880848,0.0012772215,0.25130618,0.71223056,0.5387082,0.17134862,4.5182743,0.8769331,0.17040528,0.30722314,0.6216825,1.9796401,0.7823494,0.23567598,0.53054047,1.3608133,0.020601027,0.018543568,1.2536799,0.07120268,0.5293273,1.3073606,3.5888944,1.9905292,0.00055798015,0.002533166,0.14927861,0.36473355,0.063677266,3.578396e-05,0.021698885,0.99621,0.3893124,0.0056486926,1.196312,0.34353682,0.15920496,0.44200072,0.55394995,0.00028388953,0.10111505,0.80076045,0.013828584,0.0943439,0.3963767,0.171123484765
