Cell,clusters
RU1231A_120703424294126,1
RU1231A_155914237328627,1
RU1231A_134394584096091,1
RU1231A_191166535358253,1
RU1231A_156395258140469,1
RU1231A_134945401387235,1
RU1231A_165713619929822,1
RU1231A_130673800570781,1
RU1231A_129457538677990,1
RU1231A_166288849750838,1
RU1231A_125247377324843,1
RU1231A_192120139994844,1
RU1231A_227915456998125,1
RU1231A_134376349416795,1
RU1231A_231349329544989,1
RU1231A_161326283286372,1
RU1231A_134393261046493,1
RU1231A_169220299680180,1
RU1231A_230670677784806,1
RU1231A_165248393997733,1
RU1231A_122427435539741,1
RU1231A_135135350351707,1
RU1231A_166477740522915,1
RU1231A_204842772842908,1
RU1231A_204882398263213,1
RU1231A_161317559155940,1
RU1231A_121812477238621,1
RU1231A_156022966204654,1
RU1231A_125798226548582,1
RU1231A_239596337580780,1
RU1231A_130003757914982,8
RU1231A_126680956884774,1
RU1231A_160361944304566,1
RU1231A_200494264838363,1
RU1231A_126760266878308,1
RU1231A_129455076035420,1
RU1231A_192859711650149,1
RU1231A_122283734744364,1
RU1231A_169768862010603,1
RU1231A_191088273803061,1
RU1231A_165380357208365,1
RU1231A_164827667512156,1
RU1231A_157491682753261,1
RU1231A_130187816777957,1
RU1231A_226394635098334,1
RU1231A_226213456108259,1
RU1231A_192101764938038,1
RU1231A_195486052145059,1
RU1231A_196596570183467,1
RU1231A_241054862993646,1
RU1231A_191621955439027,1
RU1231A_231358946500003,1
RU1231A_121338661325605,1
RU1231A_226833139612979,12
RU1231A_199814336859507,1
RU1231A_241109221095845,1
RU1231A_239956397800875,1
RU1231A_162069998844339,1
RU1231A_126912885582582,1
RU1231A_204351789517740,1
RU1231A_169588486237492,1
RU1231A_231133475204324,1
RU1231A_134583281936115,1
RU1231A_170251091101934,1
RU1231A_130050224473950,1
RU1231A_239517117562157,1
RU1231A_135503598172403,1
RU1231A_200432900302582,1
RU1231A_170738719344350,1
RU1231A_165326911130869,1
RU1231A_199807070856996,1
RU1231A_130751365592998,1
RU1231A_241055654865206,1
RU1231A_235748402841845,1
RU1231A_195562300659957,1
RU1231A_155911449860844,1
RU1231A_155954368104811,1
RU1231A_135496096147869,1
RU1231A_227861649910118,1
RU1231A_134517097422245,1
RU1231A_164693538105254,1
RU1231A_235619312622491,1
RU1231A_157632236272556,1
RU1231A_120856566753565,1
RU1231A_169039910849774,1
RU1231A_200502452284316,1
RU1231A_191767549754654,1
RU1231A_131302180174572,1
RU1231A_231296415522214,1
RU1231A_226821193811756,1
RU1231A_121408903927534,1
RU1231A_135005247760165,1
RU1231A_125050587593501,12
RU1231A_169039957015836,1
RU1231A_130751365303004,1
RU1231A_236847646042013,1
RU1231A_235550834910955,1
RU1231A_134405294843693,1
RU1231A_135622798493413,1
RU1231A_157140481403812,1
RU1231A_121414925084532,1
RU1231A_226833151944942,1
RU1231A_191697117465317,1
RU1231A_200372651674334,1
RU1231A_240489940313900,1
RU1231A_192308969852212,1
RU1231A_196172070939885,1
RU1231A_191139711412012,1
RU1231A_236230110210467,1
RU1231A_165723122122084,1
RU1231A_236700570970980,1
RU1231A_122292171888548,12
RU1231A_191020345707830,1
RU1231A_230612608335148,1
RU1231A_241176048482741,1
RU1231A_130675130386149,1
RU1231A_169012826138932,1
RU1231A_200907359673764,1
RU1231A_227905792849694,1
RU1231A_197185817143150,1
RU1231A_120788101023661,1
RU1231A_134542464804763,1
RU1231A_195634079906156,1
RU1231A_135080705416438,1
RU1231A_135081901092259,12
RU1231A_192318633077620,1
RU1231A_160911819466477,1
RU1231A_169787235392803,12
RU1231A_201587084351404,1
RU1231A_122487967733491,1
RU1231A_130751378446251,1
RU1231A_170672159578926,1
RU1231A_227449364723619,1
RU1231A_231358973528934,1
RU1231A_239476078438691,1
RU1231A_227295639587756,1
RU1231A_160372398701797,1
RU1231A_129430395144116,1
RU1231A_226760943167260,1
RU1231A_195634126019932,1
RU1231A_169768861973788,1
RU1231A_121812450200868,1
RU1231A_134034868095901,1
RU1231A_231901067065694,1
RU1231A_130005127837419,1
RU1231A_131148528639331,1
RU1231A_230663208430364,1
RU1231A_231220192852339,1
RU1231A_192318648052659,1
RU1231A_134542464805677,1
RU1231A_165329193254171,1
RU1231A_231849405859741,1
RU1231A_196525299808566,1
RU1231A_241055641001251,1
RU1231A_235668724149541,1
RU1231A_200983489198315,1
RU1231A_235197351782172,1
RU1231A_169245981396403,1
RU1231A_165379539388854,1
RU1231A_192747071462756,1
RU1231A_157469148899117,1
RU1231A_130546012935971,1
RU1231A_162004619704102,1
RU1231A_126700303570781,1
RU1231A_160920021388515,1
RU1231A_125786518142373,16
RU1231A_166333993110316,12
RU1231A_130676082198813,1
RU1231A_157002340382564,1
RU1231A_227509475403491,1
RU1231A_130213137799965,1
RU1231A_126905235434294,1
RU1231A_196569623648027,1
RU1231A_169707671543004,1
RU1231A_131105432233828,1
RU1231A_125257194784694,1
RU1231A_130529113892643,22
RU1231A_235197320279790,1
